DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-02-28,HINDMOTORS, EQ,13.8,13.3,13.8,13.3, 13.65,13.7,13.55,234729,31.8,1025, 134378, 57.25
2023-03-01,HINDMOTORS, EQ,13.7,13.75,14.1,13.55, 14.00,14.0,13.86,252049,34.92,1333, 124877, 49.54
2023-03-02,HINDMOTORS, EQ,14.0,14.0,14.15,13.45, 13.55,13.5,13.7,338900,46.44,1600, 214958, 63.43
2023-03-03,HINDMOTORS, EQ,13.5,13.5,13.9,13.5, 13.85,13.7,13.63,316284,43.12,1193, 176557, 55.82
2023-03-06,HINDMOTORS, EQ,13.7,13.55,14.1,13.2, 13.85,13.8,13.75,454010,62.45,1606, 247693, 54.56
2023-03-08,HINDMOTORS, EQ,13.8,14.0,14.45,13.8, 14.45,14.45,14.26,168287,24.0,686, 148662, 88.34
2023-03-09,HINDMOTORS, EQ,14.45,15.15,15.15,14.8, 15.15,15.15,15.12,659582,99.74,1398, 340551, 51.63
2023-03-10,HINDMOTORS, EQ,15.15,15.15,15.6,14.85, 14.90,14.95,15.1,470737,71.1,3380, 303859, 64.55
2023-03-13,HINDMOTORS, EQ,14.95,15.0,15.15,14.2, 14.20,14.2,14.44,355258,51.29,1824, 236276, 66.51
2023-03-14,HINDMOTORS, EQ,14.2,13.6,14.5,13.6, 13.90,13.95,13.99,280210,39.2,1544, 151262, 53.98
2023-03-15,HINDMOTORS, EQ,13.95,13.95,14.2,13.8, 13.90,13.95,13.97,203765,28.47,968, 154943, 76.04
2023-03-16,HINDMOTORS, EQ,13.95,14.0,14.1,13.75, 13.80,13.8,13.86,142433,19.74,1364, 98181, 68.93
2023-03-17,HINDMOTORS, EQ,13.8,14.05,14.15,13.7, 13.75,13.8,13.9,262453,36.47,1065, 173499, 66.11
2023-03-20,HINDMOTORS, EQ,13.8,14.45,14.45,13.25,13.5,13.55,13.66,262670,35.89,996, 178736, 68.05
2023-03-21,HINDMOTORS, EQ,13.55,13.95,14.0,13.55, 13.55,13.7,13.8,201074,27.75,961, 138677, 68.97
2023-03-22,HINDMOTORS, EQ,13.7,13.9,13.95,13.6, 13.60,13.65,13.7,327431,44.85,971, 261382, 79.83
2023-03-23,HINDMOTORS, EQ,13.65,13.65,13.9,13.35, 13.90,13.8,13.57,476032,64.58,1754, 336859, 70.76
2023-03-24,HINDMOTORS, EQ,13.8,13.95,13.95,13.6, 13.80,13.65,13.72,188423,25.85,819, 143440, 76.13
2023-03-27,HINDMOTORS, EQ,13.65,13.7,13.75,13.1, 13.20,13.25,13.39,267116,35.76,1072, 187872, 70.33
2023-03-28,HINDMOTORS, EQ,13.25,13.25,13.9,12.6, 12.60,12.7,13.0,478804,62.26,1543, 329051, 68.72
2023-03-29,HINDMOTORS, EQ,12.7,12.85,13.2,12.3, 12.70,12.7,12.7,675361,85.75,1921, 426226, 63.11
