DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,HITECHGEAR, EQ,261.75,268.0,268.0,255.0, 259.00,258.1,257.99,4291,11.07,246, 2538, 59.15
2023-01-03,HITECHGEAR, EQ,258.1,257.85,264.15,256.25, 256.50,257.05,258.58,1980,5.12,73, 1452, 73.33
2023-01-04,HITECHGEAR, EQ,257.05,253.3,261.8,253.0, 253.25,253.35,255.13,2661,6.79,96, 1889, 70.99
2023-01-05,HITECHGEAR, EQ,253.35,254.0,258.4,253.15,253.4,253.45,254.03,1367,3.47,73, 975, 71.32
2023-01-06,HITECHGEAR, EQ,253.45,257.0,257.0,251.0,251.1,251.55,253.02,3437,8.7,107, 2932, 85.31
2023-01-09,HITECHGEAR, EQ,251.55,268.0,268.0,255.0,267.6,263.95,260.05,6681,17.37,204, 5327, 79.73
2023-01-10,HITECHGEAR, EQ,263.95,267.6,274.45,262.05,263.5,264.0,267.6,4197,11.23,284, 2662, 63.43
2023-01-11,HITECHGEAR, EQ,264.0,269.95,269.95,263.0, 265.00,266.9,265.68,845,2.24,67, 700, 82.84
2023-01-12,HITECHGEAR, EQ,266.9,269.95,269.95,263.2, 263.55,263.6,263.95,958,2.53,69, 743, 77.56
2023-01-13,HITECHGEAR, EQ,263.6,263.6,269.85,260.0,262.0,261.9,262.56,1963,5.15,93, 1080, 55.02
2023-01-16,HITECHGEAR, EQ,261.9,260.05,263.75,260.0, 260.50,260.8,260.68,525,1.37,39, 425, 80.95
2023-01-17,HITECHGEAR, EQ,260.8,269.0,274.0,260.1,260.75,260.75,261.54,1209,3.16,58, 925, 76.51
2023-01-18,HITECHGEAR, EQ,260.75,264.95,266.75,256.0,257.0,257.9,261.24,1997,5.22,142, 1011, 50.63
2023-01-19,HITECHGEAR, EQ,257.9,256.1,262.8,256.0, 259.50,260.5,259.93,1217,3.16,66, 708, 58.18
2023-01-20,HITECHGEAR, EQ,260.5,258.9,259.0,252.2,257.0,257.25,257.01,1393,3.58,74, 1144, 82.12
2023-01-23,HITECHGEAR, EQ,257.25,255.05,258.0,251.0,251.2,251.15,253.04,2119,5.36,122, 1634, 77.11
2023-01-24,HITECHGEAR, EQ,251.15,250.2,258.45,250.2,252.1,252.05,251.91,782,1.97,35, 640, 81.84
2023-01-25,HITECHGEAR, EQ,252.05,255.95,255.95,241.1, 243.50,244.2,246.32,3646,8.98,221, 2040, 55.95
2023-01-27,HITECHGEAR, EQ,244.2,242.55,245.5,228.0, 232.00,231.15,235.61,3099,7.3,218, 2239, 72.25
2023-01-30,HITECHGEAR, EQ,231.15,238.1,268.8,230.05, 259.00,256.85,260.03,28804,74.9,1228, 12506, 43.42
2023-01-31,HITECHGEAR, EQ,256.85,260.0,274.85,257.0,260.0,259.65,263.85,12211,32.22,694, 6589, 53.96
2023-02-01,HITECHGEAR, EQ,259.65,258.0,269.0,258.0, 263.90,265.25,265.28,16791,44.54,395, 13844, 82.45
2023-02-02,HITECHGEAR, EQ,265.25,264.1,272.0,260.0, 260.25,261.05,265.4,7724,20.5,468, 5225, 67.65
2023-02-03,HITECHGEAR, EQ,261.05,260.15,260.15,242.0, 254.80,253.05,252.37,9726,24.55,588, 6607, 67.93
2023-02-06,HITECHGEAR, EQ,253.05,253.0,258.0,253.0, 253.60,254.9,254.56,1253,3.19,90, 721, 57.54
2023-02-07,HITECHGEAR, EQ,254.9,255.0,269.0,255.0, 269.00,267.2,262.99,6539,17.2,215, 4995, 76.39
2023-02-08,HITECHGEAR, EQ,267.2,262.5,275.2,256.25, 273.00,273.2,271.52,14964,40.63,486, 6396, 42.74
2023-02-09,HITECHGEAR, EQ,273.2,274.0,276.9,265.1, 265.55,265.75,272.34,7526,20.5,316, 6135, 81.52
2023-02-10,HITECHGEAR, EQ,265.75,274.9,274.9,267.0, 268.20,269.4,269.73,1010,2.72,58, 836, 82.77
2023-02-13,HITECHGEAR, EQ,269.4,269.4,269.4,261.05,266.5,263.05,265.68,2528,6.72,84, 2293, 90.70
2023-02-14,HITECHGEAR, EQ,263.05,259.65,260.0,253.15,254.0,255.75,257.06,3300,8.48,115, 2865, 86.82
2023-02-15,HITECHGEAR, EQ,255.75,260.7,264.95,255.05, 264.80,262.1,260.9,2135,5.57,66, 1780, 83.37
2023-02-16,HITECHGEAR, EQ,262.1,269.9,269.9,257.05, 258.90,257.75,259.06,3373,8.74,126, 2618, 77.62
2023-02-17,HITECHGEAR, EQ,257.75,264.9,264.9,256.15, 257.65,258.7,257.63,452,1.16,39, 267, 59.07
2023-02-20,HITECHGEAR, EQ,258.7,262.0,262.0,250.0, 251.45,251.85,253.96,2220,5.64,125, 1629, 73.38
2023-02-21,HITECHGEAR, EQ,251.85,252.45,262.0,252.3, 261.40,257.35,254.04,1820,4.62,122, 1280, 70.33
2023-02-22,HITECHGEAR, EQ,257.35,255.15,257.05,242.1, 245.05,246.35,250.86,4320,10.84,269, 2790, 64.58
2023-02-23,HITECHGEAR, EQ,246.35,246.35,249.75,246.1,246.5,246.5,246.39,681,1.68,23, 614, 90.16
2023-02-24,HITECHGEAR, EQ,246.5,246.2,259.8,246.2, 257.55,251.75,251.19,1367,3.43,62, 1027, 75.13
2023-02-27,HITECHGEAR, EQ,251.75,257.95,261.85,249.6, 256.00,254.85,252.62,7888,19.93,184, 6570, 83.29
2023-02-28,HITECHGEAR, EQ,254.85,253.95,259.9,253.95, 254.00,256.1,257.16,3221,8.28,77, 2625, 81.50
2023-03-01,HITECHGEAR, EQ,256.1,258.85,263.95,253.6, 254.95,253.65,256.07,2713,6.95,113, 1848, 68.12
2023-03-02,HITECHGEAR, EQ,253.65,253.7,258.85,252.15, 252.45,252.5,253.01,196,0.5,18, 84, 42.86
2023-03-03,HITECHGEAR, EQ,252.5,259.9,263.35,251.3, 254.00,256.0,254.83,3802,9.69,143, 2556, 67.23
2023-03-06,HITECHGEAR, EQ,256.0,254.35,263.9,254.3, 263.90,258.45,257.42,331,0.85,24, 222, 67.07
2023-03-08,HITECHGEAR, EQ,258.45,257.9,261.0,250.2, 260.00,258.5,256.68,7210,18.51,315, 5610, 77.81
2023-03-09,HITECHGEAR, EQ,258.5,258.7,262.0,254.3, 258.50,259.55,259.06,9892,25.63,174, 8452, 85.44
2023-03-10,HITECHGEAR, EQ,259.55,258.25,261.25,254.0, 255.40,256.35,256.55,3622,9.29,176, 2938, 81.12
2023-03-13,HITECHGEAR, EQ,256.35,252.8,260.95,252.8, 253.50,254.5,256.29,4372,11.21,327, 2222, 50.82
2023-03-14,HITECHGEAR, EQ,254.5,251.1,258.6,250.9, 251.55,254.4,253.57,5209,13.21,251, 4020, 77.17
2023-03-15,HITECHGEAR, EQ,254.4,259.9,259.9,250.55, 252.20,252.45,253.94,6049,15.36,309, 4607, 76.16
2023-03-16,HITECHGEAR, EQ,252.45,251.1,254.95,249.2, 254.00,253.4,251.04,2002,5.03,60, 1623, 81.07
2023-03-17,HITECHGEAR, EQ,253.4,254.0,256.9,251.8, 256.90,255.4,254.64,1921,4.89,109, 1343, 69.91
2023-03-20,HITECHGEAR, EQ,255.4,253.8,253.8,245.1,245.1,246.95,248.61,1238,3.08,77, 985, 79.56
2023-03-21,HITECHGEAR, EQ,246.95,242.1,259.95,242.1, 259.95,257.35,254.93,3547,9.04,133, 2942, 82.94
2023-03-22,HITECHGEAR, EQ,257.35,258.8,258.8,255.0, 255.15,256.2,255.62,999,2.55,54, 785, 78.58
2023-03-23,HITECHGEAR, EQ,256.2,255.25,269.85,253.55, 265.45,266.3,266.17,7662,20.39,390, 5402, 70.50
2023-03-24,HITECHGEAR, EQ,266.3,270.0,270.0,250.1, 251.10,254.35,263.21,6152,16.19,756, 2653, 43.12
2023-03-27,HITECHGEAR, EQ,254.35,245.2,259.4,245.2, 248.35,253.45,252.87,7506,18.98,491, 5003, 66.65
2023-03-28,HITECHGEAR, EQ,253.45,248.7,266.2,242.25, 264.50,255.9,251.54,14324,36.03,887, 10055, 70.20
2023-03-29,HITECHGEAR, EQ,255.9,253.45,261.0,248.05, 250.50,250.4,254.81,3407,8.68,234, 2078, 60.99
2023-03-31,HITECHGEAR, EQ,250.4,251.15,264.8,251.0, 251.55,252.6,257.02,4321,11.11,250, 2002, 46.33
2023-04-03,HITECHGEAR, EQ,252.6,259.0,259.85,252.9, 253.10,253.45,253.92,1528,3.88,128, 650, 42.54
