DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ICICI10GS, EQ,207.0,206.99,206.99,206.99, 206.99,206.99,206.99,11,0.02,2, 11, 100.00
2023-01-03,ICICI10GS, EQ,206.99,207.0,207.0,207.0, 207.00,207.0,207.0,105,0.22,2, 105, 100.00
2023-01-04,ICICI10GS, EQ,207.0,206.95,206.95,206.95, 206.95,206.95,206.95,4,0.01,3, 4, 100.00
2023-01-05,ICICI10GS, EQ,206.95,207.25,207.25,206.85,207.14,207.14,207.14,4842,10.03,5, 4841, 99.98
2023-01-06,ICICI10GS, EQ,207.14,206.9,206.9,206.9,206.9,206.9,206.9,21,0.04,2, 21, 100.00
2023-01-09,ICICI10GS, EQ,206.9,206.8,206.8,206.42,206.42,206.42,206.52,4,0.01,4, 3, 75.00
2023-01-10,ICICI10GS, EQ,206.42,207.0,207.15,207.0,207.15,207.15,207.08,2,0.0,2, 0, 0.00
2023-01-11,ICICI10GS, EQ,207.15,207.15,207.15,207.0, 207.00,207.0,207.0,56,0.12,2, 55, 98.21
2023-01-12,ICICI10GS, EQ,207.0,207.3,207.3,207.3, 207.30,207.3,207.3,1,0.0,1, 1, 100.00
2023-01-20,ICICI10GS, EQ,207.3,207.85,207.85,207.85,207.85,207.85,207.85,2,0.0,1, 2, 100.00
2023-01-23,ICICI10GS, EQ,207.85,207.4,207.4,207.0,207.4,207.4,207.3,4,0.01,3, 2, 50.00
2023-01-24,ICICI10GS, EQ,207.4,207.4,207.4,207.1,207.1,207.1,207.15,6,0.01,2, 5, 83.33
2023-01-25,ICICI10GS, EQ,207.1,207.6,207.6,207.15, 207.60,207.6,207.44,23,0.05,8, 7, 30.43
2023-01-27,ICICI10GS, EQ,207.6,207.5,207.5,207.5, 207.50,207.5,207.5,4,0.01,2, 4, 100.00
2023-01-31,ICICI10GS, EQ,207.5,207.0,207.35,206.9,206.9,206.9,207.07,26,0.05,14, 15, 57.69
2023-02-01,ICICI10GS, EQ,206.9,207.75,207.99,207.25, 207.25,207.25,207.5,808,1.68,7, 4, 0.50
2023-02-02,ICICI10GS, EQ,207.25,208.7,209.0,208.4, 208.40,208.4,208.91,29,0.06,11, 21, 72.41
2023-02-03,ICICI10GS, EQ,208.4,208.21,208.8,208.21, 208.25,208.25,208.48,50,0.1,17, 5, 10.00
2023-02-06,ICICI10GS, EQ,208.25,208.25,208.74,208.25, 208.50,208.66,208.66,326,0.68,14, 325, 99.69
2023-02-07,ICICI10GS, EQ,208.66,208.5,208.6,208.25, 208.60,208.6,208.37,676,1.41,28, 676, 100.00
2023-02-08,ICICI10GS, EQ,208.6,208.25,208.75,208.25, 208.60,208.6,208.6,1001,2.09,3, 1000, 99.90
2023-02-09,ICICI10GS, EQ,208.6,208.21,208.3,208.02, 208.02,208.02,208.22,14,0.03,7, 12, 85.71
2023-02-10,ICICI10GS, EQ,208.02,208.01,208.25,208.01, 208.01,208.01,208.08,14,0.03,6, 12, 85.71
2023-02-14,ICICI10GS, EQ,208.01,207.81,208.0,207.8,208.0,208.0,207.84,18,0.04,7, 15, 83.33
