DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ICICI500, EQ,26.0,25.99,26.28,25.81, 25.88,25.98,26.02,54007,14.05,690, 43584, 80.70
2023-01-03,ICICI500, EQ,25.98,26.23,26.23,25.81, 25.93,25.96,26.05,297231,77.43,380, 285514, 96.06
2023-01-04,ICICI500, EQ,25.96,26.23,26.23,25.71, 25.80,25.89,25.81,272580,70.34,426, 264236, 96.94
2023-01-05,ICICI500, EQ,25.89,25.75,26.2,25.61,25.97,25.74,25.87,53892,13.94,527, 37028, 68.71
2023-01-06,ICICI500, EQ,25.74,25.73,26.5,25.5,25.72,25.82,26.0,97232,25.28,529, 59973, 61.68
2023-01-09,ICICI500, EQ,25.82,25.83,26.23,25.76,25.85,25.87,25.91,19190,4.97,621, 13132, 68.43
2023-01-10,ICICI500, EQ,25.87,26.17,26.17,25.63,25.9,25.89,25.79,36811,9.49,430, 32227, 87.55
2023-01-11,ICICI500, EQ,25.89,25.89,25.89,25.41, 25.75,25.74,25.73,19727,5.08,317, 15424, 78.19
2023-01-12,ICICI500, EQ,25.74,26.07,26.12,25.47, 25.58,25.58,25.55,1217161,311.02,399, 1129777, 92.82
2023-01-13,ICICI500, EQ,25.58,25.87,25.87,25.41,25.69,25.66,25.61,24473,6.27,309, 15204, 62.13
2023-01-16,ICICI500, EQ,25.66,25.97,25.97,25.52, 25.83,25.66,25.7,42414,10.9,559, 32864, 77.48
2023-01-17,ICICI500, EQ,25.66,25.71,25.89,25.66,25.79,25.75,25.7,33183,8.53,265, 21631, 65.19
2023-01-18,ICICI500, EQ,25.75,25.98,25.98,25.71,25.91,25.86,25.88,76977,19.92,386, 70037, 90.98
2023-01-19,ICICI500, EQ,25.86,25.94,25.99,25.75, 25.83,25.83,25.81,487247,125.76,288, 482322, 98.99
2023-01-20,ICICI500, EQ,25.83,25.83,26.13,25.72,25.74,25.74,25.79,37924,9.78,205, 18988, 50.07
2023-01-23,ICICI500, EQ,25.74,26.1,26.14,25.67,25.77,25.78,25.87,45688,11.82,470, 34725, 76.00
