DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ICICIBANKN, EQ,43.23,43.34,43.54,43.1, 43.35,43.24,43.31,99382,43.04,353, 54297, 54.63
2023-01-03,ICICIBANKN, EQ,43.24,43.97,43.97,43.25, 43.57,43.49,43.47,72847,31.67,701, 63774, 87.55
2023-01-04,ICICIBANKN, EQ,43.49,43.99,43.99,43.05, 43.16,43.14,43.42,502947,218.38,416, 490830, 97.59
2023-01-05,ICICIBANKN, EQ,43.14,43.41,43.41,42.49,42.85,42.78,42.87,5329051,2284.83,1557, 4644561, 87.16
2023-01-06,ICICIBANKN, EQ,42.78,42.81,42.81,42.05,42.41,42.34,42.42,5320837,2256.98,1423, 5171166, 97.19
2023-01-09,ICICIBANKN, EQ,42.34,42.58,42.89,42.3,42.8,42.75,42.79,5164473,2209.82,3150, 5148969, 99.70
2023-01-10,ICICIBANKN, EQ,42.75,42.76,42.76,42.01,42.23,42.2,42.22,36288,15.32,452, 22453, 61.87
2023-01-11,ICICIBANKN, EQ,42.2,43.45,43.45,41.9, 42.43,42.39,42.12,138165,58.19,324, 131263, 95.00
2023-01-12,ICICIBANKN, EQ,42.39,42.31,42.46,41.9, 42.25,42.25,42.17,26026,10.98,370, 21798, 83.75
2023-01-13,ICICIBANKN, EQ,42.25,42.12,42.59,42.06,42.52,42.48,42.41,57542,24.4,270, 49877, 86.68
2023-01-16,ICICIBANKN, EQ,42.48,43.76,43.76,42.22, 42.38,42.32,42.55,42176,17.95,382, 20744, 49.18
2023-01-17,ICICIBANKN, EQ,42.32,42.42,42.54,42.02,42.46,42.42,42.22,181651,76.7,271, 175960, 96.87
2023-01-18,ICICIBANKN, EQ,42.42,42.34,42.71,42.3,42.56,42.61,42.59,27719,11.81,240, 20242, 73.03
2023-01-19,ICICIBANKN, EQ,42.61,42.51,42.66,42.38, 42.47,42.46,42.48,18183,7.72,215, 15268, 83.97
2023-01-20,ICICIBANKN, EQ,42.46,43.75,43.75,42.48,42.65,42.67,42.68,14294,6.1,216, 6510, 45.54
