DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ICICICOMMO, EQ,59.61,59.79,60.33,59.71, 60.33,60.32,59.97,6124,3.67,30, 217, 3.54
2023-01-03,ICICICOMMO, EQ,60.32,60.28,60.28,59.4, 59.40,59.76,59.88,3237,1.94,43, 2078, 64.20
2023-01-04,ICICICOMMO, EQ,59.76,60.1,60.98,59.25, 59.25,59.25,59.3,7775,4.61,25, 7685, 98.84
2023-01-05,ICICICOMMO, EQ,59.25,59.5,59.79,59.21,59.5,59.5,59.53,1040,0.62,23, 606, 58.27
2023-01-06,ICICICOMMO, EQ,59.5,59.8,60.8,58.6,59.6,59.56,59.95,354,0.21,47, 282, 79.66
2023-01-10,ICICICOMMO, EQ,59.56,59.8,60.4,59.01,59.45,59.43,59.44,5229,3.11,27, 5005, 95.72
2023-01-11,ICICICOMMO, EQ,59.43,59.41,59.79,59.41, 59.56,59.56,59.57,86,0.05,6, 43, 50.00
2023-01-12,ICICICOMMO, EQ,59.56,59.46,59.46,59.45, 59.45,59.45,59.46,202,0.12,2, 202, 100.00
2023-01-13,ICICICOMMO, EQ,59.45,59.63,59.75,59.56,59.57,59.57,59.72,1637,0.98,9, 1516, 92.61
2023-01-16,ICICICOMMO, EQ,59.57,59.8,59.94,59.57, 59.57,59.57,59.83,857,0.51,15, 856, 99.88
2023-01-17,ICICICOMMO, EQ,59.57,59.8,60.35,59.8,60.35,60.35,59.96,482,0.29,19, 461, 95.64
2023-01-18,ICICICOMMO, EQ,60.35,60.35,60.67,60.3,60.67,60.5,60.48,6808,4.12,15, 5999, 88.12
2023-01-19,ICICICOMMO, EQ,60.5,60.68,60.68,60.08, 60.50,60.5,60.46,4668,2.82,26, 3632, 77.81
2023-01-20,ICICICOMMO, EQ,60.5,60.5,60.5,60.02,60.08,60.09,60.12,896,0.54,11, 450, 50.22
2023-01-23,ICICICOMMO, EQ,60.09,60.0,60.1,59.2,59.56,59.53,59.75,328,0.2,28, 296, 90.24
2023-01-24,ICICICOMMO, EQ,59.53,60.98,60.98,58.8,58.8,58.94,59.33,1038,0.62,34, 603, 58.09
2023-01-25,ICICICOMMO, EQ,58.94,59.01,59.01,58.06, 58.10,58.22,58.4,1228,0.72,35, 703, 57.25
2023-01-27,ICICICOMMO, EQ,58.22,58.01,58.01,56.09, 57.02,56.98,56.84,23455,13.33,81, 15782, 67.29
2023-01-30,ICICICOMMO, EQ,56.98,57.1,57.97,56.0, 56.15,56.14,56.62,2955,1.67,63, 1404, 47.51
2023-01-31,ICICICOMMO, EQ,56.14,56.3,57.2,56.3,57.2,57.19,57.19,927,0.53,19, 915, 98.71
2023-02-01,ICICICOMMO, EQ,57.19,57.25,57.6,55.7, 56.53,56.5,56.73,37798,21.44,54, 13135, 34.75
2023-02-02,ICICICOMMO, EQ,56.5,56.4,56.4,56.0, 56.19,56.19,56.19,10860,6.1,22, 10296, 94.81
2023-02-03,ICICICOMMO, EQ,56.19,56.2,56.79,55.21, 56.05,55.98,55.83,16088,8.98,71, 10165, 63.18
