DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ICICIINFRA, EQ,53.96,53.86,54.19,53.86, 54.04,54.03,54.02,810,0.44,31, 365, 45.06
2023-01-03,ICICIINFRA, EQ,54.03,54.0,54.09,53.61, 54.05,54.05,54.08,5820,3.15,32, 5695, 97.85
2023-01-04,ICICIINFRA, EQ,54.05,54.19,54.19,53.21, 53.64,53.36,53.53,3937,2.11,78, 2457, 62.41
2023-01-05,ICICIINFRA, EQ,53.36,53.0,53.77,53.0,53.77,53.74,53.5,1792,0.96,44, 601, 33.54
2023-01-06,ICICIINFRA, EQ,53.74,54.78,54.78,53.4,53.64,53.64,53.69,346,0.19,36, 322, 93.06
2023-01-09,ICICIINFRA, EQ,53.64,53.8,54.29,53.8,54.29,54.29,54.15,1114,0.6,36, 558, 50.09
2023-01-10,ICICIINFRA, EQ,54.29,54.01,55.4,53.35,53.77,53.67,53.76,1919,1.03,62, 1344, 70.04
2023-01-11,ICICIINFRA, EQ,53.67,53.06,53.6,53.01, 53.39,53.38,53.24,2635,1.4,53, 777, 29.49
2023-01-12,ICICIINFRA, EQ,53.38,53.0,53.44,53.0, 53.30,53.24,53.23,1414,0.75,27, 1407, 99.50
2023-01-13,ICICIINFRA, EQ,53.24,53.0,53.34,52.8,53.34,53.34,53.14,585,0.31,49, 551, 94.19
2023-01-16,ICICIINFRA, EQ,53.34,54.41,54.41,53.05, 53.14,53.15,53.17,678,0.36,43, 666, 98.23
2023-01-17,ICICIINFRA, EQ,53.15,53.15,53.8,52.7,53.79,53.7,53.58,2188,1.17,50, 1741, 79.57
2023-01-18,ICICIINFRA, EQ,53.7,53.7,54.1,53.41,54.1,54.09,53.8,4391,2.36,39, 2283, 51.99
2023-01-19,ICICIINFRA, EQ,54.09,54.01,54.01,53.66, 53.97,53.74,53.78,1910,1.03,47, 856, 44.82
2023-01-20,ICICIINFRA, EQ,53.74,53.97,53.97,53.31,53.51,53.5,53.63,474,0.25,28, 305, 64.35
2023-01-23,ICICIINFRA, EQ,53.5,53.8,53.8,53.24,53.49,53.46,53.52,165,0.09,20, 145, 87.88
2023-01-24,ICICIINFRA, EQ,53.46,53.5,53.5,52.9,53.2,53.14,53.17,285,0.15,49, 225, 78.95
2023-01-25,ICICIINFRA, EQ,53.14,53.14,53.14,52.1, 52.10,52.16,52.24,20113,10.51,116, 9358, 46.53
2023-01-27,ICICIINFRA, EQ,52.16,52.2,53.01,50.61, 51.30,51.24,50.73,4012693,2035.71,1767, 4006208, 99.84
2023-01-30,ICICIINFRA, EQ,51.24,51.39,51.39,50.6, 51.15,51.14,51.15,459074,234.8,140, 450604, 98.15
2023-01-31,ICICIINFRA, EQ,51.14,51.29,51.64,51.16,51.4,51.46,51.47,7789,4.01,47, 3139, 40.30
2023-02-01,ICICIINFRA, EQ,51.46,51.5,52.19,50.9, 51.05,51.05,51.69,34818,18.0,126, 16857, 48.41
