DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ICICITECH, EQ,29.75,29.74,30.12,29.63, 29.87,29.88,29.79,282035,84.02,681, 267038, 94.68
2023-01-03,ICICITECH, EQ,29.88,29.88,30.29,29.74, 30.24,30.12,29.99,260673,78.16,635, 167587, 64.29
2023-01-04,ICICITECH, EQ,30.12,30.25,30.45,29.77, 29.95,29.85,29.88,84000,25.1,498, 56438, 67.19
2023-01-05,ICICITECH, EQ,29.85,30.19,30.19,29.52,29.58,29.61,29.76,194270,57.81,640, 149843, 77.13
2023-01-06,ICICITECH, EQ,29.61,29.89,29.89,29.05,29.13,29.1,29.25,314524,91.99,1342, 196295, 62.41
2023-01-09,ICICITECH, EQ,29.1,29.39,29.84,29.2,29.82,29.81,29.58,362804,107.33,7855, 181426, 50.01
2023-01-10,ICICITECH, EQ,29.81,29.7,29.98,29.36,29.69,29.67,29.51,348058,102.7,631, 204865, 58.86
2023-01-11,ICICITECH, EQ,29.67,29.93,30.05,29.56, 29.76,29.73,29.68,1615400,479.46,565, 1429530, 88.49
2023-01-12,ICICITECH, EQ,29.73,29.98,29.98,29.66, 29.82,29.83,29.78,111088,33.08,409, 78040, 70.25
2023-01-13,ICICITECH, EQ,29.83,29.83,30.12,29.45,30.04,30.02,29.8,261737,77.99,1028, 106216, 40.58
2023-01-16,ICICITECH, EQ,30.02,30.02,30.5,30.02, 30.40,30.3,30.29,1324342,401.1,1188, 1142963, 86.30
2023-01-17,ICICITECH, EQ,30.3,30.3,30.67,30.3,30.6,30.56,30.51,381071,116.25,926, 328337, 86.16
2023-01-18,ICICITECH, EQ,30.56,30.55,30.88,30.55,30.75,30.73,30.75,204659,62.93,1138, 152653, 74.59
2023-01-19,ICICITECH, EQ,30.73,30.88,30.88,30.36, 30.79,30.72,30.71,412308,126.61,847, 318995, 77.37
2023-01-20,ICICITECH, EQ,30.72,30.84,30.9,30.52,30.7,30.62,30.72,361110,110.92,859, 252615, 69.96
2023-01-23,ICICITECH, EQ,30.62,30.84,31.3,30.71,31.29,31.22,30.96,913121,282.74,1813, 773419, 84.70
2023-01-24,ICICITECH, EQ,31.22,31.22,31.64,31.22,31.43,31.42,31.48,595256,187.4,2407, 479051, 80.48
2023-01-25,ICICITECH, EQ,31.42,31.65,31.65,31.07, 31.25,31.19,31.27,438990,137.28,2175, 288275, 65.67
2023-01-27,ICICITECH, EQ,31.19,31.47,31.47,30.7, 30.98,30.83,30.98,457399,141.7,3215, 307549, 67.24
2023-01-30,ICICITECH, EQ,30.83,31.38,31.5,30.71, 31.17,31.2,31.18,652145,203.36,713, 589795, 90.44
2023-01-31,ICICITECH, EQ,31.2,31.77,31.77,30.77,30.96,30.91,30.87,498001,153.73,645, 372001, 74.70
2023-02-01,ICICITECH, EQ,30.91,31.43,31.43,30.71, 31.00,31.14,31.09,136257,42.36,708, 69892, 51.29
2023-02-02,ICICITECH, EQ,31.14,31.25,31.8,31.24, 31.62,31.73,31.61,834005,263.63,857, 717894, 86.08
2023-02-03,ICICITECH, EQ,31.73,32.34,32.34,31.61, 31.80,31.8,31.78,308994,98.19,757, 245776, 79.54
2023-02-06,ICICITECH, EQ,31.8,31.98,31.98,31.4, 31.58,31.55,31.58,199861,63.12,888, 120272, 60.18
2023-02-07,ICICITECH, EQ,31.55,31.55,31.87,31.4, 31.40,31.52,31.57,126085,39.81,593, 81130, 64.35
2023-02-08,ICICITECH, EQ,31.52,31.51,32.13,31.4, 31.92,31.94,31.85,761414,242.53,1971, 513084, 67.39
2023-02-09,ICICITECH, EQ,31.94,32.6,32.6,31.8, 32.17,32.16,32.08,302440,97.04,633, 198819, 65.74
2023-02-10,ICICITECH, EQ,32.16,32.19,32.19,31.81, 32.10,32.03,32.01,89026,28.5,475, 46092, 51.77
2023-02-13,ICICITECH, EQ,32.03,32.19,32.2,31.5,31.55,31.54,31.58,156405,49.39,766, 105750, 67.61
2023-02-14,ICICITECH, EQ,31.54,31.97,31.97,31.63,31.71,31.75,31.85,197034,62.76,1920, 123417, 62.64
2023-02-15,ICICITECH, EQ,31.75,31.98,32.19,31.51, 32.18,32.11,31.89,156424,49.88,2137, 106150, 67.86
2023-02-16,ICICITECH, EQ,32.11,32.09,32.85,31.93, 32.64,32.71,32.67,597226,195.14,991, 394753, 66.10
2023-02-17,ICICITECH, EQ,32.71,32.72,32.72,32.2, 32.33,32.25,32.37,208188,67.39,682, 123957, 59.54
2023-02-20,ICICITECH, EQ,32.25,32.67,32.7,32.21, 32.49,32.43,32.53,236832,77.04,695, 93376, 39.43
2023-02-21,ICICITECH, EQ,32.43,32.84,32.84,32.05, 32.30,32.16,32.3,216602,69.95,583, 168978, 78.01
2023-02-22,ICICITECH, EQ,32.16,32.01,32.01,31.6, 31.86,31.82,31.87,270231,86.11,603, 144603, 53.51
2023-02-23,ICICITECH, EQ,31.82,32.17,32.17,31.75,31.88,31.84,31.97,292597,93.53,545, 122615, 41.91
2023-02-24,ICICITECH, EQ,31.84,32.11,32.16,31.68, 31.84,31.78,31.84,64208,20.44,464, 39665, 61.78
2023-02-27,ICICITECH, EQ,31.78,31.69,31.69,30.93, 31.24,31.15,31.16,251974,78.52,1009, 142700, 56.63
2023-02-28,ICICITECH, EQ,31.15,31.64,31.64,30.85, 31.04,30.9,31.2,201053,62.72,756, 93459, 46.48
2023-03-01,ICICITECH, EQ,30.9,31.29,31.35,30.91, 31.35,31.28,31.16,188728,58.81,577, 94703, 50.18
2023-03-02,ICICITECH, EQ,31.28,31.78,31.78,30.9, 31.01,30.96,30.99,309789,96.02,1000, 177199, 57.20
2023-03-03,ICICITECH, EQ,30.96,31.29,31.29,30.99, 31.09,31.05,31.1,97109,30.2,436, 63344, 65.23
2023-03-06,ICICITECH, EQ,31.05,31.64,31.65,31.29, 31.29,31.3,31.41,185737,58.34,645, 86308, 46.47
2023-03-08,ICICITECH, EQ,31.3,31.3,31.3,30.83, 31.23,31.2,31.21,1774269,553.8,705, 1573569, 88.69
2023-03-09,ICICITECH, EQ,31.2,31.43,31.44,30.94, 31.05,30.97,31.12,242750,75.54,1434, 175490, 72.29
2023-03-10,ICICITECH, EQ,30.97,30.97,30.97,30.47, 30.65,30.67,30.52,2272362,693.51,1619, 2093404, 92.12
2023-03-13,ICICITECH, EQ,30.67,30.99,31.2,30.31, 30.55,30.42,30.72,198563,61.0,2112, 113579, 57.20
2023-03-14,ICICITECH, EQ,30.42,30.59,30.6,29.85, 30.05,30.0,29.99,1711177,513.19,2889, 1621564, 94.76
2023-03-15,ICICITECH, EQ,30.0,30.49,30.49,29.8, 29.85,29.83,29.9,671500,200.77,2210, 551366, 82.11
2023-03-16,ICICITECH, EQ,29.83,29.89,29.89,29.5, 29.82,29.67,29.66,1620692,480.75,1672, 1530532, 94.44
2023-03-17,ICICITECH, EQ,29.67,29.76,30.23,29.7, 29.90,29.87,29.98,996770,298.85,3279, 814243, 81.69
2023-03-20,ICICITECH, EQ,29.87,30.07,30.07,29.39,29.61,29.5,29.5,2277016,671.79,2455, 1949333, 85.61
2023-03-21,ICICITECH, EQ,29.5,29.96,29.96,29.2, 29.39,29.22,29.3,749851,219.67,2424, 584573, 77.96
2023-03-22,ICICITECH, EQ,29.22,29.69,29.77,29.22, 29.22,29.29,29.46,859709,253.24,1153, 732819, 85.24
