DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,IDBI, EQ,54.35,54.5,55.65,54.4, 55.10,55.15,55.06,10627384,5851.19,17883, 3583915, 33.72
2023-01-03,IDBI, EQ,55.15,55.25,56.65,55.25, 55.85,55.9,55.95,10030980,5612.17,18331, 2865715, 28.57
2023-01-04,IDBI, EQ,55.9,56.2,56.8,54.3, 54.40,54.65,55.36,12411226,6870.72,23336, 3230436, 26.03
2023-01-05,IDBI, EQ,54.65,54.8,55.4,53.65,54.85,54.75,54.65,11120438,6077.85,26768, 3186570, 28.66
2023-01-06,IDBI, EQ,54.75,56.9,59.7,56.1,58.9,59.0,58.27,100716858,58691.56,160131, 15771449, 15.66
2023-01-09,IDBI, EQ,59.0,61.5,62.0,58.1,58.4,58.8,59.97,60687131,36393.06,104512, 13223880, 21.79
2023-01-10,IDBI, EQ,58.8,58.35,58.35,55.65,55.8,55.9,56.41,31319906,17667.11,55656, 7305902, 23.33
2023-01-11,IDBI, EQ,55.9,56.0,56.1,54.65, 55.40,55.5,55.41,19725130,10930.35,36809, 3800039, 19.26
2023-01-12,IDBI, EQ,55.5,55.2,55.4,53.9, 54.30,54.25,54.57,13107869,7152.97,26329, 3310534, 25.26
2023-01-13,IDBI, EQ,54.25,54.5,55.2,54.0,54.6,54.5,54.56,10873914,5933.16,24173, 2193195, 20.17
2023-01-16,IDBI, EQ,54.5,54.8,56.15,54.75, 55.55,55.5,55.59,15404255,8563.54,29880, 2941597, 19.10
2023-01-17,IDBI, EQ,55.5,55.8,55.8,54.25,54.85,54.9,55.02,8081627,4446.41,19766, 2135765, 26.43
2023-01-18,IDBI, EQ,54.9,55.15,55.45,54.7,54.95,54.9,55.05,6048261,3329.27,16513, 1592152, 26.32
2023-01-19,IDBI, EQ,54.9,54.65,54.9,54.3, 54.55,54.6,54.55,4855076,2648.65,14268, 1314264, 27.07
2023-01-20,IDBI, EQ,54.6,54.65,55.15,54.5,54.6,54.65,54.78,4252086,2329.46,14591, 1285260, 30.23
2023-01-23,IDBI, EQ,54.65,54.85,55.65,54.65,54.85,54.9,55.0,7827908,4305.46,17838, 2078449, 26.55
2023-01-24,IDBI, EQ,54.9,55.25,55.55,53.0,53.55,53.55,54.07,10599130,5731.08,23121, 3374798, 31.84
2023-01-25,IDBI, EQ,53.55,53.5,53.7,52.2, 52.70,52.65,52.78,5929862,3129.66,17305, 1867369, 31.49
2023-01-27,IDBI, EQ,52.65,52.7,52.9,49.5, 51.50,51.05,50.93,10411654,5302.18,27779, 3572251, 34.31
2023-01-30,IDBI, EQ,51.05,50.4,52.3,49.75, 50.25,50.45,50.79,9034823,4588.78,26615, 2204998, 24.41
2023-01-31,IDBI, EQ,50.45,50.7,52.65,49.85,52.55,52.2,51.35,7744046,3976.85,20164, 2271451, 29.33
2023-02-01,IDBI, EQ,52.2,53.0,53.75,48.75, 50.40,50.45,51.98,16080995,8358.56,35789, 3933750, 24.46
2023-02-02,IDBI, EQ,50.45,50.0,51.5,49.55, 50.20,50.2,50.54,7032992,3554.16,20270, 1979960, 28.15
2023-02-03,IDBI, EQ,50.2,50.45,50.8,48.5, 49.90,49.9,49.47,8199365,4056.01,21054, 2139502, 26.09
2023-02-06,IDBI, EQ,49.9,50.15,51.3,49.9, 51.05,50.95,50.65,6758593,3423.49,19279, 1746558, 25.84
2023-02-07,IDBI, EQ,50.95,51.0,51.2,50.35, 50.60,50.6,50.64,5535991,2803.69,15318, 1715041, 30.98
2023-02-08,IDBI, EQ,50.6,50.65,51.0,50.4, 50.60,50.55,50.68,4020672,2037.63,13452, 1266895, 31.51
2023-02-09,IDBI, EQ,50.55,50.35,50.5,49.75, 50.00,49.95,50.04,4437947,2220.6,14650, 1154093, 26.01
2023-02-10,IDBI, EQ,49.95,49.7,50.85,49.25, 49.45,49.5,50.05,6952245,3479.53,17757, 2364510, 34.01
2023-02-13,IDBI, EQ,49.5,49.7,49.8,48.35,48.85,48.8,48.93,5714175,2795.92,16410, 1690907, 29.59
2023-02-14,IDBI, EQ,48.8,49.0,49.0,48.2,48.3,48.3,48.4,4679528,2264.74,13442, 1793712, 38.33
2023-02-15,IDBI, EQ,48.3,48.2,48.95,48.15, 48.75,48.8,48.56,3465502,1682.86,11192, 942671, 27.20
2023-02-16,IDBI, EQ,48.8,49.0,49.4,48.6, 48.85,48.9,48.94,3642411,1782.45,14924, 1214005, 33.33
2023-02-17,IDBI, EQ,48.9,48.6,48.85,48.25, 48.35,48.5,48.53,2321347,1126.67,10105, 845074, 36.40
2023-02-20,IDBI, EQ,48.5,48.95,50.15,48.9, 50.00,49.9,49.66,9059906,4498.8,23485, 2394497, 26.43
2023-02-21,IDBI, EQ,49.9,50.0,50.9,49.3, 50.15,50.25,50.26,6753081,3393.89,18176, 2224848, 32.95
2023-02-22,IDBI, EQ,50.25,49.9,50.0,47.9, 48.10,48.25,48.95,5783551,2831.04,17267, 2440434, 42.20
2023-02-23,IDBI, EQ,48.25,48.1,49.25,47.25,49.1,49.0,48.36,5499761,2659.69,19756, 1200367, 21.83
2023-02-24,IDBI, EQ,49.0,49.35,49.7,48.6, 48.65,48.75,49.02,3356256,1645.36,13493, 971586, 28.95
2023-02-27,IDBI, EQ,48.75,48.55,48.75,47.6, 48.00,48.15,48.15,7226460,3479.76,15515, 4214620, 58.32
2023-02-28,IDBI, EQ,48.15,48.3,48.7,47.9, 48.40,48.3,48.33,9285413,4487.94,14580, 5910229, 63.65
2023-03-01,IDBI, EQ,48.3,48.35,49.4,48.25, 49.05,49.1,49.03,4251591,2084.58,14583, 1662423, 39.10
2023-03-02,IDBI, EQ,49.1,49.05,49.5,48.6, 48.80,48.75,49.06,5072179,2488.59,11586, 1833883, 36.16
2023-03-03,IDBI, EQ,48.75,48.95,50.55,48.95, 49.65,49.55,49.79,8463560,4214.16,24319, 3029190, 35.79
2023-03-06,IDBI, EQ,49.55,49.7,50.5,49.05, 49.25,49.2,49.68,7144566,3549.53,19191, 2238137, 31.33
2023-03-08,IDBI, EQ,49.2,49.0,49.3,48.65, 48.95,48.9,48.93,3870678,1893.96,14284, 1580056, 40.82
2023-03-09,IDBI, EQ,48.9,48.95,49.4,48.15, 48.45,48.4,48.84,3821605,1866.59,13452, 1473464, 38.56
2023-03-10,IDBI, EQ,48.4,48.0,48.2,47.45, 47.65,47.7,47.8,4682132,2238.11,16110, 1879857, 40.15
2023-03-13,IDBI, EQ,47.7,47.15,47.8,46.3, 46.50,46.5,47.11,5200712,2450.3,18056, 2421945, 46.57
2023-03-14,IDBI, EQ,46.5,46.4,46.5,45.1, 45.45,45.35,45.74,6343674,2901.83,18850, 2816529, 44.40
2023-03-15,IDBI, EQ,45.35,45.7,46.25,45.1, 45.15,45.2,45.7,3329575,1521.6,12087, 1198374, 35.99
2023-03-16,IDBI, EQ,45.2,45.35,45.35,44.05, 44.55,44.4,44.48,5090037,2264.19,15787, 1776402, 34.90
2023-03-17,IDBI, EQ,44.4,44.5,47.05,44.5, 46.85,46.7,46.27,20748757,9600.73,24900, 13592822, 65.51
2023-03-20,IDBI, EQ,46.7,46.05,46.7,44.5,45.3,45.25,45.53,10476032,4769.65,29594, 4001204, 38.19
2023-03-21,IDBI, EQ,45.25,45.9,47.8,45.65, 46.80,46.8,46.97,14120114,6632.68,24768, 4093677, 28.99
2023-03-22,IDBI, EQ,46.8,47.1,47.9,46.65, 47.55,47.6,47.13,6137340,2892.27,11701, 2087372, 34.01
2023-03-23,IDBI, EQ,47.6,47.4,47.7,47.0, 47.20,47.15,47.34,6880045,3256.74,10115, 3573352, 51.94
2023-03-24,IDBI, EQ,47.15,47.15,47.35,45.8, 46.00,46.3,46.77,6068556,2838.08,8677, 3698389, 60.94
2023-03-27,IDBI, EQ,46.3,46.3,46.4,44.4, 44.55,44.75,45.3,6925592,3137.47,10477, 3871356, 55.90
2023-03-28,IDBI, EQ,44.75,44.85,45.25,42.9, 43.25,43.3,43.93,7368866,3237.4,11507, 4041840, 54.85
2023-03-29,IDBI, EQ,43.3,43.25,45.3,43.1, 45.10,45.0,44.28,9050344,4007.35,15148, 4671422, 51.62
2023-03-31,IDBI, EQ,45.0,45.5,46.0,44.8, 45.15,45.0,45.49,4375447,1990.38,8278, 1953561, 44.65
2023-04-03,IDBI, EQ,45.0,45.9,46.65,45.4, 46.60,46.45,46.07,4589203,2114.19,9710, 1495659, 32.59
2023-04-05,IDBI, EQ,46.45,46.45,46.65,45.9, 46.10,46.15,46.21,2088483,965.12,6605, 821243, 39.32
2023-04-06,IDBI, EQ,46.15,46.2,46.8,45.95, 46.55,46.55,46.51,2720385,1265.34,8256, 904302, 33.24
2023-04-10,IDBI, EQ,46.55,46.55,47.6,46.0, 46.70,46.95,46.58,2625859,1223.18,8522, 1195847, 45.54
2023-04-11,IDBI, EQ,46.95,47.2,47.75,46.9, 47.15,47.1,47.28,2884119,1363.69,8623, 1122492, 38.92
2023-04-12,IDBI, EQ,47.1,47.2,47.55,47.05, 47.15,47.1,47.27,2377182,1123.77,10188, 1028685, 43.27
2023-04-13,IDBI, EQ,47.1,46.9,53.0,46.85, 52.80,51.7,50.26,29257775,14705.59,45020, 7794118, 26.64
2023-04-17,IDBI, EQ,51.7,52.4,52.4,51.15, 51.80,51.7,51.84,14431294,7481.5,28227, 3964764, 27.47
2023-04-18,IDBI, EQ,51.7,51.8,53.7,51.4, 53.05,53.2,52.85,14607375,7719.94,26745, 3897263, 26.68
2023-04-19,IDBI, EQ,53.2,53.6,53.7,52.0, 52.40,52.4,52.75,10554875,5568.17,19376, 3170279, 30.04
2023-04-20,IDBI, EQ,52.4,52.75,53.25,52.2, 52.50,52.6,52.7,5159818,2719.41,9970, 1531956, 29.69
2023-04-21,IDBI, EQ,52.6,52.5,52.7,50.6, 51.00,51.25,51.79,4743021,2456.42,8131, 1949413, 41.10
2023-04-24,IDBI, EQ,51.25,51.45,52.75,51.1, 52.35,52.4,51.89,4892368,2538.64,14080, 1724879, 35.26
2023-04-25,IDBI, EQ,52.4,52.5,53.5,52.5,53.2,53.05,53.11,7211250,3830.13,15444, 2985736, 41.40
2023-04-26,IDBI, EQ,53.05,53.0,54.55,52.65, 53.15,53.1,53.34,7554198,4029.19,16467, 2027375, 26.84
2023-04-27,IDBI, EQ,53.1,53.25,54.6,53.05, 54.30,54.35,54.18,10194226,5523.72,20163, 4156291, 40.77
2023-04-28,IDBI, EQ,54.35,54.55,55.6,54.1, 54.55,54.65,54.83,9847582,5399.23,17159, 3769907, 38.28
2023-05-02,IDBI, EQ,54.65,55.75,56.4,54.55, 54.80,54.85,55.52,11248042,6244.77,22588, 4815549, 42.81
2023-05-03,IDBI, EQ,54.85,53.85,54.7,53.15,53.7,53.8,53.99,7290288,3935.7,17179, 2489549, 34.15
2023-05-04,IDBI, EQ,53.8,53.75,54.25,53.6, 53.90,53.85,53.88,4590061,2473.04,10628, 1790714, 39.01
2023-05-05,IDBI, EQ,53.85,53.6,54.3,52.75, 53.00,53.05,53.42,5407613,2888.98,13067, 1929782, 35.69
2023-05-08,IDBI, EQ,53.05,53.05,53.65,52.55, 53.40,53.35,53.09,4973191,2640.5,11491, 1761267, 35.42
2023-05-09,IDBI, EQ,53.35,53.45,55.65,53.45,54.6,54.6,54.71,15070600,8245.56,27768, 5675905, 37.66
2023-05-10,IDBI, EQ,54.6,54.35,54.5,53.3,53.7,53.85,53.78,3958999,2129.17,9865, 1307180, 33.02
2023-05-11,IDBI, EQ,53.85,53.8,54.45,53.05, 53.20,53.25,53.76,3753478,2017.75,10282, 1303773, 34.74
2023-05-12,IDBI, EQ,53.25,53.1,53.5,52.85, 53.15,53.25,53.16,2613588,1389.42,6458, 997387, 38.16
2023-05-15,IDBI, EQ,53.25,53.25,53.55,52.9, 53.05,53.1,53.19,2687532,1429.58,7083, 1098328, 40.87
2023-05-16,IDBI, EQ,53.1,53.3,54.7,53.15,53.3,53.3,53.92,5183388,2794.76,12176, 1682222, 32.45
2023-05-17,IDBI, EQ,53.3,53.4,56.95,53.2, 56.80,56.65,55.71,30941326,17236.68,47247, 8476507, 27.40
2023-05-18,IDBI, EQ,56.65,57.05,57.95,55.55, 55.85,56.0,56.97,19647901,11193.3,30884, 7090759, 36.09
2023-05-19,IDBI, EQ,56.0,56.2,56.2,54.4,54.9,54.95,55.1,9813865,5407.76,15528, 3959713, 40.35
2023-05-22,IDBI, EQ,54.95,54.95,55.25,54.4,55.1,55.15,55.02,4635277,2550.4,12513, 1858988, 40.11
2023-05-23,IDBI, EQ,55.15,55.4,55.4,54.6, 54.70,54.8,54.99,3643572,2003.72,10574, 1622135, 44.52
2023-05-24,IDBI, EQ,54.8,54.7,55.4,54.25, 54.75,54.7,54.86,4605280,2526.32,8724, 1381401, 30.00
2023-05-25,IDBI, EQ,54.7,54.7,56.2,54.5, 55.45,55.5,55.31,5888808,3257.05,11381, 1992244, 33.83
2023-05-26,IDBI, EQ,55.5,55.65,55.9,54.4,54.9,54.7,55.04,4676507,2574.01,9389, 2201469, 47.08
2023-05-29,IDBI, EQ,54.7,55.0,56.2,54.7, 55.00,55.1,55.25,7069032,3905.42,12507, 2226892, 31.50
2023-05-30,IDBI, EQ,55.1,55.25,55.45,54.75, 55.00,54.9,55.12,2917256,1608.12,7782, 1249567, 42.83
2023-05-31,IDBI, EQ,54.9,54.95,55.8,54.6, 55.10,55.05,55.08,4177539,2301.0,8507, 1415310, 33.88
2023-06-01,IDBI, EQ,55.05,55.0,56.15,54.95, 55.35,55.3,55.61,6556441,3646.32,10460, 2467557, 37.64
2023-06-02,IDBI, EQ,55.3,55.65,56.15,55.2, 55.45,55.4,55.67,5562945,3096.99,8930, 2214129, 39.80
2023-06-05,IDBI, EQ,55.4,55.9,57.0,55.6, 55.90,55.9,56.2,9520771,5350.62,13981, 4193347, 44.04
2023-06-06,IDBI, EQ,55.9,56.0,56.15,55.2,55.45,55.4,55.51,3978916,2208.51,8039, 1939557, 48.75
2023-06-07,IDBI, EQ,55.4,55.45,56.5,55.25, 55.45,55.5,55.92,6561880,3669.15,11351, 3075728, 46.87
2023-06-08,IDBI, EQ,55.5,55.7,56.0,54.3, 54.75,54.7,55.11,6289913,3466.46,10507, 2542920, 40.43
2023-06-09,IDBI, EQ,54.7,54.85,54.85,53.2, 53.30,53.35,53.85,6588198,3547.56,12553, 3905256, 59.28
2023-06-12,IDBI, EQ,53.35,53.65,54.4,53.1, 54.20,54.05,53.63,4116903,2207.73,8087, 1898490, 46.11
2023-06-13,IDBI, EQ,54.05,54.1,54.55,53.55, 54.20,54.2,54.17,3062272,1658.7,7069, 1267455, 41.39
2023-06-14,IDBI, EQ,54.2,54.4,54.45,53.9, 53.95,54.05,54.11,2409286,1303.56,6488, 1188134, 49.31
