DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,IDBIGOLD, EQ,5005.0,5069.85,5069.9,5046.1, 5055.00,5054.0,5059.69,142,7.18,45, 114, 80.28
2023-01-03,IDBIGOLD, EQ,5054.0,5124.0,5124.0,5016.0, 5074.25,5081.55,5084.3,568,28.88,68, 487, 85.74
2023-01-04,IDBIGOLD, EQ,5081.55,5147.95,5147.95,5055.05, 5118.60,5121.75,5118.08,135,6.91,62, 80, 59.26
2023-01-05,IDBIGOLD, EQ,5121.75,5184.0,5184.0,5079.1,5082.0,5093.8,5124.3,121,6.2,51, 89, 73.55
2023-01-06,IDBIGOLD, EQ,5093.8,5118.85,5136.6,5064.05,5085.0,5072.1,5082.22,262,13.32,59, 181, 69.08
2023-01-09,IDBIGOLD, EQ,5072.1,5102.05,5179.9,5102.05,5179.0,5164.25,5143.89,294,15.12,64, 203, 69.05
2023-01-10,IDBIGOLD, EQ,5164.25,5198.0,5268.0,5100.05,5101.0,5125.45,5160.25,458,23.63,106, 249, 54.37
2023-01-11,IDBIGOLD, EQ,5125.45,5125.6,5160.0,5125.5, 5156.90,5149.8,5144.4,65,3.34,40, 33, 50.77
2023-01-12,IDBIGOLD, EQ,5149.8,5149.8,5149.8,5100.35, 5130.00,5130.0,5128.91,116,5.95,22, 101, 87.07
2023-01-13,IDBIGOLD, EQ,5130.0,5140.45,5195.0,5137.0,5174.95,5170.75,5145.61,90,4.63,28, 79, 87.78
2023-01-16,IDBIGOLD, EQ,5170.75,5196.6,5251.0,5186.6, 5251.00,5234.0,5219.0,138,7.2,64, 118, 85.51
2023-01-17,IDBIGOLD, EQ,5234.0,5251.0,5251.0,5162.0,5200.0,5200.0,5211.56,207,10.79,89, 137, 66.18
