DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,IDFCFIRSTB, EQ,58.8,58.5,61.5,58.25, 61.25,61.15,60.64,51505940,31233.19,95024, 13318610, 25.86
2023-01-03,IDFCFIRSTB, EQ,61.15,61.5,61.65,60.5, 61.35,61.35,61.14,38946801,23811.84,59630, 12432305, 31.92
2023-01-04,IDFCFIRSTB, EQ,61.35,61.35,61.7,59.5, 60.20,60.2,60.38,28996108,17509.13,57864, 7621604, 26.28
2023-01-05,IDFCFIRSTB, EQ,60.2,60.55,60.8,59.3,60.4,60.35,60.06,25828441,15512.82,67614, 6528883, 25.28
2023-01-06,IDFCFIRSTB, EQ,60.35,60.6,60.8,59.05,59.5,59.5,59.69,23389760,13962.19,39447, 6448899, 27.57
2023-01-09,IDFCFIRSTB, EQ,59.5,60.0,60.35,59.35,59.6,59.7,59.89,19607384,11742.59,44950, 5323144, 27.15
2023-01-10,IDFCFIRSTB, EQ,59.7,59.7,59.8,58.35,58.75,58.8,58.94,19429029,11452.06,47446, 6071936, 31.25
2023-01-11,IDFCFIRSTB, EQ,58.8,58.8,60.05,58.2, 59.70,59.8,59.29,18356979,10883.97,45520, 4877350, 26.57
2023-01-12,IDFCFIRSTB, EQ,59.8,60.0,60.35,59.1, 59.55,59.6,59.7,23202901,13852.19,45897, 5359317, 23.10
2023-01-13,IDFCFIRSTB, EQ,59.6,59.9,60.45,59.45,60.15,60.2,60.06,22266548,13373.23,35480, 6074654, 27.28
2023-01-16,IDFCFIRSTB, EQ,60.2,60.45,61.2,60.25, 60.60,60.55,60.74,28271421,17172.87,46432, 7519722, 26.60
2023-01-17,IDFCFIRSTB, EQ,60.55,60.75,60.75,58.4,59.3,59.2,59.39,29070697,17263.73,48087, 8665103, 29.81
2023-01-18,IDFCFIRSTB, EQ,59.2,59.45,59.85,59.0,59.3,59.3,59.43,15547909,9239.62,30944, 4720445, 30.36
2023-01-19,IDFCFIRSTB, EQ,59.3,58.95,59.6,58.75, 59.45,59.4,59.18,13131866,7771.94,30836, 3387911, 25.80
2023-01-20,IDFCFIRSTB, EQ,59.4,59.35,60.25,59.2,59.45,59.35,59.72,19902180,11886.12,34411, 6719531, 33.76
2023-01-23,IDFCFIRSTB, EQ,59.35,61.5,61.85,59.0,59.25,59.3,59.91,58550580,35080.12,91476, 19309988, 32.98
2023-01-24,IDFCFIRSTB, EQ,59.3,59.3,59.65,58.6,58.65,58.8,59.09,17770730,10499.94,50168, 6965025, 39.19
2023-01-25,IDFCFIRSTB, EQ,58.8,58.8,58.8,56.7, 57.15,56.9,57.38,29346045,16840.15,69397, 10785261, 36.75
2023-01-27,IDFCFIRSTB, EQ,56.9,57.5,57.65,54.2, 56.00,55.7,55.67,40692202,22653.31,73827, 13961515, 34.31
2023-01-30,IDFCFIRSTB, EQ,55.7,55.45,57.5,54.7, 56.40,56.4,56.3,29977488,16876.51,57431, 7671063, 25.59
2023-01-31,IDFCFIRSTB, EQ,56.4,56.75,58.5,56.25,58.35,58.2,57.69,31753859,18319.28,46775, 14108981, 44.43
2023-02-01,IDFCFIRSTB, EQ,58.2,58.95,59.75,55.05, 56.55,56.5,57.97,40879663,23699.95,67812, 12449246, 30.45
2023-02-02,IDFCFIRSTB, EQ,56.5,57.0,59.8,56.8, 59.70,59.6,58.83,61949943,36447.62,82093, 16936997, 27.34
2023-02-03,IDFCFIRSTB, EQ,59.6,60.0,60.15,57.55, 58.85,58.8,58.69,32921777,19322.73,46907, 7414813, 22.52
2023-02-06,IDFCFIRSTB, EQ,58.8,59.0,60.35,58.8, 59.65,59.75,59.77,29353628,17543.33,52554, 10533542, 35.88
2023-02-07,IDFCFIRSTB, EQ,59.75,59.9,60.15,59.1, 59.85,59.9,59.73,27073089,16171.59,52110, 11724295, 43.31
2023-02-08,IDFCFIRSTB, EQ,59.9,59.45,60.25,59.4, 59.50,59.5,59.73,21390443,12776.56,32382, 7749761, 36.23
2023-02-09,IDFCFIRSTB, EQ,59.5,59.7,59.7,58.2, 58.85,58.75,58.61,17445192,10225.44,33199, 5828275, 33.41
2023-02-10,IDFCFIRSTB, EQ,58.75,58.7,59.05,57.85, 58.20,58.1,58.32,17298126,10088.71,37628, 6581560, 38.05
2023-02-13,IDFCFIRSTB, EQ,58.1,58.1,58.25,57.15,57.45,57.45,57.56,20135551,11591.01,44747, 8172562, 40.59
2023-02-14,IDFCFIRSTB, EQ,57.45,57.45,57.6,56.5,57.1,57.25,56.95,17828666,10152.92,37432, 6478865, 36.34
2023-02-15,IDFCFIRSTB, EQ,57.25,57.0,57.6,56.8, 57.60,57.5,57.18,17237521,9856.39,38772, 6438132, 37.35
2023-02-16,IDFCFIRSTB, EQ,57.5,57.8,57.8,56.9, 56.95,57.0,57.29,16901709,9683.3,39812, 7205008, 42.63
2023-02-17,IDFCFIRSTB, EQ,57.0,56.9,57.0,55.7, 55.80,55.9,56.21,18757195,10542.84,48876, 8630202, 46.01
2023-02-20,IDFCFIRSTB, EQ,55.9,56.0,56.1,54.8, 54.90,55.0,55.23,22030126,12166.32,54446, 9077154, 41.20
2023-02-21,IDFCFIRSTB, EQ,55.0,55.15,55.25,54.05, 54.60,54.6,54.62,24268699,13256.56,53428, 9673618, 39.86
2023-02-22,IDFCFIRSTB, EQ,54.6,54.4,54.45,53.2, 53.30,53.4,53.73,25387270,13640.16,53632, 11658794, 45.92
2023-02-23,IDFCFIRSTB, EQ,53.4,53.5,54.45,53.0,54.05,53.75,53.92,40993719,22103.67,56170, 16735547, 40.82
2023-02-24,IDFCFIRSTB, EQ,53.75,54.15,55.05,54.05, 54.45,54.3,54.55,26667699,14547.71,41508, 9536751, 35.76
2023-02-27,IDFCFIRSTB, EQ,54.3,54.25,54.65,53.85, 54.40,54.4,54.29,16776470,9107.37,29014, 3901405, 23.26
2023-02-28,IDFCFIRSTB, EQ,54.4,54.55,55.5,54.1, 55.20,55.15,55.05,25579480,14081.62,38096, 9127780, 35.68
2023-03-01,IDFCFIRSTB, EQ,55.15,55.25,56.25,55.15, 55.70,55.7,55.75,17589664,9805.75,42091, 6792611, 38.62
2023-03-02,IDFCFIRSTB, EQ,55.7,55.7,56.45,55.05, 55.15,55.15,55.82,25302931,14122.96,54130, 9322804, 36.84
2023-03-03,IDFCFIRSTB, EQ,55.15,55.6,56.75,55.55, 56.35,56.4,56.28,25512205,14357.73,36390, 9384728, 36.79
2023-03-06,IDFCFIRSTB, EQ,56.4,56.7,57.85,56.55, 57.20,57.15,57.3,30200876,17303.88,50046, 10958990, 36.29
2023-03-08,IDFCFIRSTB, EQ,57.15,57.1,58.1,56.5, 57.75,57.65,57.38,30672621,17600.84,41423, 10683437, 34.83
2023-03-09,IDFCFIRSTB, EQ,57.65,57.8,57.85,57.0, 57.05,57.2,57.45,15449160,8875.59,25232, 5886231, 38.10
2023-03-10,IDFCFIRSTB, EQ,57.2,56.8,56.85,55.8, 56.20,56.1,56.17,17833800,10017.39,38143, 6174252, 34.62
2023-03-13,IDFCFIRSTB, EQ,56.1,55.95,56.3,54.55, 54.80,54.75,55.28,20976044,11595.58,47205, 6980824, 33.28
2023-03-14,IDFCFIRSTB, EQ,54.75,54.8,55.2,54.2, 54.80,54.8,54.76,18978401,10391.63,34480, 5662511, 29.84
2023-03-15,IDFCFIRSTB, EQ,54.8,55.65,56.45,54.6, 54.90,54.75,55.68,31109683,17322.85,48269, 11250497, 36.16
2023-03-16,IDFCFIRSTB, EQ,54.75,54.6,55.7,53.9, 55.45,55.35,54.86,27896428,15304.74,36386, 8649995, 31.01
2023-03-17,IDFCFIRSTB, EQ,55.35,55.85,56.15,54.85, 55.30,55.2,55.36,21226200,11750.68,31782, 8417045, 39.65
2023-03-20,IDFCFIRSTB, EQ,55.2,55.15,55.35,53.6,54.35,54.3,54.15,16124821,8731.78,40331, 5909462, 36.65
2023-03-21,IDFCFIRSTB, EQ,54.3,54.6,55.9,54.55, 55.75,55.7,55.27,20186435,11157.53,39330, 7095810, 35.15
2023-03-22,IDFCFIRSTB, EQ,55.7,56.0,56.6,55.75, 56.10,56.1,56.17,15285261,8585.07,26981, 3810237, 24.93
2023-03-23,IDFCFIRSTB, EQ,56.1,55.65,56.1,54.95, 55.25,55.1,55.57,12078965,6712.12,26719, 3859916, 31.96
2023-03-24,IDFCFIRSTB, EQ,55.1,55.1,56.05,53.9, 54.00,54.1,54.95,24352812,13382.04,36472, 7430188, 30.51
2023-03-27,IDFCFIRSTB, EQ,54.1,53.85,54.0,52.8, 53.00,53.05,53.38,21905394,11693.28,37713, 6453337, 29.46
2023-03-28,IDFCFIRSTB, EQ,53.05,53.15,53.35,52.1, 52.65,52.75,52.73,18691013,9854.86,32772, 7023426, 37.58
2023-03-29,IDFCFIRSTB, EQ,52.75,52.85,54.95,52.45, 54.75,54.5,53.88,26709018,14391.33,38392, 10556366, 39.52
2023-03-31,IDFCFIRSTB, EQ,54.5,54.95,55.6,54.8, 55.00,55.05,55.25,19857237,10972.05,41722, 7564938, 38.10
2023-04-03,IDFCFIRSTB, EQ,55.05,55.2,55.6,54.6, 55.60,55.55,55.26,15206162,8403.22,29834, 5260728, 34.60
2023-04-05,IDFCFIRSTB, EQ,55.55,55.85,55.85,54.5, 55.00,54.9,54.94,17115146,9402.3,44866, 6307855, 36.86
2023-04-06,IDFCFIRSTB, EQ,54.9,54.8,55.7,54.55, 55.00,55.05,55.2,16590924,9157.88,30502, 5782720, 34.85
2023-04-10,IDFCFIRSTB, EQ,55.05,55.0,55.1,53.95, 54.30,54.1,54.34,19205321,10435.48,41728, 7933845, 41.31
2023-04-11,IDFCFIRSTB, EQ,54.1,54.4,54.6,53.55, 53.75,53.7,53.99,19245739,10390.42,38144, 7919480, 41.15
2023-04-12,IDFCFIRSTB, EQ,53.7,54.0,54.2,53.35, 53.90,53.85,53.73,14012737,7529.42,29089, 4558861, 32.53
2023-04-13,IDFCFIRSTB, EQ,53.85,54.0,54.2,53.4, 54.05,54.0,53.84,15813167,8513.14,33084, 6294798, 39.81
2023-04-17,IDFCFIRSTB, EQ,54.0,54.35,55.25,53.9, 55.15,55.15,54.6,18975863,10359.88,32015, 7065190, 37.23
2023-04-18,IDFCFIRSTB, EQ,55.15,55.15,57.25,55.1, 56.50,56.5,56.48,40565647,22912.65,54790, 14215547, 35.04
2023-04-19,IDFCFIRSTB, EQ,56.5,56.85,57.25,56.2, 56.30,56.35,56.66,16705166,9465.45,35027, 5596316, 33.50
2023-04-20,IDFCFIRSTB, EQ,56.35,56.55,57.45,56.05, 56.40,56.4,56.75,33469016,18993.1,42681, 13618019, 40.69
2023-04-21,IDFCFIRSTB, EQ,56.4,56.4,56.85,56.0, 56.50,56.45,56.4,17566797,9907.92,25814, 6657533, 37.90
2023-04-24,IDFCFIRSTB, EQ,56.45,56.7,58.35,56.45, 58.30,58.25,57.82,38025412,21988.15,52749, 13836413, 36.39
2023-04-25,IDFCFIRSTB, EQ,58.25,58.45,59.1,58.2,58.5,58.65,58.74,35248726,20705.37,49189, 13076517, 37.10
2023-04-26,IDFCFIRSTB, EQ,58.65,58.65,59.15,58.15, 58.95,58.9,58.76,21479662,12620.73,34836, 7586685, 35.32
2023-04-27,IDFCFIRSTB, EQ,58.9,58.7,59.85,58.7, 59.60,59.45,59.46,26335870,15660.29,42410, 8918589, 33.86
2023-04-28,IDFCFIRSTB, EQ,59.45,60.0,62.0,58.75, 62.00,61.45,60.77,67480695,41010.86,81069, 28239242, 41.85
2023-05-02,IDFCFIRSTB, EQ,61.45,63.5,65.25,63.0, 63.85,63.85,64.06,113585859,72765.11,161867, 34266897, 30.17
2023-05-03,IDFCFIRSTB, EQ,63.85,63.8,64.95,63.35,64.2,64.15,64.3,39815830,25599.62,71044, 15615030, 39.22
2023-05-04,IDFCFIRSTB, EQ,64.15,64.2,64.55,63.0, 63.70,63.8,63.67,33370552,21248.68,63375, 12416165, 37.21
2023-05-05,IDFCFIRSTB, EQ,63.8,63.6,64.55,63.0, 63.25,63.25,63.78,35788410,22826.86,55231, 9823495, 27.45
2023-05-08,IDFCFIRSTB, EQ,63.25,63.25,64.35,63.1, 64.30,64.2,63.92,36532398,23351.69,50441, 16566679, 45.35
2023-05-09,IDFCFIRSTB, EQ,64.2,64.25,65.85,64.1,64.45,64.45,65.11,56610570,36857.96,84419, 21281315, 37.59
2023-05-10,IDFCFIRSTB, EQ,64.45,64.6,64.7,63.0,63.95,64.05,63.8,20934716,13356.99,41199, 6690419, 31.96
2023-05-11,IDFCFIRSTB, EQ,64.05,64.3,65.1,64.05, 64.85,64.8,64.75,30002815,19426.21,44158, 14363310, 47.87
2023-05-12,IDFCFIRSTB, EQ,64.8,64.8,65.85,64.35, 65.75,65.55,65.19,32957739,21486.69,55056, 16425835, 49.84
2023-05-15,IDFCFIRSTB, EQ,65.55,65.75,67.25,65.25, 66.90,66.75,66.55,43571601,28998.98,71963, 16200611, 37.18
2023-05-16,IDFCFIRSTB, EQ,66.75,67.05,68.2,66.9,67.4,67.4,67.68,42836803,28993.17,65952, 16483794, 38.48
2023-05-17,IDFCFIRSTB, EQ,67.4,67.4,67.6,66.2, 67.15,66.95,66.83,33520067,22401.49,62732, 13141850, 39.21
2023-05-18,IDFCFIRSTB, EQ,66.95,67.2,67.8,66.5, 66.65,66.7,67.21,28449421,19121.36,53325, 9313163, 32.74
2023-05-19,IDFCFIRSTB, EQ,66.7,66.95,67.15,65.65,66.75,66.8,66.4,19419804,12895.56,36636, 6524759, 33.60
2023-05-22,IDFCFIRSTB, EQ,66.8,66.9,67.1,66.1,66.4,66.4,66.42,14673852,9746.17,34829, 4439078, 30.25
2023-05-23,IDFCFIRSTB, EQ,66.4,66.5,66.65,66.0, 66.10,66.05,66.29,13617230,9027.26,27154, 4664574, 34.25
2023-05-24,IDFCFIRSTB, EQ,66.05,66.0,66.2,65.6, 66.15,66.0,65.87,13233287,8716.54,32322, 4792160, 36.21
2023-05-25,IDFCFIRSTB, EQ,66.0,66.0,68.1,65.85, 68.05,68.0,67.36,32270687,21737.09,65862, 11784961, 36.52
2023-05-26,IDFCFIRSTB, EQ,68.0,68.35,70.0,68.1,69.65,69.85,69.38,45050454,31255.72,77605, 15562007, 34.54
2023-05-29,IDFCFIRSTB, EQ,69.85,70.5,70.8,69.6, 70.20,70.15,70.14,30903068,21675.58,70989, 12377361, 40.05
2023-05-30,IDFCFIRSTB, EQ,70.15,70.2,71.85,70.0, 71.55,71.65,71.33,32919579,23482.63,61367, 11768323, 35.75
2023-05-31,IDFCFIRSTB, EQ,71.65,71.7,72.0,70.5, 71.95,71.65,71.26,25124618,17904.79,61684, 10482672, 41.72
2023-06-01,IDFCFIRSTB, EQ,71.65,71.5,73.4,71.25, 72.60,72.6,72.57,38796472,28155.16,88128, 13662445, 35.22
2023-06-02,IDFCFIRSTB, EQ,72.6,73.15,73.25,72.5, 72.70,72.9,72.86,22721246,16554.43,58654, 10426819, 45.89
2023-06-05,IDFCFIRSTB, EQ,72.9,73.6,74.1,73.05, 73.70,73.7,73.7,29709631,21894.87,70844, 13731370, 46.22
2023-06-06,IDFCFIRSTB, EQ,73.7,73.95,74.15,73.05,73.85,73.8,73.69,24524411,18072.55,149412, 8579348, 34.98
2023-06-07,IDFCFIRSTB, EQ,73.8,74.0,74.25,73.3, 73.55,73.6,73.9,17304251,12787.41,56604, 7157717, 41.36
2023-06-08,IDFCFIRSTB, EQ,73.6,73.6,73.9,72.05, 72.30,72.2,72.87,28757809,20954.99,73388, 9999173, 34.77
2023-06-09,IDFCFIRSTB, EQ,72.2,72.35,72.9,71.45, 71.65,71.7,72.24,17742518,12816.47,47215, 6770674, 38.16
2023-06-12,IDFCFIRSTB, EQ,71.7,71.8,73.05,70.85, 72.90,72.8,72.09,21006740,15143.14,51995, 7770587, 36.99
2023-06-13,IDFCFIRSTB, EQ,72.8,73.2,75.0,73.0, 74.85,74.8,74.31,44054805,32736.43,55854, 21891878, 49.69
2023-06-14,IDFCFIRSTB, EQ,74.8,75.25,76.9,74.95, 76.65,76.75,76.27,50922815,38836.42,77826, 23708821, 46.56
2023-06-15,IDFCFIRSTB, EQ,76.75,76.9,79.9,76.3, 79.00,79.0,78.82,71417373,56291.95,187540, 24201739, 33.89
2023-06-16,IDFCFIRSTB, EQ,79.0,79.5,82.35,79.25, 81.00,81.7,80.93,60784532,49191.7,151478, 23817834, 39.18
2023-06-19,IDFCFIRSTB, EQ,81.7,82.0,84.5,80.2, 81.65,81.3,82.7,82330493,68086.8,159768, 26220162, 31.85
2023-06-20,IDFCFIRSTB, EQ,81.3,81.75,83.15,81.4, 83.05,82.8,82.24,46126349,37934.02,107005, 14886889, 32.27
2023-06-21,IDFCFIRSTB, EQ,82.8,83.1,84.35,81.5, 82.20,82.2,82.47,44526728,36720.44,85974, 15161744, 34.05
2023-06-22,IDFCFIRSTB, EQ,82.2,81.9,82.0,77.3,77.85,77.6,78.65,85854307,67524.24,238325, 28808789, 33.56
2023-06-23,IDFCFIRSTB, EQ,77.6,77.6,79.15,75.55, 77.65,77.75,77.63,56849916,44133.17,123129, 14496359, 25.50
2023-06-26,IDFCFIRSTB, EQ,77.75,77.9,78.25,76.45, 78.15,77.75,77.2,30737311,23728.58,78736, 9122461, 29.68
2023-06-27,IDFCFIRSTB, EQ,77.75,78.1,79.6,77.95, 78.00,78.25,78.7,37226897,29296.58,65851, 12223437, 32.83
2023-06-28,IDFCFIRSTB, EQ,78.25,78.95,80.1,77.5, 79.80,79.7,78.91,50780871,40072.41,92086, 20230527, 39.84
2023-06-30,IDFCFIRSTB, EQ,79.7,80.05,81.45,79.25, 79.60,79.4,80.19,45626525,36586.94,95743, 17407894, 38.15
2023-07-03,IDFCFIRSTB, EQ,79.4,79.95,82.1,79.9, 81.70,81.95,81.26,41722855,33905.21,99574, 13753791, 32.96
2023-07-04,IDFCFIRSTB, EQ,81.95,81.5,81.5,77.05, 78.70,78.65,78.59,123645833,97176.71,238657, 43191141, 34.93
2023-07-05,IDFCFIRSTB, EQ,78.65,78.5,81.45,78.0,80.3,80.35,80.35,74563754,59915.19,133837, 25987956, 34.85
2023-07-06,IDFCFIRSTB, EQ,80.35,80.35,81.1,79.7,80.4,80.5,80.39,45178598,36320.16,114896, 17574310, 38.90
2023-07-07,IDFCFIRSTB, EQ,80.5,80.5,80.8,79.05, 79.90,79.7,79.77,27805119,22180.24,138190, 9450801, 33.99
2023-07-10,IDFCFIRSTB, EQ,79.7,80.2,80.2,78.85,79.3,79.25,79.35,23509603,18655.67,68090, 9505496, 40.43
2023-07-11,IDFCFIRSTB, EQ,79.25,79.55,83.0,79.5, 83.00,82.8,81.88,61675220,50501.0,113842, 24088042, 39.06
2023-07-12,IDFCFIRSTB, EQ,82.8,83.3,84.4,82.85, 82.95,83.1,83.62,44600443,37295.23,106221, 15007154, 33.65
2023-07-13,IDFCFIRSTB, EQ,83.1,83.5,83.65,81.1, 81.75,81.35,82.36,31808815,26197.01,117759, 10005103, 31.45
2023-07-14,IDFCFIRSTB, EQ,81.35,81.8,82.75,81.2,82.4,82.5,81.96,23195358,19011.68,83384, 7024710, 30.28
2023-07-17,IDFCFIRSTB, EQ,82.5,82.55,82.7,81.25,81.8,81.7,81.78,20735946,16958.49,90568, 7739075, 37.32
2023-07-18,IDFCFIRSTB, EQ,81.7,82.15,82.4,80.55, 81.20,81.1,81.53,26356687,21489.4,68041, 11077535, 42.03
2023-07-19,IDFCFIRSTB, EQ,81.1,81.45,82.2,80.6, 81.80,81.8,81.53,35963042,29321.5,65463, 15497631, 43.09
