DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,IDFNIFTYET, EQ,191.9,192.0,199.7,191.87, 192.88,192.91,193.71,793,1.54,45, 512, 64.56
2023-01-03,IDFNIFTYET, EQ,192.91,193.0,194.09,193.0, 194.00,194.0,193.91,357,0.69,15, 347, 97.20
2023-01-04,IDFNIFTYET, EQ,194.0,193.58,193.58,191.33, 191.40,191.4,192.57,203,0.39,26, 191, 94.09
2023-01-05,IDFNIFTYET, EQ,191.4,199.0,199.0,190.31,191.4,191.22,191.76,2830,5.43,34, 2038, 72.01
2023-01-06,IDFNIFTYET, EQ,191.22,191.77,191.77,189.4,189.4,189.64,190.32,421,0.8,32, 191, 45.37
2023-01-09,IDFNIFTYET, EQ,189.64,191.0,193.09,191.0,191.6,191.6,191.79,436,0.84,22, 404, 92.66
2023-01-10,IDFNIFTYET, EQ,191.6,191.3,191.7,190.31,190.47,190.47,190.83,369,0.7,27, 364, 98.64
2023-01-11,IDFNIFTYET, EQ,190.47,190.0,191.64,190.0, 190.61,190.61,190.85,1004,1.92,24, 999, 99.50
2023-01-12,IDFNIFTYET, EQ,190.61,189.96,190.14,189.0, 189.04,190.12,189.94,115,0.22,22, 104, 90.43
2023-01-13,IDFNIFTYET, EQ,190.12,190.0,191.35,189.31,191.35,191.35,190.22,102,0.19,17, 58, 56.86
2023-01-16,IDFNIFTYET, EQ,191.35,192.0,193.0,190.23, 190.23,190.23,190.89,167,0.32,24, 160, 95.81
2023-01-17,IDFNIFTYET, EQ,190.23,195.93,195.93,189.99,190.79,190.79,191.8,271,0.52,30, 192, 70.85
2023-01-18,IDFNIFTYET, EQ,190.79,191.0,193.8,191.0,193.68,193.68,193.63,227,0.44,14, 221, 97.36
2023-01-19,IDFNIFTYET, EQ,193.68,193.68,196.6,190.8, 193.12,193.12,194.32,685,1.33,56, 493, 71.97
2023-01-20,IDFNIFTYET, EQ,193.12,197.0,197.0,190.8,191.0,191.36,193.22,571,1.1,54, 325, 56.92
2023-01-23,IDFNIFTYET, EQ,191.36,191.36,193.65,191.36,191.76,191.76,192.65,159,0.31,16, 85, 53.46
2023-01-24,IDFNIFTYET, EQ,191.76,192.17,193.79,191.5,193.21,193.21,192.41,246,0.47,13, 200, 81.30
2023-01-25,IDFNIFTYET, EQ,193.21,194.0,194.0,189.22, 189.34,189.34,190.52,356,0.68,42, 209, 58.71
2023-01-27,IDFNIFTYET, EQ,189.34,195.02,195.02,185.8, 186.59,186.59,187.72,2237,4.2,54, 2215, 99.02
2023-01-30,IDFNIFTYET, EQ,186.59,186.4,199.7,186.31, 199.70,192.45,190.21,1653,3.14,111, 674, 40.77
2023-01-31,IDFNIFTYET, EQ,192.45,193.34,193.35,186.8,186.8,187.92,187.94,1851,3.48,56, 1285, 69.42
2023-02-01,IDFNIFTYET, EQ,187.92,188.0,191.58,183.32, 183.32,184.79,190.83,7306,13.94,54, 6645, 90.95
2023-02-02,IDFNIFTYET, EQ,184.79,186.99,187.65,183.3, 183.30,184.78,186.63,414,0.77,20, 273, 65.94
2023-02-03,IDFNIFTYET, EQ,184.78,184.78,188.79,184.78, 188.79,188.79,188.61,3228,6.09,33, 3149, 97.55
2023-02-06,IDFNIFTYET, EQ,188.79,184.0,189.46,183.13, 189.24,189.23,188.8,3162,5.97,29, 2886, 91.27
2023-02-07,IDFNIFTYET, EQ,189.23,189.3,189.41,187.31, 187.65,187.64,188.71,348,0.66,15, 88, 25.29
2023-02-08,IDFNIFTYET, EQ,187.64,188.0,192.0,188.0, 188.84,188.84,190.2,73,0.14,21, 56, 76.71
2023-02-09,IDFNIFTYET, EQ,188.84,193.56,193.56,187.3, 189.45,189.45,190.12,245,0.47,31, 174, 71.02
2023-02-10,IDFNIFTYET, EQ,189.45,190.0,195.0,189.02, 195.00,194.21,190.82,348,0.66,21, 310, 89.08
2023-02-13,IDFNIFTYET, EQ,194.21,195.0,195.0,189.09,189.51,189.51,189.5,443,0.84,22, 441, 99.55
2023-02-14,IDFNIFTYET, EQ,189.51,193.5,193.5,188.68,189.8,190.45,190.25,861,1.64,26, 661, 76.77
2023-02-15,IDFNIFTYET, EQ,190.45,190.57,194.99,188.0, 188.05,190.12,191.94,355,0.68,52, 190, 53.52
2023-02-16,IDFNIFTYET, EQ,190.12,194.0,195.0,191.0, 195.00,194.18,193.19,333,0.64,42, 175, 52.55
2023-02-17,IDFNIFTYET, EQ,194.18,192.13,192.13,191.14, 191.46,191.46,191.53,32,0.06,5, 22, 68.75
2023-02-20,IDFNIFTYET, EQ,191.46,192.0,192.0,189.22, 190.59,190.56,191.31,226,0.43,29, 164, 72.57
2023-02-21,IDFNIFTYET, EQ,190.56,190.5,190.5,189.12, 190.33,190.31,190.21,122,0.23,13, 109, 89.34
2023-02-22,IDFNIFTYET, EQ,190.31,189.2,189.26,187.0, 187.40,187.4,187.04,2592,4.85,43, 2517, 97.11
