DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,IFBIND, EQ,901.7,910.0,998.0,898.8, 932.00,941.9,966.6,584459,5649.37,28342, 59905, 10.25
2023-01-03,IFBIND, EQ,941.9,935.95,945.95,923.0, 934.00,935.65,933.35,39846,371.9,5542, 9551, 23.97
2023-01-04,IFBIND, EQ,935.65,930.0,945.45,902.0, 913.00,907.5,915.69,42298,387.32,4969, 16360, 38.68
2023-01-05,IFBIND, EQ,907.5,913.0,969.0,910.05,918.1,921.1,945.03,336804,3182.89,20502, 13635, 4.05
2023-01-06,IFBIND, EQ,921.1,920.5,929.75,912.05,924.9,923.95,923.45,35606,328.8,4262, 7525, 21.13
2023-01-09,IFBIND, EQ,923.95,928.6,939.9,910.05,919.0,917.15,925.14,13796,127.63,2357, 4270, 30.95
2023-01-10,IFBIND, EQ,917.15,921.75,921.75,913.35,914.0,916.55,917.21,9287,85.18,1666, 2739, 29.49
2023-01-11,IFBIND, EQ,916.55,915.9,927.0,907.35, 913.00,911.75,917.3,9827,90.14,1940, 3427, 34.87
2023-01-12,IFBIND, EQ,911.75,917.95,945.6,912.55, 925.05,927.1,928.01,43863,407.05,4700, 17406, 39.68
2023-01-13,IFBIND, EQ,927.1,931.75,932.45,905.0,910.0,909.45,913.74,18799,171.77,2145, 11240, 59.79
2023-01-16,IFBIND, EQ,909.45,918.55,926.45,901.5, 916.00,907.1,914.14,29737,271.84,3489, 9520, 32.01
2023-01-17,IFBIND, EQ,907.1,910.95,911.65,889.0,900.0,895.45,898.67,17758,159.59,2646, 8336, 46.94
2023-01-18,IFBIND, EQ,895.45,907.0,911.95,880.2,889.95,886.9,893.13,29039,259.36,3278, 13190, 45.42
2023-01-19,IFBIND, EQ,886.9,891.35,895.0,877.85, 891.40,887.9,886.53,24888,220.64,4135, 7984, 32.08
2023-01-20,IFBIND, EQ,887.9,889.9,899.9,880.85,884.0,883.85,890.38,15539,138.36,3438, 3125, 20.11
2023-01-23,IFBIND, EQ,883.85,888.0,894.9,880.0,889.1,884.4,887.39,12112,107.48,2772, 3446, 28.45
2023-01-24,IFBIND, EQ,884.4,897.85,920.05,870.0,880.4,877.8,888.0,19148,170.03,3318, 5635, 29.43
2023-01-25,IFBIND, EQ,877.8,880.0,882.2,871.35, 876.00,874.5,876.74,11864,104.02,2224, 3935, 33.17
2023-01-27,IFBIND, EQ,874.5,877.95,898.5,857.0, 870.00,871.0,868.39,14071,122.19,2177, 6254, 44.45
2023-01-30,IFBIND, EQ,871.0,875.4,875.4,848.0, 860.00,853.25,856.32,11555,98.95,2512, 6299, 54.51
2023-01-31,IFBIND, EQ,853.25,847.0,857.55,835.05,850.0,851.7,845.23,18401,155.53,2283, 7380, 40.11
2023-02-01,IFBIND, EQ,851.7,859.5,863.5,826.0, 837.00,836.05,849.52,8974,76.24,1379, 3731, 41.58
2023-02-02,IFBIND, EQ,836.05,824.05,847.5,800.0, 839.95,827.15,831.32,8859,73.65,1635, 3575, 40.35
2023-02-03,IFBIND, EQ,827.15,839.55,839.55,821.65, 828.00,826.1,826.53,8211,67.87,2214, 3863, 47.05
2023-02-06,IFBIND, EQ,826.1,829.95,829.95,810.9, 812.60,812.25,815.42,12054,98.29,2649, 5605, 46.50
2023-02-07,IFBIND, EQ,812.25,810.0,824.35,802.0, 808.00,804.6,808.38,12286,99.32,2521, 6302, 51.29
2023-02-08,IFBIND, EQ,804.6,805.0,835.0,800.0, 835.00,830.1,814.91,15613,127.23,2655, 6087, 38.99
2023-02-09,IFBIND, EQ,830.1,834.3,844.45,820.05, 825.00,825.4,832.33,9675,80.53,2047, 3551, 36.70
2023-02-10,IFBIND, EQ,825.4,824.95,842.15,819.65, 833.90,832.75,831.65,7362,61.23,1239, 3076, 41.78
2023-02-13,IFBIND, EQ,832.75,834.95,858.25,826.0,837.0,832.55,841.35,13880,116.78,2807, 4582, 33.01
2023-02-14,IFBIND, EQ,832.55,832.55,847.0,820.0,820.05,825.95,831.93,12670,105.41,1911, 6490, 51.22
2023-02-15,IFBIND, EQ,825.95,821.1,838.1,821.1, 833.00,834.25,829.83,5719,47.46,1228, 2793, 48.84
2023-02-16,IFBIND, EQ,834.25,848.25,848.25,826.2, 827.00,830.3,833.43,10551,87.94,1469, 5842, 55.37
2023-02-17,IFBIND, EQ,830.3,834.5,839.1,827.3, 834.05,834.55,834.04,6240,52.04,744, 2891, 46.33
2023-02-20,IFBIND, EQ,834.55,831.9,838.35,828.5, 832.00,832.35,833.22,3902,32.51,658, 2224, 57.00
2023-02-21,IFBIND, EQ,832.35,833.3,838.0,830.0, 832.00,832.9,833.96,4435,36.99,537, 2792, 62.95
2023-02-22,IFBIND, EQ,832.9,833.05,876.65,832.1, 849.00,850.95,863.63,93703,809.25,8186, 14543, 15.52
2023-02-23,IFBIND, EQ,850.95,853.8,862.2,837.6,850.0,840.75,852.19,10012,85.32,1361, 4234, 42.29
2023-02-24,IFBIND, EQ,840.75,845.0,866.4,843.3, 852.00,854.15,855.35,11692,100.01,1245, 3114, 26.63
2023-02-27,IFBIND, EQ,854.15,853.7,853.7,821.3, 825.00,827.25,829.7,9999,82.96,1488, 4506, 45.06
2023-02-28,IFBIND, EQ,827.25,827.25,853.5,820.9, 825.80,823.85,835.76,21804,182.23,2633, 4967, 22.78
