DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,IFGLEXPOR, EQ,261.55,266.75,267.2,260.0, 263.50,263.65,264.69,7272,19.25,638, 4584, 63.04
2023-01-03,IFGLEXPOR, EQ,263.65,263.65,268.7,261.1, 262.00,262.25,263.74,13222,34.87,485, 9668, 73.12
2023-01-04,IFGLEXPOR, EQ,262.25,263.15,264.95,261.0, 263.75,263.2,263.42,8083,21.29,346, 6168, 76.31
2023-01-05,IFGLEXPOR, EQ,263.2,267.0,269.9,262.0,267.1,267.2,266.27,21244,56.57,894, 13896, 65.41
2023-01-06,IFGLEXPOR, EQ,267.2,267.1,284.8,265.35,283.0,282.3,278.17,107077,297.86,4219, 51714, 48.30
2023-01-09,IFGLEXPOR, EQ,282.3,285.0,289.85,280.2,280.2,282.0,285.51,66665,190.33,2789, 44453, 66.68
2023-01-10,IFGLEXPOR, EQ,282.0,283.95,283.95,271.15,274.0,274.05,277.35,26689,74.02,1263, 15154, 56.78
2023-01-11,IFGLEXPOR, EQ,274.05,277.9,281.75,273.75, 278.00,277.95,278.88,13646,38.06,1147, 8433, 61.80
2023-01-12,IFGLEXPOR, EQ,277.95,279.1,280.95,273.0, 274.55,274.75,276.79,7783,21.54,738, 4211, 54.11
2023-01-13,IFGLEXPOR, EQ,274.75,278.4,279.6,273.1,277.0,276.85,276.4,7271,20.1,735, 4202, 57.79
2023-01-16,IFGLEXPOR, EQ,276.85,277.0,278.75,270.05, 274.85,275.95,274.25,12203,33.47,762, 6286, 51.51
2023-01-17,IFGLEXPOR, EQ,275.95,275.2,276.45,273.0,273.5,274.15,274.19,3448,9.45,352, 2085, 60.47
2023-01-18,IFGLEXPOR, EQ,274.15,271.5,275.2,270.1,270.1,271.3,272.73,9936,27.1,293, 6732, 67.75
2023-01-19,IFGLEXPOR, EQ,271.3,271.6,272.4,265.15, 268.80,267.85,267.99,11170,29.93,545, 6393, 57.23
2023-01-20,IFGLEXPOR, EQ,267.85,269.25,282.9,267.35,273.5,277.0,277.5,51472,142.84,1679, 23494, 45.64
2023-01-23,IFGLEXPOR, EQ,277.0,276.05,278.75,268.05,268.05,269.15,270.99,24119,65.36,668, 18928, 78.48
2023-01-24,IFGLEXPOR, EQ,269.15,270.1,271.0,265.55,266.5,266.45,268.78,11191,30.08,473, 8324, 74.38
2023-01-25,IFGLEXPOR, EQ,266.45,267.1,267.1,256.55, 262.90,260.75,260.57,10935,28.49,781, 6556, 59.95
2023-01-27,IFGLEXPOR, EQ,260.75,261.15,264.25,252.05, 256.25,257.15,256.86,11334,29.11,701, 5605, 49.45
2023-01-30,IFGLEXPOR, EQ,257.15,255.0,264.05,253.6, 257.35,257.45,256.99,10847,27.88,503, 6144, 56.64
2023-01-31,IFGLEXPOR, EQ,257.45,260.6,262.55,258.35,259.0,260.9,260.47,6190,16.12,280, 4582, 74.02
2023-02-01,IFGLEXPOR, EQ,260.9,260.5,266.9,258.1, 263.00,259.65,263.0,8911,23.44,354, 6835, 76.70
2023-02-02,IFGLEXPOR, EQ,259.65,256.05,262.5,255.05, 255.05,255.95,258.27,6329,16.35,312, 4055, 64.07
2023-02-03,IFGLEXPOR, EQ,255.95,257.1,260.0,254.5, 258.60,259.75,257.95,8827,22.77,380, 5699, 64.56
2023-02-06,IFGLEXPOR, EQ,259.75,259.0,259.0,252.25, 253.50,253.6,254.36,11021,28.03,416, 7628, 69.21
2023-02-07,IFGLEXPOR, EQ,253.6,254.1,254.35,248.55, 250.75,250.8,250.64,5138,12.88,294, 3845, 74.83
