DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-06-16,IKIO, EQ,285.0,392.5,427.5,392.0, 404.50,403.85,407.04,31292587,127373.09,420315, 11406148, 36.45
2023-06-19,IKIO, EQ,403.85,409.0,454.7,408.3, 446.00,445.45,436.31,19653191,85748.04,293931, 3437752, 17.49
2023-06-20,IKIO, EQ,445.45,449.7,463.3,436.85, 442.00,441.2,452.3,8567809,38752.41,166107, 2122795, 24.78
2023-06-21,IKIO, EQ,441.2,441.75,448.9,431.55, 439.00,437.2,439.29,3085162,13552.67,66207, 910797, 29.52
2023-06-22,IKIO, EQ,437.2,439.9,452.7,438.0,446.75,446.7,445.05,3290937,14646.2,60230, 1374573, 41.77
2023-06-23,IKIO, EQ,446.7,445.9,477.0,431.75, 464.00,462.8,461.54,6687921,30867.11,109368, 1639786, 24.52
2023-06-26,IKIO, EQ,462.8,468.0,474.6,455.4, 461.60,460.75,465.28,2076430,9661.19,39119, 729637, 35.14
2023-06-27,IKIO, EQ,460.75,464.0,466.95,454.05, 455.25,455.55,458.87,1030752,4729.79,23875, 329734, 31.99
2023-06-28,IKIO, EQ,455.55,457.75,458.85,447.0, 448.70,448.6,451.53,941052,4249.09,21547, 356202, 37.85
2023-06-30,IKIO, EQ,448.6,450.0,451.35,435.05, 436.00,437.1,440.67,988486,4356.01,25564, 467852, 47.33
2023-07-03,IKIO, EQ,437.1,439.45,444.9,421.05, 426.50,425.45,429.7,1374461,5906.1,33320, 536835, 39.06
2023-07-04,IKIO, EQ,425.45,427.0,430.75,406.05, 411.00,409.7,416.09,1356306,5643.39,34687, 565016, 41.66
2023-07-05,IKIO, EQ,409.7,411.8,429.0,411.1,420.35,420.2,419.92,1537926,6458.07,34435, 429747, 27.94
2023-07-06,IKIO, EQ,420.2,420.8,423.25,414.0,415.85,416.55,418.09,471784,1972.46,11729, 199653, 42.32
2023-07-07,IKIO, EQ,416.55,416.0,416.0,407.0, 410.70,410.55,410.47,645872,2651.14,16130, 265763, 41.15
2023-07-10,IKIO, EQ,410.55,409.0,414.7,401.1,403.25,403.95,407.3,911383,3712.03,23137, 345484, 37.91
2023-07-11,IKIO, EQ,403.95,405.0,423.75,402.05, 414.90,414.95,413.64,1479243,6118.77,30861, 364458, 24.64
2023-07-12,IKIO, EQ,414.95,417.0,421.8,411.0, 414.00,415.15,416.58,714090,2974.77,16678, 195842, 27.43
2023-07-13,IKIO, EQ,415.15,417.45,427.5,412.0, 413.40,413.45,419.31,1401320,5875.86,30622, 592474, 42.28
2023-07-14,IKIO, EQ,413.45,415.55,416.6,407.45,412.95,412.85,411.43,478819,1970.02,12101, 190224, 39.73
2023-07-17,IKIO, EQ,412.85,414.0,414.7,405.0,407.05,406.95,409.37,540811,2213.93,12287, 189888, 35.11
2023-07-18,IKIO, EQ,406.95,407.05,428.0,407.0, 417.90,417.8,417.52,1096738,4579.14,26469, 458343, 41.79
2023-07-19,IKIO, EQ,417.8,421.65,432.7,416.8, 426.80,427.4,425.27,1299518,5526.51,23167, 453443, 34.89
