DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,IMPAL, EQ,728.75,728.75,741.85,720.55, 723.60,724.8,726.55,1642,11.93,564, 571, 34.77
2023-01-03,IMPAL, EQ,724.8,722.0,734.9,721.8, 732.75,730.65,730.85,743,5.43,105, 536, 72.14
2023-01-04,IMPAL, EQ,730.65,730.65,747.0,727.05, 730.00,728.1,734.26,724,5.32,121, 547, 75.55
2023-01-05,IMPAL, EQ,728.1,727.5,735.35,726.0,732.0,730.25,729.96,928,6.77,126, 672, 72.41
2023-01-06,IMPAL, EQ,730.25,721.3,732.9,718.55,725.0,725.7,727.09,1117,8.12,321, 322, 28.83
2023-01-09,IMPAL, EQ,725.7,725.7,725.7,716.8,716.8,718.55,720.31,2390,17.22,343, 1291, 54.02
2023-01-10,IMPAL, EQ,718.55,723.5,725.0,716.0,718.0,719.4,719.44,1064,7.65,174, 684, 64.29
2023-01-11,IMPAL, EQ,719.4,724.95,724.95,720.0, 720.30,720.5,720.58,383,2.76,30, 350, 91.38
2023-01-12,IMPAL, EQ,720.5,724.7,726.0,718.05, 724.00,722.25,723.23,308,2.23,40, 167, 54.22
2023-01-13,IMPAL, EQ,722.25,717.45,724.0,715.5,720.0,719.75,720.06,487,3.51,103, 211, 43.33
2023-01-16,IMPAL, EQ,719.75,719.95,720.0,711.0, 717.70,712.15,714.76,526,3.76,87, 371, 70.53
2023-01-17,IMPAL, EQ,712.15,715.0,719.2,707.7,713.95,712.35,713.94,1601,11.43,138, 1207, 75.39
2023-01-18,IMPAL, EQ,712.35,712.4,715.0,708.9,711.65,712.55,711.96,287,2.04,53, 185, 64.46
2023-01-19,IMPAL, EQ,712.55,714.9,717.85,711.15, 711.75,717.1,715.94,72,0.52,27, 45, 62.50
2023-01-20,IMPAL, EQ,717.1,710.25,724.4,708.0,708.2,711.1,713.85,1207,8.62,242, 627, 51.95
2023-01-23,IMPAL, EQ,711.1,713.95,717.8,709.25,710.1,711.15,713.22,1536,10.96,229, 908, 59.11
2023-01-24,IMPAL, EQ,711.15,710.0,717.0,702.55,711.0,707.55,709.98,1591,11.3,278, 830, 52.17
2023-01-25,IMPAL, EQ,707.55,713.55,714.35,702.7, 702.75,704.75,706.67,1543,10.9,191, 1068, 69.22
2023-01-27,IMPAL, EQ,704.75,705.0,725.1,705.0, 721.00,722.85,720.15,5219,37.58,2181, 3757, 71.99
2023-01-30,IMPAL, EQ,722.85,723.5,723.5,713.0, 719.95,718.15,717.54,311,2.23,68, 182, 58.52
2023-01-31,IMPAL, EQ,718.15,722.0,722.0,704.05,704.4,705.95,710.28,1351,9.6,142, 1026, 75.94
2023-02-01,IMPAL, EQ,705.95,712.95,720.05,700.0, 709.15,710.6,709.46,1397,9.91,211, 844, 60.42
2023-02-02,IMPAL, EQ,710.6,710.0,719.9,703.8, 719.90,718.6,710.42,1122,7.97,171, 599, 53.39
2023-02-03,IMPAL, EQ,718.6,718.75,719.0,707.5, 710.30,710.4,711.67,285,2.03,36, 193, 67.72
2023-02-06,IMPAL, EQ,710.4,717.45,724.55,710.05, 719.70,717.2,716.25,478,3.42,74, 233, 48.74
2023-02-07,IMPAL, EQ,717.2,723.85,725.0,709.55, 713.85,711.0,714.55,1120,8.0,194, 556, 49.64
2023-02-08,IMPAL, EQ,711.0,717.9,718.85,710.0, 718.85,716.85,714.72,1538,10.99,242, 794, 51.63
2023-02-09,IMPAL, EQ,716.85,718.85,718.85,706.55, 717.90,714.1,712.64,631,4.5,49, 456, 72.27
2023-02-10,IMPAL, EQ,714.1,711.55,717.9,711.55, 716.00,716.6,715.48,336,2.4,33, 303, 90.18
2023-02-13,IMPAL, EQ,716.6,713.35,716.5,702.0,705.0,707.45,706.8,563,3.98,66, 352, 62.52
2023-02-14,IMPAL, EQ,707.45,705.65,715.0,705.65,714.0,713.25,710.17,317,2.25,51, 64, 20.19
2023-02-15,IMPAL, EQ,713.25,708.05,713.9,706.0, 710.00,710.0,708.62,874,6.19,87, 368, 42.11
2023-02-16,IMPAL, EQ,710.0,716.7,720.0,708.55, 720.00,717.8,715.46,695,4.97,57, 446, 64.17
2023-02-17,IMPAL, EQ,717.8,717.8,717.8,710.05, 715.00,714.9,714.15,477,3.41,51, 293, 61.43
2023-02-20,IMPAL, EQ,714.9,700.1,718.35,700.1, 701.10,705.85,709.84,307,2.18,53, 98, 31.92
2023-02-21,IMPAL, EQ,705.85,707.55,716.0,705.15, 715.50,714.65,710.41,465,3.3,54, 404, 86.88
