DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,INDHOTEL, EQ,318.65,318.65,320.25,315.95, 317.50,317.2,317.69,2021729,6422.86,21312, 806848, 39.91
2023-01-03,INDHOTEL, EQ,317.2,317.2,321.15,316.4, 320.15,320.2,318.94,1658599,5289.87,18569, 718725, 43.33
2023-01-04,INDHOTEL, EQ,320.2,319.85,321.25,313.4, 314.60,314.6,316.14,1967718,6220.74,25406, 750319, 38.13
2023-01-05,INDHOTEL, EQ,314.6,315.0,316.0,309.65,314.15,314.45,313.25,2130168,6672.85,35339, 1064949, 49.99
2023-01-06,INDHOTEL, EQ,314.45,314.4,315.4,306.7,310.45,310.3,310.06,1970194,6108.85,24330, 747043, 37.92
2023-01-09,INDHOTEL, EQ,310.3,311.55,315.75,310.7,314.15,314.55,313.35,2758554,8643.85,47533, 1780167, 64.53
2023-01-10,INDHOTEL, EQ,314.55,314.55,314.6,307.05,310.0,310.35,310.37,2375876,7373.94,28037, 1175843, 49.49
2023-01-11,INDHOTEL, EQ,310.35,310.4,314.15,308.7, 310.55,310.35,311.39,1666652,5189.86,22590, 884143, 53.05
2023-01-12,INDHOTEL, EQ,310.35,312.0,312.6,308.1, 310.95,309.8,309.89,3779647,11712.66,35981, 2598647, 68.75
2023-01-13,INDHOTEL, EQ,309.8,309.95,312.45,307.3,309.0,309.35,310.4,4475889,13893.12,35533, 2990137, 66.81
2023-01-16,INDHOTEL, EQ,309.35,309.35,311.45,303.45, 305.40,305.3,306.98,2156472,6620.02,26331, 1014015, 47.02
2023-01-17,INDHOTEL, EQ,305.3,305.55,309.85,303.55,309.35,309.4,307.06,1980442,6081.06,35981, 1008876, 50.94
2023-01-18,INDHOTEL, EQ,309.4,309.4,309.5,302.9,305.0,303.8,305.46,3500225,10691.96,36331, 2437706, 69.64
2023-01-19,INDHOTEL, EQ,303.8,303.0,305.65,297.7, 299.30,299.7,300.05,6648466,19948.7,52057, 2803024, 42.16
2023-01-20,INDHOTEL, EQ,299.7,300.7,301.2,293.75,295.9,295.55,296.76,2965885,8801.62,32940, 1552568, 52.35
2023-01-23,INDHOTEL, EQ,295.55,295.55,299.45,295.05,297.5,298.05,297.58,1550982,4615.4,30585, 794186, 51.21
2023-01-24,INDHOTEL, EQ,298.05,299.0,301.45,296.3,300.4,300.65,299.82,1928448,5781.96,20010, 930477, 48.25
2023-01-25,INDHOTEL, EQ,300.65,301.35,302.0,288.85, 293.00,291.45,292.33,3868054,11307.53,39181, 2119111, 54.78
2023-01-27,INDHOTEL, EQ,291.45,292.15,293.35,280.05, 287.95,286.45,286.36,2707115,7751.98,38361, 949092, 35.06
2023-01-30,INDHOTEL, EQ,286.45,287.95,297.3,286.1, 292.00,291.3,291.93,6765564,19750.75,76208, 2750858, 40.66
2023-01-31,INDHOTEL, EQ,291.3,292.55,305.0,290.75,301.7,301.0,297.84,12635485,37633.69,82018, 8640078, 68.38
2023-02-01,INDHOTEL, EQ,301.0,318.0,330.45,310.2, 325.00,326.7,321.44,29448497,94659.23,211959, 9290600, 31.55
2023-02-02,INDHOTEL, EQ,326.7,322.0,327.9,313.3, 317.20,318.0,320.21,7762880,24857.77,112927, 3802105, 48.98
2023-02-03,INDHOTEL, EQ,318.0,318.0,320.4,313.7, 318.00,318.25,316.89,3399231,10771.89,50867, 1637847, 48.18
2023-02-06,INDHOTEL, EQ,318.25,318.25,319.7,311.15, 314.80,314.75,314.07,3217356,10104.67,41424, 1559285, 48.46
2023-02-07,INDHOTEL, EQ,314.75,314.75,317.45,311.25, 316.70,316.45,315.05,2319895,7308.94,34040, 1185038, 51.08
2023-02-08,INDHOTEL, EQ,316.45,317.45,320.0,314.0, 318.20,318.45,317.28,3828635,12147.53,96080, 2102139, 54.91
2023-02-09,INDHOTEL, EQ,318.45,319.0,322.1,317.6, 319.90,319.65,319.98,2454873,7855.2,30160, 996979, 40.61
2023-02-10,INDHOTEL, EQ,319.65,318.75,325.0,318.05, 323.00,323.75,322.59,2013698,6496.01,37373, 936535, 46.51
2023-02-13,INDHOTEL, EQ,323.75,323.75,323.9,316.05,317.0,317.4,319.36,1552198,4957.1,18073, 743880, 47.92
2023-02-14,INDHOTEL, EQ,317.4,317.4,318.15,310.6,313.5,314.25,313.1,2393767,7495.0,21678, 1361858, 56.89
2023-02-15,INDHOTEL, EQ,314.25,312.7,317.45,311.65, 316.00,315.05,314.59,1353334,4257.43,18175, 568725, 42.02
2023-02-16,INDHOTEL, EQ,315.05,316.6,323.4,316.05, 321.95,321.95,320.98,3051073,9793.33,45527, 1777206, 58.25
2023-02-17,INDHOTEL, EQ,321.95,322.0,325.0,317.05, 317.90,318.1,320.48,1755117,5624.84,21286, 603095, 34.36
2023-02-20,INDHOTEL, EQ,318.1,318.8,319.9,314.2, 315.20,314.75,316.44,1122331,3551.55,17969, 415074, 36.98
2023-02-21,INDHOTEL, EQ,314.75,316.0,316.7,308.7, 309.40,309.85,312.16,2178497,6800.35,21221, 887896, 40.76
2023-02-22,INDHOTEL, EQ,309.85,308.0,309.2,298.2, 299.30,299.6,302.29,4232835,12795.6,42551, 2411427, 56.97
2023-02-23,INDHOTEL, EQ,299.6,301.1,309.8,300.0,308.4,308.3,306.07,4408387,13492.92,45910, 2293262, 52.02
2023-02-24,INDHOTEL, EQ,308.3,309.45,314.4,308.15, 310.00,309.6,311.1,3867681,12032.54,36354, 1965542, 50.82
2023-02-27,INDHOTEL, EQ,309.6,310.1,318.0,307.45, 315.15,315.1,311.89,2772486,8647.0,25705, 1407953, 50.78
2023-02-28,INDHOTEL, EQ,315.1,316.45,318.35,308.7, 310.20,310.75,311.92,6413231,20004.43,33279, 4659046, 72.65
2023-03-01,INDHOTEL, EQ,310.75,312.0,316.9,309.35, 315.80,315.0,314.6,1756767,5526.82,27120, 705085, 40.14
2023-03-02,INDHOTEL, EQ,315.0,315.8,318.5,313.65, 315.30,315.1,316.08,1906846,6027.14,25917, 810576, 42.51
2023-03-03,INDHOTEL, EQ,315.1,316.05,320.0,315.5, 318.95,318.05,318.44,2452201,7808.78,25650, 951585, 38.81
2023-03-06,INDHOTEL, EQ,318.05,319.3,322.5,317.3, 319.25,319.7,320.26,2872021,9197.85,27491, 1813948, 63.16
2023-03-08,INDHOTEL, EQ,319.7,319.7,327.75,318.05, 327.20,327.0,323.85,2310325,7481.94,30926, 909265, 39.36
2023-03-09,INDHOTEL, EQ,327.0,327.2,330.7,321.05, 322.00,321.8,326.24,3685557,12023.73,50202, 1708347, 46.35
2023-03-10,INDHOTEL, EQ,321.8,321.5,321.5,313.4, 317.55,317.35,316.69,1983100,6280.25,25502, 764177, 38.53
2023-03-13,INDHOTEL, EQ,317.35,317.35,318.3,310.55, 312.00,312.15,314.46,2251942,7081.51,27060, 1161232, 51.57
2023-03-14,INDHOTEL, EQ,312.15,312.1,316.75,306.7, 314.00,315.65,311.73,2813465,8770.51,35763, 1390217, 49.41
2023-03-15,INDHOTEL, EQ,315.65,317.0,318.95,314.0, 314.60,315.65,315.87,1572618,4967.41,21008, 804773, 51.17
2023-03-16,INDHOTEL, EQ,315.65,313.15,321.9,312.15, 321.00,320.9,318.01,2239532,7122.04,38526, 1071961, 47.87
2023-03-17,INDHOTEL, EQ,320.9,322.55,324.2,319.05, 320.75,321.85,321.76,3180834,10234.68,26957, 2122720, 66.73
2023-03-20,INDHOTEL, EQ,321.85,324.4,324.4,311.45,315.6,315.1,315.2,1947923,6139.95,30095, 810623, 41.61
