DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,INDIANHUME, EQ,155.1,155.1,157.3,150.65, 155.15,155.3,154.98,30487,47.25,1066, 17064, 55.97
2023-01-03,INDIANHUME, EQ,155.3,154.75,156.5,153.45, 154.10,153.85,154.51,24264,37.49,911, 14650, 60.38
2023-01-04,INDIANHUME, EQ,153.85,154.85,155.05,149.1, 149.50,149.65,151.35,56257,85.15,1235, 39230, 69.73
2023-01-05,INDIANHUME, EQ,149.65,150.7,152.15,147.7,150.0,149.75,149.85,22801,34.17,923, 9925, 43.53
2023-01-06,INDIANHUME, EQ,149.75,150.7,151.5,147.0,148.75,147.75,148.49,24081,35.76,752, 13471, 55.94
2023-01-09,INDIANHUME, EQ,147.75,149.9,151.95,148.1,148.25,148.55,149.51,23307,34.85,889, 11496, 49.32
2023-01-10,INDIANHUME, EQ,148.55,148.5,151.0,147.8,150.0,150.05,149.39,19420,29.01,840, 13481, 69.42
2023-01-11,INDIANHUME, EQ,150.05,150.05,154.75,149.4, 153.30,153.65,152.68,27934,42.65,855, 21152, 75.72
2023-01-12,INDIANHUME, EQ,153.65,154.8,154.8,152.5, 153.00,153.25,153.15,15932,24.4,694, 10941, 68.67
2023-01-13,INDIANHUME, EQ,153.25,154.6,154.6,151.0,152.1,151.85,151.98,13342,20.28,463, 8279, 62.05
2023-01-16,INDIANHUME, EQ,151.85,150.4,153.75,149.2, 151.70,152.0,151.31,126361,191.19,660, 112172, 88.77
2023-01-17,INDIANHUME, EQ,152.0,152.0,153.15,148.8,149.2,149.4,150.59,31739,47.79,756, 20069, 63.23
2023-01-18,INDIANHUME, EQ,149.4,149.4,151.2,148.0,149.25,149.85,149.68,17582,26.32,667, 10492, 59.67
2023-01-19,INDIANHUME, EQ,149.85,149.85,150.3,147.6, 147.60,148.2,148.92,27001,40.21,606, 17429, 64.55
2023-01-20,INDIANHUME, EQ,148.2,147.65,151.4,147.6,149.0,149.3,149.48,21889,32.72,555, 15053, 68.77
2023-01-23,INDIANHUME, EQ,149.3,149.5,150.65,146.3,146.35,147.75,148.13,21525,31.88,685, 12587, 58.48
2023-01-24,INDIANHUME, EQ,147.75,149.05,151.95,148.0,148.0,148.15,149.86,26875,40.27,789, 15575, 57.95
2023-01-25,INDIANHUME, EQ,148.15,148.15,149.5,145.3, 146.00,146.35,146.71,13435,19.71,530, 7037, 52.38
2023-01-27,INDIANHUME, EQ,146.35,147.05,147.9,141.55, 143.65,143.15,143.54,23441,33.65,778, 13649, 58.23
2023-01-30,INDIANHUME, EQ,143.15,143.15,146.1,141.55, 142.30,143.45,142.9,27777,39.69,706, 20725, 74.61
2023-01-31,INDIANHUME, EQ,143.45,144.5,146.5,142.5,145.5,144.35,144.23,68112,98.24,1887, 47227, 69.34
2023-02-01,INDIANHUME, EQ,144.35,147.0,147.0,141.55, 141.85,142.95,144.69,26131,37.81,900, 13338, 51.04
2023-02-02,INDIANHUME, EQ,142.95,141.55,144.95,141.55, 142.00,142.05,143.16,13563,19.42,639, 7233, 53.33
2023-02-03,INDIANHUME, EQ,142.05,142.85,145.05,141.0, 141.10,142.35,141.86,24781,35.15,662, 17836, 71.97
2023-02-06,INDIANHUME, EQ,142.35,142.35,142.95,139.2, 139.95,139.55,140.43,33919,47.63,900, 22985, 67.76
2023-02-07,INDIANHUME, EQ,139.55,141.85,143.7,139.1, 140.30,139.7,140.85,22069,31.08,836, 10197, 46.21
2023-02-08,INDIANHUME, EQ,139.7,141.3,144.0,139.6, 144.00,143.05,141.8,33478,47.47,1067, 16658, 49.76
2023-02-09,INDIANHUME, EQ,143.05,144.35,156.5,142.05, 156.40,154.1,150.63,139532,210.17,2623, 90708, 65.01
2023-02-10,INDIANHUME, EQ,154.1,156.4,160.85,150.0, 151.00,150.65,155.41,144710,224.89,2593, 71497, 49.41
2023-02-13,INDIANHUME, EQ,150.65,152.5,152.5,142.95,144.0,143.55,146.32,41384,60.55,1106, 27414, 66.24
2023-02-14,INDIANHUME, EQ,143.55,143.0,145.45,141.0,141.15,141.65,142.32,32158,45.77,761, 18518, 57.58
2023-02-15,INDIANHUME, EQ,141.65,140.05,144.95,139.4, 143.55,143.9,142.48,22941,32.69,1267, 9824, 42.82
2023-02-16,INDIANHUME, EQ,143.9,144.9,145.25,141.0, 142.00,142.25,142.95,18959,27.1,709, 9785, 51.61
2023-02-17,INDIANHUME, EQ,142.25,143.0,143.95,142.05, 142.05,142.6,143.04,14683,21.0,375, 11520, 78.46
2023-02-20,INDIANHUME, EQ,142.6,142.6,145.4,141.2, 143.75,143.1,143.18,28680,41.06,674, 19061, 66.46
2023-02-21,INDIANHUME, EQ,143.1,144.4,144.4,141.0, 141.75,141.35,141.91,15182,21.54,523, 11722, 77.21
2023-02-22,INDIANHUME, EQ,141.35,140.8,142.95,136.9, 138.10,137.3,138.9,42198,58.61,992, 28707, 68.03
2023-02-23,INDIANHUME, EQ,137.3,137.3,140.5,137.3,138.05,138.35,138.67,18734,25.98,681, 9840, 52.52
2023-02-24,INDIANHUME, EQ,138.35,138.8,140.0,135.4, 136.00,135.7,137.25,31383,43.07,868, 20846, 66.42
