DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,INDOBORAX, EQ,136.4,136.5,142.1,136.0, 141.80,140.45,140.0,41454,58.04,776, 25379, 61.22
2023-01-03,INDOBORAX, EQ,140.45,142.0,142.0,135.0, 135.60,135.8,138.38,77209,106.84,1094, 63768, 82.59
2023-01-04,INDOBORAX, EQ,135.8,137.7,137.7,133.3, 133.90,133.7,134.48,24365,32.77,643, 14872, 61.04
2023-01-05,INDOBORAX, EQ,133.7,135.7,136.05,133.0,135.0,134.55,134.4,18286,24.58,954, 10550, 57.69
2023-01-06,INDOBORAX, EQ,134.55,134.55,134.7,132.0,134.05,133.2,133.45,15718,20.98,473, 10031, 63.82
2023-01-09,INDOBORAX, EQ,133.2,136.0,136.0,133.0,133.05,133.1,134.0,13162,17.64,394, 8258, 62.74
2023-01-10,INDOBORAX, EQ,133.1,133.05,134.15,131.1,133.45,133.05,132.63,10940,14.51,355, 5252, 48.01
2023-01-11,INDOBORAX, EQ,133.05,131.85,134.4,131.55, 132.15,132.35,132.7,12051,15.99,695, 6190, 51.37
2023-01-12,INDOBORAX, EQ,132.35,133.25,134.6,131.55, 131.80,132.15,133.34,10804,14.41,414, 6401, 59.25
2023-01-13,INDOBORAX, EQ,132.15,132.2,132.4,130.95,132.35,132.05,131.62,12225,16.09,328, 8084, 66.13
2023-01-16,INDOBORAX, EQ,132.05,133.8,135.2,130.1, 132.25,133.6,132.75,17605,23.37,545, 11675, 66.32
2023-01-17,INDOBORAX, EQ,133.6,134.0,134.0,131.55,132.2,132.1,132.47,5888,7.8,188, 3228, 54.82
2023-01-18,INDOBORAX, EQ,132.1,132.2,134.95,131.05,132.05,132.2,132.73,8602,11.42,410, 4183, 48.63
2023-01-19,INDOBORAX, EQ,132.2,134.0,134.0,131.0, 131.60,132.4,132.57,10581,14.03,267, 5361, 50.67
2023-01-20,INDOBORAX, EQ,132.4,133.7,133.7,126.6,126.6,127.0,128.5,57758,74.22,1306, 44018, 76.21
2023-01-23,INDOBORAX, EQ,127.0,129.8,130.0,125.1,127.0,127.2,127.28,22465,28.59,566, 13801, 61.43
2023-01-24,INDOBORAX, EQ,127.2,127.25,128.7,126.0,127.0,126.1,126.81,12037,15.26,379, 8451, 70.21
2023-01-25,INDOBORAX, EQ,126.1,126.1,127.65,125.1, 125.25,125.8,126.03,17793,22.42,1057, 9045, 50.83
2023-01-27,INDOBORAX, EQ,125.8,127.7,129.85,121.25, 129.50,126.3,124.65,30258,37.72,985, 18575, 61.39
2023-01-30,INDOBORAX, EQ,126.3,128.0,128.0,122.05, 123.20,123.3,124.7,14292,17.82,713, 9666, 67.63
2023-01-31,INDOBORAX, EQ,123.3,126.9,126.9,121.45,124.05,124.9,124.18,14353,17.82,524, 9370, 65.28
2023-02-01,INDOBORAX, EQ,124.9,124.9,126.55,124.0, 125.95,124.35,125.4,11011,13.81,345, 8029, 72.92
2023-02-02,INDOBORAX, EQ,124.35,124.25,125.4,122.95, 125.40,125.05,124.17,11829,14.69,300, 7911, 66.88
2023-02-03,INDOBORAX, EQ,125.05,126.8,126.8,122.0, 122.65,123.2,123.19,13009,16.03,597, 8377, 64.39
2023-02-06,INDOBORAX, EQ,123.2,124.0,129.8,122.7, 127.10,126.35,126.7,15759,19.97,502, 9191, 58.32
2023-02-07,INDOBORAX, EQ,126.35,126.0,127.75,123.85, 126.75,125.55,125.59,11542,14.5,459, 6618, 57.34
2023-02-08,INDOBORAX, EQ,125.55,126.75,127.1,124.5, 125.85,125.95,125.6,14762,18.54,463, 10881, 73.71
2023-02-09,INDOBORAX, EQ,125.95,126.9,128.0,122.05, 125.60,125.1,124.19,20748,25.77,603, 10969, 52.87
2023-02-10,INDOBORAX, EQ,125.1,124.95,139.0,122.65, 136.70,134.9,135.26,239803,324.36,3486, 105487, 43.99
2023-02-13,INDOBORAX, EQ,134.9,139.0,139.0,135.0,135.05,135.55,136.82,91978,125.84,1302, 59107, 64.26
2023-02-14,INDOBORAX, EQ,135.55,136.05,137.4,125.95,128.2,129.4,131.5,58277,76.64,1242, 31639, 54.29
2023-02-15,INDOBORAX, EQ,129.4,128.1,130.8,118.0, 119.60,120.35,123.23,151726,186.98,2335, 115257, 75.96
2023-02-16,INDOBORAX, EQ,120.35,120.45,122.2,111.95, 114.00,113.15,115.05,201864,232.24,4249, 157207, 77.88
