DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,INFRABEES, EQ,548.24,554.89,554.97,549.0, 552.78,552.54,551.79,3433,18.94,244, 3010, 87.68
2023-01-03,INFRABEES, EQ,552.54,557.97,557.97,549.01, 551.57,551.36,551.31,5124,28.25,229, 4416, 86.18
2023-01-04,INFRABEES, EQ,551.36,557.89,557.89,544.55, 555.00,546.46,547.58,3250,17.8,300, 2749, 84.58
2023-01-05,INFRABEES, EQ,546.46,553.99,553.99,541.85,549.23,547.33,545.53,2565,13.99,200, 1200, 46.78
2023-01-06,INFRABEES, EQ,547.33,549.22,550.01,544.5,547.39,547.05,547.1,2746,15.02,181, 2204, 80.26
2023-01-09,INFRABEES, EQ,547.05,549.3,554.29,548.89,551.9,552.21,552.14,3936,21.73,381, 3252, 82.62
2023-01-10,INFRABEES, EQ,552.21,552.85,555.99,545.72,547.0,549.0,548.44,5174,28.38,252, 4522, 87.40
2023-01-11,INFRABEES, EQ,549.0,549.01,549.01,541.1, 544.80,544.36,544.02,4460,24.26,240, 2215, 49.66
2023-01-12,INFRABEES, EQ,544.36,544.01,547.59,540.78, 543.63,543.64,543.33,2227,12.1,145, 1777, 79.79
2023-01-13,INFRABEES, EQ,543.64,543.34,546.99,540.0,545.55,543.6,542.38,2709,14.69,196, 1470, 54.26
2023-01-16,INFRABEES, EQ,543.6,553.11,553.11,541.0, 541.52,541.63,542.19,10884,59.01,322, 9186, 84.40
2023-01-17,INFRABEES, EQ,541.63,543.01,548.55,542.19,548.0,547.89,544.67,1929,10.51,159, 1396, 72.37
2023-01-18,INFRABEES, EQ,547.89,547.91,551.0,544.65,551.0,550.78,548.04,2473,13.55,161, 1693, 68.46
2023-01-19,INFRABEES, EQ,550.78,548.51,552.69,548.51, 551.25,551.31,550.6,5892,32.44,96, 5601, 95.06
2023-01-20,INFRABEES, EQ,551.31,549.99,552.79,545.45,548.0,547.38,549.74,2946,16.2,207, 2382, 80.86
2023-01-23,INFRABEES, EQ,547.38,550.0,552.49,536.0,543.76,545.08,544.05,8400,45.7,262, 5002, 59.55
2023-01-24,INFRABEES, EQ,545.08,549.96,549.96,540.5,543.0,541.39,542.77,6574,35.68,250, 4171, 63.45
2023-01-25,INFRABEES, EQ,541.39,541.01,541.01,533.0, 534.87,534.44,535.54,6365,34.09,485, 5444, 85.53
2023-01-27,INFRABEES, EQ,534.44,535.61,539.7,516.9, 527.20,528.44,523.56,12399,64.92,946, 9264, 74.72
2023-01-30,INFRABEES, EQ,528.44,521.31,532.99,517.0, 522.00,524.59,521.52,10318,53.81,614, 5273, 51.10
2023-01-31,INFRABEES, EQ,524.59,525.01,547.0,521.31,547.0,528.51,526.44,6605,34.77,328, 3642, 55.14
2023-02-01,INFRABEES, EQ,528.51,531.65,542.6,520.8, 525.00,523.79,527.55,27452,144.82,848, 15910, 57.96
2023-02-02,INFRABEES, EQ,523.79,525.0,529.98,517.0, 529.98,521.0,522.14,6199,32.37,571, 4066, 65.59
2023-02-03,INFRABEES, EQ,521.0,521.01,525.26,514.8, 522.64,523.73,518.16,9637,49.94,421, 3875, 40.21
2023-02-06,INFRABEES, EQ,523.73,523.74,527.99,522.72, 526.85,526.47,524.98,3031,15.91,298, 2204, 72.72
2023-02-07,INFRABEES, EQ,526.47,532.97,532.97,523.21, 524.66,525.96,526.83,2758,14.53,174, 1958, 70.99
2023-02-08,INFRABEES, EQ,525.96,525.16,529.99,525.16, 527.21,527.72,527.82,2146,11.33,176, 1139, 53.08
2023-02-09,INFRABEES, EQ,527.72,533.99,533.99,525.0, 527.00,527.37,526.81,1823,9.6,188, 1109, 60.83
2023-02-10,INFRABEES, EQ,527.37,526.01,530.0,526.0, 530.00,528.18,526.94,2056,10.83,190, 1679, 81.66
2023-02-13,INFRABEES, EQ,528.18,532.99,534.0,526.0,527.8,527.84,527.91,2283,12.05,214, 1980, 86.73
2023-02-14,INFRABEES, EQ,527.84,527.31,532.0,525.5,528.99,527.85,528.45,5893,31.14,224, 3796, 64.42
2023-02-15,INFRABEES, EQ,527.85,531.86,533.56,525.68, 531.70,532.26,529.71,2723,14.42,206, 1757, 64.52
2023-02-16,INFRABEES, EQ,532.26,548.25,548.25,532.77, 535.03,534.04,535.67,2846,15.25,204, 1775, 62.37
2023-02-17,INFRABEES, EQ,534.04,535.02,538.76,533.01, 537.00,536.28,536.55,4843,25.99,169, 2606, 53.81
2023-02-20,INFRABEES, EQ,536.28,541.94,541.94,534.0, 534.00,536.14,537.49,2870,15.43,251, 1655, 57.67
2023-02-21,INFRABEES, EQ,536.14,536.66,541.24,535.22, 535.22,535.82,537.68,2328,12.52,183, 1601, 68.77
2023-02-22,INFRABEES, EQ,535.82,535.12,535.82,524.7, 530.00,525.76,528.43,10674,56.4,389, 7619, 71.38
2023-02-23,INFRABEES, EQ,525.76,527.0,528.7,524.0,524.2,524.71,526.08,1885,9.92,151, 1526, 80.95
2023-02-24,INFRABEES, EQ,524.71,524.83,528.46,522.5, 526.00,525.8,525.62,2101,11.04,212, 1858, 88.43
2023-02-27,INFRABEES, EQ,525.8,531.97,531.97,518.06, 523.84,523.37,521.39,2908,15.16,344, 1641, 56.43
2023-02-28,INFRABEES, EQ,523.37,523.01,527.99,519.01, 521.25,521.59,522.72,3227,16.87,218, 2495, 77.32
2023-03-01,INFRABEES, EQ,521.59,522.99,525.49,521.61, 523.80,523.98,523.32,3196,16.73,202, 2891, 90.46
2023-03-02,INFRABEES, EQ,523.98,523.99,530.97,523.5, 526.04,525.16,525.49,1265,6.65,150, 967, 76.44
2023-03-03,INFRABEES, EQ,525.16,528.27,535.59,528.27, 535.51,532.88,531.98,3838,20.42,219, 3297, 85.90
2023-03-06,INFRABEES, EQ,532.88,539.97,540.29,532.87, 538.55,537.66,537.94,2532,13.62,274, 1633, 64.49
2023-03-08,INFRABEES, EQ,537.66,537.66,540.55,535.91, 540.44,539.29,538.22,3848,20.71,179, 2962, 76.98
2023-03-09,INFRABEES, EQ,539.29,544.99,544.99,536.13, 538.19,537.12,539.06,2269,12.23,191, 1825, 80.43
