DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,INOXGREEN, EQ,47.85,48.1,48.65,46.65, 47.20,47.0,47.29,812681,384.3,5606, 365819, 45.01
2023-01-03,INOXGREEN, EQ,47.0,47.0,47.65,46.7, 47.20,47.1,47.2,521748,246.29,4111, 214579, 41.13
2023-01-04,INOXGREEN, EQ,47.1,47.1,47.45,45.55, 46.60,46.15,46.18,927244,428.22,8398, 459956, 49.60
2023-01-05,INOXGREEN, EQ,46.15,46.4,47.6,45.1,45.3,45.5,46.19,887742,410.02,8753, 380146, 42.82
2023-01-06,INOXGREEN, EQ,45.5,45.6,45.75,44.15,44.5,44.7,44.78,570618,255.51,7998, 298489, 52.31
2023-01-09,INOXGREEN, EQ,44.7,44.95,45.25,43.8,44.5,44.55,44.57,628719,280.24,7885, 295234, 46.96
2023-01-10,INOXGREEN, EQ,44.55,44.5,45.65,44.45,44.55,44.7,44.92,583373,262.06,4665, 216979, 37.19
2023-01-11,INOXGREEN, EQ,44.7,44.7,47.65,44.7, 46.30,46.4,46.08,2455238,1131.37,8279, 1588198, 64.69
2023-01-12,INOXGREEN, EQ,46.4,46.65,47.65,46.2, 46.80,47.1,46.73,1842914,861.26,5048, 1357822, 73.68
2023-01-13,INOXGREEN, EQ,47.1,47.35,47.35,46.35,46.6,46.7,46.73,430840,201.35,4384, 147571, 34.25
2023-01-16,INOXGREEN, EQ,46.7,46.35,47.45,45.75, 46.20,46.45,46.7,3137419,1465.13,10227, 1585616, 50.54
2023-01-17,INOXGREEN, EQ,46.45,46.65,47.5,46.0,47.1,47.15,46.67,2283622,1065.85,12263, 267694, 11.72
2023-01-18,INOXGREEN, EQ,47.15,47.4,48.45,46.75,47.85,47.8,47.89,2074959,993.8,10970, 338940, 16.33
2023-01-19,INOXGREEN, EQ,47.8,47.6,48.3,47.55, 48.00,47.8,47.91,1034416,495.63,6063, 187810, 18.16
2023-01-20,INOXGREEN, EQ,47.8,47.8,54.7,47.65,52.6,52.8,52.05,6322813,3291.14,28291, 2476928, 39.17
2023-01-23,INOXGREEN, EQ,52.8,53.1,53.4,50.1,50.3,50.5,51.36,2646793,1359.36,12630, 664118, 25.09
2023-01-24,INOXGREEN, EQ,50.5,50.75,52.3,50.1,50.25,50.6,50.87,2390523,1216.0,10620, 429028, 17.95
2023-01-25,INOXGREEN, EQ,50.6,50.6,50.75,47.4, 47.55,47.65,48.5,2235838,1084.45,11635, 687997, 30.77
2023-01-27,INOXGREEN, EQ,47.65,47.9,49.05,45.35, 46.20,46.1,46.69,1225623,572.22,7023, 311813, 25.44
2023-01-30,INOXGREEN, EQ,46.1,46.35,47.4,45.0, 46.20,45.95,46.22,695492,321.45,5270, 200802, 28.87
2023-01-31,INOXGREEN, EQ,45.95,46.2,48.6,45.8,48.4,48.15,47.36,727392,344.51,5733, 244464, 33.61
2023-02-01,INOXGREEN, EQ,48.15,48.75,52.3,46.05, 48.50,47.85,50.05,2579122,1290.77,15865, 820208, 31.80
2023-02-02,INOXGREEN, EQ,47.85,47.95,49.8,46.0, 47.00,46.85,47.87,1442850,690.74,7023, 618940, 42.90
2023-02-03,INOXGREEN, EQ,46.85,47.1,47.75,45.5, 46.55,46.45,46.52,699778,325.55,5296, 257133, 36.74
2023-02-06,INOXGREEN, EQ,46.45,45.3,48.3,45.3, 47.10,47.1,47.15,551339,259.94,4569, 220870, 40.06
2023-02-07,INOXGREEN, EQ,47.1,47.35,47.95,46.5, 46.85,46.65,47.18,497681,234.81,3981, 266142, 53.48
2023-02-08,INOXGREEN, EQ,46.65,46.9,47.25,46.5, 47.05,46.95,46.93,448856,210.64,3288, 255447, 56.91
2023-02-09,INOXGREEN, EQ,46.95,47.0,49.65,47.0, 47.50,48.15,48.43,891784,431.9,6959, 277698, 31.14
2023-02-10,INOXGREEN, EQ,48.15,48.4,48.4,46.55, 47.00,47.0,47.46,216996,102.99,2053, 126771, 58.42
2023-02-13,INOXGREEN, EQ,47.0,47.25,47.5,45.85,46.05,46.15,46.36,524804,243.29,2928, 373033, 71.08
2023-02-14,INOXGREEN, EQ,46.15,46.4,46.45,45.0,45.15,45.1,45.34,254435,115.37,2815, 133045, 52.29
2023-02-15,INOXGREEN, EQ,45.1,45.35,45.75,45.05, 45.20,45.3,45.31,693453,314.18,2060, 603902, 87.09
