DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,INSECTICID, EQ,744.95,738.25,743.95,720.0, 720.00,721.25,724.19,40708,294.8,3952, 23692, 58.20
2023-01-03,INSECTICID, EQ,721.25,718.0,735.2,716.0, 727.00,727.25,725.27,17189,124.67,1509, 9814, 57.09
2023-01-04,INSECTICID, EQ,727.25,730.9,735.05,722.0, 722.05,724.7,727.75,6422,46.74,504, 3800, 59.17
2023-01-05,INSECTICID, EQ,724.7,728.35,732.5,709.25,715.0,714.8,714.48,21523,153.78,2446, 13202, 61.34
2023-01-06,INSECTICID, EQ,714.8,715.0,729.0,714.0,725.5,727.45,720.49,8713,62.78,851, 5185, 59.51
2023-01-09,INSECTICID, EQ,727.45,731.1,744.95,725.0,735.0,731.8,732.56,6364,46.62,713, 3726, 58.55
2023-01-10,INSECTICID, EQ,731.8,735.45,735.5,712.0,720.0,716.8,718.15,21708,155.9,1743, 14442, 66.53
2023-01-11,INSECTICID, EQ,716.8,705.05,713.75,695.3, 697.00,699.05,702.36,10410,73.12,1356, 5100, 48.99
2023-01-12,INSECTICID, EQ,699.05,694.0,697.8,681.95, 685.10,687.25,687.53,7507,51.61,1179, 3398, 45.26
2023-01-13,INSECTICID, EQ,687.25,689.0,690.0,671.0,690.0,679.15,677.29,10202,69.1,1200, 5183, 50.80
2023-01-16,INSECTICID, EQ,679.15,673.0,682.55,640.6, 641.00,645.65,658.09,30495,200.68,3573, 16102, 52.80
2023-01-17,INSECTICID, EQ,645.65,642.0,654.35,616.0,626.0,625.35,630.03,29521,185.99,3484, 10972, 37.17
2023-01-18,INSECTICID, EQ,625.35,626.0,628.0,615.25,620.05,622.25,621.07,13875,86.17,1233, 6633, 47.81
2023-01-19,INSECTICID, EQ,622.25,622.0,626.0,610.0, 611.00,616.05,617.94,12221,75.52,1721, 6838, 55.95
2023-01-20,INSECTICID, EQ,616.05,616.3,617.25,605.0,614.15,610.15,611.81,13687,83.74,1523, 7437, 54.34
2023-01-23,INSECTICID, EQ,610.15,613.25,617.9,604.0,615.0,610.45,610.81,9871,60.29,1135, 5091, 51.58
2023-01-24,INSECTICID, EQ,610.45,610.0,616.2,605.0,614.7,612.75,610.85,11394,69.6,1603, 5088, 44.66
2023-01-25,INSECTICID, EQ,612.75,612.75,615.45,605.7, 610.00,609.3,609.99,8999,54.89,971, 6299, 70.00
2023-01-27,INSECTICID, EQ,609.3,605.15,616.45,574.3, 601.70,593.3,590.9,23333,137.87,2290, 14745, 63.19
2023-01-30,INSECTICID, EQ,593.3,596.3,599.9,575.0, 578.95,575.85,584.57,5108,29.86,996, 2641, 51.70
2023-01-31,INSECTICID, EQ,575.85,585.0,632.05,584.75,629.9,612.55,605.4,26203,158.63,1427, 17657, 67.39
2023-02-01,INSECTICID, EQ,612.55,615.65,636.0,604.0, 607.25,614.15,625.39,8944,55.93,1709, 4292, 47.99
2023-02-02,INSECTICID, EQ,614.15,598.15,615.0,598.15, 610.05,612.95,610.11,4048,24.7,754, 1684, 41.60
2023-02-03,INSECTICID, EQ,612.95,605.0,615.0,594.1, 615.00,604.85,602.31,6644,40.02,999, 3435, 51.70
2023-02-06,INSECTICID, EQ,604.85,604.85,611.5,599.9, 602.00,602.55,603.26,2204,13.3,549, 1097, 49.77
2023-02-07,INSECTICID, EQ,602.55,605.6,605.6,595.0, 599.95,597.45,598.34,16231,97.12,743, 14347, 88.39
2023-02-08,INSECTICID, EQ,597.45,597.45,604.9,587.3, 600.00,594.1,595.61,9632,57.37,1009, 7268, 75.46
2023-02-09,INSECTICID, EQ,594.1,596.7,599.5,592.0, 598.70,595.5,595.17,1766,10.51,504, 761, 43.09
2023-02-10,INSECTICID, EQ,595.5,598.5,598.5,591.85, 593.00,594.25,594.76,3178,18.9,513, 1691, 53.21
2023-02-13,INSECTICID, EQ,594.25,591.5,600.1,575.0,584.0,581.7,587.42,8184,48.07,779, 4348, 53.13
2023-02-14,INSECTICID, EQ,581.7,584.0,609.45,576.35,582.0,583.45,598.5,44956,269.06,2389, 11012, 24.50
