DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,IOC, EQ,76.5,77.0,78.55,76.45, 78.15,78.0,77.88,16878293,13144.42,50327, 7974846, 47.25
2023-01-03,IOC, EQ,78.0,78.0,78.9,77.7, 78.50,78.5,78.42,11509540,9025.5,46573, 4260058, 37.01
2023-01-04,IOC, EQ,78.5,78.9,79.5,77.4, 78.10,78.1,78.32,11974831,9378.18,37887, 4191663, 35.00
2023-01-05,IOC, EQ,78.1,78.75,79.25,78.35,79.2,79.1,78.85,14449439,11393.98,48670, 6297113, 43.58
2023-01-06,IOC, EQ,79.1,79.3,80.8,79.0,79.95,80.05,79.94,19075518,15248.8,60620, 7450026, 39.06
2023-01-09,IOC, EQ,80.05,80.85,81.0,79.65,80.05,80.1,80.3,16438468,13199.55,53509, 5827835, 35.45
2023-01-10,IOC, EQ,80.1,80.55,80.8,79.7,80.55,80.6,80.32,11953196,9600.97,46696, 4687623, 39.22
2023-01-11,IOC, EQ,80.6,80.85,84.05,80.6, 83.55,83.55,82.99,44099830,36596.35,109996, 17794614, 40.35
2023-01-12,IOC, EQ,83.55,83.75,83.9,81.2, 81.55,81.6,81.76,16440461,13441.83,64953, 6135667, 37.32
2023-01-13,IOC, EQ,81.6,81.55,82.45,81.1,82.2,82.3,82.07,8018070,6580.1,35484, 3217005, 40.12
2023-01-16,IOC, EQ,82.3,82.45,82.7,81.75, 82.10,82.25,82.18,9367702,7698.83,31479, 4346556, 46.40
2023-01-17,IOC, EQ,82.25,82.3,82.7,81.0,81.7,81.6,81.68,8776414,7168.48,37505, 3849276, 43.86
2023-01-18,IOC, EQ,81.6,81.45,82.9,81.25,82.15,82.15,82.09,7980164,6550.78,39334, 3819563, 47.86
2023-01-19,IOC, EQ,82.15,82.15,83.4,81.9, 83.20,83.25,82.89,9857262,8170.87,36903, 5209271, 52.85
2023-01-20,IOC, EQ,83.25,83.2,83.55,82.75,83.0,82.9,83.19,9411562,7829.61,34264, 4360011, 46.33
2023-01-23,IOC, EQ,82.9,83.15,83.6,82.6,83.45,83.45,83.21,6972772,5801.97,30268, 3494586, 50.12
2023-01-24,IOC, EQ,83.45,83.8,83.8,82.7,83.15,83.15,83.14,7069973,5878.31,34504, 3191686, 45.14
2023-01-25,IOC, EQ,83.15,82.9,83.4,82.3, 82.85,82.5,82.82,8188678,6781.57,31526, 3660737, 44.70
2023-01-27,IOC, EQ,82.5,82.55,83.05,80.0, 81.15,81.0,81.04,10838959,8784.26,45911, 4952488, 45.69
2023-01-30,IOC, EQ,81.0,81.0,82.5,80.4, 81.95,81.75,81.6,10783051,8798.63,41722, 4924484, 45.67
2023-01-31,IOC, EQ,81.75,82.5,83.3,81.15,81.9,81.75,82.29,21752061,17898.99,67683, 10612362, 48.79
2023-02-01,IOC, EQ,81.75,81.7,81.95,78.35, 79.80,79.8,80.55,20031377,16135.63,62410, 9255132, 46.20
2023-02-02,IOC, EQ,79.8,79.6,80.0,78.15, 78.50,78.55,78.86,10817457,8530.28,48793, 4626442, 42.77
2023-02-03,IOC, EQ,78.55,78.9,78.9,76.9, 78.50,78.45,77.79,11116563,8647.82,54998, 4837197, 43.51
2023-02-06,IOC, EQ,78.45,78.5,79.6,78.1, 79.25,79.25,79.01,9507602,7512.37,44028, 3842419, 40.41
2023-02-07,IOC, EQ,79.25,79.25,79.75,78.65, 79.10,79.05,79.07,6876198,5436.73,33029, 3559011, 51.76
2023-02-08,IOC, EQ,79.05,79.0,79.4,78.3, 79.20,79.25,78.9,6093832,4808.24,31240, 2513204, 41.24
2023-02-09,IOC, EQ,79.25,79.2,80.7,78.9, 79.65,79.6,79.86,8609974,6875.78,41710, 3397077, 39.46
2023-02-10,IOC, EQ,79.6,79.65,80.45,79.5, 79.70,79.8,79.93,6286269,5024.67,29353, 2705738, 43.04
2023-02-13,IOC, EQ,79.8,80.0,80.25,79.25,79.45,79.5,79.62,6470826,5152.22,28510, 3582899, 55.37
2023-02-14,IOC, EQ,79.5,79.45,79.85,78.65,79.05,79.15,79.12,5013825,3966.8,26092, 2177915, 43.44
2023-02-15,IOC, EQ,79.15,78.45,79.75,78.45, 79.65,79.5,79.12,3686045,2916.54,22032, 1658956, 45.01
2023-02-16,IOC, EQ,79.5,79.85,80.05,79.2, 79.80,79.8,79.74,8603036,6859.67,30293, 4367193, 50.76
2023-02-17,IOC, EQ,79.8,79.9,81.05,79.6, 80.55,80.55,80.41,9145422,7354.08,36360, 4050129, 44.29
2023-02-20,IOC, EQ,80.55,80.7,80.95,79.3, 79.40,79.55,80.02,6867570,5495.42,29779, 3058929, 44.54
2023-02-21,IOC, EQ,79.55,80.0,80.25,79.0, 79.05,79.2,79.61,4633296,3688.62,24589, 2041011, 44.05
2023-02-22,IOC, EQ,79.2,78.65,78.8,77.1, 77.40,77.3,77.6,9878001,7665.8,38587, 4853657, 49.14
2023-02-23,IOC, EQ,77.3,77.7,77.9,76.75,77.45,77.2,77.37,6290065,4866.89,31281, 2636300, 41.91
2023-02-24,IOC, EQ,77.2,77.5,77.65,77.1, 77.35,77.35,77.34,6103178,4720.14,23762, 3264420, 53.49
2023-02-27,IOC, EQ,77.35,77.35,77.4,76.2, 77.05,76.85,76.72,6945215,5328.21,34320, 3050176, 43.92
2023-02-28,IOC, EQ,76.85,76.9,77.05,75.8, 76.00,76.05,76.17,10000095,7617.05,34837, 6160279, 61.60
2023-03-01,IOC, EQ,76.05,76.0,77.2,75.85, 77.05,76.95,76.71,6694749,5135.37,29947, 3529930, 52.73
2023-03-02,IOC, EQ,76.95,77.0,78.15,76.8, 78.00,77.9,77.71,5273986,4098.61,29379, 2463563, 46.71
2023-03-03,IOC, EQ,77.9,78.15,78.45,77.7, 78.10,78.2,78.14,5522499,4315.34,28868, 2493559, 45.15
2023-03-06,IOC, EQ,78.2,78.3,79.8,78.05, 79.35,79.25,79.21,8582554,6798.37,36663, 4412574, 51.41
2023-03-08,IOC, EQ,79.25,78.75,79.35,78.5, 79.20,79.2,79.06,5969771,4719.62,29412, 2837574, 47.53
2023-03-09,IOC, EQ,79.2,79.3,79.45,78.55, 78.65,78.7,78.99,6135751,4846.35,30487, 3701624, 60.33
2023-03-10,IOC, EQ,78.7,78.5,79.25,77.5, 78.95,78.9,78.57,6305111,4953.76,28724, 2657878, 42.15
2023-03-13,IOC, EQ,78.9,78.5,78.9,77.65, 77.80,77.8,78.27,7151999,5597.9,30648, 3633471, 50.80
2023-03-14,IOC, EQ,77.8,77.85,78.1,77.25, 77.90,77.7,77.69,8316642,6461.28,31323, 4653889, 55.96
2023-03-15,IOC, EQ,77.7,78.25,79.05,78.0, 78.60,78.6,78.66,8183051,6436.96,33087, 3980705, 48.65
2023-03-16,IOC, EQ,78.6,79.0,80.45,78.75, 80.10,79.9,79.82,27348566,21828.58,72427, 12726930, 46.54
2023-03-17,IOC, EQ,79.9,80.6,80.85,78.85, 79.25,79.3,79.53,22904016,18214.74,56872, 14181658, 61.92
2023-03-20,IOC, EQ,79.3,79.2,80.7,78.7,80.65,80.6,80.25,18090005,14517.16,59921, 8462289, 46.78
2023-03-21,IOC, EQ,80.6,80.8,81.15,79.3, 79.65,79.55,79.79,9942587,7932.86,37957, 4227252, 42.52
2023-03-22,IOC, EQ,79.55,79.8,79.95,79.1, 79.60,79.6,79.51,8162089,6489.59,29109, 3693105, 45.25
2023-03-23,IOC, EQ,79.6,79.35,79.6,78.8, 79.05,79.0,79.11,7065528,5589.36,28101, 3844732, 54.42
2023-03-24,IOC, EQ,79.0,78.85,79.2,78.0, 78.20,78.4,78.55,10269895,8066.61,28918, 5921910, 57.66
2023-03-27,IOC, EQ,78.4,78.0,78.4,76.75, 76.90,77.1,77.7,4845906,3765.41,35367, 2066562, 42.65
2023-03-28,IOC, EQ,77.1,76.9,77.4,75.75, 77.10,76.9,76.49,7446988,5695.92,34933, 3414084, 45.85
2023-03-29,IOC, EQ,76.9,76.85,77.55,76.65, 77.15,76.9,77.03,9921198,7642.01,40221, 4737586, 47.75
2023-03-31,IOC, EQ,76.9,77.3,78.35,77.2, 78.10,77.9,77.8,9748505,7584.46,37944, 5886760, 60.39
2023-04-03,IOC, EQ,77.9,77.25,78.25,76.9, 77.65,77.5,77.42,11416090,8838.79,39691, 5778144, 50.61
2023-04-05,IOC, EQ,77.5,78.05,78.25,77.0, 77.20,77.15,77.33,6867318,5310.77,36138, 3807999, 55.45
2023-04-06,IOC, EQ,77.15,77.15,77.85,76.9, 77.75,77.7,77.43,5063531,3920.87,23261, 2485102, 49.08
2023-04-10,IOC, EQ,77.7,77.7,78.2,77.4, 77.85,77.8,77.76,5706517,4437.27,30830, 2631721, 46.12
2023-04-11,IOC, EQ,77.8,77.8,78.1,77.65, 77.95,77.9,77.87,2998570,2335.08,18424, 1575880, 52.55
2023-04-12,IOC, EQ,77.9,77.9,78.2,77.55, 78.15,78.0,77.88,4182972,3257.55,21010, 2323984, 55.56
2023-04-13,IOC, EQ,78.0,78.0,78.15,77.0, 77.25,77.2,77.31,6411454,4956.76,32285, 3450867, 53.82
2023-04-17,IOC, EQ,77.2,77.2,77.45,76.8, 77.35,77.25,77.15,7736935,5969.15,29334, 5025869, 64.96
2023-04-18,IOC, EQ,77.25,77.2,78.1,77.2, 77.95,78.0,77.76,5096362,3962.84,25552, 2708447, 53.14
2023-04-19,IOC, EQ,78.0,77.95,78.75,77.7, 78.70,78.55,78.26,7940271,6214.13,28614, 3783412, 47.65
2023-04-20,IOC, EQ,78.55,78.9,79.1,78.1, 78.30,78.2,78.56,7789377,6119.06,26783, 3420693, 43.91
2023-04-21,IOC, EQ,78.2,78.75,78.75,77.85, 78.15,78.25,78.19,5001767,3910.67,23894, 2138492, 42.75
2023-04-24,IOC, EQ,78.25,78.3,78.6,77.95, 78.30,78.25,78.16,7060879,5519.0,27222, 3668485, 51.96
2023-04-25,IOC, EQ,78.25,78.25,78.85,78.05,78.45,78.45,78.54,4656411,3656.99,22633, 2224227, 47.77
2023-04-26,IOC, EQ,78.45,78.35,78.85,78.15, 78.45,78.45,78.46,5090493,3993.98,21582, 2751145, 54.04
2023-04-27,IOC, EQ,78.45,78.55,80.75,78.55, 80.50,80.45,79.99,17036886,13627.55,51616, 7532187, 44.21
2023-04-28,IOC, EQ,80.45,80.95,81.55,80.4, 81.35,81.4,81.03,11996476,9720.89,46700, 7415788, 61.82
2023-05-02,IOC, EQ,81.4,81.75,82.7,81.4, 82.05,82.15,82.2,11768608,9674.38,55076, 6442320, 54.74
2023-05-03,IOC, EQ,82.15,82.45,83.6,82.45,82.8,82.7,82.82,12067736,9994.1,41499, 4621939, 38.30
