DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,IRISDOREME, EQ,254.1,263.0,263.0,255.05, 259.00,258.25,257.46,10973,28.25,98, 457, 4.16
2023-01-03,IRISDOREME, EQ,258.25,264.0,265.0,249.0, 249.00,251.35,258.03,14056,36.27,182, 2038, 14.50
2023-01-04,IRISDOREME, EQ,251.35,259.0,259.0,248.2, 249.00,250.25,253.1,11402,28.86,138, 779, 6.83
2023-01-05,IRISDOREME, EQ,250.25,255.0,255.0,247.25,250.0,251.5,250.03,13280,33.2,178, 2327, 17.52
2023-01-06,IRISDOREME, EQ,251.5,255.0,255.0,250.0,255.0,252.7,252.53,11921,30.1,132, 2212, 18.56
2023-01-09,IRISDOREME, EQ,252.7,257.75,265.3,255.0,260.1,262.65,259.91,20588,53.51,314, 7185, 34.90
2023-01-10,IRISDOREME, EQ,262.65,263.0,270.95,256.05,262.9,261.1,262.68,13706,36.0,219, 1228, 8.96
2023-01-11,IRISDOREME, EQ,261.1,264.9,265.1,258.1, 265.10,263.1,260.83,12193,31.8,147, 1309, 10.74
2023-01-12,IRISDOREME, EQ,263.1,270.0,270.0,259.0, 259.00,259.9,262.19,12368,32.43,340, 594, 4.80
2023-01-13,IRISDOREME, EQ,259.9,264.3,264.9,253.6,262.0,261.2,261.85,12710,33.28,943, 384, 3.02
2023-01-16,IRISDOREME, EQ,261.2,261.2,267.0,256.5, 263.55,259.05,261.74,18814,49.24,1380, 1284, 6.82
2023-01-17,IRISDOREME, EQ,259.05,262.95,264.0,259.05,264.0,261.65,261.57,12758,33.37,814, 557, 4.37
2023-01-18,IRISDOREME, EQ,261.65,265.0,272.95,260.05,272.0,270.05,265.38,14750,39.14,649, 5973, 40.49
2023-01-19,IRISDOREME, EQ,270.05,273.5,276.9,271.55, 275.85,275.45,274.46,9105,24.99,393, 1526, 16.76
2023-01-20,IRISDOREME, EQ,275.45,271.95,283.0,269.25,280.0,280.4,277.95,19806,55.05,284, 10041, 50.70
2023-01-23,IRISDOREME, EQ,280.4,288.0,290.45,280.0,285.0,286.25,287.34,12363,35.52,279, 3823, 30.92
2023-01-24,IRISDOREME, EQ,286.25,293.5,295.0,287.05,292.0,289.35,292.17,12246,35.78,258, 2416, 19.73
2023-01-25,IRISDOREME, EQ,289.35,290.0,294.8,286.0, 286.15,286.4,288.68,16287,47.02,186, 5626, 34.54
