DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ITI, EQ,103.6,103.95,107.0,103.5, 106.30,106.35,105.56,312724,330.11,4659, 96188, 30.76
2023-01-03,ITI, EQ,106.35,106.8,106.8,104.6, 105.25,105.2,105.54,197597,208.54,4159, 77912, 39.43
2023-01-04,ITI, EQ,105.2,105.25,105.7,103.6, 104.30,104.1,104.5,140233,146.55,2428, 59456, 42.40
2023-01-05,ITI, EQ,104.1,104.9,104.95,103.2,104.45,104.0,104.0,120737,125.56,2400, 40697, 33.71
2023-01-06,ITI, EQ,104.0,104.3,104.65,101.6,103.0,102.65,103.01,168560,173.64,3637, 67867, 40.26
2023-01-09,ITI, EQ,102.65,103.4,104.4,102.8,103.3,103.2,103.37,127798,132.1,2220, 41192, 32.23
2023-01-10,ITI, EQ,103.2,103.3,103.9,102.0,103.0,103.15,102.66,91503,93.94,2418, 39350, 43.00
2023-01-11,ITI, EQ,103.15,103.8,105.3,103.15, 103.75,104.1,104.38,300221,313.36,4237, 81038, 26.99
2023-01-12,ITI, EQ,104.1,104.75,104.9,102.9, 103.70,103.65,103.61,89379,92.6,2113, 27666, 30.95
2023-01-13,ITI, EQ,103.65,107.0,111.45,105.8,108.7,109.35,109.43,8375379,9165.19,49391, 527875, 6.30
2023-01-16,ITI, EQ,109.35,107.35,108.3,106.0, 106.20,106.35,107.1,587816,629.56,8728, 170168, 28.95
2023-01-17,ITI, EQ,106.35,106.3,106.3,104.55,105.0,105.15,105.26,234750,247.1,3223, 71365, 30.40
2023-01-18,ITI, EQ,105.15,105.65,107.0,104.15,104.9,105.2,105.8,361194,382.13,5291, 48761, 13.50
2023-01-19,ITI, EQ,105.2,104.55,106.65,104.55, 105.25,105.3,105.57,462926,488.71,6867, 68308, 14.76
2023-01-20,ITI, EQ,105.3,105.8,105.95,103.7,104.45,104.3,104.87,147505,154.69,2679, 52452, 35.56
2023-01-23,ITI, EQ,104.3,104.9,105.5,103.2,103.4,103.6,104.14,266288,277.32,5228, 65495, 24.60
2023-01-24,ITI, EQ,103.6,103.25,104.35,103.2,103.85,103.6,103.81,179522,186.36,2923, 69469, 38.70
2023-01-25,ITI, EQ,103.6,103.35,103.85,101.6, 102.50,102.0,102.51,179384,183.88,2725, 73573, 41.01
2023-01-27,ITI, EQ,102.0,102.7,103.55,99.55, 100.70,100.5,100.65,186123,187.33,4689, 73575, 39.53
2023-01-30,ITI, EQ,100.5,100.5,101.45,99.45, 100.15,100.6,100.46,180648,181.48,3605, 59779, 33.09
2023-01-31,ITI, EQ,100.6,100.65,103.1,100.65,102.85,102.9,102.0,182511,186.17,3135, 71082, 38.95
2023-02-01,ITI, EQ,102.9,102.95,104.55,99.5, 100.00,100.45,102.19,268752,274.62,4669, 98182, 36.53
2023-02-02,ITI, EQ,100.45,100.0,101.75,99.8, 100.30,100.75,100.59,126835,127.59,4853, 34668, 27.33
2023-02-03,ITI, EQ,100.75,101.4,102.0,98.4, 100.70,100.05,99.59,187149,186.37,4234, 54615, 29.18
2023-02-06,ITI, EQ,100.05,99.35,102.9,99.35, 100.20,100.3,100.38,100704,101.09,2983, 34071, 33.83
2023-02-07,ITI, EQ,100.3,100.9,101.15,99.25, 100.15,100.0,100.04,94762,94.8,2385, 44100, 46.54
2023-02-08,ITI, EQ,100.0,99.95,101.9,99.5, 100.70,100.75,100.52,121223,121.85,2586, 48743, 40.21
2023-02-09,ITI, EQ,100.75,100.9,101.9,99.55, 100.30,100.2,100.43,142631,143.25,3591, 40469, 28.37
2023-02-10,ITI, EQ,100.2,100.75,101.35,100.05, 100.60,100.3,100.51,87097,87.54,2830, 29148, 33.47
2023-02-13,ITI, EQ,100.3,100.7,101.05,99.0,99.0,99.45,99.72,71637,71.44,2360, 29524, 41.21
2023-02-14,ITI, EQ,99.45,99.05,99.9,98.4,99.3,98.85,98.91,87787,86.83,2386, 33273, 37.90
2023-02-15,ITI, EQ,98.85,98.8,99.75,98.15, 98.40,98.8,98.98,76808,76.02,1989, 32738, 42.62
2023-02-16,ITI, EQ,98.8,99.7,99.9,99.0, 99.60,99.4,99.37,74317,73.85,1862, 34515, 46.44
2023-02-17,ITI, EQ,99.4,99.6,99.8,98.05, 98.20,98.4,98.93,94646,93.63,3073, 32272, 34.10
2023-02-20,ITI, EQ,98.4,98.45,98.9,97.1, 97.90,97.7,97.74,108002,105.56,2901, 30457, 28.20
2023-02-21,ITI, EQ,97.7,97.85,98.5,96.55, 97.35,97.15,97.74,161234,157.59,1955, 115307, 71.52
2023-02-22,ITI, EQ,97.15,98.0,105.8,98.0, 98.40,99.25,102.92,5281584,5436.06,40892, 390729, 7.40
2023-02-23,ITI, EQ,99.25,99.25,100.5,97.25,97.5,97.8,98.17,317574,311.78,4850, 100176, 31.54
2023-02-24,ITI, EQ,97.8,98.3,98.7,96.8, 96.95,97.3,97.51,157984,154.05,3255, 47426, 30.02
2023-02-27,ITI, EQ,97.3,97.7,99.0,94.0, 94.80,94.6,95.23,197565,188.15,4141, 65155, 32.98
2023-02-28,ITI, EQ,94.6,95.55,95.55,93.3, 94.85,94.25,94.19,120148,113.16,2634, 41098, 34.21
2023-03-01,ITI, EQ,94.25,94.5,96.55,94.4, 95.40,95.35,95.16,188383,179.27,3401, 89055, 47.27
2023-03-02,ITI, EQ,95.35,95.5,96.45,94.4, 94.75,94.65,95.15,109132,103.84,2490, 45231, 41.45
2023-03-03,ITI, EQ,94.65,94.95,95.75,94.6, 95.00,95.0,95.14,148785,141.55,2520, 66752, 44.86
2023-03-06,ITI, EQ,95.0,95.7,96.5,95.1, 95.50,95.4,95.63,174717,167.09,2519, 98421, 56.33
2023-03-08,ITI, EQ,95.4,96.4,96.4,94.65, 95.55,95.35,95.31,105611,100.66,2557, 35637, 33.74
2023-03-09,ITI, EQ,95.35,95.05,96.2,95.05, 95.10,95.3,95.52,81495,77.85,1940, 29711, 36.46
2023-03-10,ITI, EQ,95.3,94.8,94.8,93.8, 94.20,94.2,94.22,82442,77.68,1841, 43801, 53.13
2023-03-13,ITI, EQ,94.2,94.45,94.75,91.4, 92.15,91.95,92.58,121367,112.36,2580, 62706, 51.67
2023-03-14,ITI, EQ,91.95,92.0,94.2,89.7, 90.90,90.95,90.94,112143,101.98,2573, 44294, 39.50
2023-03-15,ITI, EQ,90.95,91.75,92.2,90.3, 91.90,90.75,90.78,89659,81.39,2317, 40221, 44.86
2023-03-16,ITI, EQ,90.75,91.9,91.9,88.2, 90.25,89.4,89.27,125706,112.22,3574, 39400, 31.34
2023-03-17,ITI, EQ,89.4,90.75,90.95,89.0, 90.40,90.25,90.09,115663,104.2,2145, 44756, 38.70
2023-03-20,ITI, EQ,90.25,90.2,94.35,88.6,89.05,89.25,89.35,95362,85.21,2032, 30732, 32.23
2023-03-21,ITI, EQ,89.25,90.45,90.5,88.55, 88.85,88.7,89.1,77477,69.03,1627, 34130, 44.05
2023-03-22,ITI, EQ,88.7,89.45,89.75,88.65, 89.00,88.95,89.07,58278,51.91,1289, 29710, 50.98
2023-03-23,ITI, EQ,88.95,88.95,89.25,87.15, 88.30,87.65,88.22,100136,88.34,2244, 40192, 40.14
2023-03-24,ITI, EQ,87.65,88.8,99.95,88.3, 94.75,98.2,97.26,16645375,16188.73,66511, 521432, 3.13
2023-03-27,ITI, EQ,98.2,94.45,96.4,88.15, 90.20,90.85,93.61,2884242,2700.02,14275, 339866, 11.78
2023-03-28,ITI, EQ,90.85,90.4,91.2,86.55, 87.30,87.1,88.12,856394,754.69,9375, 191551, 22.37
2023-03-29,ITI, EQ,87.1,88.6,94.8,88.6, 90.20,90.35,92.77,7582782,7034.77,38717, 239385, 3.16
2023-03-31,ITI, EQ,90.35,91.9,92.55,89.0, 90.35,90.15,90.94,683284,621.4,5995, 145550, 21.30
2023-04-03,ITI, EQ,90.15,91.3,91.8,90.25, 91.40,91.0,90.84,300017,272.52,3352, 82387, 27.46
