DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,IVP, EQ,125.05,127.0,128.9,126.15, 127.55,127.65,127.37,10875,13.85,497, 7156, 65.80
2023-01-03,IVP, EQ,127.65,130.0,130.0,126.1, 128.00,127.65,128.31,6589,8.45,251, 4472, 67.87
2023-01-04,IVP, EQ,127.65,127.0,130.25,126.2, 130.25,129.25,128.55,10374,13.34,312, 7178, 69.19
2023-01-05,IVP, EQ,129.25,129.35,141.0,128.15,135.1,136.3,136.9,64716,88.6,1830, 21053, 32.53
2023-01-06,IVP, EQ,136.3,135.0,144.0,134.0,138.45,138.0,139.18,22205,30.91,798, 12948, 58.31
2023-01-09,IVP, EQ,138.0,143.0,143.0,137.0,140.2,139.2,140.57,19172,26.95,539, 13067, 68.16
2023-01-10,IVP, EQ,139.2,135.7,139.65,135.25,137.5,137.5,137.06,5293,7.25,148, 3974, 75.08
2023-01-11,IVP, EQ,137.5,137.95,140.0,135.25, 138.35,137.75,136.68,4848,6.63,135, 3085, 63.63
2023-01-12,IVP, EQ,137.75,137.95,137.95,135.8, 136.00,136.05,136.29,1859,2.53,58, 1205, 64.82
2023-01-13,IVP, EQ,136.05,135.7,135.7,133.3,134.75,134.35,133.92,4485,6.01,150, 2520, 56.19
2023-01-16,IVP, EQ,134.35,135.0,137.25,133.0, 133.10,133.5,134.6,3593,4.84,254, 1802, 50.15
2023-01-17,IVP, EQ,133.5,134.1,135.7,133.6,134.75,134.25,134.43,1634,2.2,90, 1193, 73.01
2023-01-18,IVP, EQ,134.25,134.0,135.9,132.25,135.0,133.0,133.52,3642,4.86,150, 2391, 65.65
2023-01-19,IVP, EQ,133.0,131.8,132.85,130.7, 130.70,131.0,131.34,3415,4.49,92, 2738, 80.18
2023-01-20,IVP, EQ,131.0,130.5,134.0,127.7,133.85,132.25,130.07,3105,4.04,135, 1291, 41.58
2023-01-23,IVP, EQ,132.25,134.8,134.8,128.5,128.75,130.2,131.43,7769,10.21,304, 5020, 64.62
2023-01-24,IVP, EQ,130.2,132.25,132.25,128.1,128.1,128.65,129.96,1679,2.18,57, 1264, 75.28
2023-01-25,IVP, EQ,128.65,127.65,130.0,127.6, 128.05,128.2,128.4,1743,2.24,58, 1305, 74.87
2023-01-27,IVP, EQ,128.2,126.85,127.75,123.05, 127.20,125.6,126.05,6767,8.53,152, 4069, 60.13
2023-01-30,IVP, EQ,125.6,125.6,131.35,123.0, 130.90,130.05,129.15,4060,5.24,203, 2174, 53.55
2023-01-31,IVP, EQ,130.05,131.0,131.0,127.3,130.5,129.65,129.91,724,0.94,33, 515, 71.13
2023-02-01,IVP, EQ,129.65,132.5,134.0,127.55, 130.00,129.65,131.52,11280,14.84,293, 6356, 56.35
2023-02-02,IVP, EQ,129.65,129.65,132.0,127.2, 131.80,130.4,129.58,5341,6.92,120, 3494, 65.42
2023-02-03,IVP, EQ,130.4,128.4,132.9,125.25, 128.50,131.1,129.38,4148,5.37,142, 3042, 73.34
2023-02-06,IVP, EQ,131.1,132.5,132.5,126.2, 127.00,127.7,128.01,9860,12.62,227, 6529, 66.22
2023-02-07,IVP, EQ,127.7,127.05,128.35,126.0, 128.25,127.7,127.18,3942,5.01,226, 1106, 28.06
2023-02-08,IVP, EQ,127.7,127.7,130.85,127.1, 129.55,127.95,128.42,1589,2.04,53, 1101, 69.29
2023-02-09,IVP, EQ,127.95,128.85,144.0,128.0, 135.50,136.8,136.59,41663,56.91,662, 17515, 42.04
2023-02-10,IVP, EQ,136.8,132.05,137.0,131.15, 132.00,132.6,133.95,18296,24.51,309, 12373, 67.63
2023-02-13,IVP, EQ,132.6,129.05,134.8,129.05,132.75,132.35,132.67,4434,5.88,147, 3545, 79.95
2023-02-14,IVP, EQ,132.35,133.0,133.4,130.1,130.55,131.75,131.78,4534,5.97,150, 2277, 50.22
2023-02-15,IVP, EQ,131.75,129.3,132.95,128.3, 131.60,131.15,131.32,4101,5.39,115, 3116, 75.98
2023-02-16,IVP, EQ,131.15,132.9,133.0,130.1, 130.70,130.85,131.09,4465,5.85,95, 3326, 74.49
2023-02-17,IVP, EQ,130.85,131.75,133.75,131.1, 131.85,132.15,132.39,5802,7.68,129, 3699, 63.75
2023-02-20,IVP, EQ,132.15,132.4,132.4,129.1, 129.15,129.55,129.95,2150,2.79,59, 1440, 66.98
2023-02-21,IVP, EQ,129.55,130.15,132.9,130.1, 132.00,132.25,131.73,3362,4.43,62, 2434, 72.40
2023-02-22,IVP, EQ,132.25,131.55,131.9,130.5, 130.55,130.55,131.29,1190,1.56,25, 1080, 90.76
2023-02-23,IVP, EQ,130.55,132.7,132.7,129.95,129.95,130.05,130.99,2380,3.12,63, 1989, 83.57
2023-02-24,IVP, EQ,130.05,130.0,132.5,126.35, 127.40,128.2,129.32,3507,4.54,167, 2673, 76.22
2023-02-27,IVP, EQ,128.2,126.65,129.45,125.1, 125.10,126.45,125.99,4979,6.27,358, 2623, 52.68
2023-02-28,IVP, EQ,126.45,126.9,128.75,125.1, 125.15,125.25,126.96,3128,3.97,156, 2264, 72.38
2023-03-01,IVP, EQ,125.25,126.0,127.9,125.85, 125.95,126.35,126.53,3391,4.29,78, 2696, 79.50
2023-03-02,IVP, EQ,126.35,126.0,126.95,124.6, 125.20,125.35,125.53,1589,1.99,71, 1031, 64.88
2023-03-03,IVP, EQ,125.35,125.2,128.45,125.2, 126.85,127.65,126.76,593,0.75,59, 301, 50.76
2023-03-06,IVP, EQ,127.65,130.3,130.3,126.15, 126.20,126.65,127.69,8822,11.26,507, 4936, 55.95
2023-03-08,IVP, EQ,126.65,126.95,129.8,125.55, 127.50,127.65,128.06,5219,6.68,161, 3838, 73.54
2023-03-09,IVP, EQ,127.65,128.75,128.75,125.1, 127.00,126.05,126.79,3552,4.5,298, 1557, 43.83
2023-03-10,IVP, EQ,126.05,127.65,127.75,125.1, 125.10,125.4,125.59,1223,1.54,40, 844, 69.01
2023-03-13,IVP, EQ,125.4,123.4,127.95,115.8, 122.50,120.7,121.76,13213,16.09,437, 9651, 73.04
2023-03-14,IVP, EQ,120.7,122.5,122.5,119.0, 119.00,119.45,120.17,6572,7.9,154, 4844, 73.71
2023-03-15,IVP, EQ,119.45,121.0,123.95,120.2, 123.25,122.6,120.95,1709,2.07,68, 1107, 64.77
2023-03-16,IVP, EQ,122.6,122.55,123.0,117.7, 121.00,118.55,120.18,5078,6.1,107, 3985, 78.48
2023-03-17,IVP, EQ,118.55,121.0,121.0,117.8, 118.00,118.3,119.13,1730,2.06,91, 1313, 75.90
2023-03-20,IVP, EQ,118.3,112.0,120.0,112.0,113.25,113.7,115.41,4112,4.75,244, 2453, 59.65
2023-03-21,IVP, EQ,113.7,116.9,117.75,113.45, 115.45,115.55,115.62,5387,6.23,364, 2897, 53.78
2023-03-22,IVP, EQ,115.55,117.95,122.45,117.8, 119.15,119.75,119.35,10983,13.11,231, 8850, 80.58
2023-03-23,IVP, EQ,119.75,120.05,120.2,113.25, 113.50,115.2,116.79,6798,7.94,216, 5090, 74.87
2023-03-24,IVP, EQ,115.2,114.45,118.75,114.45, 116.60,117.6,117.68,5397,6.35,99, 4230, 78.38
2023-03-27,IVP, EQ,117.6,117.55,117.55,112.75, 116.60,114.75,114.12,4477,5.11,163, 3070, 68.57
2023-03-28,IVP, EQ,114.75,115.0,116.5,113.35, 115.50,114.65,115.12,5596,6.44,303, 3377, 60.35
2023-03-29,IVP, EQ,114.65,115.3,119.8,115.0, 119.70,117.95,117.68,2727,3.21,84, 2112, 77.45
2023-03-31,IVP, EQ,117.95,121.95,128.45,118.2, 119.00,119.05,121.96,45736,55.78,1010, 21046, 46.02
2023-04-03,IVP, EQ,119.05,123.0,123.8,118.2, 123.75,123.0,122.04,2813,3.43,113, 1742, 61.93
2023-04-05,IVP, EQ,123.0,121.4,125.9,118.35, 125.70,125.1,122.91,8173,10.05,160, 6283, 76.88
2023-04-06,IVP, EQ,125.1,125.8,126.95,121.1, 122.25,123.1,123.41,6086,7.51,179, 4388, 72.10
2023-04-10,IVP, EQ,123.1,126.7,134.0,125.1, 131.70,130.6,129.52,26576,34.42,419, 19423, 73.08
2023-04-11,IVP, EQ,130.6,132.0,134.9,131.0, 132.00,131.8,132.46,3965,5.25,145, 2433, 61.36
2023-04-12,IVP, EQ,131.8,131.75,132.95,127.1, 127.10,128.7,130.27,7583,9.88,271, 4137, 54.56
2023-04-13,IVP, EQ,128.7,129.85,131.2,128.25, 130.70,129.2,129.16,2516,3.25,54, 2231, 88.67
2023-04-17,IVP, EQ,129.2,133.95,133.95,127.25, 127.30,127.5,128.76,3236,4.17,89, 2153, 66.53
2023-04-18,IVP, EQ,127.5,127.75,130.95,126.55, 126.75,127.25,127.98,4175,5.34,56, 3564, 85.37
2023-04-19,IVP, EQ,127.25,125.0,130.1,124.1, 129.45,129.0,129.35,4666,6.04,116, 3220, 69.01
2023-04-20,IVP, EQ,129.0,131.4,134.5,130.15, 133.30,133.25,133.04,15944,21.21,294, 10184, 63.87
2023-04-21,IVP, EQ,133.25,133.25,137.2,132.85, 133.90,133.35,133.95,4437,5.94,88, 3469, 78.18
2023-04-24,IVP, EQ,133.35,131.65,136.7,131.65, 133.75,134.55,134.09,6382,8.56,114, 4852, 76.03
2023-04-25,IVP, EQ,134.55,135.95,135.95,131.55,132.0,132.1,133.75,10464,14.0,151, 7267, 69.45
