DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,JBFIND, EQ,9.05,9.05,9.4,8.75, 9.20,9.2,9.13,178110,16.25,648, 117282, 65.85
2023-01-03,JBFIND, EQ,9.2,9.2,9.25,8.95, 9.05,9.05,9.06,139906,12.68,315, 93420, 66.77
2023-01-04,JBFIND, EQ,9.05,9.0,9.1,8.9, 9.00,9.0,9.01,66424,5.98,200, 51899, 78.13
2023-01-05,JBFIND, EQ,9.0,9.0,9.05,8.85,8.95,8.9,8.95,46623,4.17,151, 35727, 76.63
2023-01-06,JBFIND, EQ,8.9,9.0,9.05,8.85,8.9,8.9,8.94,55324,4.95,209, 41445, 74.91
2023-01-09,JBFIND, EQ,8.9,8.65,9.1,8.65,8.65,8.7,8.78,148906,13.08,282, 91917, 61.73
2023-01-10,JBFIND, EQ,8.7,8.7,8.7,8.35,8.5,8.45,8.48,179943,15.26,260, 100240, 55.71
2023-01-11,JBFIND, EQ,8.45,8.35,8.75,8.35, 8.55,8.6,8.54,109552,9.36,190, 81749, 74.62
2023-01-12,JBFIND, EQ,8.6,8.8,9.0,8.45, 8.55,8.55,8.66,58474,5.06,177, 37673, 64.43
2023-01-13,JBFIND, EQ,8.55,8.6,8.65,8.25,8.3,8.3,8.36,125701,10.51,290, 62069, 49.38
2023-01-16,JBFIND, EQ,8.3,8.45,8.5,8.2, 8.20,8.25,8.33,92488,7.71,182, 69190, 74.81
2023-01-17,JBFIND, EQ,8.25,8.15,8.45,8.15,8.3,8.3,8.31,41286,3.43,140, 22401, 54.26
2023-01-18,JBFIND, EQ,8.3,8.55,8.55,8.15,8.3,8.3,8.31,47832,3.97,127, 38274, 80.02
2023-01-19,JBFIND, EQ,8.3,8.7,8.7,8.2, 8.25,8.2,8.27,57532,4.76,118, 34622, 60.18
2023-01-20,JBFIND, EQ,8.2,8.2,8.5,8.2,8.2,8.25,8.34,119297,9.95,205, 94462, 79.18
