DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,JBMA, EQ,516.0,516.75,539.95,512.15, 518.00,521.1,527.25,727514,3835.82,19713, 209083, 28.74
2023-01-03,JBMA, EQ,521.1,530.0,531.4,515.0, 516.10,517.15,521.43,236979,1235.68,7010, 89841, 37.91
2023-01-04,JBMA, EQ,517.15,517.7,536.0,493.85, 524.60,522.65,520.15,1376828,7161.59,35102, 190329, 13.82
2023-01-05,JBMA, EQ,522.65,526.8,557.8,518.95,548.1,547.8,546.93,1946804,10647.6,49049, 332766, 17.09
2023-01-06,JBMA, EQ,547.8,549.0,549.0,530.65,534.8,534.5,539.4,418333,2256.47,12876, 113316, 27.09
2023-01-09,JBMA, EQ,534.5,535.0,546.8,530.9,533.2,533.9,538.06,322727,1736.46,11139, 83858, 25.98
2023-01-10,JBMA, EQ,533.9,533.8,546.45,527.1,529.6,528.85,535.95,292715,1568.8,9825, 85483, 29.20
2023-01-11,JBMA, EQ,528.85,530.0,537.0,526.8, 536.00,532.15,531.87,223755,1190.09,8132, 43304, 19.35
2023-01-12,JBMA, EQ,532.15,534.3,542.0,518.6, 524.00,523.45,528.87,229521,1213.88,8500, 74558, 32.48
2023-01-13,JBMA, EQ,523.45,524.55,540.0,520.55,534.0,531.45,527.85,198435,1047.43,7218, 55920, 28.18
2023-01-16,JBMA, EQ,531.45,535.0,558.5,525.7, 547.15,548.95,545.6,530586,2894.9,17056, 119196, 22.46
2023-01-17,JBMA, EQ,548.95,546.35,556.9,537.55,550.85,547.95,547.6,318230,1742.61,10421, 98745, 31.03
2023-01-18,JBMA, EQ,547.95,548.55,568.0,547.6,555.0,554.15,557.67,320124,1785.25,10427, 89394, 27.92
2023-01-19,JBMA, EQ,554.15,550.55,563.0,550.0, 556.05,559.2,556.62,215786,1201.1,6971, 49305, 22.85
2023-01-20,JBMA, EQ,559.2,559.25,560.6,535.55,540.05,542.5,550.28,157109,864.54,5582, 66136, 42.10
2023-01-23,JBMA, EQ,542.5,542.95,548.4,532.2,535.5,536.6,540.02,129299,698.24,5640, 38558, 29.82
2023-01-24,JBMA, EQ,536.6,536.5,539.0,513.9,519.0,518.85,526.83,120688,635.82,5365, 50558, 41.89
2023-01-25,JBMA, EQ,518.85,518.9,553.0,513.3, 536.00,534.5,537.52,550713,2960.2,18367, 108259, 19.66
2023-01-27,JBMA, EQ,534.5,536.95,546.25,514.0, 523.90,525.9,527.59,219166,1156.29,9124, 68354, 31.19
2023-01-30,JBMA, EQ,525.9,526.65,537.8,510.0, 519.95,522.5,525.09,164041,861.37,8111, 59527, 36.29
2023-01-31,JBMA, EQ,522.5,524.3,542.0,524.05,539.0,534.35,535.07,128744,688.87,6008, 60563, 47.04
2023-02-01,JBMA, EQ,534.35,539.7,547.55,503.45, 518.00,513.6,526.72,186085,980.14,8252, 72151, 38.77
2023-02-02,JBMA, EQ,513.6,515.0,526.4,510.05, 517.10,513.35,518.54,76783,398.15,3859, 32104, 41.81
2023-02-03,JBMA, EQ,513.35,517.45,522.05,497.45, 511.90,513.7,511.19,113929,582.39,6186, 35685, 31.32
2023-02-06,JBMA, EQ,513.7,514.0,516.0,500.1, 502.60,501.65,505.72,98205,496.65,5833, 45808, 46.65
2023-02-07,JBMA, EQ,501.65,501.65,505.05,488.0, 488.00,492.1,496.88,113070,561.83,6414, 52948, 46.83
2023-02-08,JBMA, EQ,492.1,494.6,508.4,484.1, 498.30,497.6,498.21,171010,851.99,8337, 48896, 28.59
2023-02-09,JBMA, EQ,497.6,499.9,503.7,482.95, 487.10,485.85,492.94,109806,541.28,5979, 56038, 51.03
2023-02-10,JBMA, EQ,485.85,486.55,549.9,485.75, 543.00,537.75,524.3,1364028,7151.6,45805, 211718, 15.52
2023-02-13,JBMA, EQ,537.75,526.0,544.95,510.0,514.95,516.15,527.31,605616,3193.46,28044, 125238, 20.68
2023-02-14,JBMA, EQ,516.15,520.0,536.0,510.65,519.0,520.75,526.83,410063,2160.32,18416, 88255, 21.52
2023-02-15,JBMA, EQ,520.75,522.0,535.7,518.3, 525.60,527.25,528.22,309708,1635.93,13670, 61249, 19.78
2023-02-16,JBMA, EQ,527.25,531.0,532.0,521.05, 524.00,526.25,527.51,125946,664.38,8077, 38961, 30.93
2023-02-17,JBMA, EQ,526.25,522.65,558.0,520.15, 554.85,552.95,546.88,962915,5266.03,29346, 205570, 21.35
2023-02-20,JBMA, EQ,552.95,558.55,585.0,558.55, 580.00,581.0,575.34,1263378,7268.75,36644, 222677, 17.63
2023-02-21,JBMA, EQ,581.0,580.0,591.0,572.8, 577.00,575.5,581.64,553214,3217.73,20804, 117902, 21.31
2023-02-22,JBMA, EQ,575.5,576.9,578.9,555.95, 562.00,563.4,568.21,272234,1546.87,13185, 91935, 33.77
