DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,JINDWORLD, EQ,427.6,432.35,446.0,426.15, 432.00,429.25,435.79,207463,904.11,8970, 52683, 25.39
2023-01-03,JINDWORLD, EQ,429.25,433.35,442.0,429.8, 436.95,435.55,436.14,106760,465.62,5251, 39220, 36.74
2023-01-04,JINDWORLD, EQ,435.55,439.9,476.7,439.85, 463.00,460.5,464.37,1417860,6584.11,42491, 247355, 17.45
2023-01-05,JINDWORLD, EQ,460.5,463.0,473.4,433.9,451.0,445.8,450.91,659921,2975.67,21667, 140716, 21.32
2023-01-06,JINDWORLD, EQ,445.8,452.5,456.45,440.0,453.1,451.15,447.43,151494,677.83,7233, 32709, 21.59
2023-01-09,JINDWORLD, EQ,451.15,457.3,467.0,446.55,462.9,459.95,457.67,229916,1052.25,10741, 60470, 26.30
2023-01-10,JINDWORLD, EQ,459.95,464.3,465.05,454.0,457.6,460.05,460.94,196246,904.58,8551, 38218, 19.47
2023-01-11,JINDWORLD, EQ,460.05,457.9,459.45,448.0, 448.95,451.55,452.43,176686,799.38,5119, 94308, 53.38
2023-01-12,JINDWORLD, EQ,451.55,452.7,452.7,409.05, 415.00,415.15,419.31,466924,1957.86,15919, 192297, 41.18
2023-01-13,JINDWORLD, EQ,415.15,416.95,431.0,411.35,422.95,424.35,423.8,302873,1283.57,11638, 76406, 25.23
2023-01-16,JINDWORLD, EQ,424.35,423.6,427.05,414.0, 421.15,420.85,418.31,87623,366.54,6577, 22440, 25.61
2023-01-17,JINDWORLD, EQ,420.85,420.9,420.9,407.05,411.8,410.2,412.82,57218,236.21,4243, 21612, 37.77
2023-01-18,JINDWORLD, EQ,410.2,412.4,418.2,406.05,407.0,409.15,412.16,85053,350.55,5990, 24151, 28.40
2023-01-19,JINDWORLD, EQ,409.15,406.8,409.0,402.05, 404.00,403.15,404.17,69947,282.71,4413, 26309, 37.61
2023-01-20,JINDWORLD, EQ,403.15,402.0,428.65,402.0,419.55,420.8,419.1,268613,1125.75,14367, 56752, 21.13
2023-01-23,JINDWORLD, EQ,420.8,422.5,428.85,414.0,418.9,422.95,423.37,153424,649.55,6764, 60697, 39.56
2023-01-24,JINDWORLD, EQ,422.95,419.9,422.45,407.05,411.95,411.85,415.06,59511,247.01,3832, 16947, 28.48
2023-01-25,JINDWORLD, EQ,411.85,411.0,411.7,402.2, 406.50,407.3,405.53,45768,185.6,2956, 15574, 34.03
2023-01-27,JINDWORLD, EQ,407.3,414.9,414.9,395.85, 400.05,400.55,400.87,80734,323.64,5123, 32324, 40.04
2023-01-30,JINDWORLD, EQ,400.55,391.0,399.45,390.05, 391.00,392.1,392.31,126527,496.38,6755, 42156, 33.32
2023-01-31,JINDWORLD, EQ,392.1,396.0,400.0,393.0,397.95,396.2,395.46,150051,593.39,4302, 65059, 43.36
2023-02-01,JINDWORLD, EQ,396.2,398.4,403.95,368.0, 379.00,377.35,387.41,91650,355.07,6706, 25031, 27.31
2023-02-02,JINDWORLD, EQ,377.35,378.0,378.0,349.05, 351.00,352.1,364.91,101711,371.15,7825, 44799, 44.05
2023-02-03,JINDWORLD, EQ,352.1,349.5,360.65,337.85, 351.00,350.4,349.32,140635,491.26,7828, 45135, 32.09
2023-02-06,JINDWORLD, EQ,350.4,352.0,358.2,341.0, 344.35,344.7,349.25,36816,128.58,4001, 11452, 31.11
2023-02-07,JINDWORLD, EQ,344.7,346.0,354.05,339.0, 343.35,348.25,343.35,82035,281.66,5276, 32395, 39.49
2023-02-08,JINDWORLD, EQ,348.25,350.5,350.5,339.05, 340.50,339.75,341.95,29283,100.13,3616, 14490, 49.48
2023-02-09,JINDWORLD, EQ,339.75,341.5,341.85,339.0, 339.00,339.4,339.64,35583,120.85,2815, 18590, 52.24
