DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,JKTYRE, EQ,184.15,185.6,189.85,185.55, 186.45,186.1,187.01,646417,1208.89,7287, 194277, 30.05
2023-01-03,JKTYRE, EQ,186.1,186.5,189.65,185.8, 188.65,188.35,187.99,670590,1260.67,7082, 198282, 29.57
2023-01-04,JKTYRE, EQ,188.35,190.2,191.55,184.2, 185.00,185.55,186.96,866296,1619.6,9162, 214606, 24.77
2023-01-05,JKTYRE, EQ,185.55,186.35,199.0,185.6,198.3,197.85,193.55,10455096,20235.37,67025, 1949001, 18.64
2023-01-06,JKTYRE, EQ,197.85,198.4,201.0,190.3,192.0,191.75,196.14,4801036,9416.6,36384, 656341, 13.67
2023-01-09,JKTYRE, EQ,191.75,193.05,194.6,187.8,188.5,188.95,190.18,1376379,2617.66,13264, 334254, 24.29
2023-01-10,JKTYRE, EQ,188.95,189.3,189.85,184.2,184.55,185.05,186.34,1186983,2211.84,12692, 381084, 32.11
2023-01-11,JKTYRE, EQ,185.05,186.0,188.5,183.55, 186.50,186.5,186.36,912589,1700.69,9254, 191596, 20.99
2023-01-12,JKTYRE, EQ,186.5,187.35,187.35,180.0, 181.40,181.05,182.64,1076005,1965.24,12966, 369078, 34.30
2023-01-13,JKTYRE, EQ,181.05,181.95,186.75,181.45,184.9,184.85,184.79,1227956,2269.15,11577, 213040, 17.35
2023-01-16,JKTYRE, EQ,184.85,185.0,186.5,182.35, 183.60,183.55,184.65,572012,1056.19,6397, 154349, 26.98
2023-01-17,JKTYRE, EQ,183.55,183.6,184.4,180.0,181.5,181.3,181.97,465875,847.73,5293, 159301, 34.19
2023-01-18,JKTYRE, EQ,181.3,181.5,185.0,181.05,182.5,182.1,183.05,825353,1510.84,9346, 148741, 18.02
2023-01-19,JKTYRE, EQ,182.1,181.75,182.95,180.6, 181.95,181.75,181.56,365372,663.36,5375, 94317, 25.81
2023-01-20,JKTYRE, EQ,181.75,181.75,182.25,176.1,177.5,177.1,179.17,573881,1028.25,8629, 276331, 48.15
2023-01-23,JKTYRE, EQ,177.1,178.7,178.8,167.0,168.2,168.15,171.39,2322268,3980.02,28011, 1081352, 46.56
2023-01-24,JKTYRE, EQ,168.15,168.85,169.2,159.55,160.5,160.5,162.03,3072891,4978.88,32221, 1367858, 44.51
2023-01-25,JKTYRE, EQ,160.5,161.4,165.95,160.6, 165.00,164.8,163.82,2301542,3770.31,21837, 469652, 20.41
2023-01-27,JKTYRE, EQ,164.8,166.0,169.0,157.2, 162.30,162.3,161.7,1695827,2742.17,17713, 473933, 27.95
2023-01-30,JKTYRE, EQ,162.3,162.4,166.0,160.25, 162.15,162.6,162.96,1045933,1704.43,12713, 257880, 24.66
2023-01-31,JKTYRE, EQ,162.6,163.6,169.0,162.05,167.2,168.0,165.49,1128191,1867.06,14084, 383199, 33.97
2023-02-01,JKTYRE, EQ,168.0,169.2,172.9,162.8, 164.50,164.55,169.16,1308794,2213.92,15748, 444751, 33.98
2023-02-02,JKTYRE, EQ,164.55,164.5,169.5,160.55, 165.80,164.9,165.75,1053120,1745.56,16974, 374192, 35.53
2023-02-03,JKTYRE, EQ,164.9,167.0,171.0,162.5, 166.40,167.65,166.56,1677094,2793.35,21488, 444705, 26.52
2023-02-06,JKTYRE, EQ,167.65,166.0,166.65,158.0, 160.10,160.15,160.92,2283622,3674.82,25488, 867563, 37.99
2023-02-07,JKTYRE, EQ,160.15,161.25,161.25,154.95, 155.60,155.5,156.63,1485233,2326.38,17455, 536585, 36.13
2023-02-08,JKTYRE, EQ,155.5,154.0,158.9,152.0, 156.90,156.85,155.06,1620096,2512.07,17117, 555233, 34.27
2023-02-09,JKTYRE, EQ,156.85,157.0,157.2,153.1, 153.95,153.9,155.39,855360,1329.13,9407, 346528, 40.51
2023-02-10,JKTYRE, EQ,153.9,153.45,156.9,153.3, 155.75,155.45,155.81,769357,1198.71,8397, 289525, 37.63
2023-02-13,JKTYRE, EQ,155.45,155.75,157.2,154.0,154.75,154.7,155.48,764293,1188.34,8848, 290622, 38.02
2023-02-14,JKTYRE, EQ,154.7,155.2,155.75,152.0,152.5,152.65,152.94,555869,850.12,8002, 224567, 40.40
2023-02-15,JKTYRE, EQ,152.65,153.9,155.9,152.15, 153.10,152.7,153.75,675411,1038.42,8073, 225996, 33.46
2023-02-16,JKTYRE, EQ,152.7,154.0,157.0,153.3, 156.20,156.45,155.21,759082,1178.15,8906, 281432, 37.08
2023-02-17,JKTYRE, EQ,156.45,156.65,156.65,153.5, 154.60,154.0,154.79,439275,679.97,5609, 177797, 40.48
2023-02-20,JKTYRE, EQ,154.0,154.45,156.0,152.4, 152.85,152.65,153.65,573290,880.84,6365, 154785, 27.00
2023-02-21,JKTYRE, EQ,152.65,156.0,156.5,153.4, 154.00,154.4,154.64,763021,1179.97,8659, 140291, 18.39
2023-02-22,JKTYRE, EQ,154.4,154.5,154.5,152.0, 152.20,152.3,152.8,372017,568.45,5269, 113291, 30.45
2023-02-23,JKTYRE, EQ,152.3,151.7,152.5,146.1,149.9,149.15,148.88,1050693,1564.28,11079, 396080, 37.70
2023-02-24,JKTYRE, EQ,149.15,149.15,151.95,147.35, 148.25,148.5,148.89,589132,877.15,9128, 209404, 35.54
2023-02-27,JKTYRE, EQ,148.5,148.3,148.4,143.25, 145.75,145.4,145.05,706884,1025.3,9692, 233083, 32.97
2023-02-28,JKTYRE, EQ,145.4,146.4,148.55,144.8, 148.00,147.35,146.69,632883,928.37,9706, 216588, 34.22
2023-03-01,JKTYRE, EQ,147.35,147.4,150.7,146.0, 150.30,149.85,149.02,567255,845.31,8529, 218782, 38.57
