DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,JUSTDIAL, EQ,600.9,600.9,604.0,596.8, 601.20,600.55,600.34,89597,537.88,3631, 32823, 36.63
2023-01-03,JUSTDIAL, EQ,600.55,603.0,605.0,595.7, 596.00,601.3,601.21,97691,587.33,2936, 57628, 58.99
2023-01-04,JUSTDIAL, EQ,601.3,599.0,602.6,593.4, 595.00,597.55,598.33,113262,677.68,6257, 61125, 53.97
2023-01-05,JUSTDIAL, EQ,597.55,595.0,599.9,589.0,599.9,596.45,593.82,75415,447.83,3661, 17054, 22.61
2023-01-06,JUSTDIAL, EQ,596.45,599.45,599.45,587.0,588.0,591.35,592.37,57793,342.35,2378, 16184, 28.00
2023-01-09,JUSTDIAL, EQ,591.35,593.05,598.75,591.45,593.0,594.6,595.45,35928,213.93,1719, 12649, 35.21
2023-01-10,JUSTDIAL, EQ,594.6,595.0,595.5,586.95,594.0,593.1,591.72,34903,206.53,1826, 8961, 25.67
2023-01-11,JUSTDIAL, EQ,593.1,595.0,598.9,582.55, 584.00,585.5,588.63,101106,595.14,3764, 49486, 48.94
2023-01-12,JUSTDIAL, EQ,585.5,590.0,590.9,583.25, 587.95,586.5,587.01,58692,344.53,3455, 16488, 28.09
2023-01-13,JUSTDIAL, EQ,586.5,590.0,598.8,581.0,583.95,585.75,588.0,126401,743.24,4689, 49623, 39.26
2023-01-16,JUSTDIAL, EQ,585.75,630.0,644.3,622.2, 644.30,644.3,640.05,1841302,11785.34,21377, 484078, 26.29
2023-01-17,JUSTDIAL, EQ,644.3,652.8,664.75,630.0,632.0,637.65,646.95,1667429,10787.42,40707, 239358, 14.35
2023-01-18,JUSTDIAL, EQ,637.65,631.0,680.0,631.0,675.7,675.1,668.6,2403864,16072.14,53708, 436816, 18.17
2023-01-19,JUSTDIAL, EQ,675.1,673.05,685.0,666.65, 675.00,678.5,676.15,840504,5683.1,21920, 168311, 20.03
2023-01-20,JUSTDIAL, EQ,678.5,675.0,675.0,655.1,655.6,656.95,661.76,376622,2492.32,11448, 101668, 26.99
2023-01-23,JUSTDIAL, EQ,656.95,660.0,662.65,643.0,645.3,645.85,648.54,155676,1009.61,5689, 55147, 35.42
2023-01-24,JUSTDIAL, EQ,645.85,649.1,653.05,632.2,634.0,636.05,640.36,140516,899.81,5140, 43498, 30.96
2023-01-25,JUSTDIAL, EQ,636.05,636.05,642.95,618.05, 624.00,624.05,626.53,136814,857.19,5796, 38136, 27.87
2023-01-27,JUSTDIAL, EQ,624.05,626.5,633.4,598.0, 618.55,617.65,613.6,169786,1041.81,8384, 49348, 29.06
2023-01-30,JUSTDIAL, EQ,617.65,605.1,617.5,602.1, 605.20,606.85,607.04,135932,825.16,6160, 63898, 47.01
2023-01-31,JUSTDIAL, EQ,606.85,614.0,641.05,604.6,636.0,631.25,621.21,200437,1245.13,8174, 62343, 31.10
2023-02-01,JUSTDIAL, EQ,631.25,633.0,644.0,606.0, 611.00,616.7,624.43,129548,808.94,6103, 42690, 32.95
2023-02-02,JUSTDIAL, EQ,616.7,616.7,640.0,613.1, 628.15,625.85,626.74,145652,912.86,7530, 49873, 34.24
2023-02-03,JUSTDIAL, EQ,625.85,629.0,634.0,616.0, 620.00,622.4,623.34,101468,632.49,4880, 32079, 31.61
2023-02-06,JUSTDIAL, EQ,622.4,620.0,632.0,618.65, 627.15,624.7,625.84,76050,475.95,3393, 25114, 33.02
2023-02-07,JUSTDIAL, EQ,624.7,630.0,647.25,622.0, 631.55,632.65,638.3,275434,1758.1,12848, 68725, 24.95
2023-02-08,JUSTDIAL, EQ,632.65,632.65,636.9,621.95, 630.00,630.3,628.44,105388,662.3,4711, 35552, 33.73
2023-02-09,JUSTDIAL, EQ,630.3,635.0,643.3,626.55, 637.05,636.65,635.36,110814,704.07,5335, 34019, 30.70
2023-02-10,JUSTDIAL, EQ,636.65,636.65,639.0,625.0, 628.00,627.5,629.53,77700,489.14,2963, 22943, 29.53
2023-02-13,JUSTDIAL, EQ,627.5,627.5,646.7,626.5,643.0,642.3,641.99,308363,1979.66,10299, 92965, 30.15
