DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-02-08,KAMOPAINTS, EQ,151.3,154.4,164.7,145.7, 161.55,162.5,158.79,616050,978.2,18186, 188313, 30.57
2023-02-09,KAMOPAINTS, EQ,162.5,167.7,177.2,158.35, 174.80,170.6,166.34,357540,594.74,3674, 87396, 24.44
2023-02-10,KAMOPAINTS, EQ,170.6,172.9,178.0,168.3, 169.05,169.15,171.93,63814,109.71,1543, 41927, 65.70
2023-02-13,KAMOPAINTS, EQ,169.15,171.3,171.4,150.8,154.0,152.9,154.59,282428,436.59,3458, 88971, 31.50
2023-02-14,KAMOPAINTS, EQ,152.9,152.65,158.25,146.3,147.55,147.5,148.83,332145,494.34,5665, 75511, 22.73
2023-02-15,KAMOPAINTS, EQ,147.5,146.8,150.4,145.7, 147.60,147.55,147.37,43432,64.01,1483, 22324, 51.40
2023-02-16,KAMOPAINTS, EQ,147.55,147.55,159.0,141.35, 146.00,145.8,152.53,127663,194.72,3480, 49193, 38.53
2023-02-17,KAMOPAINTS, EQ,145.8,148.5,156.05,145.9, 146.25,146.85,150.91,391578,590.91,8657, 35428, 9.05
2023-02-20,KAMOPAINTS, EQ,146.85,147.0,150.4,140.0, 143.00,142.4,147.04,104379,153.48,11223, 17988, 17.23
2023-02-21,KAMOPAINTS, EQ,142.4,145.8,152.55,145.0, 148.30,148.2,148.61,132237,196.51,7167, 40045, 30.28
2023-02-22,KAMOPAINTS, EQ,148.2,145.3,150.35,142.5, 143.65,143.3,144.74,37769,54.67,1890, 20254, 53.63
2023-02-23,KAMOPAINTS, EQ,143.3,143.5,151.75,143.5,147.9,146.6,147.88,57057,84.38,3173, 28325, 49.64
2023-02-24,KAMOPAINTS, EQ,146.6,147.9,150.0,138.2, 143.00,143.4,145.33,79611,115.7,5966, 36549, 45.91
2023-02-27,KAMOPAINTS, EQ,143.4,143.4,150.15,140.1, 140.10,140.75,145.05,113647,164.85,9298, 46657, 41.05
2023-02-28,KAMOPAINTS, EQ,140.75,144.0,144.1,131.0, 135.00,133.9,138.05,134252,185.33,8953, 59157, 44.06
2023-03-01,KAMOPAINTS, EQ,133.9,133.0,141.6,133.0, 137.20,138.6,138.84,134825,187.19,7555, 54510, 40.43
2023-03-02,KAMOPAINTS, EQ,138.6,134.4,139.75,134.4, 137.05,137.4,137.8,31125,42.89,2280, 12133, 38.98
2023-03-03,KAMOPAINTS, EQ,137.4,135.25,154.15,135.25, 151.00,150.0,147.12,173616,255.43,7006, 69808, 40.21
2023-03-06,KAMOPAINTS, EQ,150.0,154.0,169.8,152.5, 169.80,165.35,159.45,419408,668.75,14583, 175362, 41.81
2023-03-08,KAMOPAINTS, EQ,165.35,171.0,198.4,171.0, 196.95,197.6,196.0,1855211,3636.15,33499, 615268, 33.16
2023-03-09,KAMOPAINTS, EQ,197.6,195.5,211.0,188.0, 207.65,206.2,204.0,3687519,7522.49,108658, 476669, 12.93
2023-03-10,KAMOPAINTS, EQ,206.2,204.0,216.7,197.3, 210.00,210.85,209.75,1295552,2717.39,55197, 410639, 31.70
2023-03-13,KAMOPAINTS, EQ,210.85,208.9,208.9,196.95, 198.95,201.05,201.64,980773,1977.61,39667, 333226, 33.98
2023-03-14,KAMOPAINTS, EQ,201.05,201.45,205.0,193.5, 196.00,196.85,197.37,452278,892.67,22178, 230512, 50.97
2023-03-15,KAMOPAINTS, EQ,196.85,201.75,206.05,187.15, 195.00,193.4,200.26,416270,833.62,12660, 102584, 24.64
2023-03-16,KAMOPAINTS, EQ,193.4,190.45,194.9,185.0, 191.30,190.15,189.5,198842,376.81,2887, 116830, 58.76
2023-03-17,KAMOPAINTS, EQ,190.15,193.3,209.15,190.3, 199.15,199.35,200.65,599773,1203.46,12458, 265392, 44.25
2023-03-20,KAMOPAINTS, EQ,199.35,199.55,203.0,193.0,196.8,195.05,195.95,199014,389.96,3390, 43970, 22.09
2023-03-21,KAMOPAINTS, EQ,195.05,197.9,204.05,192.0, 199.80,199.05,199.78,880322,1758.73,14292, 178764, 20.31
2023-03-22,KAMOPAINTS, EQ,199.05,200.95,210.5,198.0, 199.25,200.45,205.46,631887,1298.28,7599, 142828, 22.60
2023-03-23,KAMOPAINTS, EQ,200.45,200.1,200.9,196.05, 196.40,196.5,198.0,221726,439.02,2154, 40193, 18.13
2023-03-24,KAMOPAINTS, EQ,196.5,196.0,199.6,190.1, 191.40,192.65,195.55,204355,399.61,1776, 26366, 12.90
2023-03-27,KAMOPAINTS, EQ,192.65,191.45,195.65,187.1, 189.80,192.25,192.35,254755,490.02,3971, 52379, 20.56
2023-03-28,KAMOPAINTS, EQ,192.25,188.0,195.0,186.5, 189.00,190.05,191.65,414969,795.28,6339, 78536, 18.93
2023-03-29,KAMOPAINTS, EQ,190.05,190.25,193.45,184.1, 187.00,186.4,190.4,357309,680.3,1752, 112922, 31.60
2023-03-31,KAMOPAINTS, EQ,186.4,186.0,205.0,186.0, 205.00,205.0,201.35,1035285,2084.59,17543, 151547, 14.64
2023-04-03,KAMOPAINTS, EQ,205.0,205.9,210.0,195.4, 208.75,206.65,204.57,745594,1525.29,16209, 165380, 22.18
2023-04-05,KAMOPAINTS, EQ,206.65,208.9,227.3,205.45, 226.00,227.25,220.42,1642732,3620.94,56677, 500037, 30.44
2023-04-06,KAMOPAINTS, EQ,227.25,227.05,244.9,223.35, 226.80,228.0,233.24,887908,2070.98,34161, 237151, 26.71
2023-04-10,KAMOPAINTS, EQ,228.0,228.9,235.7,221.15, 223.70,225.25,229.61,295573,678.66,5593, 72068, 24.38
2023-04-11,KAMOPAINTS, EQ,225.25,225.25,249.0,225.0, 244.90,244.5,243.77,1301714,3173.23,26880, 298848, 22.96
2023-04-12,KAMOPAINTS, EQ,244.5,244.9,249.7,233.75, 237.70,238.95,239.86,316195,758.44,5136, 57623, 18.22
2023-04-13,KAMOPAINTS, EQ,238.95,240.0,240.0,229.45, 231.50,232.75,234.29,303192,710.35,4770, 77337, 25.51
2023-04-17,KAMOPAINTS, EQ,232.75,234.7,234.7,222.5, 223.95,223.9,227.72,266827,607.63,4220, 47004, 17.62
2023-04-18,KAMOPAINTS, EQ,223.9,225.8,234.45,222.2, 224.50,225.1,227.8,301619,687.1,4948, 67802, 22.48
2023-04-19,KAMOPAINTS, EQ,225.1,224.9,228.55,209.9, 220.00,222.55,221.55,686630,1521.25,24749, 126213, 18.38
2023-04-20,KAMOPAINTS, EQ,222.55,218.1,222.05,214.1, 219.00,219.0,217.84,278576,606.84,4591, 42560, 15.28
2023-04-21,KAMOPAINTS, EQ,219.0,220.0,227.65,217.0, 219.15,220.35,219.89,177577,390.48,3756, 36083, 20.32
2023-04-24,KAMOPAINTS, EQ,220.35,222.1,238.8,222.1, 230.20,230.65,229.58,435120,998.95,8232, 126821, 29.15
2023-04-25,KAMOPAINTS, EQ,230.65,235.0,236.9,213.1,219.9,217.25,222.53,341040,758.9,6961, 100375, 29.43
2023-04-26,KAMOPAINTS, EQ,217.25,226.0,240.0,216.25, 235.00,233.75,229.81,1458028,3350.63,41263, 325967, 22.36
2023-04-27,KAMOPAINTS, EQ,233.75,235.05,246.45,235.05, 237.45,236.8,240.3,853677,2051.35,26860, 140584, 16.47
2023-04-28,KAMOPAINTS, EQ,236.8,236.05,237.95,224.25, 226.50,227.15,233.02,294958,687.31,5374, 87302, 29.60
2023-05-02,KAMOPAINTS, EQ,227.15,226.35,231.7,222.0, 223.00,224.15,226.65,297326,673.9,4861, 57157, 19.22
2023-05-03,KAMOPAINTS, EQ,224.15,224.15,232.85,218.7,219.4,220.9,224.52,658919,1479.44,27976, 191113, 29.00
2023-05-04,KAMOPAINTS, EQ,220.9,221.9,256.0,220.85, 248.75,251.35,241.53,2998196,7241.55,53214, 591555, 19.73
2023-05-05,KAMOPAINTS, EQ,251.35,249.5,250.95,235.1, 236.60,237.3,242.85,339157,823.63,10585, 77319, 22.80
2023-05-08,KAMOPAINTS, EQ,237.3,235.0,239.7,232.2, 235.35,233.8,236.57,236936,560.52,6137, 54583, 23.04
2023-05-09,KAMOPAINTS, EQ,233.8,235.8,240.95,233.3,237.7,236.5,236.73,318180,753.24,4699, 69539, 21.86
2023-05-10,KAMOPAINTS, EQ,236.5,237.6,248.25,230.0,238.0,239.15,238.67,467560,1115.94,8630, 98936, 21.16
2023-05-11,KAMOPAINTS, EQ,239.15,239.5,252.15,235.85, 243.00,244.35,244.48,782834,1913.9,8302, 207797, 26.54
2023-05-12,KAMOPAINTS, EQ,244.35,245.4,247.25,237.25, 238.35,239.15,241.08,225038,542.52,4306, 42788, 19.01
2023-05-15,KAMOPAINTS, EQ,239.15,238.05,252.0,238.05, 242.00,243.75,246.45,246661,607.89,8299, 83787, 33.97
2023-05-16,KAMOPAINTS, EQ,243.75,247.0,248.95,230.65,233.5,233.1,241.24,308959,745.32,8322, 69206, 22.40
2023-05-17,KAMOPAINTS, EQ,233.1,234.95,240.0,232.3, 237.40,237.95,236.79,259154,613.64,10532, 37120, 14.32
2023-05-18,KAMOPAINTS, EQ,237.95,239.85,242.7,231.25, 233.00,233.75,236.1,245424,579.45,10900, 71992, 29.33
2023-05-19,KAMOPAINTS, EQ,233.75,234.0,244.35,231.1,235.85,236.8,236.6,255272,603.98,6532, 44460, 17.42
2023-05-22,KAMOPAINTS, EQ,236.8,235.95,238.95,230.7,231.35,232.85,235.87,151060,356.3,1929, 43070, 28.51
2023-05-23,KAMOPAINTS, EQ,232.85,233.8,237.0,217.15, 220.90,221.05,228.88,359610,823.09,15865, 109460, 30.44
2023-05-24,KAMOPAINTS, EQ,221.05,220.9,228.35,218.0, 223.00,223.65,224.9,294784,662.98,16010, 79627, 27.01
2023-05-25,KAMOPAINTS, EQ,223.65,222.65,225.7,212.1, 216.50,216.25,219.71,245004,538.29,8950, 65130, 26.58
2023-05-26,KAMOPAINTS, EQ,216.25,215.1,220.0,213.8,217.0,217.05,217.81,235863,513.73,10526, 31219, 13.24
2023-05-29,KAMOPAINTS, EQ,217.05,218.0,221.95,211.05, 212.30,212.7,216.76,209190,453.45,5641, 47613, 22.76
2023-05-30,KAMOPAINTS, EQ,212.7,212.0,220.1,211.1, 216.95,215.05,215.03,437900,941.61,30630, 80634, 18.41
2023-05-31,KAMOPAINTS, EQ,215.05,215.9,219.5,210.65, 212.05,212.35,215.28,327906,705.92,25459, 67581, 20.61
2023-06-01,KAMOPAINTS, EQ,212.35,213.9,217.95,212.05, 214.10,213.45,214.75,154819,332.48,8821, 44811, 28.94
2023-06-02,KAMOPAINTS, EQ,213.45,214.95,220.9,212.65, 213.90,214.05,216.05,271272,586.08,14703, 80403, 29.64
2023-06-05,KAMOPAINTS, EQ,214.05,215.0,224.95,215.0, 222.15,222.3,221.56,247825,549.09,8644, 84345, 34.03
2023-06-06,KAMOPAINTS, EQ,222.3,223.75,227.2,222.0,224.0,223.7,223.96,129501,290.04,10669, 32574, 25.15
2023-06-07,KAMOPAINTS, EQ,223.7,222.35,225.4,215.7, 216.65,217.45,221.16,111812,247.28,8745, 42628, 38.12
2023-06-08,KAMOPAINTS, EQ,217.45,218.9,224.3,210.5, 213.80,212.85,218.07,680585,1484.14,28412, 97870, 14.38
2023-06-09,KAMOPAINTS, EQ,212.85,213.55,215.65,212.1, 214.10,214.25,213.96,79695,170.51,5903, 25454, 31.94
2023-06-12,KAMOPAINTS, EQ,214.25,214.0,220.5,213.3, 216.50,217.0,217.57,95547,207.88,3826, 31676, 33.15
2023-06-13,KAMOPAINTS, EQ,217.0,217.7,220.35,214.35, 215.10,215.2,216.98,151084,327.82,7420, 36589, 24.22
2023-06-14,KAMOPAINTS, EQ,215.2,216.4,216.75,212.0, 213.75,213.75,214.29,64430,138.07,1948, 32703, 50.76
2023-06-15,KAMOPAINTS, EQ,213.75,214.8,214.95,210.35, 211.65,211.75,212.61,77795,165.4,3351, 37154, 47.76
2023-06-16,KAMOPAINTS, EQ,211.75,211.0,254.1,211.0, 245.50,252.2,243.92,3961469,9662.78,97413, 726535, 18.34
2023-06-19,KAMOPAINTS, EQ,252.2,244.3,251.7,239.55, 244.90,246.15,245.32,650617,1596.12,15979, 230855, 35.48
2023-06-20,KAMOPAINTS, EQ,246.15,247.0,253.3,242.85, 246.40,247.9,247.5,419200,1037.53,20590, 104543, 24.94
2023-06-21,KAMOPAINTS, EQ,247.9,247.9,253.1,241.0, 243.60,244.75,246.65,802794,1980.13,37268, 258907, 32.25
2023-06-22,KAMOPAINTS, EQ,244.75,244.0,248.95,240.5,248.4,247.4,245.0,191044,468.05,7481, 95711, 50.10
2023-06-23,KAMOPAINTS, EQ,247.4,244.8,249.95,243.2, 244.85,244.55,246.31,123806,304.94,3480, 56110, 45.32
2023-06-26,KAMOPAINTS, EQ,244.55,250.0,263.0,249.85, 257.00,256.15,258.31,725304,1873.5,34442, 253523, 34.95
2023-06-27,KAMOPAINTS, EQ,256.15,257.4,261.95,251.45, 255.00,257.8,257.9,398472,1027.65,21765, 78093, 19.60
2023-06-28,KAMOPAINTS, EQ,257.8,255.95,286.4,252.15, 277.80,281.4,278.26,3085884,8586.85,67684, 852877, 27.64
2023-06-30,KAMOPAINTS, EQ,281.4,284.0,287.65,263.3, 266.95,268.5,274.44,674979,1852.4,20719, 261542, 38.75
2023-07-03,KAMOPAINTS, EQ,268.5,269.4,306.0,263.0, 300.65,299.8,296.12,3449161,10213.71,70056, 730880, 21.19
2023-07-04,KAMOPAINTS, EQ,299.8,304.0,307.7,291.3, 299.00,297.85,299.4,847845,2538.44,31767, 166486, 19.64
2023-07-05,KAMOPAINTS, EQ,297.85,300.0,304.0,295.65,300.6,301.25,299.59,247639,741.91,13067, 50956, 20.58
2023-07-06,KAMOPAINTS, EQ,301.25,303.5,303.5,296.5,301.35,301.5,300.44,174839,525.28,6578, 53107, 30.37
2023-07-07,KAMOPAINTS, EQ,301.5,303.0,307.7,292.35, 295.00,295.85,300.08,287441,862.56,11363, 65019, 22.62
2023-07-10,KAMOPAINTS, EQ,295.85,297.0,317.2,293.35,312.35,313.8,308.87,1150469,3553.46,23971, 320960, 27.90
2023-07-11,KAMOPAINTS, EQ,313.8,313.25,313.25,297.2, 298.20,300.05,305.34,363030,1108.46,8841, 203093, 55.94
2023-07-12,KAMOPAINTS, EQ,300.05,299.85,303.6,296.2, 298.55,298.95,299.16,139697,417.92,7769, 44481, 31.84
2023-07-13,KAMOPAINTS, EQ,298.95,300.0,308.0,293.15, 300.00,300.85,301.53,340533,1026.8,6534, 67424, 19.80
2023-07-14,KAMOPAINTS, EQ,300.85,299.05,309.4,299.05,303.0,304.15,304.11,548115,1666.87,18724, 203047, 37.04
2023-07-17,KAMOPAINTS, EQ,304.15,306.9,310.0,298.0,302.4,301.6,306.05,188039,575.49,6715, 91015, 48.40
2023-07-18,KAMOPAINTS, EQ,301.6,302.8,307.65,298.0, 299.25,304.45,304.54,709675,2161.25,23005, 129733, 18.28
2023-07-19,KAMOPAINTS, EQ,304.45,302.65,306.3,290.25, 299.00,298.4,301.68,194195,585.84,6954, 70031, 36.06
