DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,KARMAENG, EQ,26.85,28.1,28.15,27.55, 28.15,28.15,28.05,3285,0.92,67, 2339, 71.20
2023-01-03,KARMAENG, EQ,28.15,29.55,29.55,27.5, 28.85,29.05,28.9,6285,1.82,156, 3383, 53.83
2023-01-04,KARMAENG, EQ,29.05,30.4,30.5,28.25, 29.25,28.9,29.35,7688,2.26,219, 4480, 58.27
2023-01-05,KARMAENG, EQ,28.9,30.15,30.15,28.1,28.25,28.4,28.76,5036,1.45,73, 4107, 81.55
2023-01-06,KARMAENG, EQ,28.4,28.6,29.1,27.95,28.25,28.0,28.49,2915,0.83,96, 1837, 63.02
2023-01-09,KARMAENG, EQ,28.0,28.0,28.7,27.1,27.2,27.3,27.78,2737,0.76,109, 1007, 36.79
2023-01-10,KARMAENG, EQ,27.3,27.3,28.05,27.3,27.85,27.8,27.62,2927,0.81,85, 2470, 84.39
2023-01-11,KARMAENG, EQ,27.8,27.8,28.35,27.0, 27.30,27.4,27.69,1976,0.55,98, 1222, 61.84
2023-01-12,KARMAENG, EQ,27.4,27.75,27.75,26.05, 26.15,26.1,26.71,4551,1.22,149, 2718, 59.72
2023-01-13,KARMAENG, EQ,26.1,26.15,27.35,26.15,26.55,27.2,27.02,1707,0.46,64, 1053, 61.69
2023-01-16,KARMAENG, EQ,27.2,27.75,28.55,27.3, 27.75,27.95,28.27,9090,2.57,261, 4908, 53.99
2023-01-17,KARMAENG, EQ,27.95,28.8,29.3,28.0,29.3,29.3,29.2,11339,3.31,134, 9571, 84.41
2023-01-18,KARMAENG, EQ,29.3,30.7,30.7,28.15,29.85,29.45,29.72,17526,5.21,397, 10843, 61.87
2023-01-19,KARMAENG, EQ,29.45,30.05,30.05,28.0, 28.00,28.2,28.36,11125,3.16,178, 6566, 59.02
