DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,KCP, EQ,113.85,114.9,115.55,113.0, 113.60,113.4,113.97,153859,175.36,2160, 81975, 53.28
2023-01-03,KCP, EQ,113.4,113.45,114.0,112.0, 113.90,113.0,112.87,89922,101.5,1411, 54143, 60.21
2023-01-04,KCP, EQ,113.0,114.0,116.0,111.3, 112.90,112.35,113.47,367468,416.97,5949, 180006, 48.99
2023-01-05,KCP, EQ,112.35,112.0,113.5,111.4,112.1,112.1,112.17,120550,135.22,1633, 77952, 64.66
2023-01-06,KCP, EQ,112.1,111.8,113.5,111.1,112.05,112.2,112.43,111828,125.72,1616, 55099, 49.27
2023-01-09,KCP, EQ,112.2,113.4,113.55,110.45,112.0,111.7,112.22,147743,165.8,2493, 67770, 45.87
2023-01-10,KCP, EQ,111.7,113.0,113.5,111.0,113.0,112.85,112.36,91605,102.92,1603, 50543, 55.17
2023-01-11,KCP, EQ,112.85,112.5,113.5,111.2, 112.05,112.05,112.13,136783,153.37,3604, 65019, 47.53
2023-01-12,KCP, EQ,112.05,112.05,112.7,111.6, 112.20,112.15,112.13,140308,157.33,1690, 72885, 51.95
2023-01-13,KCP, EQ,112.15,112.45,114.65,111.95,112.5,112.55,113.08,121195,137.04,1938, 52521, 43.34
2023-01-16,KCP, EQ,112.55,112.6,114.2,110.0, 110.10,110.25,111.83,220002,246.03,2249, 122277, 55.58
2023-01-17,KCP, EQ,110.25,110.8,111.3,109.7,110.25,110.65,110.62,51038,56.46,1196, 25032, 49.05
2023-01-18,KCP, EQ,110.65,111.0,111.1,108.25,108.5,108.95,109.75,94699,103.93,1770, 54370, 57.41
2023-01-19,KCP, EQ,108.95,108.5,110.4,108.0, 109.20,109.0,109.09,85333,93.09,1707, 48403, 56.72
2023-01-20,KCP, EQ,109.0,109.8,109.8,108.3,109.1,108.85,109.12,55233,60.27,1076, 28347, 51.32
2023-01-23,KCP, EQ,108.85,109.15,110.05,106.0,106.9,106.4,107.61,109434,117.76,2130, 63621, 58.14
2023-01-24,KCP, EQ,106.4,106.95,107.5,103.95,106.7,105.95,105.82,120508,127.52,2068, 62807, 52.12
2023-01-25,KCP, EQ,105.95,106.65,106.7,104.1, 106.20,105.85,105.51,164947,174.04,1318, 121873, 73.89
2023-01-27,KCP, EQ,105.85,106.5,107.15,100.4, 103.70,103.35,103.57,273962,283.74,3173, 175255, 63.97
2023-01-30,KCP, EQ,103.35,103.1,104.5,101.9, 103.35,103.5,103.36,51942,53.69,2253, 25588, 49.26
2023-01-31,KCP, EQ,103.5,104.45,105.95,102.05,103.35,103.75,104.44,105113,109.78,2272, 58822, 55.96
2023-02-01,KCP, EQ,103.75,105.0,107.75,101.5, 103.45,103.35,105.2,157155,165.32,2320, 76424, 48.63
2023-02-02,KCP, EQ,103.35,103.0,104.95,101.0, 102.65,102.35,102.84,116610,119.92,1989, 60449, 51.84
2023-02-03,KCP, EQ,102.35,103.0,103.6,100.1, 101.70,101.35,101.66,97157,98.77,2251, 45860, 47.20
2023-02-06,KCP, EQ,101.35,102.8,102.8,99.9, 101.35,101.8,101.07,171667,173.51,2853, 98878, 57.60
2023-02-07,KCP, EQ,101.8,102.15,102.8,100.3, 102.05,102.2,101.79,73901,75.22,1729, 42360, 57.32
2023-02-08,KCP, EQ,102.2,103.0,104.5,101.75, 103.15,102.9,103.02,87812,90.47,1677, 48499, 55.23
2023-02-09,KCP, EQ,102.9,102.2,102.85,101.55, 102.50,102.1,102.27,28783,29.44,600, 18789, 65.28
2023-02-10,KCP, EQ,102.1,103.0,104.9,99.5, 102.00,101.8,101.39,387592,392.98,4223, 110704, 28.56
2023-02-13,KCP, EQ,101.8,101.1,102.2,98.55,98.75,99.0,99.91,98633,98.54,1533, 60038, 60.87
2023-02-14,KCP, EQ,99.0,99.0,99.0,95.3,98.55,98.15,97.31,140772,136.99,2347, 84920, 60.32
2023-02-15,KCP, EQ,98.15,98.15,100.7,96.75, 100.70,100.1,98.82,88929,87.88,1559, 51426, 57.83
2023-02-16,KCP, EQ,100.1,100.75,101.0,98.75, 99.75,99.35,99.63,105386,104.99,2893, 65093, 61.77
2023-02-17,KCP, EQ,99.35,100.85,102.8,99.3, 101.45,100.95,101.34,141009,142.89,1825, 75631, 53.64
2023-02-20,KCP, EQ,100.95,100.95,101.0,99.65, 100.45,99.9,100.09,59834,59.89,954, 43124, 72.07
2023-02-21,KCP, EQ,99.9,101.0,101.0,99.15, 99.60,99.4,99.69,39968,39.84,955, 22311, 55.82
2023-02-22,KCP, EQ,99.4,99.4,100.0,98.4, 98.60,98.55,98.75,49270,48.65,811, 32600, 66.17
2023-02-23,KCP, EQ,98.55,99.45,99.45,97.4,97.9,98.1,98.03,62131,60.9,2113, 40373, 64.98
2023-02-24,KCP, EQ,98.1,98.1,98.85,95.45, 96.50,96.6,96.85,163566,158.42,2969, 120135, 73.45
2023-02-27,KCP, EQ,96.6,96.8,97.05,93.85, 95.50,95.6,95.27,80959,77.13,1630, 46695, 57.68
2023-02-28,KCP, EQ,95.6,95.5,95.9,93.0, 94.80,93.4,93.98,123002,115.6,2245, 89455, 72.73
2023-03-01,KCP, EQ,93.4,95.9,97.75,93.55, 97.50,97.15,96.13,117837,113.28,1934, 74123, 62.90
2023-03-02,KCP, EQ,97.15,96.7,98.75,96.5, 98.20,98.25,97.7,53648,52.42,2470, 31639, 58.98
2023-03-03,KCP, EQ,98.25,99.05,102.6,97.05, 100.80,101.1,99.65,169140,168.55,4812, 73000, 43.16
2023-03-06,KCP, EQ,101.1,101.7,101.95,99.25, 100.95,100.75,100.86,86197,86.93,1770, 44615, 51.76
2023-03-08,KCP, EQ,100.75,100.55,102.75,99.6, 101.50,101.9,101.31,126738,128.4,4506, 54167, 42.74
2023-03-09,KCP, EQ,101.9,101.9,102.6,100.2, 100.35,100.7,101.45,89354,90.65,1880, 59922, 67.06
2023-03-10,KCP, EQ,100.7,100.0,100.4,98.0, 98.50,98.5,98.56,367714,362.44,2036, 346748, 94.30
2023-03-13,KCP, EQ,98.5,98.9,98.9,95.95, 96.05,96.25,96.63,187946,181.61,1278, 162729, 86.58
