DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,KECL, EQ,64.4,65.7,65.7,63.3, 64.50,64.35,64.56,247828,160.0,2184, 128102, 51.69
2023-01-03,KECL, EQ,64.35,64.5,64.5,61.9, 63.50,63.35,63.29,288737,182.75,2143, 170753, 59.14
2023-01-04,KECL, EQ,63.35,63.0,64.75,62.3, 63.55,63.45,63.57,266474,169.4,2105, 125113, 46.95
2023-01-05,KECL, EQ,63.45,63.9,64.7,63.05,64.2,64.05,63.83,186483,119.04,1462, 121121, 64.95
2023-01-06,KECL, EQ,64.05,64.9,67.25,63.5,67.25,67.25,66.66,1078248,718.81,5998, 555729, 51.54
2023-01-09,KECL, EQ,67.25,70.45,70.6,68.5,70.6,70.6,70.35,597481,420.3,1477, 392660, 65.72
2023-01-10,KECL, EQ,70.6,72.0,74.1,68.6,74.1,74.1,72.29,1412417,1021.03,7376, 611795, 43.32
2023-01-11,KECL, EQ,74.1,74.1,77.8,73.0, 77.80,77.8,76.67,620093,475.42,2504, 405435, 65.38
2023-01-12,KECL, EQ,77.8,80.25,81.65,79.55, 81.65,81.65,81.24,327606,266.15,761, 279166, 85.21
2023-01-13,KECL, EQ,81.65,85.7,85.7,85.7,85.7,85.7,85.7,215891,185.02,596, 215891, 100.00
2023-01-16,KECL, EQ,85.7,89.7,89.95,81.45, 82.00,81.85,87.64,3872118,3393.57,14632, 1364686, 35.24
2023-01-17,KECL, EQ,81.85,80.1,83.8,77.75,79.25,78.6,78.78,1830578,1442.17,7818, 747103, 40.81
2023-01-18,KECL, EQ,78.6,80.8,82.5,79.35,82.5,82.5,81.62,398523,325.28,1354, 283350, 71.10
2023-01-19,KECL, EQ,82.5,84.75,86.6,82.85, 86.20,86.05,85.64,1840190,1575.99,9573, 639528, 34.75
2023-01-20,KECL, EQ,86.05,86.1,87.4,84.8,85.85,86.05,86.16,495161,426.65,4169, 312519, 63.11
2023-01-23,KECL, EQ,86.05,86.55,86.65,81.75,81.75,81.8,83.08,500149,415.54,3554, 295655, 59.11
2023-01-24,KECL, EQ,81.8,82.0,85.85,81.1,84.5,85.4,84.91,1505630,1278.4,6774, 483387, 32.11
2023-01-25,KECL, EQ,85.4,85.4,85.75,81.15, 81.15,81.15,82.33,857095,705.68,4881, 437293, 51.02
2023-01-27,KECL, EQ,81.15,77.1,77.9,77.1, 77.10,77.1,77.1,430132,331.63,767, 402414, 93.56
2023-01-30,KECL, EQ,77.1,73.25,74.3,73.25, 73.25,73.25,73.27,177112,129.77,629, 130587, 73.73
