DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-02-28,KHANDSE, EQ,28.95,29.55,29.55,28.75, 29.35,29.35,28.95,312,0.09,10, 309, 99.04
2023-03-01,KHANDSE, EQ,29.35,29.6,29.6,28.25, 29.30,29.25,29.22,3594,1.05,37, 3588, 99.83
2023-03-02,KHANDSE, EQ,29.25,30.0,30.0,28.2, 28.20,28.25,28.43,6741,1.92,76, 4624, 68.60
2023-03-03,KHANDSE, EQ,28.25,29.25,29.65,28.1, 29.55,29.6,29.32,5488,1.61,52, 5471, 99.69
2023-03-06,KHANDSE, EQ,29.6,30.85,30.85,28.9, 30.65,30.6,30.1,3874,1.17,57, 3603, 93.00
2023-03-08,KHANDSE, EQ,30.6,31.9,31.9,30.7, 31.05,31.2,31.32,2437,0.76,131, 2004, 82.23
2023-03-09,KHANDSE, EQ,31.2,32.15,32.15,29.65, 29.70,29.9,30.69,17356,5.33,169, 8479, 48.85
2023-03-10,KHANDSE, EQ,29.9,29.9,29.9,29.0, 29.80,29.15,29.58,1670,0.49,31, 1554, 93.05
2023-03-13,KHANDSE, EQ,29.15,30.25,30.25,28.1, 29.35,28.3,29.28,3706,1.09,75, 2801, 75.58
2023-03-14,KHANDSE, EQ,28.3,28.45,28.5,26.9, 27.90,27.5,27.38,5780,1.58,87, 4697, 81.26
2023-03-15,KHANDSE, EQ,27.5,28.65,28.65,26.2, 28.20,27.35,27.46,122,0.03,19, 66, 54.10
2023-03-16,KHANDSE, EQ,27.35,28.25,28.3,26.15, 27.40,27.45,27.57,2997,0.83,45, 2184, 72.87
2023-03-17,KHANDSE, EQ,27.45,28.3,28.3,26.5, 28.20,28.2,27.41,1222,0.33,13, 709, 58.02
2023-03-20,KHANDSE, EQ,28.2,27.5,28.5,27.5,28.2,28.05,28.23,442,0.12,49, 370, 83.71
2023-03-21,KHANDSE, EQ,28.05,28.35,28.55,26.85, 27.60,26.95,27.09,3636,0.98,37, 3177, 87.38
2023-03-22,KHANDSE, EQ,26.95,25.8,27.95,25.75, 27.40,27.0,26.79,1929,0.52,70, 1378, 71.44
2023-03-23,KHANDSE, EQ,27.0,26.2,27.6,26.15, 26.15,26.5,26.65,6646,1.77,68, 1958, 29.46
2023-03-24,KHANDSE, EQ,26.5,27.2,27.2,25.35, 25.95,25.4,25.59,5029,1.29,46, 4038, 80.29
2023-03-27,KHANDSE, EQ,25.4,25.4,26.3,24.15, 24.15,24.15,24.29,11028,2.68,54, 7832, 71.02
2023-03-28,KHANDSE, EQ,24.15,25.3,25.3,22.95, 22.95,22.95,22.97,21550,4.95,73, 19337, 89.73
2023-03-29,KHANDSE, EQ,22.95,23.85,23.85,21.9, 23.35,23.3,22.77,2534,0.58,51, 2130, 84.06
2023-03-31,KHANDSE, EQ,23.3,23.0,23.3,22.25, 23.00,22.6,22.82,6024,1.37,27, 5999, 99.58
2023-04-03,KHANDSE, EQ,22.6,23.45,23.7,23.25, 23.70,23.7,23.59,1450,0.34,22, 1450, 100.00
2023-04-05,KHANDSE, EQ,23.7,24.6,24.85,23.5, 24.80,24.7,24.51,16773,4.11,78, 13485, 80.40
2023-04-06,KHANDSE, EQ,24.7,25.65,25.9,24.25, 25.90,25.9,25.69,2315,0.59,29, 2207, 95.33
2023-04-10,KHANDSE, EQ,25.9,27.0,27.15,26.55, 27.15,27.15,27.14,37817,10.26,83, 37649, 99.56
2023-04-11,KHANDSE, EQ,27.15,28.9,29.85,26.5, 26.70,27.0,29.43,196096,57.71,1017, 106614, 54.37
2023-04-12,KHANDSE, EQ,27.0,26.9,28.8,25.8, 27.90,27.95,27.62,19971,5.52,253, 12804, 64.11
2023-04-13,KHANDSE, EQ,27.95,28.95,28.95,25.2, 27.00,26.7,26.47,29562,7.82,284, 17799, 60.21
2023-04-17,KHANDSE, EQ,26.7,28.5,28.8,26.1, 26.95,26.55,26.94,8242,2.22,102, 5992, 72.70
2023-04-18,KHANDSE, EQ,26.55,28.8,28.8,24.0, 24.30,24.45,24.91,100651,25.07,581, 55246, 54.89
2023-04-19,KHANDSE, EQ,24.45,25.25,25.45,24.5, 25.25,24.85,25.04,6540,1.64,50, 5416, 82.81
2023-04-20,KHANDSE, EQ,24.85,26.25,26.25,24.9, 25.00,25.45,25.48,14889,3.79,200, 12973, 87.13
2023-04-21,KHANDSE, EQ,25.45,27.4,27.4,24.05, 24.70,24.35,24.7,26256,6.48,196, 17762, 67.65
2023-04-24,KHANDSE, EQ,24.35,25.55,25.55,24.55, 25.25,24.95,25.02,14498,3.63,87, 7997, 55.16
2023-04-25,KHANDSE, EQ,24.95,25.0,25.35,24.5,24.5,24.75,24.74,16655,4.12,95, 13084, 78.56
2023-04-26,KHANDSE, EQ,24.75,25.55,25.55,24.2, 24.75,24.25,24.43,21959,5.37,106, 15806, 71.98
2023-04-27,KHANDSE, EQ,24.25,25.5,25.5,22.7, 24.20,24.35,24.07,21225,5.11,173, 13926, 65.61
2023-04-28,KHANDSE, EQ,24.35,24.5,24.9,23.25, 23.70,24.05,24.16,6847,1.65,92, 5594, 81.70
2023-05-02,KHANDSE, EQ,24.05,25.45,25.5,24.0, 24.65,24.2,24.54,16003,3.93,133, 8821, 55.12
2023-05-03,KHANDSE, EQ,24.2,25.45,25.45,23.3,24.3,24.25,24.19,5761,1.39,106, 4324, 75.06
2023-05-04,KHANDSE, EQ,24.25,24.55,24.75,23.85, 24.60,24.6,24.29,9618,2.34,192, 4554, 47.35
2023-05-05,KHANDSE, EQ,24.6,24.6,27.05,24.05, 26.85,26.8,26.8,298455,79.99,708, 131874, 44.19
