DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,KIRLOSIND, EQ,1927.95,1942.2,1966.45,1942.2, 1961.50,1962.95,1959.75,2149,42.12,280, 1646, 76.59
2023-01-03,KIRLOSIND, EQ,1962.95,1987.1,2000.0,1959.05, 1995.00,1993.1,1980.37,3635,71.99,618, 2572, 70.76
2023-01-04,KIRLOSIND, EQ,1993.1,2015.65,2052.0,1975.6, 2010.00,2017.1,2015.75,8717,175.71,1007, 5887, 67.53
2023-01-05,KIRLOSIND, EQ,2017.1,2055.0,2056.0,2012.55,2033.0,2025.65,2027.24,4720,95.69,602, 3240, 68.64
2023-01-06,KIRLOSIND, EQ,2025.65,2044.3,2144.25,2024.5,2118.0,2124.3,2087.47,14338,299.3,1757, 9705, 67.69
2023-01-09,KIRLOSIND, EQ,2124.3,2124.3,2169.0,2063.5,2066.1,2074.1,2121.39,6627,140.58,1087, 4273, 64.48
2023-01-10,KIRLOSIND, EQ,2074.1,2095.0,2122.45,2019.05,2075.1,2048.6,2057.47,6904,142.05,2280, 1220, 17.67
2023-01-11,KIRLOSIND, EQ,2048.6,2075.0,2114.85,2031.35, 2069.25,2055.65,2068.99,9288,192.17,3216, 1760, 18.95
2023-01-12,KIRLOSIND, EQ,2055.65,2085.0,2100.0,2050.05, 2060.00,2056.0,2075.16,2693,55.88,649, 1088, 40.40
2023-01-13,KIRLOSIND, EQ,2056.0,2045.0,2088.55,2026.25,2028.65,2034.4,2047.54,1184,24.24,308, 774, 65.37
2023-01-16,KIRLOSIND, EQ,2034.4,2060.0,2060.0,2028.2, 2050.00,2045.05,2042.2,814,16.62,273, 386, 47.42
2023-01-17,KIRLOSIND, EQ,2045.05,2046.85,2060.9,2020.0,2020.0,2026.9,2035.68,677,13.78,228, 330, 48.74
2023-01-18,KIRLOSIND, EQ,2026.9,2011.85,2031.9,2000.1,2000.1,2003.25,2013.39,1123,22.61,286, 676, 60.20
2023-01-19,KIRLOSIND, EQ,2003.25,1988.25,2063.4,1980.0, 2054.70,2056.5,2038.59,2562,52.23,465, 1128, 44.03
2023-01-20,KIRLOSIND, EQ,2056.5,2087.35,2087.35,1982.05,2010.0,1994.85,2011.67,1470,29.57,378, 778, 52.93
2023-01-23,KIRLOSIND, EQ,1994.85,2020.0,2020.0,1968.0,1979.0,1973.1,1991.53,1534,30.55,313, 851, 55.48
2023-01-24,KIRLOSIND, EQ,1973.1,1976.0,1976.95,1941.95,1952.45,1952.75,1957.77,1299,25.43,364, 711, 54.73
2023-01-25,KIRLOSIND, EQ,1952.75,1952.0,1961.1,1930.1, 1947.05,1947.95,1941.93,1284,24.93,207, 973, 75.78
2023-01-27,KIRLOSIND, EQ,1947.95,1960.0,1960.0,1902.0, 1915.00,1917.15,1926.98,1950,37.58,341, 1424, 73.03
2023-01-30,KIRLOSIND, EQ,1917.15,1906.6,1955.4,1890.0, 1930.50,1927.65,1912.89,1034,19.78,281, 575, 55.61
2023-01-31,KIRLOSIND, EQ,1927.65,1966.15,1987.0,1921.55,1987.0,1948.05,1945.58,1163,22.63,275, 723, 62.17
2023-02-01,KIRLOSIND, EQ,1948.05,1945.0,1988.4,1940.9, 1975.00,1976.95,1971.98,2301,45.38,359, 1615, 70.19
2023-02-02,KIRLOSIND, EQ,1976.95,1947.3,2026.25,1947.3, 1991.00,1981.7,1997.43,3098,61.88,473, 2249, 72.60
2023-02-03,KIRLOSIND, EQ,1981.7,2010.0,2018.0,1953.0, 1991.00,2000.05,1988.99,1336,26.57,335, 824, 61.68
2023-02-06,KIRLOSIND, EQ,2000.05,2005.05,2005.05,1936.1, 1990.00,1988.55,1979.62,7458,147.64,733, 4943, 66.28
2023-02-07,KIRLOSIND, EQ,1988.55,1985.0,2125.0,1984.0, 2088.00,2105.25,2051.78,10421,213.82,1364, 7063, 67.78
2023-02-08,KIRLOSIND, EQ,2105.25,2147.95,2182.45,2090.0, 2120.00,2115.95,2125.3,10177,216.29,1367, 5930, 58.27
2023-02-09,KIRLOSIND, EQ,2115.95,2125.0,2157.2,2078.85, 2107.60,2106.45,2114.0,4961,104.88,720, 3442, 69.38
2023-02-10,KIRLOSIND, EQ,2106.45,2100.0,2156.35,2090.05, 2110.00,2103.1,2119.09,4230,89.64,825, 2034, 48.09
2023-02-13,KIRLOSIND, EQ,2103.1,2130.0,2130.0,2030.0,2049.0,2035.75,2068.63,2431,50.29,732, 1060, 43.60
2023-02-14,KIRLOSIND, EQ,2035.75,2077.6,2080.0,2023.55,2025.0,2026.05,2030.82,887,18.01,213, 541, 60.99
2023-02-15,KIRLOSIND, EQ,2026.05,2010.85,2048.9,2010.85, 2040.00,2038.9,2035.9,841,17.12,223, 464, 55.17
2023-02-16,KIRLOSIND, EQ,2038.9,2039.0,2130.0,2034.35, 2128.95,2103.15,2093.09,11491,240.52,821, 9578, 83.35
2023-02-17,KIRLOSIND, EQ,2103.15,2134.7,2160.0,2051.9, 2060.00,2062.45,2102.26,4464,93.85,694, 2499, 55.98
2023-02-20,KIRLOSIND, EQ,2062.45,2085.0,2250.0,2080.3, 2244.00,2215.05,2203.19,37584,828.05,4374, 21265, 56.58
2023-02-21,KIRLOSIND, EQ,2215.05,2255.0,2284.8,2187.7, 2200.00,2202.6,2236.33,17477,390.84,2462, 8312, 47.56
2023-02-22,KIRLOSIND, EQ,2202.6,2215.0,2249.0,2195.0, 2230.00,2212.35,2208.22,20939,462.38,1569, 17160, 81.95
2023-02-23,KIRLOSIND, EQ,2212.35,2200.1,2268.9,2189.4,2200.0,2201.35,2206.52,20803,459.02,1714, 16619, 79.89
2023-02-24,KIRLOSIND, EQ,2201.35,2201.0,2248.8,2200.0, 2210.00,2204.0,2217.98,9245,205.05,1660, 6614, 71.54
2023-02-27,KIRLOSIND, EQ,2204.0,2225.0,2233.4,2197.45, 2209.85,2208.75,2204.43,9884,217.89,652, 8030, 81.24
2023-02-28,KIRLOSIND, EQ,2208.75,2230.85,2300.0,2198.05, 2240.00,2272.35,2236.3,13021,291.19,1268, 10010, 76.88
2023-03-01,KIRLOSIND, EQ,2272.35,2267.0,2364.75,2230.05, 2325.00,2345.55,2276.27,27268,620.69,2780, 13564, 49.74
2023-03-02,KIRLOSIND, EQ,2345.55,2369.0,2374.9,2244.0, 2246.00,2252.8,2301.94,10551,242.88,1869, 5595, 53.03
2023-03-03,KIRLOSIND, EQ,2252.8,2242.35,2277.6,2207.7, 2228.95,2221.6,2242.78,11855,265.88,1657, 7706, 65.00
2023-03-06,KIRLOSIND, EQ,2221.6,2230.0,2352.95,2227.2, 2239.90,2244.0,2295.33,18575,426.36,3314, 8474, 45.62
2023-03-08,KIRLOSIND, EQ,2244.0,2244.0,2338.0,2221.4, 2315.00,2288.2,2303.25,16798,386.9,2508, 9610, 57.21
2023-03-09,KIRLOSIND, EQ,2288.2,2313.4,2444.0,2280.15, 2369.00,2334.2,2392.09,33213,794.48,5752, 10442, 31.44
2023-03-10,KIRLOSIND, EQ,2334.2,2312.0,2394.95,2295.85, 2312.50,2313.85,2336.31,16269,380.09,2796, 8985, 55.23
2023-03-13,KIRLOSIND, EQ,2313.85,2300.0,2327.9,2200.0, 2215.00,2206.15,2242.08,9448,211.83,1722, 6710, 71.02
2023-03-14,KIRLOSIND, EQ,2206.15,2202.3,2265.65,2202.3, 2230.00,2226.75,2235.67,10827,242.06,1615, 7202, 66.52
2023-03-15,KIRLOSIND, EQ,2226.75,2236.0,2272.4,2230.0, 2250.00,2251.7,2247.79,13792,310.02,1322, 11078, 80.32
2023-03-16,KIRLOSIND, EQ,2251.7,2271.7,2271.7,2250.0, 2260.00,2257.75,2255.59,4026,90.81,745, 2865, 71.16
2023-03-17,KIRLOSIND, EQ,2257.75,2273.0,2295.0,2250.0, 2280.00,2278.55,2276.75,5212,118.66,1163, 3744, 71.83
2023-03-20,KIRLOSIND, EQ,2278.55,2276.3,2438.5,2250.0,2433.0,2391.45,2352.32,20800,489.28,3575, 7747, 37.25
