DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,KOTAKCONS, EQ,76.47,75.97,75.97,75.31, 75.35,75.35,75.51,35,0.03,17, 26, 74.29
2023-01-03,KOTAKCONS, EQ,75.35,75.7,75.72,75.56, 75.56,75.56,75.6,137,0.1,5, 137, 100.00
2023-01-04,KOTAKCONS, EQ,75.56,75.47,75.47,74.83, 75.07,75.0,75.11,448,0.34,41, 329, 73.44
2023-01-05,KOTAKCONS, EQ,75.0,75.3,75.81,74.87,75.81,75.81,75.12,304,0.23,19, 299, 98.36
2023-01-06,KOTAKCONS, EQ,75.81,75.6,81.81,74.81,76.5,74.94,75.32,2169,1.63,70, 1029, 47.44
2023-01-09,KOTAKCONS, EQ,74.94,75.5,75.76,75.22,75.31,75.31,75.55,31,0.02,10, 23, 74.19
2023-01-10,KOTAKCONS, EQ,75.31,75.5,75.59,75.0,75.26,75.26,75.27,126,0.09,17, 122, 96.83
2023-01-11,KOTAKCONS, EQ,75.26,74.83,74.83,74.15, 74.50,74.26,74.48,2192,1.63,39, 1554, 70.89
2023-01-12,KOTAKCONS, EQ,74.26,74.26,74.4,74.0, 74.10,74.1,74.35,1142,0.85,19, 1106, 96.85
2023-01-13,KOTAKCONS, EQ,74.1,74.25,74.71,74.1,74.69,74.69,74.21,26,0.02,7, 24, 92.31
2023-01-16,KOTAKCONS, EQ,74.69,74.36,74.36,74.1, 74.18,74.18,74.13,163,0.12,10, 162, 99.39
2023-01-17,KOTAKCONS, EQ,74.18,75.0,75.0,74.6,74.9,74.85,74.85,288,0.22,11, 286, 99.31
2023-01-18,KOTAKCONS, EQ,74.85,75.0,75.56,75.0,75.28,75.28,75.15,342,0.26,11, 238, 69.59
2023-01-19,KOTAKCONS, EQ,75.28,75.29,75.29,74.17, 74.50,74.5,74.66,934,0.7,31, 723, 77.41
2023-01-20,KOTAKCONS, EQ,74.5,74.2,74.3,73.57,73.8,73.8,74.03,2419,1.79,44, 2308, 95.41
2023-01-23,KOTAKCONS, EQ,73.8,74.0,76.57,74.0,76.57,76.27,74.21,108,0.08,10, 102, 94.44
2023-01-24,KOTAKCONS, EQ,76.27,76.27,76.27,74.3,74.4,74.4,74.4,417,0.31,42, 307, 73.62
2023-01-25,KOTAKCONS, EQ,74.4,74.4,74.4,73.85, 74.13,74.13,74.13,5472,4.06,23, 5410, 98.87
2023-01-27,KOTAKCONS, EQ,74.13,74.13,75.4,72.35, 72.35,72.62,72.67,8046,5.85,44, 7198, 89.46
2023-01-30,KOTAKCONS, EQ,72.62,72.99,73.0,71.15, 71.41,71.56,72.1,1189,0.86,34, 556, 46.76
2023-01-31,KOTAKCONS, EQ,71.56,72.59,73.95,72.39,73.9,73.79,72.9,511,0.37,27, 282, 55.19
2023-02-01,KOTAKCONS, EQ,73.79,73.8,74.41,73.05, 74.41,73.95,73.78,1030,0.76,15, 201, 19.51
2023-02-02,KOTAKCONS, EQ,73.95,71.74,73.67,71.74, 73.67,73.67,72.77,5,0.0,4, 2, 40.00
