DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,KOTAKPSUBK, EQ,430.1,429.99,434.5,428.0, 433.49,432.66,432.23,29682,128.3,764, 13496, 45.47
2023-01-03,KOTAKPSUBK, EQ,432.66,436.97,438.0,433.18, 437.85,435.96,436.13,19616,85.55,655, 6467, 32.97
2023-01-04,KOTAKPSUBK, EQ,435.96,439.99,439.99,425.0, 427.00,427.15,428.93,39733,170.43,992, 26778, 67.39
2023-01-05,KOTAKPSUBK, EQ,427.15,432.97,432.97,424.3,428.0,428.24,427.78,23704,101.4,595, 12276, 51.79
2023-01-06,KOTAKPSUBK, EQ,428.24,430.53,430.53,422.0,426.76,426.08,425.69,13809,58.78,594, 4268, 30.91
2023-01-09,KOTAKPSUBK, EQ,426.08,428.0,431.6,426.08,431.0,430.69,429.99,27740,119.28,589, 15147, 54.60
2023-01-10,KOTAKPSUBK, EQ,430.69,428.5,429.39,414.37,418.0,417.21,419.63,49897,209.38,1106, 39866, 79.90
2023-01-11,KOTAKPSUBK, EQ,417.21,419.86,421.48,412.05, 421.00,420.16,417.79,35290,147.44,645, 20649, 58.51
2023-01-12,KOTAKPSUBK, EQ,420.16,426.0,426.0,416.28, 418.99,418.87,418.73,6565,27.49,373, 3657, 55.70
2023-01-13,KOTAKPSUBK, EQ,418.87,423.97,425.9,418.97,423.72,425.37,423.0,14950,63.24,543, 6277, 41.99
2023-01-16,KOTAKPSUBK, EQ,425.37,425.97,433.9,425.09, 431.65,431.27,430.54,36426,156.83,774, 21070, 57.84
2023-01-17,KOTAKPSUBK, EQ,431.27,428.51,434.9,421.55,423.0,426.34,428.63,47352,202.97,1248, 16893, 35.68
2023-01-18,KOTAKPSUBK, EQ,426.34,426.0,426.35,417.2,419.4,418.25,419.92,25022,105.07,848, 12720, 50.84
2023-01-19,KOTAKPSUBK, EQ,418.25,415.83,419.94,415.83, 418.81,418.33,418.48,24915,104.26,1285, 15642, 62.78
