DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,KOTAKSILVE, EQ,67.8,68.58,68.58,67.8, 68.25,68.25,68.12,26921,18.34,55, 25826, 95.93
2023-01-03,KOTAKSILVE, EQ,68.25,68.25,74.4,68.25, 69.20,69.2,69.34,30354,21.05,82, 27145, 89.43
2023-01-04,KOTAKSILVE, EQ,69.2,58.0,69.98,58.0, 69.35,69.3,68.93,11687,8.06,81, 7668, 65.61
2023-01-05,KOTAKSILVE, EQ,69.3,68.97,68.97,67.2,67.2,67.5,68.07,20889,14.22,94, 9404, 45.02
2023-01-06,KOTAKSILVE, EQ,67.5,68.48,68.48,67.61,67.85,67.85,67.91,3253,2.21,20, 2940, 90.38
2023-01-09,KOTAKSILVE, EQ,67.85,68.01,69.0,68.01,68.99,68.99,68.6,2563,1.76,38, 2135, 83.30
2023-01-10,KOTAKSILVE, EQ,68.99,68.8,68.8,67.4,67.9,67.9,67.85,2348,1.59,34, 2118, 90.20
2023-01-11,KOTAKSILVE, EQ,67.9,67.9,68.98,67.9, 68.50,68.52,67.97,439,0.3,20, 397, 90.43
2023-01-12,KOTAKSILVE, EQ,68.52,68.2,68.2,67.52, 68.10,68.1,68.06,5252,3.57,29, 5225, 99.49
2023-01-13,KOTAKSILVE, EQ,68.1,68.0,68.8,67.81,67.81,68.23,68.02,9352,6.36,33, 8787, 93.96
2023-01-16,KOTAKSILVE, EQ,68.23,70.27,70.27,68.2, 69.08,68.92,68.95,3045,2.1,59, 1215, 39.90
2023-01-17,KOTAKSILVE, EQ,68.92,68.91,69.0,68.52,68.75,68.72,68.83,3134,2.16,28, 1292, 41.23
2023-01-18,KOTAKSILVE, EQ,68.72,68.6,69.0,68.21,68.3,68.3,68.43,3231,2.21,29, 1070, 33.12
2023-01-19,KOTAKSILVE, EQ,68.3,68.3,68.3,67.01, 67.13,67.36,67.36,4064,2.74,53, 1750, 43.06
2023-01-20,KOTAKSILVE, EQ,67.36,67.81,68.39,67.8,68.3,68.29,68.05,6440,4.38,39, 4998, 77.61
2023-01-23,KOTAKSILVE, EQ,68.29,68.51,68.51,67.4,67.4,67.52,68.04,1496,1.02,44, 568, 37.97
2023-01-24,KOTAKSILVE, EQ,67.52,67.9,67.9,66.4,67.28,67.28,66.96,1361,0.91,30, 730, 53.64
2023-01-25,KOTAKSILVE, EQ,67.28,67.2,67.8,67.2, 67.60,67.6,67.62,1283,0.87,12, 1280, 99.77
2023-01-27,KOTAKSILVE, EQ,67.6,69.62,69.62,67.55, 68.75,68.76,67.75,662,0.45,15, 606, 91.54
2023-01-30,KOTAKSILVE, EQ,68.76,68.0,68.35,67.76, 68.35,68.35,68.13,148,0.1,5, 122, 82.43
2023-01-31,KOTAKSILVE, EQ,68.35,68.2,68.2,67.2,67.85,67.99,67.91,1153,0.78,25, 949, 82.31
2023-02-01,KOTAKSILVE, EQ,67.99,66.65,69.5,66.65, 69.50,69.27,68.34,3380,2.31,49, 2457, 72.69
2023-02-02,KOTAKSILVE, EQ,69.27,69.71,71.01,69.71, 70.55,70.88,70.57,6065,4.28,53, 4651, 76.69
2023-02-03,KOTAKSILVE, EQ,70.88,70.4,70.4,68.6, 69.58,69.58,69.58,1618,1.13,35, 925, 57.17
2023-02-06,KOTAKSILVE, EQ,69.58,67.8,68.2,67.2, 67.21,67.21,67.48,16602,11.2,42, 6211, 37.41
