DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,KOTHARIPET, EQ,68.85,68.55,72.25,68.5, 70.55,70.65,70.46,80709,56.87,766, 49682, 61.56
2023-01-03,KOTHARIPET, EQ,70.65,70.6,72.2,69.5, 70.10,70.25,70.92,67769,48.06,812, 33262, 49.08
2023-01-04,KOTHARIPET, EQ,70.25,70.5,70.95,68.55, 69.00,69.05,69.62,34322,23.89,508, 21469, 62.55
2023-01-05,KOTHARIPET, EQ,69.05,68.7,69.7,68.0,68.5,68.6,68.61,24401,16.74,404, 14525, 59.53
2023-01-06,KOTHARIPET, EQ,68.6,69.95,69.95,67.65,68.05,68.05,68.48,25867,17.71,370, 16656, 64.39
2023-01-09,KOTHARIPET, EQ,68.05,69.95,69.95,67.7,67.85,68.05,68.52,23351,16.0,373, 14539, 62.26
2023-01-10,KOTHARIPET, EQ,68.05,69.0,69.75,67.4,68.0,67.7,68.13,24081,16.41,377, 12196, 50.65
2023-01-11,KOTHARIPET, EQ,67.7,67.55,69.0,67.55, 68.90,68.7,68.33,18044,12.33,319, 8830, 48.94
2023-01-12,KOTHARIPET, EQ,68.7,69.5,69.5,67.5, 67.80,67.95,68.26,17194,11.74,262, 12864, 74.82
2023-01-13,KOTHARIPET, EQ,67.95,67.9,68.2,66.65,67.9,67.2,67.48,25823,17.43,413, 16685, 64.61
2023-01-16,KOTHARIPET, EQ,67.2,66.5,68.4,66.0, 66.10,66.25,66.67,40277,26.85,489, 27032, 67.12
2023-01-17,KOTHARIPET, EQ,66.25,67.55,70.4,66.55,67.5,67.6,68.71,108751,74.73,1012, 32528, 29.91
2023-01-18,KOTHARIPET, EQ,67.6,66.85,68.5,66.85,67.0,67.2,67.59,33415,22.59,433, 19841, 59.38
2023-01-19,KOTHARIPET, EQ,67.2,67.2,68.4,66.7, 67.55,67.3,67.38,14952,10.08,279, 7325, 48.99
2023-01-20,KOTHARIPET, EQ,67.3,68.5,68.5,66.1,66.75,66.8,67.13,19215,12.9,306, 10846, 56.45
2023-01-23,KOTHARIPET, EQ,66.8,66.9,68.1,66.05,66.7,66.55,66.76,34802,23.23,523, 16798, 48.27
2023-01-24,KOTHARIPET, EQ,66.55,67.8,67.8,65.85,66.0,66.0,66.49,16838,11.19,314, 11478, 68.17
2023-01-25,KOTHARIPET, EQ,66.0,66.0,67.2,65.55, 65.95,65.75,65.96,20380,13.44,369, 13725, 67.35
2023-01-27,KOTHARIPET, EQ,65.75,67.8,67.8,63.3, 64.35,64.2,64.55,30448,19.65,625, 21631, 71.04
2023-01-30,KOTHARIPET, EQ,64.2,64.2,65.1,63.1, 63.20,63.45,63.87,19036,12.16,425, 11964, 62.85
2023-01-31,KOTHARIPET, EQ,63.45,63.55,65.0,63.5,65.0,64.8,64.24,26770,17.2,418, 13435, 50.19
2023-02-01,KOTHARIPET, EQ,64.8,66.0,66.0,64.0, 64.70,64.5,65.08,23659,15.4,408, 13100, 55.37
2023-02-02,KOTHARIPET, EQ,64.5,65.75,66.1,64.0, 64.05,64.25,64.73,27317,17.68,434, 15087, 55.23
2023-02-03,KOTHARIPET, EQ,64.25,64.05,65.7,63.5, 63.60,63.7,64.06,23634,15.14,416, 10564, 44.70
2023-02-06,KOTHARIPET, EQ,63.7,64.95,64.95,63.35, 64.20,63.7,63.96,17619,11.27,361, 10644, 60.41
2023-02-07,KOTHARIPET, EQ,63.7,64.5,71.75,63.45, 68.80,68.9,68.66,174202,119.61,3476, 70873, 40.68
2023-02-08,KOTHARIPET, EQ,68.9,68.9,72.0,67.75, 69.00,69.15,70.15,171242,120.13,1714, 63490, 37.08
2023-02-09,KOTHARIPET, EQ,69.15,68.55,75.0,68.55, 71.05,70.95,72.46,275311,199.48,2757, 103064, 37.44
2023-02-10,KOTHARIPET, EQ,70.95,70.0,73.1,69.2, 69.25,70.1,71.24,56569,40.3,1342, 32512, 57.47
2023-02-13,KOTHARIPET, EQ,70.1,69.95,73.15,69.95,70.4,71.1,71.89,118444,85.15,1758, 65417, 55.23
2023-02-14,KOTHARIPET, EQ,71.1,72.4,73.0,70.6,71.0,71.15,72.07,60522,43.62,1336, 36710, 60.66
2023-02-15,KOTHARIPET, EQ,71.15,70.45,73.0,70.45, 70.60,70.8,71.55,49919,35.72,1068, 19340, 38.74
2023-02-16,KOTHARIPET, EQ,70.8,72.0,72.0,69.0, 69.50,69.25,70.19,27888,19.57,693, 19964, 71.59
2023-02-17,KOTHARIPET, EQ,69.25,69.25,69.9,67.6, 67.95,67.9,68.78,30346,20.87,495, 16521, 54.44
2023-02-20,KOTHARIPET, EQ,67.9,67.5,70.0,67.25, 68.00,67.85,68.33,47262,32.3,869, 18054, 38.20
2023-02-21,KOTHARIPET, EQ,67.85,67.6,68.15,65.6, 65.90,65.95,66.69,28817,19.22,775, 21387, 74.22
2023-02-22,KOTHARIPET, EQ,65.95,65.1,66.0,64.5, 66.00,64.8,65.16,24595,16.03,440, 20310, 82.58
2023-02-23,KOTHARIPET, EQ,64.8,64.7,67.75,64.7,66.75,66.45,66.23,23828,15.78,412, 14078, 59.08
2023-02-24,KOTHARIPET, EQ,66.45,67.0,68.5,65.5, 68.50,66.9,66.71,22482,15.0,399, 14048, 62.49
2023-02-27,KOTHARIPET, EQ,66.9,68.0,70.25,66.3, 68.60,68.85,68.93,90822,62.6,1231, 58004, 63.87
