DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,KPITTECH, EQ,704.25,707.8,708.8,694.1, 697.50,696.75,698.43,404987,2828.54,15551, 178816, 44.15
2023-01-03,KPITTECH, EQ,696.75,696.75,703.3,689.0, 690.00,691.75,695.98,524130,3647.85,15606, 232730, 44.40
2023-01-04,KPITTECH, EQ,691.75,691.0,691.0,675.65, 680.00,681.15,681.72,838579,5716.79,34267, 400048, 47.71
2023-01-05,KPITTECH, EQ,681.15,682.7,690.0,677.2,682.5,682.7,683.51,571885,3908.89,25830, 186852, 32.67
2023-01-06,KPITTECH, EQ,682.7,682.5,719.95,679.05,715.0,716.65,704.87,2688877,18953.21,52835, 1144490, 42.56
2023-01-09,KPITTECH, EQ,716.65,720.25,754.6,710.05,717.2,715.6,737.06,6183258,45574.44,112875, 1740310, 28.15
2023-01-10,KPITTECH, EQ,715.6,719.0,727.35,706.0,719.5,719.45,717.31,1393835,9998.14,38482, 306863, 22.02
2023-01-11,KPITTECH, EQ,719.45,722.0,722.9,701.0, 702.90,703.05,708.16,836999,5927.31,27031, 352985, 42.17
2023-01-12,KPITTECH, EQ,703.05,706.6,711.0,690.1, 693.50,692.55,695.26,867422,6030.81,29391, 355755, 41.01
2023-01-13,KPITTECH, EQ,692.55,695.2,698.95,677.0,698.0,692.4,684.96,1673248,11461.1,44917, 663974, 39.68
2023-01-16,KPITTECH, EQ,692.4,695.9,704.4,688.05, 694.00,693.25,696.03,634770,4418.21,20104, 149263, 23.51
2023-01-17,KPITTECH, EQ,693.25,693.25,708.0,692.0,700.0,702.25,702.85,956920,6725.7,22233, 264712, 27.66
2023-01-18,KPITTECH, EQ,702.25,703.5,708.0,685.5,692.0,692.6,698.81,619850,4331.59,16702, 286842, 46.28
2023-01-19,KPITTECH, EQ,692.6,689.05,697.05,685.95, 697.05,695.4,691.42,632608,4373.95,21702, 255520, 40.39
2023-01-20,KPITTECH, EQ,695.4,698.9,702.9,686.75,697.6,696.75,695.31,470408,3270.79,12202, 185072, 39.34
2023-01-23,KPITTECH, EQ,696.75,700.25,701.5,690.05,700.5,697.8,695.46,389484,2708.72,13238, 150025, 38.52
2023-01-24,KPITTECH, EQ,697.8,701.3,707.3,697.65,701.0,702.3,701.65,830672,5828.39,19143, 442535, 53.27
2023-01-25,KPITTECH, EQ,702.3,700.85,715.6,687.75, 706.95,707.0,704.43,908511,6399.85,27221, 294752, 32.44
2023-01-27,KPITTECH, EQ,707.0,706.95,717.85,688.45, 701.00,697.4,704.69,986918,6954.73,33366, 354792, 35.95
2023-01-30,KPITTECH, EQ,697.4,700.0,724.85,688.1, 710.00,709.3,710.28,1172465,8327.77,38563, 436945, 37.27
2023-01-31,KPITTECH, EQ,709.3,709.3,772.35,701.7,758.35,762.9,748.47,4110246,30763.89,102384, 1680530, 40.89
2023-02-01,KPITTECH, EQ,762.9,775.0,779.0,734.35, 740.00,742.6,751.4,2995906,22511.24,91994, 1177009, 39.29
2023-02-02,KPITTECH, EQ,742.6,742.6,813.0,740.65, 790.00,787.5,789.7,6672636,52693.6,162671, 1739690, 26.07
2023-02-03,KPITTECH, EQ,787.5,785.0,800.95,770.7, 776.75,778.35,782.77,2260046,17690.9,58713, 757529, 33.52
2023-02-06,KPITTECH, EQ,778.35,784.0,819.55,773.1, 775.75,776.3,792.96,3855942,30575.94,88568, 1343553, 34.84
2023-02-07,KPITTECH, EQ,776.3,779.9,791.95,775.2, 777.00,778.85,782.66,1266458,9912.02,33325, 441803, 34.88
2023-02-08,KPITTECH, EQ,778.85,780.0,810.0,778.25, 806.50,803.2,796.6,2132640,16988.57,50670, 707831, 33.19
2023-02-09,KPITTECH, EQ,803.2,807.25,830.0,806.05, 817.00,817.25,822.63,2842171,23380.56,63899, 896928, 31.56
2023-02-10,KPITTECH, EQ,817.25,817.95,860.0,815.0, 858.95,855.45,844.8,3862427,32629.73,86342, 1102025, 28.53
2023-02-13,KPITTECH, EQ,855.45,860.0,872.8,816.7,821.05,820.3,846.21,2963766,25079.73,84603, 1011897, 34.14
2023-02-14,KPITTECH, EQ,820.3,824.4,847.0,822.55,834.95,834.5,837.24,1685164,14108.79,44333, 449459, 26.67
2023-02-15,KPITTECH, EQ,834.5,835.0,855.8,811.4, 849.50,844.05,839.86,2129885,17888.15,58158, 569386, 26.73
2023-02-16,KPITTECH, EQ,844.05,848.0,875.0,846.1, 864.95,866.15,865.24,1946554,16842.4,61213, 681370, 35.00
2023-02-17,KPITTECH, EQ,866.15,861.1,876.15,848.0, 855.00,856.1,859.11,1084471,9316.83,33365, 289144, 26.66
2023-02-20,KPITTECH, EQ,856.1,855.0,861.25,825.05, 831.00,827.9,839.26,1033309,8672.2,39327, 413181, 39.99
2023-02-21,KPITTECH, EQ,827.9,831.25,845.5,817.7, 822.60,822.1,830.33,1319818,10958.89,41964, 447593, 33.91
2023-02-22,KPITTECH, EQ,822.1,814.0,833.0,807.6, 812.80,811.35,820.73,1365678,11208.52,52258, 459713, 33.66
2023-02-23,KPITTECH, EQ,811.35,815.0,828.0,812.25,826.45,823.55,818.58,1319393,10800.33,36916, 714943, 54.19
2023-02-24,KPITTECH, EQ,823.55,829.9,845.75,829.1, 831.50,833.7,838.85,1386710,11632.4,38248, 376891, 27.18
2023-02-27,KPITTECH, EQ,833.7,833.0,833.0,805.3, 816.90,816.8,815.14,968555,7895.04,29079, 390050, 40.27
2023-02-28,KPITTECH, EQ,816.8,821.0,846.3,815.85, 826.00,829.65,835.41,1357971,11344.56,36312, 348053, 25.63
2023-03-01,KPITTECH, EQ,829.65,830.9,850.0,826.05, 843.95,844.0,840.69,943939,7935.64,37269, 343059, 36.34
2023-03-02,KPITTECH, EQ,844.0,842.95,856.25,835.1, 845.00,846.2,847.1,854661,7239.8,28845, 229166, 26.81
2023-03-03,KPITTECH, EQ,846.2,852.0,862.7,834.95, 835.25,837.45,847.58,890758,7549.92,33502, 304924, 34.23
2023-03-06,KPITTECH, EQ,837.45,841.9,850.0,830.1, 835.15,835.2,837.65,592045,4959.29,20901, 185008, 31.25
2023-03-08,KPITTECH, EQ,835.2,836.0,836.0,818.8, 824.85,822.2,823.21,682924,5621.88,22982, 294946, 43.19
2023-03-09,KPITTECH, EQ,822.2,826.8,834.45,822.0, 827.00,825.75,828.31,619748,5133.44,21099, 188285, 30.38
2023-03-10,KPITTECH, EQ,825.75,825.0,831.55,815.3, 825.95,823.1,821.69,880339,7233.64,28688, 289770, 32.92
2023-03-13,KPITTECH, EQ,823.1,823.0,825.95,788.0, 791.00,792.7,808.03,892370,7210.58,36224, 350995, 39.33
2023-03-14,KPITTECH, EQ,792.7,792.55,797.95,768.0, 782.75,778.5,779.73,1070179,8344.54,49900, 405787, 37.92
2023-03-15,KPITTECH, EQ,778.5,790.05,854.8,780.55, 842.50,847.3,829.34,5697021,47247.58,132244, 1028360, 18.05
2023-03-16,KPITTECH, EQ,847.3,839.7,839.9,806.55, 819.00,815.7,821.83,2959393,24321.18,80204, 616286, 20.82
2023-03-17,KPITTECH, EQ,815.7,825.5,878.8,825.5, 869.00,869.2,863.34,8212277,70900.05,171090, 1073534, 13.07
2023-03-20,KPITTECH, EQ,869.2,868.4,895.0,852.05,892.0,889.6,882.77,5786626,51082.61,133978, 766044, 13.24
2023-03-21,KPITTECH, EQ,889.6,899.0,904.7,873.85, 875.90,877.4,883.97,2081037,18395.82,48101, 336230, 16.16
2023-03-22,KPITTECH, EQ,877.4,882.0,904.95,880.2, 891.00,894.8,895.31,2187204,19582.31,57140, 334550, 15.30
2023-03-23,KPITTECH, EQ,894.8,888.0,892.0,876.05, 880.00,881.45,884.2,1052678,9307.73,46174, 298641, 28.37
2023-03-24,KPITTECH, EQ,881.45,882.3,913.9,877.0, 883.00,886.05,901.89,3318023,29924.83,80413, 549849, 16.57
2023-03-27,KPITTECH, EQ,886.05,891.5,893.9,867.05, 873.85,872.5,879.76,1341967,11806.03,66971, 291049, 21.69
2023-03-28,KPITTECH, EQ,872.5,876.8,904.75,875.15, 887.00,888.95,891.28,1838926,16389.98,63681, 411708, 22.39
