DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,KSB, EQ,1933.8,1933.8,1943.5,1910.0, 1910.00,1912.95,1918.29,6255,119.99,2106, 2809, 44.91
2023-01-03,KSB, EQ,1912.95,1920.0,1927.95,1900.0, 1900.00,1904.35,1913.72,7006,134.08,2053, 2684, 38.31
2023-01-04,KSB, EQ,1904.35,1900.0,1960.4,1899.8, 1913.35,1915.05,1926.07,25583,492.75,3451, 4139, 16.18
2023-01-05,KSB, EQ,1915.05,1922.0,1924.6,1890.25,1899.9,1899.75,1900.62,8764,166.57,1939, 6507, 74.25
2023-01-06,KSB, EQ,1899.75,1909.0,1909.0,1879.3,1885.0,1898.35,1891.66,4247,80.34,1177, 2820, 66.40
2023-01-09,KSB, EQ,1898.35,1907.85,1914.5,1872.6,1884.95,1882.25,1889.55,5588,105.59,1661, 3781, 67.66
2023-01-10,KSB, EQ,1882.25,1871.0,1901.45,1871.0,1885.0,1889.25,1891.5,8188,154.88,1994, 5663, 69.16
2023-01-11,KSB, EQ,1889.25,1898.7,1898.7,1842.55, 1860.00,1868.45,1868.99,6458,120.7,3123, 3132, 48.50
2023-01-12,KSB, EQ,1868.45,1877.75,1877.75,1835.5, 1850.00,1842.95,1849.81,4940,91.38,1525, 2936, 59.43
2023-01-13,KSB, EQ,1842.95,1850.65,1865.0,1812.05,1842.55,1847.3,1838.28,6802,125.04,2648, 3415, 50.21
2023-01-16,KSB, EQ,1847.3,1854.0,1854.0,1802.25, 1802.25,1807.4,1823.92,5511,100.52,2099, 2724, 49.43
2023-01-17,KSB, EQ,1807.4,1796.0,1846.0,1796.0,1830.0,1830.95,1820.31,8396,152.83,2642, 3616, 43.07
2023-01-18,KSB, EQ,1830.95,1819.95,1840.15,1819.95,1825.0,1834.25,1831.84,10106,185.13,736, 7041, 69.67
2023-01-19,KSB, EQ,1834.25,1829.45,1843.45,1815.0, 1815.00,1818.7,1824.46,2081,37.97,717, 1071, 51.47
2023-01-20,KSB, EQ,1818.7,1825.0,1827.8,1810.0,1823.0,1815.3,1816.68,4940,89.74,1510, 3263, 66.05
2023-01-23,KSB, EQ,1815.3,1815.3,1824.4,1775.0,1800.0,1804.55,1806.23,5116,92.41,1723, 2669, 52.17
2023-01-24,KSB, EQ,1804.55,1786.5,1830.0,1786.5,1825.0,1823.1,1809.65,7973,144.28,1869, 5127, 64.30
2023-01-25,KSB, EQ,1823.1,1812.4,1829.75,1782.0, 1782.00,1790.2,1807.88,9910,179.16,2338, 6694, 67.55
2023-01-27,KSB, EQ,1790.2,1794.95,1889.7,1725.05, 1749.80,1755.1,1753.98,14772,259.1,3431, 8381, 56.74
2023-01-30,KSB, EQ,1755.1,1717.0,1781.85,1717.0, 1776.25,1769.75,1763.86,5976,105.41,2118, 2710, 45.35
