DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,LATENTVIEW, EQ,371.2,374.0,374.3,369.0, 370.40,369.8,371.71,150509,559.45,4818, 71991, 47.83
2023-01-03,LATENTVIEW, EQ,369.8,369.0,373.2,368.05, 371.40,370.45,370.43,168473,624.07,4907, 82677, 49.07
2023-01-04,LATENTVIEW, EQ,370.45,370.8,372.45,365.2, 366.10,366.25,368.34,130601,481.06,4067, 67618, 51.77
2023-01-05,LATENTVIEW, EQ,366.25,366.75,377.45,364.6,376.0,374.55,370.92,322099,1194.74,8204, 159981, 49.67
2023-01-06,LATENTVIEW, EQ,374.55,376.1,381.9,371.2,373.0,372.3,376.41,487135,1833.62,12837, 150536, 30.90
2023-01-09,LATENTVIEW, EQ,372.3,375.85,377.45,371.0,373.5,372.4,374.04,184752,691.05,6436, 78131, 42.29
2023-01-10,LATENTVIEW, EQ,372.4,373.95,375.95,369.5,371.0,370.2,371.8,125801,467.73,4175, 60690, 48.24
2023-01-11,LATENTVIEW, EQ,370.2,371.0,373.9,367.5, 368.00,368.2,370.35,128523,475.99,4545, 61577, 47.91
2023-01-12,LATENTVIEW, EQ,368.2,369.9,375.15,367.5, 368.50,368.75,370.84,143839,533.42,5302, 57767, 40.16
2023-01-13,LATENTVIEW, EQ,368.75,370.7,372.7,366.5,366.9,366.8,368.51,120696,444.78,4230, 58580, 48.54
2023-01-16,LATENTVIEW, EQ,366.8,368.65,374.0,367.8, 370.70,370.6,370.78,132524,491.37,4786, 60324, 45.52
2023-01-17,LATENTVIEW, EQ,370.6,371.95,375.95,369.1,369.55,370.0,372.11,161062,599.33,4998, 66087, 41.03
2023-01-18,LATENTVIEW, EQ,370.0,371.8,372.1,366.1,368.55,367.55,369.09,105120,387.99,4438, 47011, 44.72
