DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,LICNFNHGP, EQ,195.14,192.31,198.67,192.31, 194.50,194.5,195.92,399,0.78,28, 332, 83.21
2023-01-03,LICNFNHGP, EQ,194.5,194.5,196.0,194.43, 195.25,195.25,195.03,228,0.44,32, 162, 71.05
2023-01-04,LICNFNHGP, EQ,195.25,195.25,198.4,194.0, 194.48,194.48,195.44,523,1.02,50, 262, 50.10
2023-01-05,LICNFNHGP, EQ,194.48,194.0,194.72,192.81,192.81,192.81,193.56,138,0.27,32, 118, 85.51
2023-01-06,LICNFNHGP, EQ,192.81,193.0,196.4,192.0,192.0,192.0,192.94,146,0.28,30, 106, 72.60
2023-01-09,LICNFNHGP, EQ,192.0,191.2,196.8,189.6,194.0,193.77,193.88,455,0.88,45, 376, 82.64
2023-01-10,LICNFNHGP, EQ,193.77,194.0,194.34,192.0,192.25,192.31,192.99,244,0.47,44, 158, 64.75
2023-01-11,LICNFNHGP, EQ,192.31,192.3,194.0,191.66, 192.50,192.5,193.09,92,0.18,20, 54, 58.70
2023-01-12,LICNFNHGP, EQ,192.5,192.5,192.55,191.5, 191.75,191.75,192.09,454,0.87,23, 449, 98.90
2023-01-13,LICNFNHGP, EQ,191.75,191.5,192.75,191.5,192.75,192.75,192.52,49,0.09,11, 45, 91.84
2023-01-16,LICNFNHGP, EQ,192.75,196.4,196.4,191.3, 192.50,191.67,192.13,952,1.83,53, 675, 70.90
2023-01-17,LICNFNHGP, EQ,191.67,194.8,195.0,189.8,195.0,194.89,193.69,204,0.4,35, 92, 45.10
2023-01-18,LICNFNHGP, EQ,194.89,194.95,194.95,194.28,194.28,194.28,194.41,77,0.15,9, 71, 92.21
2023-01-19,LICNFNHGP, EQ,194.28,194.82,194.82,194.25, 194.50,194.5,194.54,27,0.05,7, 17, 62.96
2023-01-20,LICNFNHGP, EQ,194.5,194.25,194.25,193.75,194.0,194.0,193.98,24,0.05,11, 18, 75.00
2023-01-23,LICNFNHGP, EQ,194.0,194.0,195.0,194.0,194.75,194.75,194.58,187,0.36,17, 174, 93.05
2023-01-24,LICNFNHGP, EQ,194.75,195.0,195.0,194.5,194.75,194.75,194.81,39,0.08,8, 30, 76.92
