DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,LINC, EQ,410.2,420.0,423.0,409.55, 417.00,415.85,416.74,14819,61.76,1178, 5747, 38.78
2023-01-03,LINC, EQ,415.85,409.25,454.8,409.25, 449.05,446.95,443.2,158584,702.84,5190, 94762, 59.76
2023-01-04,LINC, EQ,446.95,447.0,464.8,446.95, 456.70,454.8,456.81,121219,553.74,6019, 33884, 27.95
2023-01-05,LINC, EQ,454.8,459.8,464.0,440.0,443.5,440.5,448.25,31309,140.34,1977, 15168, 48.45
2023-01-06,LINC, EQ,440.5,445.0,446.95,427.55,438.9,434.0,435.31,39697,172.8,2383, 18390, 46.33
2023-01-09,LINC, EQ,434.0,440.0,472.0,432.8,467.75,464.0,453.22,29980,135.88,2779, 15442, 51.51
2023-01-10,LINC, EQ,464.0,473.75,482.7,445.0,446.0,447.9,462.93,43420,201.0,3393, 10903, 25.11
2023-01-11,LINC, EQ,447.9,451.9,454.4,444.0, 445.00,445.25,449.57,8146,36.62,787, 3597, 44.16
2023-01-12,LINC, EQ,445.25,445.1,456.55,443.0, 448.95,445.65,447.68,9017,40.37,1647, 3672, 40.72
2023-01-13,LINC, EQ,445.65,448.5,450.7,441.0,442.1,441.7,444.66,5040,22.41,602, 2198, 43.61
2023-01-16,LINC, EQ,441.7,442.0,449.05,417.7, 422.10,424.0,432.26,18330,79.23,1390, 8311, 45.34
2023-01-17,LINC, EQ,424.0,418.0,436.3,418.0,423.1,423.75,425.71,14701,62.58,1305, 6386, 43.44
2023-01-18,LINC, EQ,423.75,430.0,430.0,421.0,421.2,423.3,425.47,6886,29.3,578, 3409, 49.51
2023-01-19,LINC, EQ,423.3,424.6,424.6,416.0, 416.15,416.4,419.59,7633,32.03,697, 3672, 48.11
2023-01-20,LINC, EQ,416.4,417.85,418.4,408.8,410.4,411.4,411.72,9122,37.56,878, 5045, 55.31
2023-01-23,LINC, EQ,411.4,415.0,456.0,415.0,442.35,446.3,448.63,147279,660.74,7814, 32383, 21.99
2023-01-24,LINC, EQ,446.3,446.75,449.45,434.3,438.0,438.2,441.22,19762,87.19,1300, 9969, 50.45
2023-01-25,LINC, EQ,438.2,444.0,448.45,435.0, 443.90,441.0,441.95,17845,78.87,1462, 8162, 45.74
2023-01-27,LINC, EQ,441.0,442.6,448.4,418.55, 443.85,439.8,429.77,25261,108.57,1837, 13454, 53.26
2023-01-30,LINC, EQ,439.8,438.85,455.0,433.2, 438.00,437.0,445.28,34008,151.43,2267, 19022, 55.93
2023-01-31,LINC, EQ,437.0,438.65,468.0,436.7,450.0,448.6,453.97,25733,116.82,2677, 8748, 34.00
2023-02-01,LINC, EQ,448.6,449.8,467.95,438.6, 452.80,450.45,455.1,42379,192.87,3741, 18661, 44.03
2023-02-02,LINC, EQ,450.45,450.45,484.95,449.45, 467.20,469.35,473.03,50741,240.02,4383, 23260, 45.84
2023-02-03,LINC, EQ,469.35,476.4,509.15,460.0, 477.05,478.8,489.43,242551,1187.13,12779, 58516, 24.13
2023-02-06,LINC, EQ,478.8,481.9,504.0,467.55, 490.00,490.45,490.83,72334,355.04,5669, 32037, 44.29
2023-02-07,LINC, EQ,490.45,490.0,500.15,484.4, 490.10,486.55,491.84,23921,117.65,2316, 9861, 41.22
2023-02-08,LINC, EQ,486.55,491.4,506.0,485.6, 486.70,492.55,495.47,29430,145.82,3056, 14448, 49.09
2023-02-09,LINC, EQ,492.55,490.05,497.65,490.0, 490.05,495.15,494.28,24324,120.23,1831, 14853, 61.06
2023-02-10,LINC, EQ,495.15,493.8,504.0,476.55, 490.10,495.25,495.8,42935,212.87,2857, 23289, 54.24
2023-02-13,LINC, EQ,495.25,492.2,497.0,485.0,494.0,492.35,488.24,16393,80.04,1541, 8408, 51.29
2023-02-14,LINC, EQ,492.35,497.55,529.7,490.05,520.05,516.1,516.02,133849,690.69,8715, 52749, 39.41
2023-02-15,LINC, EQ,516.1,523.85,534.8,510.15, 510.15,510.8,524.61,152691,801.03,9276, 41398, 27.11
2023-02-16,LINC, EQ,510.8,515.9,542.85,510.4, 541.40,539.05,533.73,116139,619.87,5839, 39437, 33.96
2023-02-17,LINC, EQ,539.05,535.1,548.9,535.1, 543.60,544.4,542.85,49835,270.53,3585, 16298, 32.70
2023-02-20,LINC, EQ,544.4,550.0,552.5,525.1, 528.00,530.4,537.83,34129,183.56,2635, 18303, 53.63
2023-02-21,LINC, EQ,530.4,526.5,527.75,505.15, 508.40,508.95,516.66,27949,144.4,2396, 15399, 55.10
2023-02-22,LINC, EQ,508.95,508.95,520.15,500.15, 505.10,504.75,509.13,29736,151.39,2436, 14511, 48.80
2023-02-23,LINC, EQ,504.75,509.0,519.8,508.0,517.0,516.0,514.63,15358,79.04,1447, 6848, 44.59
2023-02-24,LINC, EQ,516.0,521.15,526.0,507.0, 514.40,515.15,515.42,16800,86.59,1648, 7401, 44.05
