DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,MAANALU, EQ,167.7,171.05,172.9,164.3, 168.60,169.3,169.02,45851,77.5,1717, 26152, 57.04
2023-01-03,MAANALU, EQ,169.3,172.6,178.4,168.8, 177.00,176.65,173.96,36276,63.11,1429, 20329, 56.04
2023-01-04,MAANALU, EQ,176.65,178.2,179.75,172.05, 179.00,176.7,175.8,36409,64.01,1743, 19074, 52.39
2023-01-05,MAANALU, EQ,176.7,180.0,180.85,177.0,177.5,178.6,178.83,20266,36.24,1023, 11186, 55.20
2023-01-06,MAANALU, EQ,178.6,179.95,186.85,177.6,185.0,185.0,184.13,120187,221.3,3476, 59940, 49.87
2023-01-09,MAANALU, EQ,185.0,192.0,192.0,188.35,189.2,190.2,190.26,62228,118.4,1731, 42764, 68.72
2023-01-10,MAANALU, EQ,190.2,192.6,195.2,188.0,189.5,189.95,190.74,56435,107.65,2001, 24386, 43.21
2023-01-11,MAANALU, EQ,189.95,192.8,204.75,189.85, 201.65,200.3,199.98,257902,515.76,7469, 107037, 41.50
2023-01-12,MAANALU, EQ,200.3,202.35,209.45,196.35, 198.70,198.3,202.61,129917,263.23,4762, 59231, 45.59
2023-01-13,MAANALU, EQ,198.3,199.7,213.9,198.35,204.4,205.35,208.13,282458,587.87,8366, 88112, 31.19
2023-01-16,MAANALU, EQ,205.35,207.9,208.45,202.35, 204.00,204.4,205.35,64945,133.37,2403, 34188, 52.64
2023-01-17,MAANALU, EQ,204.4,203.0,245.25,201.6,242.55,239.95,234.08,2014168,4714.81,33571, 289587, 14.38
2023-01-18,MAANALU, EQ,239.95,242.0,251.7,228.8,232.65,231.35,241.23,1252588,3021.57,25522, 189611, 15.14
2023-01-19,MAANALU, EQ,231.35,231.3,232.65,222.35, 227.10,224.65,226.37,87351,197.74,2535, 44143, 50.54
2023-01-20,MAANALU, EQ,224.65,226.7,242.3,226.5,230.7,230.45,235.71,221669,522.49,5275, 86438, 38.99
2023-01-23,MAANALU, EQ,230.45,229.3,237.65,224.35,226.0,225.85,230.97,79892,184.52,3077, 39145, 49.00
2023-01-24,MAANALU, EQ,225.85,226.15,234.0,218.0,222.0,221.1,224.76,66426,149.3,2097, 38706, 58.27
2023-01-25,MAANALU, EQ,221.1,224.7,225.45,213.6, 217.10,217.9,217.71,59496,129.53,1683, 32938, 55.36
2023-01-27,MAANALU, EQ,217.9,215.5,223.4,202.2, 214.10,214.35,212.56,68217,145.0,2210, 37231, 54.58
2023-01-30,MAANALU, EQ,214.35,214.35,235.0,210.2, 230.80,229.9,227.7,129677,295.28,5752, 52929, 40.82
2023-01-31,MAANALU, EQ,229.9,232.0,237.45,225.45,230.1,229.05,232.38,80932,188.07,6495, 27382, 33.83
2023-02-01,MAANALU, EQ,229.05,233.8,238.0,222.3, 223.20,225.05,231.81,78286,181.48,3954, 35974, 45.95
2023-02-02,MAANALU, EQ,225.05,228.45,237.5,225.05, 233.90,230.85,233.25,75650,176.45,3931, 34776, 45.97
2023-02-03,MAANALU, EQ,230.85,248.65,259.0,216.95, 220.90,220.6,242.07,689418,1668.9,20287, 174228, 25.27
2023-02-06,MAANALU, EQ,220.6,222.7,222.85,202.4, 215.10,213.15,212.24,246712,523.63,9956, 103126, 41.80
2023-02-07,MAANALU, EQ,213.15,215.05,221.3,212.05, 214.00,214.7,216.05,104305,225.35,4896, 37527, 35.98
2023-02-08,MAANALU, EQ,214.7,216.5,218.35,205.35, 207.00,208.65,213.87,100521,214.98,4536, 52243, 51.97
2023-02-09,MAANALU, EQ,208.65,207.05,211.6,203.45, 203.45,204.5,205.73,101962,209.77,4054, 64620, 63.38
2023-02-10,MAANALU, EQ,204.5,206.0,208.95,202.5, 206.05,206.35,205.49,50727,104.24,2756, 28105, 55.40
2023-02-13,MAANALU, EQ,206.35,208.9,210.0,200.0,203.0,201.2,204.18,35370,72.22,2291, 21901, 61.92
2023-02-14,MAANALU, EQ,201.2,203.9,207.55,200.3,203.75,203.25,203.85,37630,76.71,2654, 18162, 48.26
2023-02-15,MAANALU, EQ,203.25,201.15,219.0,201.15, 211.00,211.0,207.82,44150,91.75,3287, 19605, 44.41
2023-02-16,MAANALU, EQ,211.0,210.0,211.75,205.3, 207.10,206.65,207.85,32222,66.97,1694, 16386, 50.85
2023-02-17,MAANALU, EQ,206.65,206.6,208.8,204.05, 204.65,205.7,206.26,16239,33.49,1103, 7038, 43.34
2023-02-20,MAANALU, EQ,205.7,204.0,210.0,202.1, 203.95,203.0,205.12,18605,38.16,1084, 8710, 46.82
2023-02-21,MAANALU, EQ,203.0,205.1,206.35,202.05, 205.75,204.45,204.05,18672,38.1,1077, 10079, 53.98
2023-02-22,MAANALU, EQ,204.45,206.95,206.95,194.2, 195.70,195.05,199.27,44348,88.37,2009, 26765, 60.35
2023-02-23,MAANALU, EQ,195.05,196.0,199.85,191.15,192.05,192.75,195.17,27266,53.21,1499, 13835, 50.74
2023-02-24,MAANALU, EQ,192.75,193.65,199.7,185.8, 188.55,189.15,190.37,59199,112.7,3182, 28623, 48.35
2023-02-27,MAANALU, EQ,189.15,185.6,192.0,185.6, 191.60,191.0,188.82,22690,42.84,1279, 12119, 53.41
2023-02-28,MAANALU, EQ,191.0,195.95,195.95,187.55, 188.30,188.7,189.38,12015,22.75,969, 6534, 54.38
2023-03-01,MAANALU, EQ,188.7,187.55,195.0,187.55, 195.00,193.95,192.86,13181,25.42,708, 7133, 54.12
2023-03-02,MAANALU, EQ,193.95,194.85,195.9,188.25, 190.00,190.2,192.19,11789,22.66,625, 7163, 60.76
2023-03-03,MAANALU, EQ,190.2,190.2,195.1,190.2, 194.15,194.4,193.19,23284,44.98,792, 16202, 69.58
2023-03-06,MAANALU, EQ,194.4,197.6,198.9,193.95, 198.50,197.5,197.11,23194,45.72,765, 13090, 56.44
2023-03-08,MAANALU, EQ,197.5,197.5,201.0,195.05, 197.45,196.15,196.61,23961,47.11,749, 14305, 59.70
2023-03-09,MAANALU, EQ,196.15,197.45,209.55,197.4, 203.15,204.05,204.12,68743,140.32,2804, 31524, 45.86
2023-03-10,MAANALU, EQ,204.05,201.15,202.7,196.2, 200.85,199.8,199.47,28313,56.48,1504, 13896, 49.08
2023-03-13,MAANALU, EQ,199.8,207.8,207.8,192.5, 195.85,194.1,199.1,45804,91.2,2093, 16839, 36.76
2023-03-14,MAANALU, EQ,194.1,196.0,196.25,190.0, 193.00,191.2,191.76,13739,26.35,729, 8975, 65.32
2023-03-15,MAANALU, EQ,191.2,194.0,196.65,187.3, 189.40,189.05,191.48,23931,45.82,1019, 15173, 63.40
2023-03-16,MAANALU, EQ,189.05,189.9,189.9,184.0, 187.75,185.7,186.15,26472,49.28,1467, 15561, 58.78
2023-03-17,MAANALU, EQ,185.7,189.4,190.8,183.0, 187.10,187.65,186.34,32466,60.5,1567, 13693, 42.18
2023-03-20,MAANALU, EQ,187.65,191.0,191.0,180.8,186.0,184.8,183.92,14944,27.48,992, 7723, 51.68
2023-03-21,MAANALU, EQ,184.8,186.1,187.9,184.85, 186.90,186.0,186.08,11613,21.61,635, 5806, 50.00
2023-03-22,MAANALU, EQ,186.0,187.0,188.6,183.15, 187.15,186.25,185.83,24794,46.08,885, 12840, 51.79
2023-03-23,MAANALU, EQ,186.25,187.9,187.9,179.0, 181.40,181.15,183.49,30120,55.27,1473, 19260, 63.94
2023-03-24,MAANALU, EQ,181.15,184.8,184.8,173.55, 175.95,175.05,178.42,34130,60.89,2499, 18660, 54.67
2023-03-27,MAANALU, EQ,175.05,177.95,182.0,172.05, 173.25,172.7,175.31,43480,76.22,1240, 30935, 71.15
2023-03-28,MAANALU, EQ,172.7,173.2,175.4,164.2, 164.45,166.5,168.73,48094,81.15,1811, 32397, 67.36
2023-03-29,MAANALU, EQ,166.5,169.8,173.9,165.15, 173.90,172.7,169.02,49806,84.18,1881, 25562, 51.32
2023-03-31,MAANALU, EQ,172.7,176.0,179.05,172.55, 172.55,174.1,176.0,26358,46.39,1547, 14947, 56.71
2023-04-03,MAANALU, EQ,174.1,176.95,184.4,175.35, 182.05,183.05,180.25,20503,36.96,1207, 12255, 59.77
2023-04-05,MAANALU, EQ,183.05,182.15,186.2,181.0, 182.15,182.7,183.61,25011,45.92,1202, 15605, 62.39
2023-04-06,MAANALU, EQ,182.7,184.9,184.9,180.5, 183.90,182.3,182.86,15717,28.74,865, 8170, 51.98
2023-04-10,MAANALU, EQ,182.3,184.95,186.3,182.05, 185.25,185.45,184.11,14024,25.82,873, 8195, 58.44
2023-04-11,MAANALU, EQ,185.45,185.45,189.95,181.25, 186.50,186.65,186.89,13972,26.11,858, 7102, 50.83
2023-04-12,MAANALU, EQ,186.65,188.85,197.7,186.1, 195.00,192.1,189.62,18912,35.86,743, 10917, 57.73
2023-04-13,MAANALU, EQ,192.1,194.95,197.9,192.0, 196.00,194.9,194.66,24897,48.46,939, 11735, 47.13
2023-04-17,MAANALU, EQ,194.9,193.05,202.2,192.05, 200.00,199.05,198.62,39221,77.9,1946, 20891, 53.26
2023-04-18,MAANALU, EQ,199.05,202.35,203.4,197.05, 201.70,201.6,201.49,44551,89.77,1671, 26840, 60.25
2023-04-19,MAANALU, EQ,201.6,201.6,205.0,199.75, 201.10,201.6,203.0,18625,37.81,1241, 11424, 61.34
2023-04-20,MAANALU, EQ,201.6,202.95,204.85,196.8, 196.80,199.5,201.11,29768,59.87,808, 24463, 82.18
2023-04-21,MAANALU, EQ,199.5,198.95,201.9,196.15, 200.00,197.95,198.24,11469,22.74,653, 6803, 59.32
2023-04-24,MAANALU, EQ,197.95,197.95,201.85,196.2, 199.30,197.4,198.97,12232,24.34,685, 7481, 61.16
2023-04-25,MAANALU, EQ,197.4,197.0,203.15,192.7,200.8,199.5,199.56,21866,43.64,985, 12294, 56.22
2023-04-26,MAANALU, EQ,199.5,201.9,201.9,193.6, 195.60,195.3,197.28,15072,29.73,732, 10317, 68.45
2023-04-27,MAANALU, EQ,195.3,197.9,199.4,195.25, 195.80,196.05,196.87,15791,31.09,711, 9934, 62.91
2023-04-28,MAANALU, EQ,196.05,197.95,203.0,197.0, 200.40,200.7,199.64,14781,29.51,798, 8440, 57.10
2023-05-02,MAANALU, EQ,200.7,201.85,202.95,180.15, 185.00,183.8,185.75,220459,409.5,7729, 112941, 51.23
2023-05-03,MAANALU, EQ,183.8,187.1,187.1,180.2,182.7,181.75,182.29,56012,102.1,2201, 32231, 57.54
2023-05-04,MAANALU, EQ,181.75,181.05,184.9,181.05, 182.00,181.7,182.06,21116,38.44,738, 15285, 72.39
2023-05-05,MAANALU, EQ,181.7,182.0,183.9,180.5, 182.50,181.95,181.98,24868,45.25,854, 16935, 68.10
2023-05-08,MAANALU, EQ,181.95,180.55,185.65,180.0, 180.50,180.85,182.08,27864,50.73,1065, 16528, 59.32
2023-05-09,MAANALU, EQ,180.85,182.4,184.35,181.0,181.45,182.45,182.74,27957,51.09,792, 19060, 68.18
2023-05-10,MAANALU, EQ,182.45,181.15,187.0,181.15,186.0,185.35,184.41,30513,56.27,950, 15534, 50.91
2023-05-11,MAANALU, EQ,185.35,187.2,187.2,184.0, 185.80,186.0,185.79,34491,64.08,559, 27881, 80.84
2023-05-12,MAANALU, EQ,186.0,185.65,188.0,182.8, 184.55,183.4,185.21,14353,26.58,582, 7545, 52.57
2023-05-15,MAANALU, EQ,183.4,183.0,186.45,183.0, 186.20,186.0,185.3,15043,27.88,457, 8865, 58.93
2023-05-16,MAANALU, EQ,186.0,186.3,191.2,185.3,185.65,186.05,188.6,46821,88.31,1335, 23005, 49.13
2023-05-17,MAANALU, EQ,186.05,187.0,188.35,183.8, 184.40,184.25,185.07,12490,23.11,446, 9837, 78.76
2023-05-18,MAANALU, EQ,184.25,185.95,186.95,184.6, 186.65,186.1,185.91,16124,29.98,378, 10646, 66.03
2023-05-19,MAANALU, EQ,186.1,187.0,187.15,184.0,184.0,184.9,185.22,12020,22.26,402, 8640, 71.88
2023-05-22,MAANALU, EQ,184.9,182.7,189.55,182.7,186.5,185.95,186.69,32202,60.12,786, 16936, 52.59
2023-05-23,MAANALU, EQ,185.95,187.85,188.0,183.6, 185.50,185.45,185.64,22084,41.0,686, 12166, 55.09
2023-05-24,MAANALU, EQ,185.45,185.0,189.05,184.7, 185.10,185.4,186.22,18898,35.19,609, 12450, 65.88
2023-05-25,MAANALU, EQ,185.4,186.9,186.9,184.0, 185.80,185.3,185.61,15054,27.94,578, 9778, 64.95
2023-05-26,MAANALU, EQ,185.3,185.6,188.1,185.15,187.6,187.2,186.95,25533,47.73,665, 19087, 74.75
2023-05-29,MAANALU, EQ,187.2,188.85,199.7,187.3, 198.00,196.05,195.6,113355,221.72,3166, 61002, 53.82
2023-05-30,MAANALU, EQ,196.05,200.95,215.9,192.0, 205.00,208.05,205.83,185455,381.72,4392, 86271, 46.52
2023-05-31,MAANALU, EQ,208.05,210.9,219.0,203.6, 205.00,206.25,210.29,212943,447.79,8190, 97028, 45.57
2023-06-01,MAANALU, EQ,206.25,207.0,208.45,201.15, 203.95,205.65,204.73,61826,126.57,3985, 36021, 58.26
2023-06-02,MAANALU, EQ,205.65,207.0,210.0,201.95, 208.40,207.9,206.71,74662,154.33,4828, 48884, 65.47
2023-06-05,MAANALU, EQ,207.9,227.35,249.45,227.35, 249.45,249.45,241.29,621925,1500.61,7794, 353464, 56.83
2023-06-06,MAANALU, EQ,249.45,266.0,299.3,266.0,299.3,299.3,289.31,3583758,10367.99,49799, 517981, 14.45
2023-06-07,MAANALU, EQ,299.3,309.0,326.0,284.2, 310.90,314.35,309.14,1724767,5332.0,42159, 362626, 21.02
2023-06-08,MAANALU, EQ,314.35,311.0,319.6,303.0, 319.20,317.65,312.55,355837,1112.16,9538, 112557, 31.63
