DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,MAHEPC, EQ,106.1,107.9,108.75,105.15, 106.50,107.05,107.22,20342,21.81,585, 12720, 62.53
2023-01-03,MAHEPC, EQ,107.05,107.5,113.0,106.9, 109.05,109.25,110.62,140244,155.14,2201, 55485, 39.56
2023-01-04,MAHEPC, EQ,109.25,110.0,110.65,106.35, 106.65,106.85,108.43,51843,56.21,2455, 20480, 39.50
2023-01-05,MAHEPC, EQ,106.85,108.15,108.35,106.0,106.95,106.4,106.92,16160,17.28,398, 7911, 48.95
2023-01-06,MAHEPC, EQ,106.4,107.45,108.85,104.5,107.2,105.9,106.45,42278,45.01,1016, 19639, 46.45
2023-01-09,MAHEPC, EQ,105.9,106.5,109.35,106.1,107.7,108.1,108.17,19180,20.75,600, 9191, 47.92
2023-01-10,MAHEPC, EQ,108.1,108.1,108.65,105.4,105.5,105.65,106.6,24053,25.64,933, 10684, 44.42
2023-01-11,MAHEPC, EQ,105.65,106.65,108.85,106.45, 107.80,107.4,107.76,22808,24.58,667, 10679, 46.82
2023-01-12,MAHEPC, EQ,107.4,108.7,110.0,106.85, 108.60,108.35,108.62,38580,41.9,1634, 15576, 40.37
2023-01-13,MAHEPC, EQ,108.35,109.35,109.35,105.45,108.0,107.05,107.05,48330,51.74,1590, 24758, 51.23
2023-01-16,MAHEPC, EQ,107.05,107.3,110.4,107.1, 107.50,107.5,108.48,32508,35.26,839, 15357, 47.24
2023-01-17,MAHEPC, EQ,107.5,107.0,111.5,107.0,107.05,107.55,108.95,76418,83.26,2143, 19582, 25.62
2023-01-18,MAHEPC, EQ,107.55,107.55,108.9,106.9,107.1,107.7,107.93,23477,25.34,994, 12250, 52.18
2023-01-19,MAHEPC, EQ,107.7,109.0,109.0,106.0, 106.50,107.15,107.47,34977,37.59,1203, 15752, 45.04
2023-01-20,MAHEPC, EQ,107.15,107.55,108.95,105.1,105.1,105.65,106.78,19355,20.67,647, 11681, 60.35
2023-01-23,MAHEPC, EQ,105.65,106.05,107.6,105.0,105.0,105.3,106.18,22898,24.31,718, 13199, 57.64
2023-01-24,MAHEPC, EQ,105.3,105.8,106.85,102.25,102.5,103.3,104.61,25969,27.17,1068, 14500, 55.84
2023-01-25,MAHEPC, EQ,103.3,102.5,104.25,101.0, 102.50,101.75,102.42,22813,23.37,1117, 8273, 36.26
2023-01-27,MAHEPC, EQ,101.75,104.8,104.8,100.0, 100.00,100.35,100.56,19184,19.29,388, 13034, 67.94
2023-01-30,MAHEPC, EQ,100.35,100.35,104.0,98.9, 99.85,101.1,100.93,25818,26.06,1206, 9605, 37.20
2023-01-31,MAHEPC, EQ,101.1,101.25,104.95,100.3,102.0,102.4,102.57,50170,51.46,1091, 17704, 35.29
2023-02-01,MAHEPC, EQ,102.4,103.3,104.85,99.0, 102.00,101.0,102.54,47375,48.58,1402, 16924, 35.72
2023-02-02,MAHEPC, EQ,101.0,101.95,102.9,98.1, 99.90,99.35,100.22,55331,55.45,2083, 27294, 49.33
2023-02-03,MAHEPC, EQ,99.35,98.05,102.4,98.05, 102.00,101.85,100.08,44204,44.24,1375, 24663, 55.79
2023-02-06,MAHEPC, EQ,101.85,102.55,102.55,100.25, 101.00,101.0,101.36,24534,24.87,1522, 10799, 44.02
2023-02-07,MAHEPC, EQ,101.0,101.95,101.95,98.55, 99.00,99.1,99.88,27527,27.49,629, 18096, 65.74
2023-02-08,MAHEPC, EQ,99.1,99.1,102.55,99.1, 102.00,101.3,101.02,20911,21.12,364, 10679, 51.07
