DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,MAHLOG, EQ,501.8,501.8,504.3,499.0, 500.00,501.35,501.31,36440,182.68,2617, 14645, 40.19
2023-01-03,MAHLOG, EQ,501.35,500.0,506.55,496.45, 503.55,503.25,502.05,38075,191.16,3079, 17001, 44.65
2023-01-04,MAHLOG, EQ,503.25,503.25,509.0,491.5, 491.50,494.2,498.85,27460,136.99,1804, 13893, 50.59
2023-01-05,MAHLOG, EQ,494.2,492.5,496.0,486.2,489.75,489.15,491.22,17589,86.4,2059, 7806, 44.38
2023-01-06,MAHLOG, EQ,489.15,488.7,492.0,485.6,486.4,487.85,487.94,14772,72.08,1674, 5781, 39.13
2023-01-09,MAHLOG, EQ,487.85,488.0,502.35,486.2,495.5,495.6,492.15,25582,125.9,2861, 11817, 46.19
2023-01-10,MAHLOG, EQ,495.6,495.6,495.6,486.0,489.0,487.15,490.48,22169,108.74,1618, 11379, 51.33
2023-01-11,MAHLOG, EQ,487.15,486.3,491.95,480.0, 481.95,483.1,485.8,31088,151.03,1677, 19565, 62.93
2023-01-12,MAHLOG, EQ,483.1,484.8,488.95,480.0, 482.00,483.7,482.21,22532,108.65,2494, 12478, 55.38
2023-01-13,MAHLOG, EQ,483.7,484.9,486.05,477.95,478.0,478.4,479.98,33006,158.42,2482, 17604, 53.34
2023-01-16,MAHLOG, EQ,478.4,480.05,484.65,477.7, 481.85,481.0,481.03,16664,80.16,1714, 6339, 38.04
2023-01-17,MAHLOG, EQ,481.0,481.2,488.0,478.45,480.0,483.9,481.75,18212,87.74,1811, 7430, 40.80
2023-01-18,MAHLOG, EQ,483.9,483.7,497.3,482.8,488.0,487.1,490.83,90681,445.09,7077, 26186, 28.88
2023-01-19,MAHLOG, EQ,487.1,487.1,493.5,484.8, 490.90,489.4,489.44,39910,195.33,4303, 16835, 42.18
2023-01-20,MAHLOG, EQ,489.4,491.75,491.75,483.35,488.0,487.45,488.18,40575,198.08,4370, 25616, 63.13
2023-01-23,MAHLOG, EQ,487.45,491.45,492.25,481.8,484.5,486.6,487.33,23191,113.02,2590, 8341, 35.97
2023-01-24,MAHLOG, EQ,486.6,482.35,486.7,476.6,480.2,480.0,481.87,19255,92.78,2413, 9177, 47.66
2023-01-25,MAHLOG, EQ,480.0,480.05,483.2,468.6, 478.00,474.05,476.27,48707,231.98,4960, 8563, 17.58
2023-01-27,MAHLOG, EQ,474.05,474.2,477.2,462.1, 466.90,466.05,466.65,41909,195.57,4433, 18453, 44.03
2023-01-30,MAHLOG, EQ,466.05,459.05,471.0,453.2, 458.30,457.3,461.89,30684,141.72,2838, 13540, 44.13
2023-01-31,MAHLOG, EQ,457.3,457.05,473.9,457.05,472.0,470.0,465.81,21466,99.99,2825, 10110, 47.10
2023-02-01,MAHLOG, EQ,470.0,485.0,499.0,458.35, 465.90,466.0,485.07,136779,663.48,11345, 34538, 25.25
2023-02-02,MAHLOG, EQ,466.0,452.65,477.45,452.65, 457.00,457.25,463.35,82683,383.11,7652, 24588, 29.74
2023-02-03,MAHLOG, EQ,457.25,459.95,460.4,445.0, 445.50,445.5,450.12,96007,432.14,5969, 67180, 69.97
2023-02-06,MAHLOG, EQ,445.5,447.95,454.3,429.0, 430.00,430.15,433.74,270543,1173.47,12764, 220349, 81.45
2023-02-07,MAHLOG, EQ,430.15,430.25,435.45,417.6, 418.50,418.4,423.61,149473,633.18,6993, 107963, 72.23
2023-02-08,MAHLOG, EQ,418.4,420.6,423.9,414.25, 418.50,415.3,416.83,103868,432.95,6165, 72313, 69.62
2023-02-09,MAHLOG, EQ,415.3,420.0,421.95,406.65, 408.95,408.2,409.8,116435,477.15,7034, 74623, 64.09
2023-02-10,MAHLOG, EQ,408.2,409.45,414.9,406.0, 407.00,407.4,408.59,141005,576.13,6630, 94467, 67.00
2023-02-13,MAHLOG, EQ,407.4,411.45,413.95,392.9,393.0,393.7,398.08,152391,606.63,12571, 105777, 69.41
2023-02-14,MAHLOG, EQ,393.7,395.95,398.3,379.05,379.55,380.85,382.91,267401,1023.89,16045, 208374, 77.93
2023-02-15,MAHLOG, EQ,380.85,380.85,386.5,376.65, 378.00,377.35,379.17,158254,600.05,9837, 100054, 63.22
2023-02-16,MAHLOG, EQ,377.35,381.9,381.9,373.25, 376.55,376.8,375.92,280183,1053.27,13138, 185644, 66.26
2023-02-17,MAHLOG, EQ,376.8,378.9,382.6,374.55, 379.95,379.6,378.57,179222,678.48,11370, 118821, 66.30
2023-02-20,MAHLOG, EQ,379.6,382.6,391.2,367.65, 370.00,369.45,370.61,383389,1420.88,14088, 259691, 67.74
2023-02-21,MAHLOG, EQ,369.45,374.95,375.1,367.25, 372.00,371.3,369.34,262947,971.18,6747, 167523, 63.71
2023-02-22,MAHLOG, EQ,371.3,367.55,380.0,367.55, 379.95,378.8,376.91,142708,537.88,9969, 64686, 45.33
2023-02-23,MAHLOG, EQ,378.8,381.0,383.8,371.05,373.75,373.85,374.94,77052,288.9,5212, 29399, 38.15
2023-02-24,MAHLOG, EQ,373.85,373.0,377.4,372.05, 377.00,376.35,375.03,39135,146.77,2681, 12682, 32.41
2023-02-27,MAHLOG, EQ,376.35,377.0,378.25,371.7, 374.30,374.1,372.67,358724,1336.87,2703, 330073, 92.01
2023-02-28,MAHLOG, EQ,374.1,374.1,376.75,362.25, 373.30,370.2,367.33,162043,595.23,8743, 65666, 40.52
2023-03-01,MAHLOG, EQ,370.2,370.55,374.0,366.25, 369.55,370.35,370.84,74294,275.51,4481, 32658, 43.96
