DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,MALLCOM, EQ,688.15,700.0,700.0,682.8, 699.00,695.7,694.51,754,5.24,208, 541, 71.75
2023-01-03,MALLCOM, EQ,695.7,700.0,783.8,692.0, 732.50,741.55,747.14,34273,256.07,3368, 10210, 29.79
2023-01-04,MALLCOM, EQ,741.55,741.85,742.5,707.2, 719.70,718.55,720.44,3140,22.62,595, 1881, 59.90
2023-01-05,MALLCOM, EQ,718.55,730.65,730.65,675.3,709.9,702.4,694.82,7044,48.94,1064, 3354, 47.61
2023-01-06,MALLCOM, EQ,702.4,705.05,716.7,695.55,706.05,703.3,707.04,1278,9.04,343, 623, 48.75
2023-01-09,MALLCOM, EQ,703.3,710.05,727.4,700.0,714.95,707.75,710.82,1849,13.14,585, 881, 47.65
2023-01-10,MALLCOM, EQ,707.75,702.45,722.0,690.9,719.0,716.1,712.54,1929,13.74,217, 1575, 81.65
2023-01-11,MALLCOM, EQ,716.1,713.5,720.0,695.0, 704.00,700.8,710.07,846,6.01,155, 518, 61.23
2023-01-12,MALLCOM, EQ,700.8,705.1,750.0,701.0, 705.55,708.25,731.04,4134,30.22,652, 1862, 45.04
2023-01-13,MALLCOM, EQ,708.25,718.0,745.0,706.3,731.55,715.25,722.05,1963,14.17,355, 1213, 61.79
2023-01-16,MALLCOM, EQ,715.25,703.0,744.0,703.0, 731.00,721.3,732.9,2517,18.45,438, 1522, 60.47
2023-01-17,MALLCOM, EQ,721.3,735.65,749.0,706.1,724.9,724.5,720.0,3270,23.54,438, 1775, 54.28
2023-01-18,MALLCOM, EQ,724.5,728.5,744.8,716.05,730.0,727.4,729.4,2722,19.85,379, 1912, 70.24
2023-01-19,MALLCOM, EQ,727.4,732.3,743.95,732.3, 733.25,735.8,737.66,1509,11.13,188, 1047, 69.38
2023-01-20,MALLCOM, EQ,735.8,723.75,740.1,711.0,711.0,716.9,728.18,2065,15.04,264, 1407, 68.14
2023-01-23,MALLCOM, EQ,716.9,716.9,736.05,706.95,711.0,715.3,724.23,1906,13.8,325, 1050, 55.09
2023-01-24,MALLCOM, EQ,715.3,705.0,740.0,705.0,739.3,721.9,714.63,2241,16.01,407, 898, 40.07
2023-01-25,MALLCOM, EQ,721.9,722.1,746.9,720.6, 729.70,727.5,734.03,4099,30.09,421, 3076, 75.04
