DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,MAN50ETF, EQ,189.52,189.74,190.43,189.1, 190.43,190.13,190.12,34449,65.49,300, 33636, 97.64
2023-01-03,MAN50ETF, EQ,190.13,190.14,190.73,189.64, 190.22,190.25,190.12,7390,14.05,96, 6353, 85.97
2023-01-04,MAN50ETF, EQ,190.25,190.75,190.75,188.31, 188.60,188.66,189.0,3093,5.85,171, 2399, 77.56
2023-01-05,MAN50ETF, EQ,188.66,189.12,189.36,186.82,188.27,187.9,187.84,6352,11.93,178, 4923, 77.50
2023-01-06,MAN50ETF, EQ,187.9,188.15,188.5,186.01,186.82,186.75,186.88,3779,7.06,161, 3271, 86.56
2023-01-09,MAN50ETF, EQ,186.75,187.75,189.49,187.07,188.59,188.65,188.83,27707,52.32,121, 25797, 93.11
2023-01-10,MAN50ETF, EQ,188.65,189.41,189.41,186.52,187.44,187.38,187.36,14905,27.93,164, 13656, 91.62
2023-01-11,MAN50ETF, EQ,187.38,189.68,189.68,186.3, 187.10,187.2,187.21,54563,102.15,94, 54119, 99.19
2023-01-12,MAN50ETF, EQ,187.2,187.01,187.06,185.42, 186.83,186.74,186.5,65595,122.33,156, 53471, 81.52
2023-01-13,MAN50ETF, EQ,186.74,186.74,187.89,185.85,187.21,187.11,186.52,8631,16.1,141, 7591, 87.95
2023-01-16,MAN50ETF, EQ,187.11,187.84,188.1,186.66, 186.66,186.76,187.51,2976,5.58,135, 2296, 77.15
2023-01-17,MAN50ETF, EQ,186.76,187.32,189.11,187.12,188.24,188.83,188.81,154032,290.83,114, 152313, 98.88
2023-01-18,MAN50ETF, EQ,188.83,188.85,190.09,188.69,189.96,189.92,189.68,15719,29.82,72, 15214, 96.79
2023-01-19,MAN50ETF, EQ,189.92,188.72,189.7,188.6, 188.60,189.43,189.42,29299,55.5,84, 28828, 98.39
2023-01-20,MAN50ETF, EQ,189.43,189.3,189.64,187.91,188.48,188.5,188.76,1680,3.17,98, 889, 52.92
