DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,MANAPPURAM, EQ,116.15,116.65,120.1,116.15, 119.40,119.35,118.93,8074126,9602.2,30359, 2748475, 34.04
2023-01-03,MANAPPURAM, EQ,119.35,119.25,122.65,118.4, 121.70,122.1,121.57,12930113,15719.59,41179, 5791772, 44.79
2023-01-04,MANAPPURAM, EQ,122.1,122.1,124.4,119.5, 121.20,121.6,122.03,8735202,10659.93,35188, 1857685, 21.27
2023-01-05,MANAPPURAM, EQ,121.6,122.5,122.75,119.7,121.0,120.95,120.85,5400310,6526.06,23814, 1584549, 29.34
2023-01-06,MANAPPURAM, EQ,120.95,121.2,121.7,117.6,118.5,118.5,119.47,3905024,4665.46,28162, 1139306, 29.18
2023-01-09,MANAPPURAM, EQ,118.5,120.0,121.9,118.7,121.65,121.6,120.9,4671109,5647.51,28939, 1478543, 31.65
2023-01-10,MANAPPURAM, EQ,121.6,121.85,122.0,118.9,120.8,120.8,120.16,4567881,5488.73,31472, 1724375, 37.75
2023-01-11,MANAPPURAM, EQ,120.8,120.8,123.25,120.0, 121.90,121.9,121.97,5845260,7129.64,38455, 2010765, 34.40
2023-01-12,MANAPPURAM, EQ,121.9,122.55,122.65,119.8, 120.25,120.15,121.16,4354400,5275.6,18769, 1134911, 26.06
2023-01-13,MANAPPURAM, EQ,120.15,120.8,121.9,119.5,121.55,121.65,120.7,3094130,3734.52,19271, 1019708, 32.96
2023-01-16,MANAPPURAM, EQ,121.65,122.6,125.8,121.85, 122.10,122.45,124.02,12830543,15911.96,61102, 3591718, 27.99
2023-01-17,MANAPPURAM, EQ,122.45,122.25,122.35,117.0,117.75,117.85,118.0,11902101,14044.72,64140, 4371913, 36.73
2023-01-18,MANAPPURAM, EQ,117.85,118.0,118.65,114.75,117.3,116.95,116.05,9956902,11555.26,70743, 4048582, 40.66
2023-01-19,MANAPPURAM, EQ,116.95,117.0,117.0,113.0, 113.50,113.6,114.14,8467802,9665.0,37893, 3665166, 43.28
2023-01-20,MANAPPURAM, EQ,113.6,114.0,115.95,113.0,115.65,115.45,114.6,8564549,9814.85,30802, 4155332, 48.52
2023-01-23,MANAPPURAM, EQ,115.45,116.35,118.95,115.65,118.8,118.75,117.92,7621914,8987.8,29390, 3077863, 40.38
2023-01-24,MANAPPURAM, EQ,118.75,119.15,120.35,117.85,118.15,118.3,119.45,5282492,6309.91,34771, 2030978, 38.45
2023-01-25,MANAPPURAM, EQ,118.3,117.95,117.95,114.75, 115.45,115.25,115.76,4642213,5373.72,34375, 1608937, 34.66
2023-01-27,MANAPPURAM, EQ,115.25,115.65,116.2,111.45, 112.65,112.45,113.15,5925984,6705.06,35070, 1994177, 33.65
2023-01-30,MANAPPURAM, EQ,112.45,112.4,114.45,110.35, 112.10,111.95,112.12,5120017,5740.5,24012, 1927808, 37.65
2023-01-31,MANAPPURAM, EQ,111.95,113.1,115.5,111.2,114.9,115.0,113.59,7715715,8764.6,35165, 3951625, 51.22
2023-02-01,MANAPPURAM, EQ,115.0,115.95,118.15,111.25, 113.40,113.15,115.47,7609647,8786.91,49574, 2409950, 31.67
2023-02-02,MANAPPURAM, EQ,113.15,113.15,116.1,111.5, 115.50,115.2,113.49,7324260,8312.11,36492, 3280465, 44.79
2023-02-03,MANAPPURAM, EQ,115.2,116.45,117.0,113.1, 116.45,116.15,115.29,6768039,7802.9,33743, 2707532, 40.00
2023-02-06,MANAPPURAM, EQ,116.15,115.0,116.2,111.15, 115.65,115.6,114.04,10509291,11984.31,59763, 2304652, 21.93
2023-02-07,MANAPPURAM, EQ,115.6,115.55,118.7,115.0, 117.10,116.9,117.27,7618549,8934.36,56953, 2924471, 38.39
2023-02-08,MANAPPURAM, EQ,116.9,117.1,117.25,113.4, 114.55,114.3,115.02,5299268,6095.11,30055, 1582423, 29.86
2023-02-09,MANAPPURAM, EQ,114.3,114.55,115.4,112.6, 114.85,114.4,114.0,4003310,4563.95,22288, 934195, 23.34
2023-02-10,MANAPPURAM, EQ,114.4,113.5,114.85,113.2, 114.00,113.85,113.82,2607814,2968.18,18527, 715053, 27.42
2023-02-13,MANAPPURAM, EQ,113.85,114.5,114.5,110.85,111.8,111.9,111.89,4051536,4533.4,21253, 1348188, 33.28
2023-02-14,MANAPPURAM, EQ,111.9,111.2,113.05,110.85,112.8,112.55,111.9,3111993,3482.44,17574, 794794, 25.54
2023-02-15,MANAPPURAM, EQ,112.55,112.0,112.9,111.3, 112.75,112.45,112.12,2402648,2693.91,15023, 818857, 34.08
