DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,MANGLMCEM, EQ,299.0,297.25,307.8,297.25, 299.00,300.5,300.27,201208,604.17,1899, 184435, 91.66
2023-01-03,MANGLMCEM, EQ,300.5,300.65,307.1,299.5, 299.50,300.1,300.49,181072,544.11,1448, 170473, 94.15
2023-01-04,MANGLMCEM, EQ,300.1,303.25,308.95,297.6, 299.90,298.5,303.29,56293,170.73,2206, 34016, 60.43
2023-01-05,MANGLMCEM, EQ,298.5,301.45,301.45,292.0,294.5,295.9,295.65,301801,892.29,1671, 290710, 96.33
2023-01-06,MANGLMCEM, EQ,295.9,297.8,300.0,289.25,293.0,294.9,295.4,204712,604.73,2762, 112566, 54.99
2023-01-09,MANGLMCEM, EQ,294.9,298.75,298.75,292.5,296.5,294.15,294.7,14538,42.84,979, 9183, 63.17
2023-01-10,MANGLMCEM, EQ,294.15,296.6,296.6,292.2,295.5,295.4,295.34,109144,322.34,971, 54286, 49.74
2023-01-11,MANGLMCEM, EQ,295.4,292.45,302.7,292.45, 299.00,300.05,298.86,15583,46.57,1003, 9159, 58.78
2023-01-12,MANGLMCEM, EQ,300.05,303.0,304.8,297.25, 303.75,302.25,301.16,17780,53.55,1422, 9216, 51.83
2023-01-13,MANGLMCEM, EQ,302.25,300.2,306.55,300.2,304.0,303.25,303.19,39409,119.48,1287, 20868, 52.95
2023-01-16,MANGLMCEM, EQ,303.25,300.0,311.9,300.0, 310.70,309.5,307.28,75909,233.25,1513, 44316, 58.38
2023-01-17,MANGLMCEM, EQ,309.5,306.55,316.0,306.25,312.0,312.45,312.28,50636,158.12,1869, 40465, 79.91
2023-01-18,MANGLMCEM, EQ,312.45,317.7,317.7,307.0,310.1,310.45,311.45,31864,99.24,1469, 23012, 72.22
2023-01-19,MANGLMCEM, EQ,310.45,306.4,311.65,301.15, 302.50,302.9,305.68,27328,83.54,1719, 21751, 79.59
2023-01-20,MANGLMCEM, EQ,302.9,303.95,305.0,298.05,301.7,299.45,301.34,9382,28.27,892, 4484, 47.79
2023-01-23,MANGLMCEM, EQ,299.45,299.95,301.65,292.0,292.0,293.3,296.82,31631,93.89,1624, 24182, 76.45
2023-01-24,MANGLMCEM, EQ,293.3,293.95,294.95,287.0,291.0,289.6,290.54,36456,105.92,1463, 24808, 68.05
2023-01-25,MANGLMCEM, EQ,289.6,289.0,290.6,278.9, 290.00,280.25,281.65,56130,158.09,2416, 38488, 68.57
2023-01-27,MANGLMCEM, EQ,280.25,286.0,286.0,271.8, 280.00,278.85,279.29,52933,147.84,1859, 39140, 73.94
2023-01-30,MANGLMCEM, EQ,278.85,282.95,286.95,276.25, 286.95,282.5,280.8,32377,90.91,2061, 19600, 60.54
2023-01-31,MANGLMCEM, EQ,282.5,285.0,297.0,280.6,284.5,283.5,285.93,31115,88.97,3001, 12176, 39.13
2023-02-01,MANGLMCEM, EQ,283.5,287.75,291.6,273.35, 273.35,275.05,277.51,129245,358.66,2164, 115205, 89.14
2023-02-02,MANGLMCEM, EQ,275.05,280.5,282.3,274.3, 276.05,279.6,278.83,8985,25.05,1176, 3303, 36.76
2023-02-03,MANGLMCEM, EQ,279.6,279.95,280.0,271.55, 278.00,277.45,275.21,17038,46.89,1310, 10812, 63.46
2023-02-06,MANGLMCEM, EQ,277.45,277.95,280.8,270.1, 270.10,271.65,272.67,113642,309.87,924, 107244, 94.37
2023-02-07,MANGLMCEM, EQ,271.65,271.65,277.7,271.3, 276.95,275.6,274.8,14251,39.16,1422, 6524, 45.78
2023-02-08,MANGLMCEM, EQ,275.6,279.8,281.85,271.0, 274.20,273.35,274.27,48208,132.22,2841, 31066, 64.44
2023-02-09,MANGLMCEM, EQ,273.35,274.0,275.7,271.05, 275.25,272.55,273.75,16349,44.76,1001, 10546, 64.51
2023-02-10,MANGLMCEM, EQ,272.55,271.0,274.9,271.0, 271.05,272.65,273.09,14983,40.92,988, 9657, 64.45
2023-02-13,MANGLMCEM, EQ,272.65,275.85,275.85,266.4,267.05,267.6,270.36,22364,60.46,743, 14769, 66.04
2023-02-14,MANGLMCEM, EQ,267.6,267.55,272.05,262.0,272.0,270.95,268.33,44154,118.48,1476, 30822, 69.81
2023-02-15,MANGLMCEM, EQ,270.95,269.4,273.75,268.0, 272.00,271.65,270.45,31162,84.28,756, 24841, 79.72
2023-02-16,MANGLMCEM, EQ,271.65,273.0,275.0,270.35, 274.25,273.75,272.34,15839,43.14,704, 9105, 57.48
2023-02-17,MANGLMCEM, EQ,273.75,273.75,282.0,272.6, 279.00,277.55,279.42,47940,133.95,1771, 24096, 50.26
2023-02-20,MANGLMCEM, EQ,277.55,270.55,277.95,270.55, 276.00,276.35,275.33,14206,39.11,950, 7381, 51.96
2023-02-21,MANGLMCEM, EQ,276.35,278.95,278.95,273.9, 275.85,276.4,276.54,12198,33.73,569, 7112, 58.30
2023-02-22,MANGLMCEM, EQ,276.4,276.0,276.0,273.2, 274.95,275.05,274.67,18311,50.29,698, 14621, 79.85
2023-02-23,MANGLMCEM, EQ,275.05,279.75,279.75,271.0,272.0,272.15,273.46,13589,37.16,579, 10003, 73.61
2023-02-24,MANGLMCEM, EQ,272.15,274.95,275.95,269.05, 271.00,271.3,271.94,13061,35.52,657, 8372, 64.10
2023-02-27,MANGLMCEM, EQ,271.3,274.0,274.0,258.05, 259.00,259.0,263.56,99384,261.93,1576, 86712, 87.25
2023-02-28,MANGLMCEM, EQ,259.0,258.6,262.3,244.0, 258.10,260.1,258.46,11366,29.38,681, 5947, 52.32
2023-03-01,MANGLMCEM, EQ,260.1,263.0,264.0,248.95, 258.55,259.2,259.75,51482,133.72,1095, 35659, 69.26
2023-03-02,MANGLMCEM, EQ,259.2,261.0,263.3,258.25, 261.00,259.3,260.76,25940,67.64,1610, 16229, 62.56
2023-03-03,MANGLMCEM, EQ,259.3,259.3,263.45,256.6, 261.00,260.45,260.63,49202,128.24,1978, 32508, 66.07
2023-03-06,MANGLMCEM, EQ,260.45,261.0,263.0,258.5, 261.80,261.5,261.63,98130,256.74,2035, 71230, 72.59
2023-03-08,MANGLMCEM, EQ,261.5,262.95,262.95,259.0, 261.00,261.35,261.35,63219,165.23,987, 37648, 59.55
2023-03-09,MANGLMCEM, EQ,261.35,263.0,263.85,258.45, 261.80,260.95,261.33,37033,96.78,755, 24889, 67.21
2023-03-10,MANGLMCEM, EQ,260.95,263.9,263.9,257.6, 258.40,259.05,259.61,38338,99.53,772, 30959, 80.75
2023-03-13,MANGLMCEM, EQ,259.05,258.4,263.0,258.0, 260.00,259.75,261.06,85950,224.38,1207, 67555, 78.60
2023-03-14,MANGLMCEM, EQ,259.75,259.45,260.55,255.35, 256.40,258.8,259.79,56037,145.58,864, 47641, 85.02
2023-03-15,MANGLMCEM, EQ,258.8,259.1,260.5,258.0, 259.20,259.45,259.25,55036,142.68,962, 48520, 88.16
2023-03-16,MANGLMCEM, EQ,259.45,258.9,258.9,252.0, 252.10,252.75,253.95,85627,217.45,1341, 74730, 87.27
2023-03-17,MANGLMCEM, EQ,252.75,255.65,256.0,251.3, 254.00,254.15,254.08,65681,166.88,1580, 55997, 85.26
2023-03-20,MANGLMCEM, EQ,254.15,253.75,257.05,250.4,256.0,256.0,255.25,76859,196.18,5755, 52131, 67.83
2023-03-21,MANGLMCEM, EQ,256.0,256.7,258.0,253.15, 253.90,254.5,255.81,85432,218.54,4673, 67870, 79.44
2023-03-22,MANGLMCEM, EQ,254.5,257.05,257.05,251.55, 252.50,252.3,254.42,56586,143.97,1340, 48049, 84.91
2023-03-23,MANGLMCEM, EQ,252.3,253.95,257.5,251.5, 254.40,254.85,255.45,59355,151.62,1539, 43971, 74.08
2023-03-24,MANGLMCEM, EQ,254.85,255.05,257.0,252.4, 253.00,253.1,254.65,27594,70.27,899, 21364, 77.42
2023-03-27,MANGLMCEM, EQ,253.1,247.4,252.65,240.1, 245.75,243.2,244.87,159879,391.49,2885, 129364, 80.91
2023-03-28,MANGLMCEM, EQ,243.2,240.3,243.05,234.1, 240.00,238.95,237.19,90085,213.68,3589, 60981, 67.69
2023-03-29,MANGLMCEM, EQ,238.95,238.0,254.85,236.35, 253.00,253.75,247.83,32151,79.68,1544, 17729, 55.14
2023-03-31,MANGLMCEM, EQ,253.75,253.75,268.15,252.7, 264.00,265.4,264.35,109891,290.5,5855, 72950, 66.38
2023-04-03,MANGLMCEM, EQ,265.4,269.0,272.95,263.3, 272.50,272.05,268.98,57020,153.37,4899, 33870, 59.40
2023-04-05,MANGLMCEM, EQ,272.05,274.05,274.05,261.5, 262.00,263.95,265.56,70980,188.5,7320, 48798, 68.75
2023-04-06,MANGLMCEM, EQ,263.95,264.45,267.95,262.05, 262.50,263.0,263.9,33805,89.21,3276, 19615, 58.02
2023-04-10,MANGLMCEM, EQ,263.0,263.95,270.1,261.5, 265.10,267.5,264.06,55557,146.71,3171, 41025, 73.84
2023-04-11,MANGLMCEM, EQ,267.5,265.4,281.95,265.05, 281.80,279.05,274.04,100959,276.67,6326, 69699, 69.04
2023-04-12,MANGLMCEM, EQ,279.05,281.0,288.95,278.55, 283.05,284.85,286.08,62676,179.3,4524, 34355, 54.81
2023-04-13,MANGLMCEM, EQ,284.85,287.7,289.4,279.55, 283.85,281.55,284.93,21985,62.64,1504, 10140, 46.12
2023-04-17,MANGLMCEM, EQ,281.55,278.75,280.65,273.55, 273.85,274.25,275.56,23287,64.17,2130, 14216, 61.05
2023-04-18,MANGLMCEM, EQ,274.25,274.25,279.4,272.8, 279.00,277.6,276.23,39246,108.41,2790, 24376, 62.11
2023-04-19,MANGLMCEM, EQ,277.6,280.4,285.95,276.55, 285.95,285.05,283.24,58205,164.86,2904, 29249, 50.25
2023-04-20,MANGLMCEM, EQ,285.05,287.7,287.7,278.35, 278.50,281.15,284.29,14314,40.69,1402, 8896, 62.15
2023-04-21,MANGLMCEM, EQ,281.15,282.5,282.5,270.1, 272.20,273.45,274.73,26748,73.48,2709, 17458, 65.27
2023-04-24,MANGLMCEM, EQ,273.45,271.0,274.6,268.2, 272.70,271.65,271.67,41857,113.71,1664, 28744, 68.67
2023-04-25,MANGLMCEM, EQ,271.65,272.05,275.25,272.0,273.0,273.05,273.55,30398,83.15,1637, 25150, 82.74
2023-04-26,MANGLMCEM, EQ,273.05,272.7,281.9,272.4, 280.80,279.3,276.97,36183,100.22,1940, 22806, 63.03
2023-04-27,MANGLMCEM, EQ,279.3,275.4,286.5,275.4, 284.50,285.3,283.84,39679,112.62,1258, 25867, 65.19
2023-04-28,MANGLMCEM, EQ,285.3,287.0,292.7,282.15, 288.00,290.0,287.85,46002,132.42,1806, 33636, 73.12
2023-05-02,MANGLMCEM, EQ,290.0,292.0,292.35,284.05, 289.30,288.35,288.7,22465,64.86,1562, 14128, 62.89
2023-05-03,MANGLMCEM, EQ,288.35,285.0,291.0,281.25,282.25,283.15,286.87,15004,43.04,1103, 9953, 66.34
2023-05-04,MANGLMCEM, EQ,283.15,283.2,295.25,283.2, 294.00,293.2,291.78,50395,147.04,1716, 29940, 59.41
2023-05-05,MANGLMCEM, EQ,293.2,296.0,296.0,289.7, 291.50,292.4,292.84,20915,61.25,1229, 12141, 58.05
2023-05-08,MANGLMCEM, EQ,292.4,294.95,297.8,291.0, 292.60,293.1,294.76,46641,137.48,1992, 26148, 56.06
2023-05-09,MANGLMCEM, EQ,293.1,293.1,301.0,291.0,291.05,292.15,298.62,130788,390.56,1229, 116189, 88.84
2023-05-10,MANGLMCEM, EQ,292.15,297.95,297.95,285.8,290.1,289.75,288.9,48682,140.64,1400, 33744, 69.32
2023-05-11,MANGLMCEM, EQ,289.75,287.25,293.2,287.0, 289.50,288.6,289.73,14033,40.66,855, 9221, 65.71
2023-05-12,MANGLMCEM, EQ,288.6,292.7,296.5,287.35, 290.45,289.15,291.88,26999,78.8,2040, 12246, 45.36
2023-05-15,MANGLMCEM, EQ,289.15,288.0,293.0,287.0, 287.00,287.45,289.86,15907,46.11,903, 9275, 58.31
2023-05-16,MANGLMCEM, EQ,287.45,288.95,292.0,282.1,282.1,284.2,286.38,38242,109.52,1252, 27239, 71.23
2023-05-17,MANGLMCEM, EQ,284.2,284.3,287.65,275.0, 278.00,277.3,278.93,66892,186.58,1910, 44083, 65.90
2023-05-18,MANGLMCEM, EQ,277.3,280.0,284.8,269.05, 280.00,280.95,279.56,31218,87.27,1220, 17523, 56.13
2023-05-19,MANGLMCEM, EQ,280.95,281.0,282.8,271.5,279.0,280.25,278.09,24072,66.94,1112, 13167, 54.70
2023-05-22,MANGLMCEM, EQ,280.25,278.95,292.35,275.4,288.0,287.15,283.48,21844,61.92,987, 11141, 51.00
2023-05-23,MANGLMCEM, EQ,287.15,287.0,290.0,283.05, 285.50,285.9,287.75,27704,79.72,951, 21506, 77.63
2023-05-24,MANGLMCEM, EQ,285.9,283.0,292.0,283.0, 291.95,290.3,288.92,40163,116.04,1283, 29512, 73.48
2023-05-25,MANGLMCEM, EQ,290.3,290.0,294.95,289.0, 294.85,294.6,293.36,62940,184.64,1249, 45171, 71.77
2023-05-26,MANGLMCEM, EQ,294.6,295.95,298.8,290.1,295.0,294.5,296.27,67700,200.57,1978, 50457, 74.53
2023-05-29,MANGLMCEM, EQ,294.5,296.5,298.1,291.05, 291.10,291.65,293.99,38944,114.49,1465, 22286, 57.23
2023-05-30,MANGLMCEM, EQ,291.65,294.6,305.9,292.05, 298.55,298.85,300.9,120504,362.6,4639, 63356, 52.58
2023-05-31,MANGLMCEM, EQ,298.85,303.15,311.0,300.0, 309.05,308.3,306.73,113588,348.41,4084, 72188, 63.55
2023-06-01,MANGLMCEM, EQ,308.3,308.85,311.0,300.5, 305.95,303.45,305.11,37293,113.79,2098, 22720, 60.92
2023-06-02,MANGLMCEM, EQ,303.45,306.5,311.2,305.4, 309.00,308.85,308.36,36372,112.16,2008, 21742, 59.78
2023-06-05,MANGLMCEM, EQ,308.85,309.0,324.0,309.0, 314.25,315.7,318.71,82232,262.08,3002, 45621, 55.48
2023-06-06,MANGLMCEM, EQ,315.7,318.85,339.0,316.05,335.9,334.45,328.62,544362,1788.9,8536, 360501, 66.22
2023-06-07,MANGLMCEM, EQ,334.45,337.9,342.15,326.0, 328.00,326.8,329.6,344795,1136.43,4804, 292078, 84.71
2023-06-08,MANGLMCEM, EQ,326.8,329.0,334.45,311.9, 319.30,319.75,317.37,275102,873.08,5241, 194250, 70.61
2023-06-09,MANGLMCEM, EQ,319.75,321.9,326.75,314.2, 315.00,317.0,320.37,45643,146.22,2740, 24169, 52.95
