DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-03-31,MANV30F, EQ,100.0,120.0,120.0,120.0, 120.00,120.0,120.0,14,0.02,14, 14, 100.00
2023-04-03,MANV30F, EQ,120.0,145.25,153.84,128.03, 129.12,129.23,130.25,7835,10.21,57, 5947, 75.90
2023-04-05,MANV30F, EQ,129.23,131.57,131.57,129.33, 130.90,130.9,130.19,124,0.16,12, 96, 77.42
2023-04-06,MANV30F, EQ,130.9,134.17,134.17,130.95, 130.95,130.95,131.68,29,0.04,12, 17, 58.62
2023-04-10,MANV30F, EQ,130.95,131.0,133.08,130.5, 131.95,131.95,131.58,2908,3.83,24, 1755, 60.35
2023-04-11,MANV30F, EQ,131.95,135.24,135.24,130.31, 130.31,130.33,131.22,2032,2.67,30, 1566, 77.07
2023-04-12,MANV30F, EQ,130.33,130.38,133.99,130.38, 130.90,131.74,131.47,572,0.75,13, 429, 75.00
2023-04-13,MANV30F, EQ,131.74,131.0,132.8,130.65, 130.65,130.65,130.83,820,1.07,16, 427, 52.07
2023-04-17,MANV30F, EQ,130.65,133.91,133.91,129.8, 130.10,130.1,130.29,1037,1.35,30, 1028, 99.13
2023-04-18,MANV30F, EQ,130.1,130.32,133.3,130.32, 130.40,130.4,130.64,1169,1.53,16, 1074, 91.87
2023-04-19,MANV30F, EQ,130.4,130.4,131.95,130.4, 131.95,131.95,131.53,144,0.19,4, 144, 100.00
2023-04-20,MANV30F, EQ,131.95,132.0,132.3,132.0, 132.00,132.0,132.08,35,0.05,6, 34, 97.14
2023-04-21,MANV30F, EQ,132.0,132.0,132.45,130.21, 132.18,132.18,131.99,1390,1.83,17, 745, 53.60
2023-04-24,MANV30F, EQ,132.18,132.92,132.92,129.76, 130.06,130.06,129.89,760,0.99,16, 735, 96.71
2023-04-25,MANV30F, EQ,130.06,131.9,131.9,130.8,130.8,131.51,131.2,410,0.54,8, 210, 51.22
2023-04-26,MANV30F, EQ,131.51,131.0,131.9,131.0, 131.90,131.9,131.1,97,0.13,4, 97, 100.00
2023-04-27,MANV30F, EQ,131.9,134.0,134.0,132.0, 132.75,132.75,133.25,12,0.02,5, 11, 91.67
2023-04-28,MANV30F, EQ,132.75,134.0,134.0,132.71, 132.71,132.71,132.83,129,0.17,9, 122, 94.57
2023-05-02,MANV30F, EQ,132.71,132.6,134.95,132.6, 134.70,134.7,133.92,1695,2.27,22, 1690, 99.71
2023-05-03,MANV30F, EQ,134.7,133.81,135.0,133.81,134.23,134.24,134.31,311,0.42,6, 205, 65.92
2023-05-04,MANV30F, EQ,134.24,133.89,135.99,133.89, 135.99,135.99,134.07,238,0.32,9, 228, 95.80
2023-05-05,MANV30F, EQ,135.99,135.99,136.95,135.99, 135.99,135.99,136.57,107,0.15,8, 105, 98.13
