DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,MITTAL, EQ,11.35,11.35,11.55,11.2, 11.50,11.4,11.39,4167,0.47,64, 3495, 83.87
2023-01-03,MITTAL, EQ,11.4,11.5,13.65,11.3, 13.65,13.65,13.41,393620,52.77,850, 207536, 52.72
2023-01-04,MITTAL, EQ,13.65,13.9,13.95,12.35, 12.85,12.75,13.33,337045,44.94,805, 185636, 55.08
2023-01-05,MITTAL, EQ,12.75,12.95,13.35,12.65,13.1,13.15,13.05,134582,17.56,294, 102159, 75.91
2023-01-06,MITTAL, EQ,13.15,13.45,13.45,12.85,12.9,12.9,13.02,14236,1.85,120, 12154, 85.38
2023-01-09,MITTAL, EQ,12.9,12.95,13.3,12.4,12.4,12.55,12.82,41544,5.32,225, 28702, 69.09
2023-01-10,MITTAL, EQ,12.55,12.55,12.9,12.25,12.8,12.8,12.65,22919,2.9,117, 16069, 70.11
2023-01-11,MITTAL, EQ,12.8,12.65,13.15,11.3, 13.00,12.8,12.3,87468,10.76,326, 49341, 56.41
2023-01-12,MITTAL, EQ,12.8,12.8,13.1,12.45, 12.55,12.55,12.64,10992,1.39,94, 8562, 77.89
2023-01-13,MITTAL, EQ,12.55,12.75,13.2,12.5,13.2,13.1,12.99,44657,5.8,163, 34429, 77.10
2023-01-16,MITTAL, EQ,13.1,13.35,13.5,12.45, 13.05,13.1,13.07,70091,9.16,269, 28067, 40.04
2023-01-17,MITTAL, EQ,13.1,12.85,13.25,12.65,12.95,12.85,12.86,29415,3.78,137, 21563, 73.31
2023-01-18,MITTAL, EQ,12.85,12.95,13.1,12.55,12.6,12.65,12.7,11135,1.41,111, 9195, 82.58
2023-01-19,MITTAL, EQ,12.65,12.55,12.95,12.5, 12.55,12.65,12.63,7199,0.91,82, 5507, 76.50
2023-01-20,MITTAL, EQ,12.65,12.55,12.9,12.25,12.5,12.45,12.48,25454,3.18,127, 19213, 75.48
2023-01-23,MITTAL, EQ,12.45,12.45,12.7,12.15,12.3,12.3,12.3,13522,1.66,130, 10559, 78.09
2023-01-24,MITTAL, EQ,12.3,12.7,12.75,12.15,12.45,12.25,12.41,15802,1.96,104, 10689, 67.64
2023-01-25,MITTAL, EQ,12.25,12.1,12.95,12.1, 12.25,12.45,12.47,21436,2.67,92, 14605, 68.13
2023-01-27,MITTAL, EQ,12.45,12.45,12.65,11.65, 11.70,12.0,12.0,11281,1.35,82, 8691, 77.04
2023-01-30,MITTAL, EQ,12.0,11.5,12.0,11.5, 11.65,11.7,11.68,23478,2.74,92, 17354, 73.92
2023-01-31,MITTAL, EQ,11.7,13.0,13.0,11.65,12.35,12.25,12.16,16715,2.03,105, 12042, 72.04
