DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,MMFL, EQ,821.4,833.7,835.0,822.0, 826.00,833.5,824.27,45741,377.03,1044, 41089, 89.83
2023-01-03,MMFL, EQ,833.5,832.0,870.3,826.0, 827.00,829.05,841.44,34164,287.47,2615, 10070, 29.48
2023-01-04,MMFL, EQ,829.05,826.0,846.95,821.9, 823.80,828.55,834.56,22915,191.24,1905, 15701, 68.52
2023-01-05,MMFL, EQ,828.55,826.0,838.0,819.85,830.4,828.8,827.66,15092,124.91,2815, 6536, 43.31
2023-01-06,MMFL, EQ,828.8,841.25,841.25,816.5,816.5,823.55,828.92,6798,56.35,978, 3626, 53.34
2023-01-09,MMFL, EQ,823.55,823.0,844.05,823.0,840.0,840.45,836.21,7833,65.5,905, 4914, 62.73
2023-01-10,MMFL, EQ,840.45,850.0,853.95,831.0,840.05,843.8,841.75,24902,209.61,4996, 9392, 37.72
2023-01-11,MMFL, EQ,843.8,843.8,862.5,835.05, 859.60,859.25,849.46,51753,439.62,2981, 32093, 62.01
2023-01-12,MMFL, EQ,859.25,859.25,869.0,850.0, 850.05,851.7,855.38,11578,99.04,950, 6995, 60.42
2023-01-13,MMFL, EQ,851.7,852.3,853.05,840.25,840.4,845.2,848.02,9468,80.29,720, 7291, 77.01
2023-01-16,MMFL, EQ,845.2,853.65,865.0,843.0, 849.00,851.55,846.95,6858,58.08,626, 4834, 70.49
2023-01-17,MMFL, EQ,851.55,849.0,863.9,849.0,859.0,856.85,855.16,111755,955.68,928, 106929, 95.68
2023-01-18,MMFL, EQ,856.85,865.4,869.6,856.8,861.0,864.1,862.41,6458,55.69,836, 4069, 63.01
2023-01-19,MMFL, EQ,864.1,854.05,867.05,854.0, 863.00,860.35,859.89,4326,37.2,647, 2407, 55.64
2023-01-20,MMFL, EQ,860.35,862.2,863.1,857.65,860.0,860.25,860.54,5510,47.42,451, 4377, 79.44
2023-01-23,MMFL, EQ,860.25,865.0,868.8,859.95,861.1,861.3,861.42,6402,55.15,403, 5048, 78.85
2023-01-24,MMFL, EQ,861.3,861.3,866.35,860.0,862.1,863.75,863.26,6522,56.3,529, 4191, 64.26
2023-01-25,MMFL, EQ,863.75,869.0,869.0,852.0, 861.00,855.5,859.6,13127,112.84,659, 10673, 81.31
2023-01-27,MMFL, EQ,855.5,850.0,861.0,845.45, 861.00,857.45,849.29,13666,116.06,748, 10922, 79.92
2023-01-30,MMFL, EQ,857.45,850.0,868.8,850.0, 864.95,861.1,861.4,15287,131.68,1161, 9961, 65.16
2023-01-31,MMFL, EQ,861.1,873.0,879.15,864.35,876.0,874.1,871.12,12863,112.05,1079, 9153, 71.16
2023-02-01,MMFL, EQ,874.1,888.0,895.0,870.0, 872.00,872.6,883.39,30629,270.57,2406, 22551, 73.63
2023-02-02,MMFL, EQ,872.6,870.55,881.75,852.25, 858.10,862.35,868.98,11682,101.51,787, 9292, 79.54
2023-02-03,MMFL, EQ,862.35,850.5,860.75,829.0, 839.40,834.6,839.63,10825,90.89,1335, 5644, 52.14
2023-02-06,MMFL, EQ,834.6,851.25,851.25,808.7, 819.00,816.85,820.33,12912,105.92,1478, 8195, 63.47
2023-02-07,MMFL, EQ,816.85,810.0,826.75,800.0, 803.50,820.05,814.3,11371,92.59,1459, 5188, 45.62
2023-02-08,MMFL, EQ,820.05,820.95,839.8,813.05, 839.80,835.8,824.45,7855,64.76,1241, 3927, 49.99
2023-02-09,MMFL, EQ,835.8,843.4,858.9,831.95, 856.00,855.4,847.22,6537,55.38,866, 3487, 53.34
2023-02-10,MMFL, EQ,855.4,859.9,876.95,855.3, 865.00,866.0,867.76,11154,96.79,1102, 6893, 61.80
2023-02-13,MMFL, EQ,866.0,866.0,871.9,837.05,840.15,842.3,854.66,5555,47.48,1025, 3313, 59.64
2023-02-14,MMFL, EQ,842.3,860.0,889.15,855.0,866.5,868.85,873.73,39592,345.93,2441, 24447, 61.75
2023-02-15,MMFL, EQ,868.85,879.85,879.85,854.45, 867.50,871.3,865.29,6476,56.04,839, 3297, 50.91
2023-02-16,MMFL, EQ,871.3,878.95,880.0,862.1, 876.00,874.95,873.43,7464,65.19,847, 4990, 66.85
2023-02-17,MMFL, EQ,874.95,879.95,886.35,868.05, 872.00,874.7,877.08,6695,58.72,811, 4069, 60.78
2023-02-20,MMFL, EQ,874.7,875.0,889.0,849.0, 850.00,851.25,863.17,5111,44.12,722, 3009, 58.87
2023-02-21,MMFL, EQ,851.25,861.4,861.4,833.8, 853.00,845.7,847.33,12297,104.2,973, 7462, 60.68
2023-02-22,MMFL, EQ,845.7,845.7,863.05,844.0, 863.00,860.75,856.11,15225,130.34,1470, 9787, 64.28
2023-02-23,MMFL, EQ,860.75,869.25,869.95,850.0,850.0,856.75,861.38,4982,42.91,831, 2874, 57.69
2023-02-24,MMFL, EQ,856.75,862.4,862.4,814.0, 834.00,827.25,831.53,26368,219.26,3336, 12026, 45.61
2023-02-27,MMFL, EQ,827.25,824.65,838.9,816.0, 834.00,829.55,826.13,7917,65.4,1605, 5334, 67.37
2023-02-28,MMFL, EQ,829.55,829.55,842.3,826.5, 833.50,836.75,833.9,7378,61.52,1322, 4667, 63.26
2023-03-01,MMFL, EQ,836.75,828.4,861.85,825.0, 854.00,855.7,849.44,9816,83.38,975, 7061, 71.93
2023-03-02,MMFL, EQ,855.7,861.0,870.0,830.0, 832.50,840.05,847.53,25698,217.8,1646, 21156, 82.33
2023-03-03,MMFL, EQ,840.05,846.25,869.9,830.0, 832.25,837.5,843.17,7247,61.1,785, 4561, 62.94
2023-03-06,MMFL, EQ,837.5,833.3,859.0,829.65, 858.00,848.05,841.46,10994,92.51,1085, 5340, 48.57
