DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,MOM50, EQ,182.4,194.98,194.98,182.41, 183.79,183.74,183.47,1105,2.03,54, 809, 73.21
2023-01-03,MOM50, EQ,183.74,184.99,184.99,182.96, 184.03,184.22,183.9,2234,4.11,54, 1562, 69.92
2023-01-04,MOM50, EQ,184.22,182.42,183.99,181.0, 182.10,181.98,182.32,2148,3.92,107, 1405, 65.41
2023-01-05,MOM50, EQ,181.98,180.0,182.59,180.0,180.27,180.22,180.84,1673,3.03,98, 951, 56.84
2023-01-06,MOM50, EQ,180.22,183.98,183.98,179.0,181.0,179.55,180.43,1035,1.87,71, 682, 65.89
2023-01-09,MOM50, EQ,179.55,178.87,182.82,178.87,181.32,181.96,181.48,3421,6.21,68, 3266, 95.47
2023-01-10,MOM50, EQ,181.96,181.82,181.82,179.46,180.15,180.15,180.26,3652,6.58,78, 2211, 60.54
2023-01-11,MOM50, EQ,180.15,185.55,185.55,178.0, 178.00,179.2,180.3,1239,2.23,75, 753, 60.77
2023-01-12,MOM50, EQ,179.2,177.01,179.99,177.0, 178.96,178.96,179.18,3286,5.89,44, 2535, 77.15
2023-01-13,MOM50, EQ,178.96,179.0,181.6,178.97,179.75,181.14,180.58,3808,6.88,71, 2704, 71.01
2023-01-16,MOM50, EQ,181.14,180.01,183.05,179.31, 180.50,180.13,180.09,4786,8.62,110, 3534, 73.84
2023-01-17,MOM50, EQ,180.13,180.15,181.59,180.0,180.61,180.65,180.7,601,1.09,40, 384, 63.89
2023-01-18,MOM50, EQ,180.65,183.15,183.15,181.0,181.99,182.02,182.22,1386,2.53,47, 977, 70.49
2023-01-19,MOM50, EQ,182.02,183.11,183.11,181.27, 181.27,181.32,181.82,733,1.33,36, 413, 56.34
2023-01-20,MOM50, EQ,181.32,181.74,182.11,181.54,181.75,181.75,181.82,224,0.41,13, 224, 100.00
2023-01-23,MOM50, EQ,181.75,176.3,183.09,176.3,181.8,181.8,182.08,1791,3.26,40, 1655, 92.41
2023-01-24,MOM50, EQ,181.8,182.6,182.99,181.45,181.45,181.68,181.88,1297,2.36,47, 1092, 84.19
2023-01-25,MOM50, EQ,181.68,181.84,181.87,179.11, 179.15,179.42,179.53,13047,23.42,90, 6404, 49.08
2023-01-27,MOM50, EQ,179.42,179.11,185.0,176.01, 182.00,178.15,177.52,2352,4.18,105, 1060, 45.07
2023-01-30,MOM50, EQ,178.15,179.76,179.76,175.41, 176.25,177.23,176.47,4903,8.65,153, 3021, 61.62
2023-01-31,MOM50, EQ,177.23,177.3,179.97,176.31,179.97,178.66,177.4,1163,2.06,54, 711, 61.13
2023-02-01,MOM50, EQ,178.66,178.67,180.49,175.65, 175.84,176.44,177.73,7468,13.27,109, 2308, 30.91
2023-02-02,MOM50, EQ,176.44,176.45,177.67,176.02, 176.35,176.51,176.95,5957,10.54,74, 5401, 90.67
2023-02-03,MOM50, EQ,176.51,176.34,180.07,176.34, 178.20,178.83,177.54,2650,4.7,71, 1258, 47.47
2023-02-06,MOM50, EQ,178.83,178.83,179.29,177.91, 177.91,178.03,178.34,1731,3.09,67, 1142, 65.97
2023-02-07,MOM50, EQ,178.03,176.61,179.54,176.61, 178.70,178.71,178.95,1143,2.05,47, 883, 77.25
2023-02-08,MOM50, EQ,178.71,178.77,180.16,178.76, 180.16,179.62,179.22,5142,9.22,65, 4132, 80.36
2023-02-09,MOM50, EQ,179.62,179.31,180.55,178.18, 179.41,179.87,179.67,776,1.39,38, 410, 52.84
2023-02-10,MOM50, EQ,179.87,179.77,180.06,179.3, 179.98,179.98,179.81,677,1.22,40, 672, 99.26
2023-02-13,MOM50, EQ,179.98,179.0,180.0,178.2,179.33,179.17,178.64,850,1.52,60, 493, 58.00
2023-02-14,MOM50, EQ,179.17,179.3,180.58,179.3,180.56,180.49,179.7,5836,10.49,33, 5832, 99.93
2023-02-15,MOM50, EQ,180.49,180.56,181.94,180.0, 181.94,180.76,180.75,3262,5.9,49, 2835, 86.91
2023-02-16,MOM50, EQ,180.76,181.38,182.49,180.8, 180.80,181.31,181.84,387,0.7,39, 192, 49.61
2023-02-17,MOM50, EQ,181.31,179.8,182.0,179.8, 180.05,180.13,181.26,774,1.4,35, 752, 97.16
2023-02-20,MOM50, EQ,180.13,179.51,181.63,179.51, 180.20,180.2,180.38,445,0.8,29, 288, 64.72
2023-02-21,MOM50, EQ,180.2,180.0,180.4,179.0, 180.40,180.25,179.93,1410,2.54,37, 1192, 84.54
2023-02-22,MOM50, EQ,180.25,179.31,179.38,176.06, 176.11,176.74,177.75,7271,12.92,144, 4825, 66.36
2023-02-23,MOM50, EQ,176.74,176.74,177.64,176.05,176.81,176.67,176.75,1238,2.19,32, 932, 75.28
2023-02-24,MOM50, EQ,176.67,176.8,176.99,175.5, 175.80,175.8,175.98,727,1.28,46, 430, 59.15
2023-02-27,MOM50, EQ,175.8,176.0,176.0,173.57, 175.57,175.42,174.91,1382,2.42,78, 1176, 85.09
2023-02-28,MOM50, EQ,175.42,175.3,175.8,173.45, 173.60,173.66,174.27,2612,4.55,85, 1202, 46.02
2023-03-01,MOM50, EQ,173.66,175.74,176.15,174.68, 176.15,176.13,175.75,2603,4.57,67, 2306, 88.59
2023-03-02,MOM50, EQ,176.13,179.65,179.65,174.0, 174.80,174.78,175.35,1461,2.56,84, 712, 48.73
2023-03-03,MOM50, EQ,174.78,174.78,177.49,174.78, 176.50,176.63,176.45,1462,2.58,62, 985, 67.37
2023-03-06,MOM50, EQ,176.63,178.98,178.98,177.63, 177.67,177.85,178.29,1767,3.15,83, 1239, 70.12
2023-03-08,MOM50, EQ,177.85,176.99,178.49,175.16, 177.99,178.02,177.62,4737,8.41,88, 3460, 73.04
2023-03-09,MOM50, EQ,178.02,176.77,179.39,176.77, 177.50,177.5,178.04,401,0.71,39, 215, 53.62
2023-03-10,MOM50, EQ,177.5,176.11,176.17,174.3, 175.71,175.53,175.55,2463,4.32,87, 2111, 85.71
2023-03-13,MOM50, EQ,175.53,175.31,175.53,172.5, 173.39,172.79,173.16,4074,7.05,93, 3289, 80.73
2023-03-14,MOM50, EQ,172.79,175.98,175.98,171.5, 172.37,172.25,172.7,2296,3.97,81, 1460, 63.59
2023-03-15,MOM50, EQ,172.25,172.91,173.31,171.07, 171.07,171.08,172.03,6894,11.86,102, 6230, 90.37
2023-03-16,MOM50, EQ,171.08,171.46,171.59,169.28, 171.30,170.6,170.31,2550,4.34,61, 1607, 63.02
2023-03-17,MOM50, EQ,170.6,171.41,172.61,171.0, 171.73,171.74,171.94,3223,5.54,54, 2588, 80.30
2023-03-20,MOM50, EQ,171.74,174.98,174.98,169.14,170.35,170.36,170.37,1583,2.7,109, 716, 45.23
2023-03-21,MOM50, EQ,170.36,171.0,172.65,171.0, 171.60,172.22,171.85,1123,1.93,36, 530, 47.20
2023-03-22,MOM50, EQ,172.22,172.36,175.49,171.82, 172.02,172.97,172.73,1002,1.73,57, 610, 60.88
2023-03-23,MOM50, EQ,172.97,172.68,173.39,171.3, 171.35,171.37,172.62,1093,1.89,57, 744, 68.07
2023-03-24,MOM50, EQ,171.37,171.3,172.24,170.58, 170.78,170.84,171.42,627,1.07,57, 535, 85.33
2023-03-27,MOM50, EQ,170.84,174.3,174.3,169.45, 171.37,171.37,170.92,1437,2.46,61, 802, 55.81
2023-03-28,MOM50, EQ,171.37,172.09,175.0,170.01, 170.05,171.83,171.04,1799,3.08,51, 1183, 65.76
2023-03-29,MOM50, EQ,171.83,171.0,171.99,170.63, 171.90,171.9,170.99,1140,1.95,30, 788, 69.12
2023-03-31,MOM50, EQ,171.9,172.0,175.0,172.0, 173.94,174.3,173.93,2285,3.97,81, 1432, 62.67
2023-04-03,MOM50, EQ,174.3,178.48,178.48,174.31, 175.62,175.61,175.41,1532,2.69,57, 1122, 73.24
2023-04-05,MOM50, EQ,175.61,175.0,177.15,175.0, 177.15,177.06,176.51,1113,1.96,65, 901, 80.95
2023-04-06,MOM50, EQ,177.06,177.08,180.0,175.75, 180.00,177.42,176.62,677,1.2,56, 445, 65.73
2023-04-10,MOM50, EQ,177.42,177.0,178.23,176.76, 177.86,177.73,176.94,7280,12.88,81, 6912, 94.95
2023-04-11,MOM50, EQ,177.73,180.0,180.0,177.7, 177.78,178.12,178.07,681,1.21,32, 382, 56.09
2023-04-12,MOM50, EQ,178.12,183.45,183.45,178.0, 178.63,178.63,179.02,2791,5.0,43, 2778, 99.53
2023-04-13,MOM50, EQ,178.63,178.25,179.1,177.93, 179.10,178.99,178.62,2917,5.21,60, 2270, 77.82
2023-04-17,MOM50, EQ,178.99,175.65,179.79,175.65, 179.79,178.16,177.93,1153,2.05,75, 790, 68.52
2023-04-18,MOM50, EQ,178.16,178.01,178.57,177.16, 177.40,177.91,177.93,724,1.29,62, 387, 53.45
2023-04-19,MOM50, EQ,177.91,177.85,177.85,176.67, 177.55,177.09,177.19,297,0.53,33, 294, 98.99
