DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,MSTCLTD, EQ,294.35,295.4,308.4,295.15, 308.30,305.75,302.05,302819,914.67,9342, 119717, 39.53
2023-01-03,MSTCLTD, EQ,305.75,307.6,310.05,301.65, 303.85,302.95,306.01,213305,652.74,6073, 86470, 40.54
2023-01-04,MSTCLTD, EQ,302.95,303.85,307.95,297.25, 299.50,298.35,301.52,186144,561.26,5335, 70784, 38.03
2023-01-05,MSTCLTD, EQ,298.35,299.9,300.35,293.6,298.8,297.8,297.28,121149,360.15,4340, 40126, 33.12
2023-01-06,MSTCLTD, EQ,297.8,298.6,298.6,291.5,293.0,293.25,293.94,100171,294.45,4288, 40196, 40.13
2023-01-09,MSTCLTD, EQ,293.25,295.0,298.7,293.7,296.5,295.2,296.35,107423,318.35,3648, 38564, 35.90
2023-01-10,MSTCLTD, EQ,295.2,295.7,296.4,291.7,295.45,295.0,294.21,95471,280.88,3542, 30010, 31.43
2023-01-11,MSTCLTD, EQ,295.0,296.4,299.4,293.45, 295.30,294.15,296.25,113962,337.62,3909, 39334, 34.52
2023-01-12,MSTCLTD, EQ,294.15,295.5,295.95,291.95, 293.45,292.95,293.69,92622,272.02,3683, 40611, 43.85
2023-01-13,MSTCLTD, EQ,292.95,293.4,295.15,291.0,293.2,293.05,293.08,70542,206.74,3028, 30542, 43.30
2023-01-16,MSTCLTD, EQ,293.05,294.3,313.5,293.15, 305.00,305.8,306.2,529617,1621.68,16447, 161769, 30.54
2023-01-17,MSTCLTD, EQ,305.8,305.7,314.5,303.0,310.0,309.55,310.56,405454,1259.19,11072, 127961, 31.56
2023-01-18,MSTCLTD, EQ,309.55,309.55,315.65,307.5,309.8,310.75,312.4,186084,581.32,4751, 72864, 39.16
2023-01-19,MSTCLTD, EQ,310.75,315.0,322.15,310.7, 312.40,312.4,317.02,587476,1862.42,12369, 140564, 23.93
2023-01-20,MSTCLTD, EQ,312.4,314.0,316.75,308.05,308.8,309.0,312.62,168530,526.86,4506, 59114, 35.08
2023-01-23,MSTCLTD, EQ,309.0,309.2,311.25,302.0,303.0,303.65,305.91,107400,328.55,3343, 49881, 46.44
2023-01-24,MSTCLTD, EQ,303.65,302.9,304.25,298.05,303.0,302.15,301.71,127966,386.08,4481, 50116, 39.16
2023-01-25,MSTCLTD, EQ,302.15,301.0,301.0,292.75, 294.40,293.75,295.42,185270,547.33,6132, 77296, 41.72
2023-01-27,MSTCLTD, EQ,293.75,294.3,294.3,280.1, 286.55,286.25,286.19,225759,646.11,7418, 93084, 41.23
2023-01-30,MSTCLTD, EQ,286.25,286.0,291.95,283.1, 287.00,288.65,288.32,150948,435.21,6436, 51156, 33.89
2023-01-31,MSTCLTD, EQ,288.65,289.3,301.85,288.25,297.6,297.15,297.15,309601,919.99,10037, 127474, 41.17
2023-02-01,MSTCLTD, EQ,297.15,299.0,319.6,287.3, 294.00,293.2,306.32,1008073,3087.92,25571, 210481, 20.88
2023-02-02,MSTCLTD, EQ,293.2,291.0,304.9,290.0, 295.80,296.55,297.07,259612,771.23,8285, 87716, 33.79
2023-02-03,MSTCLTD, EQ,296.55,297.0,298.75,286.4, 292.00,293.2,292.76,200203,586.11,6556, 75873, 37.90
2023-02-06,MSTCLTD, EQ,293.2,293.0,293.85,288.25, 289.65,289.85,290.81,130014,378.09,5394, 52446, 40.34
2023-02-07,MSTCLTD, EQ,289.85,289.95,292.9,285.45, 287.50,286.9,288.99,127521,368.52,4819, 58032, 45.51
2023-02-08,MSTCLTD, EQ,286.9,287.5,298.0,287.25, 298.00,295.75,293.99,210091,617.66,7639, 80229, 38.19
2023-02-09,MSTCLTD, EQ,295.75,296.9,301.2,294.2, 295.50,295.3,297.5,136401,405.79,5072, 47149, 34.57
2023-02-10,MSTCLTD, EQ,295.3,295.3,302.3,293.1, 298.20,298.6,297.99,129336,385.4,4787, 53214, 41.14
2023-02-13,MSTCLTD, EQ,298.6,299.0,299.0,286.5,287.9,288.45,290.44,224990,653.46,7309, 128935, 57.31
2023-02-14,MSTCLTD, EQ,288.45,288.4,290.55,278.05,279.0,279.4,282.1,220150,621.04,8072, 135843, 61.70
2023-02-15,MSTCLTD, EQ,279.4,277.45,284.4,276.95, 283.65,282.9,281.4,124815,351.23,6546, 51543, 41.30
2023-02-16,MSTCLTD, EQ,282.9,284.8,289.9,284.2, 286.70,286.2,286.69,152805,438.08,4562, 59885, 39.19
2023-02-17,MSTCLTD, EQ,286.2,287.0,289.6,284.0, 285.90,285.6,286.24,120467,344.83,4392, 59950, 49.76
2023-02-20,MSTCLTD, EQ,285.6,286.0,289.3,282.3, 284.00,283.75,285.07,161230,459.61,6789, 83784, 51.97
2023-02-21,MSTCLTD, EQ,283.75,282.2,287.0,282.2, 284.10,285.1,285.34,111335,317.69,3716, 57078, 51.27
2023-02-22,MSTCLTD, EQ,285.1,280.4,280.4,273.2, 275.25,275.15,276.32,155256,429.0,5099, 87340, 56.26
2023-02-23,MSTCLTD, EQ,275.15,275.9,278.45,273.55,277.0,276.2,275.92,93674,258.47,3685, 31808, 33.96
2023-02-24,MSTCLTD, EQ,276.2,276.2,279.85,273.95, 275.50,275.7,275.98,81276,224.31,3155, 35104, 43.19
2023-02-27,MSTCLTD, EQ,275.7,275.95,277.0,269.95, 271.40,270.8,271.69,78155,212.34,2544, 46057, 58.93
2023-02-28,MSTCLTD, EQ,270.8,270.95,273.45,269.15, 271.80,270.9,270.99,112294,304.31,3089, 74555, 66.39
2023-03-01,MSTCLTD, EQ,270.9,270.1,276.6,270.1, 275.00,274.0,273.99,99787,273.4,2317, 52043, 52.15
2023-03-02,MSTCLTD, EQ,274.0,274.45,275.5,271.8, 273.00,272.25,273.09,73534,200.81,2430, 39185, 53.29
2023-03-03,MSTCLTD, EQ,272.25,273.9,279.0,273.6, 275.45,275.0,276.13,119136,328.97,4710, 55117, 46.26
2023-03-06,MSTCLTD, EQ,275.0,276.6,283.0,276.6, 281.15,280.9,280.58,122359,343.32,3727, 58162, 47.53
2023-03-08,MSTCLTD, EQ,280.9,279.5,286.0,277.3, 282.60,282.35,282.61,180884,511.2,6486, 81185, 44.88
2023-03-09,MSTCLTD, EQ,282.35,282.3,287.0,281.5, 286.85,284.45,283.55,123688,350.72,2847, 65796, 53.20
2023-03-10,MSTCLTD, EQ,284.45,282.1,284.35,277.35, 281.05,280.15,281.63,110054,309.95,3620, 57481, 52.23
2023-03-13,MSTCLTD, EQ,280.15,278.95,281.0,265.25, 267.55,266.85,272.32,354777,966.14,6024, 279118, 78.67
2023-03-14,MSTCLTD, EQ,266.85,267.2,268.9,258.6, 261.00,260.0,261.97,165048,432.38,5357, 89799, 54.41
2023-03-15,MSTCLTD, EQ,260.0,262.5,264.9,258.75, 259.05,259.6,261.66,148415,388.35,4560, 77334, 52.11
