DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,MUKANDLTD, EQ,136.7,136.7,140.0,134.5, 135.00,136.25,138.05,490382,676.97,4804, 286718, 58.47
2023-01-03,MUKANDLTD, EQ,136.25,135.5,136.8,128.5, 129.40,129.2,132.61,493623,654.59,5234, 331261, 67.11
2023-01-04,MUKANDLTD, EQ,129.2,129.6,133.75,128.4, 132.40,129.9,130.29,684850,892.28,4150, 493577, 72.07
2023-01-05,MUKANDLTD, EQ,129.9,131.65,137.8,129.3,130.85,130.6,133.05,822179,1093.87,7567, 278211, 33.84
2023-01-06,MUKANDLTD, EQ,130.6,135.0,139.75,130.2,131.0,131.45,135.93,1994311,2710.94,15795, 641852, 32.18
2023-01-09,MUKANDLTD, EQ,131.45,132.55,133.9,124.95,126.25,127.2,128.73,392695,505.5,4623, 197495, 50.29
2023-01-10,MUKANDLTD, EQ,127.2,126.5,127.9,122.35,124.0,123.55,125.58,172338,216.42,2561, 89576, 51.98
2023-01-11,MUKANDLTD, EQ,123.55,124.8,130.4,122.8, 125.75,126.2,127.2,312750,397.81,4063, 122016, 39.01
2023-01-12,MUKANDLTD, EQ,126.2,126.75,135.0,125.35, 132.80,131.25,129.49,514423,666.12,4837, 238575, 46.38
2023-01-13,MUKANDLTD, EQ,131.25,132.05,134.7,130.5,132.55,132.7,132.98,255562,339.84,3193, 116001, 45.39
2023-01-16,MUKANDLTD, EQ,132.7,133.35,139.5,132.05, 136.70,136.9,137.1,563371,772.38,7080, 235961, 41.88
2023-01-17,MUKANDLTD, EQ,136.9,137.0,142.9,136.0,141.45,141.4,140.7,1028866,1447.64,10724, 331598, 32.23
2023-01-18,MUKANDLTD, EQ,141.4,141.95,145.6,139.5,141.8,142.45,143.08,604822,865.37,7265, 219598, 36.31
2023-01-19,MUKANDLTD, EQ,142.45,141.8,141.95,136.05, 137.20,137.55,139.05,326884,454.53,4918, 135621, 41.49
2023-01-20,MUKANDLTD, EQ,137.55,138.1,138.45,133.65,135.5,134.85,136.0,239870,326.22,3782, 113268, 47.22
2023-01-23,MUKANDLTD, EQ,134.85,135.6,135.6,130.1,131.15,131.05,131.65,331786,436.81,4109, 141022, 42.50
2023-01-24,MUKANDLTD, EQ,131.05,131.5,133.65,127.9,128.25,129.35,130.65,169117,220.95,3105, 63616, 37.62
2023-01-25,MUKANDLTD, EQ,129.35,129.45,131.0,125.8, 129.50,128.35,128.11,196370,251.56,3080, 82323, 41.92
2023-01-27,MUKANDLTD, EQ,128.35,129.0,129.95,122.5, 124.80,125.1,125.0,182109,227.64,3041, 82527, 45.32
2023-01-30,MUKANDLTD, EQ,125.1,126.0,128.5,123.15, 125.00,125.25,125.92,159177,200.44,1947, 88129, 55.37
2023-01-31,MUKANDLTD, EQ,125.25,125.6,130.05,124.9,128.0,128.85,128.13,128757,164.98,2218, 57214, 44.44
2023-02-01,MUKANDLTD, EQ,128.85,128.9,129.4,121.1, 123.80,122.65,125.79,135421,170.34,3415, 59963, 44.28
2023-02-02,MUKANDLTD, EQ,122.65,121.9,130.5,120.85, 127.45,127.95,127.37,219245,279.25,8396, 78159, 35.65
2023-02-03,MUKANDLTD, EQ,127.95,128.55,128.95,122.5, 126.10,126.0,125.89,160220,201.7,5566, 68011, 42.45
2023-02-06,MUKANDLTD, EQ,126.0,127.55,127.6,124.1, 126.50,126.1,125.69,58886,74.01,3006, 26492, 44.99
2023-02-07,MUKANDLTD, EQ,126.1,126.95,128.9,125.05, 128.00,127.9,127.35,68231,86.89,5446, 23994, 35.17
2023-02-08,MUKANDLTD, EQ,127.9,128.6,128.6,125.0, 126.55,126.45,126.79,83227,105.52,4319, 37190, 44.69
2023-02-09,MUKANDLTD, EQ,126.45,127.0,127.2,124.5, 125.00,125.1,125.88,44302,55.77,2585, 20996, 47.39
2023-02-10,MUKANDLTD, EQ,125.1,124.8,135.9,124.8, 134.50,134.85,132.68,361151,479.18,5980, 150492, 41.67
2023-02-13,MUKANDLTD, EQ,134.85,134.8,134.8,126.95,130.0,129.45,130.11,193883,252.25,3092, 75236, 38.80
2023-02-14,MUKANDLTD, EQ,129.45,128.0,129.7,122.9,123.5,123.3,125.06,190556,238.32,4256, 109100, 57.25
2023-02-15,MUKANDLTD, EQ,123.3,123.75,126.5,122.85, 123.80,123.75,124.7,117673,146.73,7186, 47148, 40.07
2023-02-16,MUKANDLTD, EQ,123.75,124.2,131.7,124.2, 129.00,129.75,128.61,167475,215.38,3332, 67008, 40.01
2023-02-17,MUKANDLTD, EQ,129.75,128.0,130.5,124.65, 126.80,126.1,127.28,103580,131.84,3005, 48625, 46.94
2023-02-20,MUKANDLTD, EQ,126.1,126.05,128.15,124.65, 126.40,127.0,126.51,73855,93.44,1968, 40780, 55.22
2023-02-21,MUKANDLTD, EQ,127.0,127.0,130.0,126.25, 130.00,128.4,128.01,91150,116.69,2695, 51060, 56.02
2023-02-22,MUKANDLTD, EQ,128.4,128.35,130.0,124.85, 130.00,127.35,127.15,107971,137.29,2566, 66457, 61.55
2023-02-23,MUKANDLTD, EQ,127.35,127.35,129.5,124.75,127.95,126.35,126.09,103542,130.56,2585, 59374, 57.34
2023-02-24,MUKANDLTD, EQ,126.35,126.35,128.65,125.55, 127.80,127.75,127.12,136399,173.39,2974, 59564, 43.67
2023-02-27,MUKANDLTD, EQ,127.75,127.75,128.4,122.9, 123.45,123.9,124.64,93464,116.49,2256, 62470, 66.84
2023-02-28,MUKANDLTD, EQ,123.9,122.65,126.55,121.15, 122.60,121.8,124.9,610818,762.91,4135, 521972, 85.45
2023-03-01,MUKANDLTD, EQ,121.8,122.6,133.5,122.2, 132.00,131.3,129.64,296054,383.81,5846, 151074, 51.03
2023-03-02,MUKANDLTD, EQ,131.3,131.3,133.85,129.2, 132.00,132.65,131.12,166149,217.85,3799, 80062, 48.19
2023-03-03,MUKANDLTD, EQ,132.65,133.7,138.5,131.25, 135.00,135.5,136.13,288740,393.05,4603, 154943, 53.66
2023-03-06,MUKANDLTD, EQ,135.5,136.95,137.95,135.05, 135.50,136.4,136.72,128458,175.63,2373, 60149, 46.82
2023-03-08,MUKANDLTD, EQ,136.4,136.0,143.0,134.95, 141.50,141.25,140.88,486279,685.08,6827, 220163, 45.28
2023-03-09,MUKANDLTD, EQ,141.25,143.0,145.95,138.7, 142.00,140.5,142.7,323079,461.04,3526, 184563, 57.13
2023-03-10,MUKANDLTD, EQ,140.5,140.9,142.2,138.8, 140.60,141.0,140.76,133190,187.48,2178, 65891, 49.47
2023-03-13,MUKANDLTD, EQ,141.0,141.6,142.7,135.0, 136.00,135.4,137.44,165593,227.6,2555, 89951, 54.32
2023-03-14,MUKANDLTD, EQ,135.4,135.6,137.3,133.25, 135.00,135.2,135.04,158254,213.7,1792, 107409, 67.87
2023-03-15,MUKANDLTD, EQ,135.2,136.25,138.55,135.0, 135.00,135.3,136.25,96450,131.41,1917, 47380, 49.12
2023-03-16,MUKANDLTD, EQ,135.3,136.65,137.0,133.55, 135.25,135.2,135.12,104843,141.66,1652, 64604, 61.62
2023-03-17,MUKANDLTD, EQ,135.2,136.15,138.55,135.0, 136.40,136.35,136.55,73300,100.09,1491, 41523, 56.65
2023-03-20,MUKANDLTD, EQ,136.35,138.95,138.95,133.65,135.05,135.6,135.55,144643,196.06,2028, 93027, 64.31
2023-03-21,MUKANDLTD, EQ,135.6,135.75,139.45,134.85, 135.95,136.0,136.46,180350,246.1,2722, 93375, 51.77
2023-03-22,MUKANDLTD, EQ,136.0,136.0,137.45,135.0, 135.40,135.1,136.04,112813,153.47,9485, 46232, 40.98
2023-03-23,MUKANDLTD, EQ,135.1,135.0,136.75,134.8, 135.00,135.0,135.35,67711,91.65,1130, 39888, 58.91
2023-03-24,MUKANDLTD, EQ,135.0,135.65,149.7,135.15, 140.60,141.45,144.07,1005397,1448.44,13809, 302888, 30.13
2023-03-27,MUKANDLTD, EQ,141.45,143.0,147.6,139.1, 140.95,141.0,144.07,430595,620.35,8444, 149054, 34.62
2023-03-28,MUKANDLTD, EQ,141.0,139.8,141.65,135.75, 137.45,136.85,138.41,127496,176.46,3118, 69650, 54.63
2023-03-29,MUKANDLTD, EQ,136.85,137.4,143.15,136.85, 140.00,140.7,139.75,132236,184.8,3564, 51476, 38.93
2023-03-31,MUKANDLTD, EQ,140.7,142.45,143.95,140.0, 141.00,141.05,141.72,72066,102.13,1629, 36926, 51.24
2023-04-03,MUKANDLTD, EQ,141.05,141.1,141.85,136.6, 137.65,137.9,139.29,77674,108.19,1810, 37490, 48.27
2023-04-05,MUKANDLTD, EQ,137.9,137.55,141.0,136.1, 139.40,137.8,138.13,101779,140.59,1792, 54027, 53.08
2023-04-06,MUKANDLTD, EQ,137.8,138.7,145.35,137.6, 139.00,139.4,141.78,210702,298.72,4258, 91848, 43.59
2023-04-10,MUKANDLTD, EQ,139.4,140.95,142.9,137.2, 138.65,138.9,140.08,158020,221.36,2797, 79043, 50.02
2023-04-11,MUKANDLTD, EQ,138.9,139.9,140.8,136.0, 136.50,136.8,137.58,128690,177.05,2441, 81580, 63.39
2023-04-12,MUKANDLTD, EQ,136.8,136.95,138.05,134.0, 134.95,134.9,135.68,141279,191.68,2307, 87904, 62.22
2023-04-13,MUKANDLTD, EQ,134.9,135.05,137.7,134.3, 136.30,136.35,136.3,84807,115.59,1485, 57464, 67.76
2023-04-17,MUKANDLTD, EQ,136.35,136.9,136.9,132.5, 133.65,134.25,134.27,95959,128.84,2149, 70172, 73.13
2023-04-18,MUKANDLTD, EQ,134.25,134.65,135.95,129.0, 130.90,130.5,132.59,181994,241.31,2910, 92980, 51.09
2023-04-19,MUKANDLTD, EQ,130.5,130.6,138.7,130.5, 134.65,134.65,134.89,216565,292.12,3748, 109268, 50.46
2023-04-20,MUKANDLTD, EQ,134.65,135.9,135.9,130.25, 131.60,131.3,132.57,79973,106.02,1508, 54200, 67.77
2023-04-21,MUKANDLTD, EQ,131.3,131.85,131.9,128.1, 129.00,129.05,129.91,122999,159.79,2211, 81280, 66.08
2023-04-24,MUKANDLTD, EQ,129.05,129.6,130.95,126.8, 128.10,128.0,128.78,108473,139.69,2039, 58981, 54.37
2023-04-25,MUKANDLTD, EQ,128.0,129.3,129.3,127.2,127.95,127.7,127.95,130178,166.56,1266, 91690, 70.43
2023-04-26,MUKANDLTD, EQ,127.7,128.3,130.65,126.05, 129.85,129.35,128.71,150218,193.35,2068, 82775, 55.10
