DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,MUTHOOTCAP, EQ,271.25,276.3,279.45,272.1, 272.30,274.9,275.48,28516,78.55,1186, 11198, 39.27
2023-01-03,MUTHOOTCAP, EQ,274.9,277.05,277.1,267.65, 270.35,270.45,271.85,54823,149.04,1827, 35077, 63.98
2023-01-04,MUTHOOTCAP, EQ,270.45,274.5,274.5,261.95, 268.70,266.0,265.4,47575,126.27,1652, 27792, 58.42
2023-01-05,MUTHOOTCAP, EQ,266.0,266.1,269.9,261.85,269.9,265.9,264.73,17209,45.56,1210, 7739, 44.97
2023-01-06,MUTHOOTCAP, EQ,265.9,268.55,295.0,256.85,266.45,272.8,266.64,35785,95.42,1389, 18777, 52.47
2023-01-09,MUTHOOTCAP, EQ,272.8,273.15,273.7,262.5,263.3,263.75,267.17,68983,184.3,1786, 44222, 64.11
2023-01-10,MUTHOOTCAP, EQ,263.75,263.9,265.3,260.65,263.0,262.5,262.3,17196,45.11,939, 8817, 51.27
2023-01-11,MUTHOOTCAP, EQ,262.5,262.6,266.55,262.0, 265.05,265.25,264.65,11053,29.25,389, 7751, 70.13
2023-01-12,MUTHOOTCAP, EQ,265.25,266.3,267.95,262.6, 265.25,264.7,264.83,19719,52.22,499, 12963, 65.74
2023-01-13,MUTHOOTCAP, EQ,264.7,265.0,265.2,258.0,258.9,259.3,261.44,29476,77.06,846, 21432, 72.71
2023-01-16,MUTHOOTCAP, EQ,259.3,259.3,262.95,256.85, 258.00,257.8,258.52,20065,51.87,637, 11631, 57.97
2023-01-17,MUTHOOTCAP, EQ,257.8,258.0,258.0,254.0,256.0,255.65,256.13,16175,41.43,701, 10790, 66.71
2023-01-18,MUTHOOTCAP, EQ,255.65,256.0,256.0,244.6,247.0,247.0,248.83,53359,132.77,1385, 39221, 73.50
2023-01-19,MUTHOOTCAP, EQ,247.0,243.05,267.85,238.95, 262.95,262.4,253.71,218067,553.26,4684, 122312, 56.09
2023-01-20,MUTHOOTCAP, EQ,262.4,264.45,270.1,261.05,267.3,267.95,265.21,49628,131.62,1427, 27155, 54.72
2023-01-23,MUTHOOTCAP, EQ,267.95,268.05,268.05,258.2,259.8,260.45,262.67,39234,103.06,2162, 23628, 60.22
2023-01-24,MUTHOOTCAP, EQ,260.45,260.05,266.2,258.2,258.2,259.15,261.55,27347,71.53,1655, 15090, 55.18
2023-01-25,MUTHOOTCAP, EQ,259.15,258.0,260.05,252.15, 254.00,256.5,255.75,28593,73.13,860, 18365, 64.23
2023-01-27,MUTHOOTCAP, EQ,256.5,255.25,255.7,250.0, 253.20,251.35,251.46,33353,83.87,860, 21989, 65.93
2023-01-30,MUTHOOTCAP, EQ,251.35,254.05,254.9,248.05, 249.95,250.45,251.48,9957,25.04,496, 5041, 50.63
2023-01-31,MUTHOOTCAP, EQ,250.45,250.55,262.0,246.05,262.0,259.5,252.91,22240,56.25,790, 12385, 55.69
2023-02-01,MUTHOOTCAP, EQ,259.5,267.25,267.25,256.4, 262.90,260.9,259.94,42669,110.91,1307, 23763, 55.69
2023-02-02,MUTHOOTCAP, EQ,260.9,250.0,263.0,250.0, 259.20,260.95,259.79,7193,18.69,411, 2974, 41.35
2023-02-03,MUTHOOTCAP, EQ,260.95,264.0,265.05,254.2, 255.00,256.8,259.81,20806,54.06,827, 11555, 55.54
2023-02-06,MUTHOOTCAP, EQ,256.8,256.8,258.0,253.05, 257.00,256.35,255.8,11367,29.08,534, 5922, 52.10
2023-02-07,MUTHOOTCAP, EQ,256.35,256.5,265.0,253.15, 265.00,262.65,259.48,16071,41.7,772, 8648, 53.81
2023-02-08,MUTHOOTCAP, EQ,262.65,262.6,267.0,259.55, 265.00,263.8,263.08,14361,37.78,869, 7624, 53.09
2023-02-09,MUTHOOTCAP, EQ,263.8,266.55,269.0,261.2, 266.00,266.85,265.34,19249,51.07,1083, 11030, 57.30
2023-02-10,MUTHOOTCAP, EQ,266.85,277.0,313.9,277.0, 303.50,305.15,298.09,567700,1692.24,11422, 231112, 40.71
2023-02-13,MUTHOOTCAP, EQ,305.15,303.0,308.0,288.4,290.0,290.85,297.89,69444,206.87,3398, 32999, 47.52
2023-02-14,MUTHOOTCAP, EQ,290.85,293.75,295.2,275.0,281.0,281.1,281.59,87630,246.76,2371, 50608, 57.75
2023-02-15,MUTHOOTCAP, EQ,281.1,281.1,288.95,279.75, 282.25,283.9,283.38,28456,80.64,1004, 16346, 57.44
2023-02-16,MUTHOOTCAP, EQ,283.9,283.05,286.7,280.6, 282.00,281.75,282.39,18912,53.4,1049, 11998, 63.44
2023-02-17,MUTHOOTCAP, EQ,281.75,286.0,295.7,282.55, 286.05,286.75,290.27,76618,222.4,2556, 32988, 43.06
2023-02-20,MUTHOOTCAP, EQ,286.75,285.05,289.45,281.75, 286.60,283.4,284.43,15611,44.4,944, 8481, 54.33
2023-02-21,MUTHOOTCAP, EQ,283.4,286.0,294.7,283.4, 294.70,292.95,291.12,33024,96.14,1395, 14655, 44.38
2023-02-22,MUTHOOTCAP, EQ,292.95,292.6,303.45,282.0, 285.00,285.2,292.12,81834,239.05,2589, 28821, 35.22
2023-02-23,MUTHOOTCAP, EQ,285.2,288.0,293.2,275.0,276.5,276.6,281.23,25396,71.42,1310, 12299, 48.43
2023-02-24,MUTHOOTCAP, EQ,276.6,278.95,280.7,270.0, 272.90,272.3,276.18,13571,37.48,765, 7379, 54.37
2023-02-27,MUTHOOTCAP, EQ,272.3,272.3,274.45,265.95, 269.15,270.7,269.71,19318,52.1,811, 10560, 54.66
2023-02-28,MUTHOOTCAP, EQ,270.7,271.6,272.95,261.0, 263.70,263.3,266.26,22290,59.35,887, 13822, 62.01
2023-03-01,MUTHOOTCAP, EQ,263.3,266.5,283.95,265.0, 278.00,279.85,276.16,46511,128.44,1851, 15644, 33.64
