DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,NAVA, EQ,245.6,247.5,260.7,247.25, 258.35,258.65,255.59,2277647,5821.51,25222, 572600, 25.14
2023-01-03,NAVA, EQ,258.65,258.0,262.6,252.6, 255.40,256.2,257.37,1266540,3259.7,16636, 368198, 29.07
2023-01-04,NAVA, EQ,256.2,255.4,257.0,244.7, 247.45,246.7,250.01,918787,2297.09,14357, 384030, 41.80
2023-01-05,NAVA, EQ,246.7,248.2,250.8,243.5,246.35,246.8,246.98,770228,1902.29,12579, 253907, 32.97
2023-01-06,NAVA, EQ,246.8,247.0,261.3,247.0,256.0,256.6,256.34,2122282,5440.24,28962, 608589, 28.68
2023-01-09,NAVA, EQ,256.6,259.0,259.95,251.0,252.0,252.85,255.65,647794,1656.07,10299, 248920, 38.43
2023-01-10,NAVA, EQ,252.85,251.65,252.35,241.05,242.1,242.6,245.57,617612,1516.66,11478, 279748, 45.30
2023-01-11,NAVA, EQ,242.6,244.5,250.5,241.5, 244.00,244.5,245.29,632296,1550.99,10150, 200370, 31.69
2023-01-12,NAVA, EQ,244.5,245.8,245.8,238.55, 240.20,240.6,241.77,362624,876.73,6621, 140183, 38.66
2023-01-13,NAVA, EQ,240.6,241.9,251.45,241.45,247.5,247.8,246.59,614840,1516.16,10751, 180504, 29.36
2023-01-16,NAVA, EQ,247.8,248.4,249.5,240.2, 241.25,241.6,244.22,299260,730.86,6511, 122874, 41.06
2023-01-17,NAVA, EQ,241.6,241.3,245.75,239.0,241.25,241.3,242.11,291842,706.59,5253, 98061, 33.60
2023-01-18,NAVA, EQ,241.3,242.1,246.4,241.05,241.95,241.95,243.09,287483,698.86,5374, 80220, 27.90
2023-01-19,NAVA, EQ,241.95,242.2,247.45,241.3, 242.80,242.45,243.83,365740,891.79,8497, 124631, 34.08
2023-01-20,NAVA, EQ,242.45,243.35,246.95,241.6,243.0,243.1,244.07,323649,789.93,6872, 126159, 38.98
2023-01-23,NAVA, EQ,243.1,244.8,255.95,242.15,244.5,245.15,248.84,824251,2051.09,14625, 177193, 21.50
2023-01-24,NAVA, EQ,245.15,246.8,246.95,236.15,237.9,239.15,240.74,400340,963.8,9077, 146878, 36.69
2023-01-25,NAVA, EQ,239.15,238.9,240.55,228.1, 231.00,230.0,232.06,532791,1236.37,10615, 232486, 43.64
2023-01-27,NAVA, EQ,230.0,231.9,233.95,215.4, 222.40,221.0,221.83,781315,1733.2,17111, 317997, 40.70
2023-01-30,NAVA, EQ,221.0,221.2,225.3,213.3, 216.10,216.3,218.28,419339,915.33,11283, 145117, 34.61
2023-01-31,NAVA, EQ,216.3,217.9,237.5,217.9,232.5,232.55,226.62,665246,1507.59,13906, 197224, 29.65
2023-02-01,NAVA, EQ,232.55,234.45,236.45,217.05, 225.25,225.15,227.99,583888,1331.21,11101, 207613, 35.56
2023-02-02,NAVA, EQ,225.15,225.15,236.05,222.15, 231.90,233.0,230.71,813214,1876.13,16626, 223668, 27.50
2023-02-03,NAVA, EQ,233.0,234.0,243.85,220.0, 230.00,230.3,234.16,2586842,6057.27,36039, 735145, 28.42
2023-02-06,NAVA, EQ,230.3,232.7,251.7,227.9, 248.20,248.5,242.68,1996813,4845.9,32349, 700399, 35.08
2023-02-07,NAVA, EQ,248.5,250.0,254.95,248.0, 249.50,250.05,251.38,1121873,2820.19,18446, 324146, 28.89
2023-02-08,NAVA, EQ,250.05,249.5,255.45,246.1, 247.50,247.45,251.9,644794,1624.22,8825, 242531, 37.61
2023-02-09,NAVA, EQ,247.45,247.8,253.7,244.2, 251.70,251.75,250.61,924509,2316.92,15575, 271091, 29.32
2023-02-10,NAVA, EQ,251.75,250.95,251.9,244.0, 244.60,245.15,246.5,466215,1149.23,9096, 249148, 53.44
2023-02-13,NAVA, EQ,245.15,246.4,254.55,237.6,241.75,241.45,245.94,922572,2268.93,15753, 324714, 35.20
2023-02-14,NAVA, EQ,241.45,242.65,246.35,239.1,245.0,244.4,242.96,540067,1312.13,9128, 208791, 38.66
2023-02-15,NAVA, EQ,244.4,243.55,254.45,242.6, 253.80,253.45,250.55,942819,2362.21,14070, 419441, 44.49
2023-02-16,NAVA, EQ,253.45,256.9,279.5,256.9, 270.00,269.05,270.22,5033711,13601.87,59291, 1338114, 26.58
2023-02-17,NAVA, EQ,269.05,268.95,275.3,262.25, 266.85,265.25,268.86,1444909,3884.81,17502, 400920, 27.75
2023-02-20,NAVA, EQ,265.25,266.8,269.0,256.5, 258.95,258.5,263.64,849954,2240.8,14093, 309939, 36.47
2023-02-21,NAVA, EQ,258.5,259.6,266.0,257.5, 259.00,259.95,261.43,802173,2097.14,11583, 251125, 31.31
2023-02-22,NAVA, EQ,259.95,260.15,260.15,246.8, 249.65,249.05,251.29,1462618,3675.4,25613, 750757, 51.33
2023-02-23,NAVA, EQ,249.05,250.1,252.0,242.05,243.3,243.15,245.84,850830,2091.72,12891, 410765, 48.28
2023-02-24,NAVA, EQ,243.15,244.9,248.9,237.65, 239.50,240.3,243.05,913312,2219.84,13011, 444262, 48.64
2023-02-27,NAVA, EQ,240.3,240.2,243.2,230.1, 232.50,231.55,235.75,1001952,2362.14,16590, 520081, 51.91
2023-02-28,NAVA, EQ,231.55,232.15,237.15,230.05, 231.95,231.1,232.16,736678,1710.25,10988, 311953, 42.35
2023-03-01,NAVA, EQ,231.1,232.8,238.2,231.0, 237.00,236.7,233.73,919981,2150.28,17787, 477372, 51.89
2023-03-02,NAVA, EQ,236.7,237.7,246.7,234.6, 243.55,244.95,242.45,802164,1944.81,14228, 323086, 40.28
2023-03-03,NAVA, EQ,244.95,245.95,253.5,244.3, 249.00,251.15,249.75,737389,1841.61,9651, 273376, 37.07
2023-03-06,NAVA, EQ,251.15,251.9,258.3,251.25, 253.70,253.15,254.44,552520,1405.83,8807, 221371, 40.07
2023-03-08,NAVA, EQ,253.15,249.1,258.7,249.1, 258.00,257.6,255.76,594986,1521.76,9742, 222633, 37.42
2023-03-09,NAVA, EQ,257.6,258.0,261.75,254.15, 255.55,256.3,256.91,887258,2279.42,10173, 482336, 54.36
2023-03-10,NAVA, EQ,256.3,255.0,260.8,251.8, 259.00,259.45,257.6,645179,1661.99,9560, 277448, 43.00
2023-03-13,NAVA, EQ,259.45,259.45,264.4,244.0, 246.70,246.35,253.46,734617,1862.0,11179, 374643, 51.00
2023-03-14,NAVA, EQ,246.35,248.4,250.9,237.3, 240.00,240.05,241.72,603261,1458.17,9139, 283823, 47.05
2023-03-15,NAVA, EQ,240.05,244.0,245.0,240.1, 243.00,243.1,242.59,391150,948.89,6578, 133513, 34.13
2023-03-16,NAVA, EQ,243.1,242.7,242.7,231.5, 238.20,238.25,236.27,670863,1585.06,11190, 234899, 35.01
2023-03-17,NAVA, EQ,238.25,238.6,243.95,234.05, 234.50,236.0,238.12,393846,937.84,5637, 153168, 38.89
2023-03-20,NAVA, EQ,236.0,235.95,235.95,231.65,233.7,233.5,233.02,296767,691.51,6394, 121635, 40.99
2023-03-21,NAVA, EQ,233.5,235.0,237.0,231.0, 235.35,235.0,233.57,392534,916.82,7750, 184958, 47.12
2023-03-22,NAVA, EQ,235.0,237.2,237.2,233.65, 234.35,234.2,234.79,225540,529.53,5663, 95610, 42.39
2023-03-23,NAVA, EQ,234.2,233.0,237.25,230.0, 232.05,232.25,234.1,240010,561.86,5016, 110768, 46.15
2023-03-24,NAVA, EQ,232.25,232.9,234.4,224.55, 227.00,226.7,227.65,428936,976.48,7272, 195965, 45.69
2023-03-27,NAVA, EQ,226.7,226.6,229.15,222.8, 223.20,223.45,225.09,338614,762.19,6047, 148115, 43.74
2023-03-28,NAVA, EQ,223.45,229.5,229.65,215.95, 216.70,217.65,219.83,843033,1853.23,14573, 463904, 55.03
2023-03-29,NAVA, EQ,217.65,218.05,227.9,217.5, 227.90,224.65,221.02,653074,1443.43,12398, 277487, 42.49
2023-03-31,NAVA, EQ,224.65,227.0,230.2,215.0, 217.60,218.05,222.85,721710,1608.34,11583, 373218, 51.71
2023-04-03,NAVA, EQ,218.05,219.85,227.05,219.0, 226.65,225.3,223.06,422703,942.86,8068, 150331, 35.56
2023-04-05,NAVA, EQ,225.3,226.85,231.7,226.65, 229.55,229.8,229.16,385073,882.44,7139, 155316, 40.33
2023-04-06,NAVA, EQ,229.8,230.3,236.5,230.3, 233.05,233.0,233.54,505775,1181.2,9336, 213977, 42.31
