DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,NDGL, EQ,1368.9,1396.1,1413.9,1347.0, 1389.95,1379.55,1391.75,194,2.7,77, 127, 65.46
2023-01-03,NDGL, EQ,1379.55,1381.65,1407.05,1381.65, 1395.00,1389.3,1394.26,136,1.9,53, 112, 82.35
2023-01-04,NDGL, EQ,1389.3,1390.55,1411.0,1381.05, 1401.00,1396.35,1394.78,164,2.29,38, 99, 60.37
2023-01-05,NDGL, EQ,1396.35,1363.1,1397.85,1356.25,1356.25,1364.3,1369.41,186,2.55,52, 94, 50.54
2023-01-06,NDGL, EQ,1364.3,1321.0,1389.45,1321.0,1325.0,1342.3,1349.95,114,1.54,52, 88, 77.19
2023-01-09,NDGL, EQ,1342.3,1435.75,1436.35,1380.05,1399.9,1397.6,1414.3,94,1.33,42, 41, 43.62
2023-01-10,NDGL, EQ,1397.6,1399.4,1399.4,1372.5,1372.5,1376.9,1381.91,25,0.35,11, 17, 68.00
2023-01-11,NDGL, EQ,1376.9,1391.95,1392.0,1360.15, 1390.50,1383.2,1380.11,45,0.62,19, 29, 64.44
2023-01-12,NDGL, EQ,1383.2,1355.9,1370.0,1355.0, 1355.00,1361.25,1358.59,54,0.73,15, 32, 59.26
2023-01-13,NDGL, EQ,1361.25,1326.0,1373.0,1326.0,1370.0,1370.0,1362.54,25,0.34,21, 13, 52.00
2023-01-16,NDGL, EQ,1370.0,1395.9,1399.0,1373.0, 1373.00,1380.05,1385.41,27,0.37,19, 18, 66.67
2023-01-17,NDGL, EQ,1380.05,1373.0,1398.0,1332.15,1333.0,1343.75,1380.56,140,1.93,58, 64, 45.71
2023-01-18,NDGL, EQ,1343.75,1364.95,1498.95,1359.45,1403.0,1396.05,1407.12,510,7.18,153, 220, 43.14
2023-01-19,NDGL, EQ,1396.05,1423.95,1423.95,1356.3, 1403.90,1398.7,1401.98,32,0.45,26, 14, 43.75
2023-01-20,NDGL, EQ,1398.7,1403.65,1448.0,1400.05,1414.0,1414.95,1424.76,670,9.55,125, 446, 66.57
2023-01-23,NDGL, EQ,1414.95,1444.45,1485.0,1400.0,1425.4,1434.45,1450.13,1796,26.04,388, 1110, 61.80
2023-01-24,NDGL, EQ,1434.45,1435.0,1460.0,1380.0,1380.0,1399.7,1432.1,425,6.09,107, 322, 75.76
2023-01-25,NDGL, EQ,1399.7,1418.0,1444.9,1388.0, 1388.00,1396.1,1409.26,373,5.26,54, 182, 48.79
2023-01-27,NDGL, EQ,1396.1,1365.7,1420.0,1365.35, 1420.00,1390.7,1382.57,206,2.85,52, 169, 82.04
2023-01-30,NDGL, EQ,1390.7,1409.0,1409.0,1368.0, 1368.00,1371.9,1371.63,57,0.78,17, 31, 54.39
2023-01-31,NDGL, EQ,1371.9,1390.0,1396.0,1356.15,1392.7,1386.1,1382.96,96,1.33,30, 65, 67.71
2023-02-01,NDGL, EQ,1386.1,1385.0,1405.0,1306.7, 1310.00,1313.3,1328.15,227,3.01,35, 202, 88.99
2023-02-02,NDGL, EQ,1313.3,1319.15,1357.1,1315.5, 1315.50,1321.5,1325.7,113,1.5,49, 71, 62.83
2023-02-03,NDGL, EQ,1321.5,1323.7,1326.7,1294.95, 1306.00,1309.7,1310.17,163,2.14,39, 123, 75.46
2023-02-06,NDGL, EQ,1309.7,1309.5,1398.95,1285.05, 1381.00,1375.3,1352.04,396,5.35,113, 266, 67.17
2023-02-07,NDGL, EQ,1375.3,1350.4,1354.0,1330.0, 1333.35,1336.75,1343.3,38,0.51,18, 29, 76.32
2023-02-08,NDGL, EQ,1336.75,1353.9,1389.95,1287.0, 1293.15,1304.2,1317.68,316,4.16,102, 184, 58.23
2023-02-09,NDGL, EQ,1304.2,1330.25,1380.0,1329.9, 1375.00,1373.4,1350.76,214,2.89,54, 139, 64.95
2023-02-10,NDGL, EQ,1373.4,1370.45,1408.0,1365.05, 1370.05,1371.9,1377.88,288,3.97,60, 232, 80.56
2023-02-13,NDGL, EQ,1371.9,1371.0,1385.0,1359.0,1385.0,1378.75,1360.6,128,1.74,18, 123, 96.09
2023-02-14,NDGL, EQ,1378.75,1360.1,1378.0,1354.0,1378.0,1373.4,1360.34,22,0.3,14, 13, 59.09
2023-02-15,NDGL, EQ,1373.4,1380.0,1380.0,1346.0, 1380.00,1379.55,1376.97,28,0.39,9, 16, 57.14
2023-02-16,NDGL, EQ,1379.55,1377.0,1377.0,1365.05, 1365.05,1365.35,1365.63,58,0.79,13, 46, 79.31
2023-02-17,NDGL, EQ,1365.35,1345.75,1365.0,1341.0, 1345.20,1356.4,1347.74,72,0.97,15, 65, 90.28
2023-02-20,NDGL, EQ,1356.4,1356.0,1389.8,1330.0, 1340.00,1335.5,1350.54,65,0.88,22, 31, 47.69
2023-02-21,NDGL, EQ,1335.5,1336.5,1336.5,1320.45, 1332.00,1323.85,1328.63,47,0.62,21, 42, 89.36
2023-02-22,NDGL, EQ,1323.85,1323.85,1340.0,1309.0, 1309.00,1314.1,1320.46,20,0.26,11, 12, 60.00
2023-02-23,NDGL, EQ,1314.1,1312.2,1313.5,1290.0,1291.0,1298.05,1304.18,129,1.68,28, 109, 84.50
2023-02-24,NDGL, EQ,1298.05,1278.0,1349.3,1277.8, 1349.00,1349.0,1303.65,113,1.47,37, 69, 61.06
2023-02-27,NDGL, EQ,1349.0,1345.0,1345.0,1313.55, 1320.00,1317.7,1318.76,107,1.41,18, 82, 76.64
2023-02-28,NDGL, EQ,1317.7,1320.05,1333.95,1310.0, 1310.00,1310.8,1318.91,179,2.36,15, 168, 93.85
2023-03-01,NDGL, EQ,1310.8,1310.8,1340.0,1301.0, 1302.00,1312.85,1307.12,65,0.85,16, 42, 64.62
2023-03-02,NDGL, EQ,1312.85,1300.0,1300.6,1296.8, 1296.80,1298.55,1299.03,6,0.08,4, 2, 33.33
2023-03-03,NDGL, EQ,1298.55,1325.15,1349.8,1323.45, 1347.30,1347.35,1333.83,46,0.61,24, 36, 78.26
2023-03-06,NDGL, EQ,1347.35,1305.6,1350.0,1305.05, 1305.10,1315.15,1319.77,168,2.22,35, 106, 63.10
2023-03-08,NDGL, EQ,1315.15,1302.05,1339.8,1302.05, 1339.80,1318.4,1313.61,102,1.34,35, 66, 64.71
2023-03-09,NDGL, EQ,1318.4,1350.4,1350.4,1314.3, 1320.00,1320.0,1333.08,10,0.13,7, 9, 90.00
2023-03-10,NDGL, EQ,1320.0,1349.25,1349.8,1283.25, 1291.00,1291.15,1314.88,49,0.64,28, 19, 38.78
2023-03-13,NDGL, EQ,1291.15,1290.0,1318.2,1282.0, 1290.00,1290.0,1292.13,83,1.07,22, 53, 63.86
2023-03-14,NDGL, EQ,1290.0,1319.65,1349.0,1315.9, 1348.00,1348.2,1332.82,97,1.29,23, 70, 72.16
2023-03-15,NDGL, EQ,1348.2,1348.2,1348.2,1311.05, 1312.00,1312.0,1333.85,12,0.16,6, 11, 91.67
2023-03-16,NDGL, EQ,1312.0,1302.05,1334.9,1300.0, 1302.00,1308.7,1312.58,50,0.66,25, 27, 54.00
2023-03-17,NDGL, EQ,1308.7,1334.45,1334.45,1302.0, 1302.00,1312.35,1320.2,23,0.3,11, 17, 73.91
2023-03-20,NDGL, EQ,1312.35,1343.5,1343.5,1303.25,1325.0,1320.2,1320.09,94,1.24,29, 75, 79.79
2023-03-21,NDGL, EQ,1320.2,1343.0,1343.0,1280.05, 1280.05,1290.0,1304.57,92,1.2,34, 67, 72.83
2023-03-22,NDGL, EQ,1290.0,1321.9,1321.9,1312.5, 1321.80,1319.55,1316.66,18,0.24,10, 15, 83.33
2023-03-23,NDGL, EQ,1319.55,1308.75,1312.0,1271.0, 1271.00,1283.55,1289.54,249,3.21,81, 83, 33.33
2023-03-24,NDGL, EQ,1283.55,1280.0,1299.95,1275.0, 1280.00,1279.0,1283.41,50,0.64,20, 40, 80.00
