DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,NECLIFE, EQ,24.55,24.75,24.8,23.55, 24.00,23.8,24.07,562124,135.31,2188, 351168, 62.47
2023-01-03,NECLIFE, EQ,23.8,23.95,24.5,23.1, 23.90,23.8,24.05,733490,176.39,1676, 227106, 30.96
2023-01-04,NECLIFE, EQ,23.8,23.95,24.45,23.75, 24.00,23.95,24.08,461219,111.07,1577, 153411, 33.26
2023-01-05,NECLIFE, EQ,23.95,24.1,24.1,23.4,23.65,23.55,23.71,240323,56.98,1112, 122176, 50.84
2023-01-06,NECLIFE, EQ,23.55,23.5,23.8,22.6,23.25,23.0,23.2,318384,73.87,1483, 195256, 61.33
2023-01-09,NECLIFE, EQ,23.0,23.2,23.65,22.7,22.85,22.85,23.07,311901,71.96,1620, 171277, 54.91
2023-01-10,NECLIFE, EQ,22.85,23.05,23.15,22.6,23.1,22.9,22.91,270686,62.02,888, 107665, 39.77
2023-01-11,NECLIFE, EQ,22.9,22.95,23.5,22.75, 23.10,22.95,23.15,331006,76.62,1201, 120142, 36.30
2023-01-12,NECLIFE, EQ,22.95,23.1,23.4,22.5, 22.50,22.6,22.75,318563,72.48,1164, 188016, 59.02
2023-01-13,NECLIFE, EQ,22.6,22.45,22.9,21.9,22.2,22.2,22.42,488215,109.46,1833, 239006, 48.96
2023-01-16,NECLIFE, EQ,22.2,22.15,22.45,22.1, 22.20,22.1,22.22,131026,29.12,613, 76174, 58.14
2023-01-17,NECLIFE, EQ,22.1,22.2,22.25,21.15,21.8,21.75,21.72,264067,57.36,1138, 165032, 62.50
2023-01-18,NECLIFE, EQ,21.75,21.8,22.4,21.35,22.15,22.0,22.0,278380,61.24,1111, 98830, 35.50
2023-01-19,NECLIFE, EQ,22.0,22.1,22.9,22.05, 22.20,22.2,22.46,254326,57.11,1078, 112331, 44.17
2023-01-20,NECLIFE, EQ,22.2,22.7,22.7,21.75,21.85,21.85,21.98,161933,35.59,753, 89127, 55.04
2023-01-23,NECLIFE, EQ,21.85,22.1,22.1,21.0,21.45,21.35,21.48,275288,59.12,1484, 143438, 52.10
2023-01-24,NECLIFE, EQ,21.35,21.4,21.85,21.1,21.2,21.25,21.41,185966,39.82,664, 81096, 43.61
2023-01-25,NECLIFE, EQ,21.25,21.2,21.35,20.7, 21.10,20.95,20.92,250253,52.35,962, 109144, 43.61
2023-01-27,NECLIFE, EQ,20.95,21.05,21.2,20.2, 20.45,20.55,20.58,222886,45.88,1154, 138560, 62.17
2023-01-30,NECLIFE, EQ,20.55,20.5,20.85,20.15, 20.35,20.3,20.43,136343,27.85,820, 71236, 52.25
2023-01-31,NECLIFE, EQ,20.3,20.45,20.45,19.65,20.4,20.25,20.08,536509,107.71,1897, 272028, 50.70
2023-02-01,NECLIFE, EQ,20.25,20.4,20.9,19.7, 19.90,19.95,20.29,179597,36.43,907, 100142, 55.76
2023-02-02,NECLIFE, EQ,19.95,19.9,20.25,19.65, 20.05,19.85,19.95,184233,36.75,868, 94496, 51.29
2023-02-03,NECLIFE, EQ,19.85,19.95,20.1,19.0, 19.45,19.4,19.45,221730,43.13,1197, 128226, 57.83
2023-02-06,NECLIFE, EQ,19.4,19.35,19.6,19.1, 19.20,19.25,19.36,289035,55.94,986, 159560, 55.20
2023-02-07,NECLIFE, EQ,19.25,19.35,19.5,19.05, 19.15,19.1,19.23,162823,31.32,569, 112215, 68.92
2023-02-08,NECLIFE, EQ,19.1,19.35,19.35,18.9, 19.10,19.05,19.03,192902,36.71,805, 136511, 70.77
2023-02-09,NECLIFE, EQ,19.05,19.15,19.7,19.0, 19.40,19.45,19.41,298513,57.93,890, 161890, 54.23
2023-02-10,NECLIFE, EQ,19.45,19.35,19.55,18.95, 19.00,19.0,19.19,291167,55.88,853, 182919, 62.82
2023-02-13,NECLIFE, EQ,19.0,19.05,19.1,18.3,18.75,18.65,18.65,323749,60.39,1009, 224205, 69.25
2023-02-14,NECLIFE, EQ,18.65,18.75,18.9,18.15,18.7,18.55,18.48,154866,28.62,769, 85429, 55.16
2023-02-15,NECLIFE, EQ,18.55,18.55,18.65,18.2, 18.50,18.45,18.43,114338,21.07,558, 68665, 60.05
2023-02-16,NECLIFE, EQ,18.45,18.5,18.55,18.3, 18.45,18.4,18.41,156706,28.86,442, 94496, 60.30
2023-02-17,NECLIFE, EQ,18.4,18.45,18.55,18.35, 18.55,18.5,18.46,133110,24.57,422, 84188, 63.25
2023-02-20,NECLIFE, EQ,18.5,18.8,18.8,17.7, 17.85,17.75,18.13,263526,47.78,1032, 180180, 68.37
2023-02-21,NECLIFE, EQ,17.75,17.85,17.95,17.5, 17.55,17.5,17.65,185480,32.75,761, 113049, 60.95
2023-02-22,NECLIFE, EQ,17.5,17.55,17.6,17.2, 17.30,17.25,17.35,146057,25.34,595, 99241, 67.95
2023-02-23,NECLIFE, EQ,17.25,17.4,17.45,17.1,17.45,17.35,17.31,83840,14.51,356, 41171, 49.11
2023-02-24,NECLIFE, EQ,17.35,17.45,17.8,17.2, 17.45,17.3,17.41,102273,17.81,635, 49754, 48.65
2023-02-27,NECLIFE, EQ,17.3,17.05,17.3,16.7, 17.25,17.15,17.02,109926,18.71,623, 58720, 53.42
2023-02-28,NECLIFE, EQ,17.15,17.4,18.95,17.1, 17.35,17.25,17.47,242012,42.27,973, 76974, 31.81
2023-03-01,NECLIFE, EQ,17.25,17.3,17.8,17.1, 17.40,17.45,17.47,184347,32.2,679, 75744, 41.09
2023-03-02,NECLIFE, EQ,17.45,17.4,17.85,17.35, 17.50,17.45,17.5,79795,13.96,442, 50397, 63.16
2023-03-03,NECLIFE, EQ,17.45,17.6,17.8,17.1, 17.25,17.3,17.33,173007,29.98,743, 113979, 65.88
2023-03-06,NECLIFE, EQ,17.3,17.45,17.95,17.35, 17.70,17.65,17.71,117585,20.82,523, 62851, 53.45
2023-03-08,NECLIFE, EQ,17.65,17.6,17.8,17.35, 17.70,17.65,17.57,199024,34.98,742, 140270, 70.48
2023-03-09,NECLIFE, EQ,17.65,17.8,18.85,17.65, 18.20,18.05,18.26,371041,67.75,1402, 135047, 36.40
2023-03-10,NECLIFE, EQ,18.05,17.95,18.45,17.65, 17.80,17.7,17.83,182849,32.6,558, 104490, 57.15
2023-03-13,NECLIFE, EQ,17.7,18.0,18.0,17.05, 17.10,17.15,17.36,173765,30.17,746, 124244, 71.50
2023-03-14,NECLIFE, EQ,17.15,17.05,17.35,16.8, 17.00,16.9,17.04,197166,33.6,768, 118320, 60.01
2023-03-15,NECLIFE, EQ,16.9,16.95,17.45,16.2, 16.40,16.45,16.89,330034,55.74,1555, 152380, 46.17
2023-03-16,NECLIFE, EQ,16.45,16.45,16.65,16.05, 16.20,16.25,16.24,158476,25.74,887, 94169, 59.42
2023-03-17,NECLIFE, EQ,16.25,16.3,16.6,16.2, 16.25,16.3,16.35,165184,27.0,628, 88912, 53.83
2023-03-20,NECLIFE, EQ,16.3,16.2,16.5,16.05,16.25,16.25,16.21,98740,16.01,530, 51025, 51.68
2023-03-21,NECLIFE, EQ,16.25,16.25,16.6,16.05, 16.20,16.2,16.3,141266,23.03,832, 51187, 36.23
2023-03-22,NECLIFE, EQ,16.2,16.2,16.45,16.2, 16.45,16.35,16.32,63077,10.29,430, 40349, 63.97
2023-03-23,NECLIFE, EQ,16.35,16.35,17.0,16.2, 16.75,16.5,16.63,491051,81.68,1245, 132520, 26.99
2023-03-24,NECLIFE, EQ,16.5,16.85,16.85,16.15, 16.15,16.2,16.47,227533,37.48,802, 140050, 61.55
2023-03-27,NECLIFE, EQ,16.2,16.2,16.3,15.4, 15.50,15.5,15.83,291909,46.2,1157, 174595, 59.81
2023-03-28,NECLIFE, EQ,15.5,15.7,15.85,14.5, 14.70,14.65,14.99,387793,58.12,1706, 237329, 61.20
2023-03-29,NECLIFE, EQ,14.65,14.65,15.25,14.65, 15.00,15.0,14.93,409104,61.07,1243, 250076, 61.13
2023-03-31,NECLIFE, EQ,15.0,15.45,16.3,15.2, 15.95,15.95,15.72,387727,60.93,1486, 220033, 56.75
2023-04-03,NECLIFE, EQ,15.95,16.4,16.55,15.5, 16.50,16.4,16.19,381297,61.72,1237, 162825, 42.70
2023-04-05,NECLIFE, EQ,16.4,17.1,17.1,16.25, 16.85,16.7,16.65,240072,39.97,1090, 103206, 42.99
2023-04-06,NECLIFE, EQ,16.7,17.0,17.0,16.5, 16.70,16.65,16.73,129124,21.6,664, 62537, 48.43
2023-04-10,NECLIFE, EQ,16.65,16.85,17.3,16.65, 17.05,16.95,16.99,280503,47.65,898, 124523, 44.39
