DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,NELCAST, EQ,99.3,99.3,103.5,99.1, 102.30,102.35,102.09,520508,531.39,5257, 206016, 39.58
2023-01-03,NELCAST, EQ,102.35,103.1,114.3,102.5, 113.80,112.75,109.81,2975607,3267.57,24358, 766686, 25.77
2023-01-04,NELCAST, EQ,112.75,114.0,117.45,110.35, 112.85,113.1,114.45,2678916,3065.95,27751, 623031, 23.26
2023-01-05,NELCAST, EQ,113.1,115.0,117.5,112.0,117.4,116.35,114.56,1124546,1288.33,11386, 321067, 28.55
2023-01-06,NELCAST, EQ,116.35,117.5,118.4,112.2,112.25,113.95,115.91,951888,1103.36,12094, 325132, 34.16
2023-01-09,NELCAST, EQ,113.95,114.2,121.9,111.95,119.65,120.4,118.45,1947340,2306.59,18662, 600553, 30.84
2023-01-10,NELCAST, EQ,120.4,120.15,124.8,119.0,121.3,122.6,122.71,2763522,3391.19,24274, 792235, 28.67
2023-01-11,NELCAST, EQ,122.6,122.6,126.25,120.15, 123.00,123.2,123.4,1603568,1978.83,14723, 403597, 25.17
2023-01-12,NELCAST, EQ,123.2,123.65,124.35,119.3, 119.85,120.9,121.85,757449,922.97,7252, 238184, 31.45
2023-01-13,NELCAST, EQ,120.9,120.25,128.6,120.05,127.5,126.35,124.12,1246072,1546.63,11203, 404709, 32.48
2023-01-16,NELCAST, EQ,126.35,128.55,131.0,126.3, 127.60,128.15,128.25,1131230,1450.85,10054, 380759, 33.66
2023-01-17,NELCAST, EQ,128.15,127.9,127.9,123.5,124.7,125.25,125.53,644131,808.59,7474, 200811, 31.18
2023-01-18,NELCAST, EQ,125.25,124.7,131.9,124.3,127.4,128.1,128.48,1186255,1524.08,12764, 329614, 27.79
2023-01-19,NELCAST, EQ,128.1,127.65,128.5,124.5, 124.65,125.55,126.41,488725,617.81,7788, 185138, 37.88
2023-01-20,NELCAST, EQ,125.55,125.55,127.0,121.4,122.05,122.5,124.08,389451,483.22,4850, 152691, 39.21
2023-01-23,NELCAST, EQ,122.5,123.0,124.15,117.0,119.1,119.1,119.72,618347,740.26,7855, 219698, 35.53
2023-01-24,NELCAST, EQ,119.1,119.2,122.75,113.35,114.0,114.9,118.23,511976,605.31,8386, 179111, 34.98
2023-01-25,NELCAST, EQ,114.9,114.15,117.85,113.5, 113.50,114.25,115.53,447870,517.43,6205, 113750, 25.40
2023-01-27,NELCAST, EQ,114.25,114.75,116.15,105.45, 109.80,109.85,110.26,609389,671.93,9314, 175686, 28.83
2023-01-30,NELCAST, EQ,109.85,110.0,114.8,107.8, 111.20,111.75,111.43,531215,591.92,8190, 100462, 18.91
2023-01-31,NELCAST, EQ,111.75,112.15,116.1,111.45,114.5,114.6,114.21,333532,380.92,5087, 110292, 33.07
2023-02-01,NELCAST, EQ,114.6,115.5,117.3,104.45, 108.10,108.25,111.73,467849,522.75,7523, 167818, 35.87
2023-02-02,NELCAST, EQ,108.25,97.05,103.4,97.05, 99.55,99.7,99.55,1512385,1505.54,16747, 550755, 36.42
